NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MRPL33	mitochondrial ribosomal protein L33	591	0.7840095162391663	-0.0052502137	Yes	
row_1	MTIF3	-	1029	0.6361092329025269	-0.0068774587	Yes	
row_2	MRPL55	mitochondrial ribosomal protein L55	1212	0.5913822650909424	0.0054983106	Yes	
row_3	MRPL43	mitochondrial ribosomal protein L43	1291	0.5741528868675232	0.023625588	Yes	
row_4	MRPL51	mitochondrial ribosomal protein L51	1405	0.5497239828109741	0.038608618	Yes	
row_5	MRPS14	mitochondrial ribosomal protein S14	1408	0.5487505197525024	0.06042664	Yes	
row_6	MRPS33	mitochondrial ribosomal protein S33	1472	0.5354356169700623	0.07793471	Yes	
row_7	MRPS6	mitochondrial ribosomal protein S6	1541	0.522023618221283	0.09459686	Yes	
row_8	MRPL13	mitochondrial ribosomal protein L13	1622	0.5055692791938782	0.109857954	Yes	
row_9	MRPL3	mitochondrial ribosomal protein L3	1666	0.5011622309684753	0.12723415	Yes	
row_10	MRPL41	mitochondrial ribosomal protein L41	1916	0.4947514533996582	0.131597	Yes	
row_11	TSFM	Ts translation elongation factor, mitochondrial	1928	0.49343302845954895	0.15064579	Yes	
row_12	CHCHD1	coiled-coil-helix-coiled-coil-helix domain containing 1	1949	0.4907192289829254	0.16902873	Yes	
row_13	PTCD3	Pentatricopeptide repeat domain 3	1973	0.48775774240493774	0.18710749	Yes	
row_14	MRPL34	mitochondrial ribosomal protein L34	2212	0.4544912576675415	0.19054173	Yes	
row_15	MRPS22	mitochondrial ribosomal protein S22	2307	0.4392118752002716	0.20228252	Yes	
row_16	MRPS24	mitochondrial ribosomal protein S24	2324	0.43709805607795715	0.21876913	Yes	
row_17	MRPL49	mitochondrial ribosomal protein L49	2516	0.41031602025032043	0.22334759	Yes	
row_18	MRPS18B	mitochondrial ribosomal protein S18B	2526	0.4091154634952545	0.2391488	Yes	
row_19	MRPS16	mitochondrial ribosomal protein S16	2633	0.3929300606250763	0.24829589	Yes	
