NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CDKN2B	cyclin-dependent kinase inhibitor 2B (p15, inhibits CDK4)	73	1.3917635679244995	0.01937268	No	
row_1	DHFR	dihydrofolate reductase	273	0.9723905324935913	0.0237184	No	
row_2	WEE1	WEE1 homolog (S. pombe)	558	0.8006100058555603	0.019835692	No	
row_3	PSMD2	proteasome (prosome, macropain) 26S subunit, non-ATPase, 2	711	0.7384899854660034	0.0230822	No	
row_4	CDC6	CDC6 cell division cycle 6 homolog (S. cerevisiae)	1376	0.5554635524749756	-0.008606391	No	
row_5	MNAT1	menage a trois homolog 1, cyclin H assembly factor (Xenopus laevis)	1532	0.5238797068595886	-0.009232384	No	
row_6	PPP2R3B	protein phosphatase 2 (formerly 2A), regulatory subunit B'', beta	1565	0.5165952444076538	-0.0023461177	No	
row_7	MYBL2	v-myb myeloblastosis viral oncogene homolog (avian)-like 2	1789	0.499967485666275	-0.0076051275	No	
row_8	CDKN1C	cyclin-dependent kinase inhibitor 1C (p57, Kip2)	1891	0.4971274137496948	-0.005337632	No	
row_9	UBA52	ubiquitin A-52 residue ribosomal protein fusion product 1	1969	0.48806944489479065	-0.0017354987	No	
row_10	TYMS	thymidylate synthetase	2118	0.4659165143966675	-0.002922441	No	
row_11	RRM2	ribonucleotide reductase M2 polypeptide	2249	0.4485476613044739	-0.0032900518	No	
row_12	CCNH	cyclin H	2363	0.43122249841690063	-0.002899673	No	
row_13	AKT3	v-akt murine thymoma viral oncogene homolog 3 (protein kinase B, gamma)	2398	0.42569679021835327	0.0023011032	No	
row_14	CDK4	cyclin-dependent kinase 4	2745	0.37574195861816406	-0.012729029	No	
row_15	CDKN2D	cyclin-dependent kinase inhibitor 2D (p19, inhibits CDK4)	3013	0.340998113155365	-0.023450626	No	
row_16	PSMC5	proteasome (prosome, macropain) 26S subunit, ATPase, 5	3127	0.3287934362888336	-0.024819605	No	
row_17	MCM6	MCM6 minichromosome maintenance deficient 6 (MIS5 homolog, S. pombe) (S. cerevisiae)	3196	0.3202706575393677	-0.023540812	No	
row_18	RPA1	replication protein A1, 70kDa	3464	0.2921757400035858	-0.035101	No	
row_19	HDAC1	histone deacetylase 1	3484	0.2906814515590668	-0.03128791	No	
row_20	E2F1	E2F transcription factor 1	3531	0.28559666872024536	-0.02923865	No	
row_21	PSMC1	proteasome (prosome, macropain) 26S subunit, ATPase, 1	3697	0.2671772539615631	-0.034894783	No	
row_22	RBL2	retinoblastoma-like 2 (p130)	3712	0.2650424540042877	-0.031211615	No	
row_23	PSMD9	proteasome (prosome, macropain) 26S subunit, non-ATPase, 9	3732	0.26308473944664	-0.027872534	No	
