NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DPYS	dihydropyrimidinase	2566	0.4023819863796234	-0.13071391	No	
row_1	NUDT9	nudix (nucleoside diphosphate linked moiety X)-type motif 9	2588	0.3984924256801605	-0.104692616	No	
row_2	NUDT5	nudix (nucleoside diphosphate linked moiety X)-type motif 5	2774	0.3711770176887512	-0.090661004	No	
row_3	AGXT2	alanine-glyoxylate aminotransferase 2	3220	0.3175548017024994	-0.096344694	No	
row_4	NUDT15	nudix (nucleoside diphosphate linked moiety X)-type motif 15	3239	0.3155606687068939	-0.07582333	No	
row_5	ENTPD4	ectonucleoside triphosphate diphosphohydrolase 4	3293	0.3106388747692108	-0.05779851	No	
row_6	ITPA	inosine triphosphatase (nucleoside triphosphate pyrophosphatase)	3395	0.29939645528793335	-0.043505494	No	
row_7	NUDT16	nudix (nucleoside diphosphate linked moiety X)-type motif 16	4202	0.22710652649402618	-0.07765965	No	
row_8	ENTPD2	ectonucleoside triphosphate diphosphohydrolase 2	4377	0.21416792273521423	-0.07371248	No	
row_9	NT5M	5',3'-nucleotidase, mitochondrial	4384	0.2134426385164261	-0.059451055	No	
row_10	UPB1	ureidopropionase, beta	4869	0.16888290643692017	-0.07773218	No	
row_11	ENTPD7	ectonucleoside triphosphate diphosphohydrolase 7	5716	0.09743759036064148	-0.1232428	No	
row_12	UPP1	uridine phosphorylase 1	5861	0.08745739609003067	-0.12613097	No	
row_13	NT5C	5', 3'-nucleotidase, cytosolic	6316	0.05134432390332222	-0.1506187	No	
row_14	NUDT1	nudix (nucleoside diphosphate linked moiety X)-type motif 1	7412	8.6441400912185E-13	-0.2181696	No	
row_15	ENTPD1	ectonucleoside triphosphate diphosphohydrolase 1	9322	-9.117284704984741E-10	-0.3359364	No	
row_16	ENTPD3	ectonucleoside triphosphate diphosphohydrolase 3	9871	-0.02006186917424202	-0.36836743	No	
row_17	ENTPD8	ectonucleoside triphosphate diphosphohydrolase 8	10358	-0.04823113605380058	-0.3950427	No	
row_18	NT5C1A	5'-nucleotidase, cytosolic IA	10376	-0.04950886219739914	-0.39269757	No	
row_19	ENTPD6	ectonucleoside triphosphate diphosphohydrolase 6 (putative function)	10470	-0.057792145758867264	-0.39447308	No	
row_20	NT5C1B	5'-nucleotidase, cytosolic IB	10694	-0.07452540099620819	-0.4031213	No	
row_21	NUDT18	nudix (nucleoside diphosphate linked moiety X)-type motif 18	10770	-0.08202941715717316	-0.4021249	No	
row_22	NT5C2	5'-nucleotidase, cytosolic II	11402	-0.13913492858409882	-0.43151376	No	
row_23	ENTPD5	ectonucleoside triphosphate diphosphohydrolase 5	11699	-0.16384881734848022	-0.4385422	No	
row_24	UPP2	uridine phosphorylase 2	12664	-0.26080235838890076	-0.48013356	No	
row_25	GDA	guanine deaminase	15768	-1.0601216554641724	-0.5988869	Yes	
row_26	XDH	xanthine dehydrogenase	15981	-1.511112928390503	-0.5083779	Yes	
row_27	DPYD	dihydropyrimidine dehydrogenase	16018	-1.6667450666427612	-0.39634278	Yes	
row_28	NT5E	5'-nucleotidase, ecto (CD73)	16167	-2.946004629135132	-0.20352328	Yes	
row_29	SAMHD1	SAM domain and HD domain 1	16172	-3.03285551071167	0.0041332883	Yes	
