NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	AQP7	aquaporin 7	322	0.9330146908760071	0.20607495	Yes	
row_1	AQP3	aquaporin 3 (Gill blood group)	1263	0.5805782079696655	0.28872693	Yes	
row_2	AQP9	aquaporin 9	1269	0.5789685249328613	0.42860913	Yes	
row_3	AQP8	aquaporin 8	1306	0.5705704689025879	0.5645475	Yes	
row_4	AQP4	aquaporin 4	1440	0.5416396856307983	0.68750286	Yes	
row_5	AQP6	aquaporin 6, kidney specific	4290	0.22054173052310944	0.56533283	No	
row_6	AQP5	aquaporin 5	4689	0.18428277969360352	0.5854277	No	
row_7	AQP1	aquaporin 1 (Colton blood group)	5819	0.09012621641159058	0.5376753	No	
row_8	AQP2	aquaporin 2 (collecting duct)	6553	0.034863874316215515	0.50094557	No	
row_9	MIP	major intrinsic protein of lens fiber	6726	0.024738283827900887	0.496336	No	
row_10	AQP10	aquaporin 10	10019	-0.026377538219094276	0.29985127	No	
row_11	AQP12A	aquaporin 12A	10395	-0.05066893249750137	0.28901052	No	
row_12	AQP11	aquaporin 11	12948	-0.29350340366363525	0.20281012	No	
