NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PRKCQ	protein kinase C, theta	145	1.1738370656967163	0.0046149823	No	
row_1	DSG1	desmoglein 1	303	0.9459414482116699	0.0058323545	No	
row_2	IL1A	interleukin 1, alpha	324	0.9325309991836548	0.015429618	No	
row_3	OMA1	OMA1 homolog, zinc metallopeptidase (S. cerevisiae)	486	0.8406357765197754	0.015173286	No	
row_4	TICAM2	toll-like receptor adaptor molecule 2	667	0.7554604411125183	0.012742745	No	
row_5	PSMD2	proteasome (prosome, macropain) 26S subunit, non-ATPase, 2	711	0.7384899854660034	0.018650698	No	
row_6	PRKCD	protein kinase C, delta	992	0.6463683247566223	0.008721116	No	
row_7	APAF1	apoptotic peptidase activating factor	1347	0.5610814690589905	-0.0068107657	No	
row_8	HMGB1	high-mobility group box 1	1447	0.5391134023666382	-0.006710238	No	
row_9	MAPK3	mitogen-activated protein kinase 3	1456	0.5379591584205627	-9.5334963E-4	No	
row_10	UBA52	ubiquitin A-52 residue ribosomal protein fusion product 1	1969	0.48806944489479065	-0.027178444	No	
row_11	BAD	BCL2-antagonist of cell death	2352	0.4329283833503723	-0.045945022	No	
row_12	ACIN1	apoptotic chromatin condensation inducer 1	2360	0.4317781329154968	-0.04136049	No	
row_13	AKT3	v-akt murine thymoma viral oncogene homolog 3 (protein kinase B, gamma)	2398	0.42569679021835327	-0.038715832	No	
row_14	SDCBP	syndecan binding protein (syntenin)	2401	0.4252761900424957	-0.033895377	No	
row_15	FNTA	farnesyltransferase, CAAX box, alpha	2470	0.4167197644710541	-0.033286564	No	
row_16	SATB1	special AT-rich sequence binding protein 1 (binds to nuclear matrix/scaffold-associating DNA's)	2567	0.40235206484794617	-0.03458937	No	
row_17	OPA1	optic atrophy 1 (autosomal dominant)	2807	0.36464011669158936	-0.04524034	No	
row_18	CYCS	cytochrome c, somatic	2888	0.3538222908973694	-0.046110556	No	
row_19	PSMC5	proteasome (prosome, macropain) 26S subunit, ATPase, 5	3127	0.3287934362888336	-0.057116043	No	
row_20	BMF	Bcl2 modifying factor	3152	0.3257337510585785	-0.05482377	No	
row_21	BCAP31	B-cell receptor-associated protein 31	3349	0.3040783107280731	-0.06349982	No	
row_22	LMNA	lamin A/C	3376	0.3011989891529083	-0.06161745	No	
row_23	VIM	vimentin	3459	0.2930845320224762	-0.06331853	No	
row_24	E2F1	E2F transcription factor 1	3531	0.28559666872024536	-0.06442132	No	
row_25	STUB1	STIP1 homology and U-box containing protein 1	3535	0.28511831164360046	-0.06129291	No	
row_26	PSMC1	proteasome (prosome, macropain) 26S subunit, ATPase, 1	3697	0.2671772539615631	-0.06821735	No	
row_27	PSMD9	proteasome (prosome, macropain) 26S subunit, non-ATPase, 9	3732	0.26308473944664	-0.06727661	No	
row_28	IL18	interleukin 18 (interferon-gamma-inducing factor)	3807	0.2573053240776062	-0.06889529	No	
row_29	ARHGAP10	Rho GTPase activating protein 10	3882	0.2517905831336975	-0.07057808	No	
row_30	DAPK2	death-associated protein kinase 2	3883	0.2517513930797577	-0.06765075	No	
row_31	PSMD6	proteasome (prosome, macropain) 26S subunit, non-ATPase, 6	3986	0.2433943897485733	-0.071175724	No	
row_32	CDKN2A	cyclin-dependent kinase inhibitor 2A (melanoma, p16, inhibits CDK4)	4000	0.24284899234771729	-0.06916187	No	
row_33	PTK2	PTK2 protein tyrosine kinase 2	4094	0.23574230074882507	-0.07221508	No	
row_34	BCL2L11	BCL2-like 11 (apoptosis facilitator)	4122	0.23328176140785217	-0.07118475	No	
row_35	AKT2	v-akt murine thymoma viral oncogene homolog 2	4123	0.23297865688800812	-0.06847569	No	
row_36	RPS27A	ribosomal protein S27a	4134	0.23172627389431	-0.06640426	No	
row_37	PSME1	proteasome (prosome, macropain) activator subunit 1 (PA28 alpha)	4391	0.21239113807678223	-0.07988475	No	
row_38	CHMP2B	chromatin modifying protein 2B	4433	0.2083459496498108	-0.08001665	No	
row_39	IL1B	interleukin 1, beta	4704	0.1824161261320114	-0.094717965	No	
row_40	PSMC2	proteasome (prosome, macropain) 26S subunit, ATPase, 2	4826	0.17282982170581818	-0.10024726	No	
row_41	APIP	APAF1 interacting protein	4851	0.17057183384895325	-0.0997592	No	
row_42	YWHAQ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, theta polypeptide	4910	0.1653393805027008	-0.101450354	No	
row_43	BIRC2	baculoviral IAP repeat-containing 2	4955	0.1626046895980835	-0.10230104	No	
row_44	DFFA	DNA fragmentation factor, 45kDa, alpha polypeptide	4975	0.1607993096113205	-0.10161508	No	
row_45	MAPT	microtubule-associated protein tau	5027	0.15685980021953583	-0.1029687	No	
row_46	BMX	BMX non-receptor tyrosine kinase	5063	0.15258929133415222	-0.1033751	No	
row_47	PSMA7	proteasome (prosome, macropain) subunit, alpha type, 7	5238	0.1344207525253296	-0.11265319	No	
row_48	ROCK1	Rho-associated, coiled-coil containing protein kinase 1	5290	0.13086669147014618	-0.11430906	No	
row_49	PSMD10	proteasome (prosome, macropain) 26S subunit, non-ATPase, 10	5332	0.12717726826667786	-0.11538477	No	
row_50	GSN	gelsolin (amyloidosis, Finnish type)	5340	0.1265384554862976	-0.11434953	No	
row_51	CHMP6	chromatin modifying protein 6	5579	0.10750044882297516	-0.12792818	No	
row_52	PSMA5	proteasome (prosome, macropain) subunit, alpha type, 5	5659	0.10155092924833298	-0.13166948	No	
row_53	SFN	stratifin	5694	0.09934475272893906	-0.13263269	No	
row_54	CHMP2A	chromatin modifying protein 2A	5720	0.0964645966887474	-0.13306865	No	
row_55	DAPK1	death-associated protein kinase 1	5804	0.09077280759811401	-0.13718449	No	
row_56	APC	adenomatosis polyposis coli	5964	0.07859698683023453	-0.14617711	No	
row_57	CFLAR	CASP8 and FADD-like apoptosis regulator	6000	0.0758376196026802	-0.14747597	No	
row_58	CDH1	cadherin 1, type 1, E-cadherin (epithelial)	6012	0.07458195090293884	-0.14729409	No	
row_59	DAPK3	death-associated protein kinase 3	6051	0.07149357348680496	-0.14883038	No	
row_60	TFDP2	transcription factor Dp-2 (E2F dimerization partner 2)	6061	0.07083475589752197	-0.14856747	No	
row_61	DYNLL1	dynein, light chain, LC8-type 1	6287	0.05390922352671623	-0.1619593	No	
row_62	PSMD4	proteasome (prosome, macropain) 26S subunit, non-ATPase, 4	6348	0.04930852726101875	-0.16512427	No	
row_63	AVEN	apoptosis, caspase activation inhibitor	6385	0.04643682390451431	-0.1668273	No	
row_64	PSME3	proteasome (prosome, macropain) activator subunit 3 (PA28 gamma; Ki)	6661	0.028744397684931755	-0.18362702	No	
row_65	PSMD8	proteasome (prosome, macropain) 26S subunit, non-ATPase, 8	6710	0.02550405077636242	-0.18632111	No	
row_66	PSMD7	proteasome (prosome, macropain) 26S subunit, non-ATPase, 7 (Mov34 homolog)	6854	0.01780025102198124	-0.19502379	No	
row_67	PSMB6	proteasome (prosome, macropain) subunit, beta type, 6	7048	0.008250405080616474	-0.20695278	No	
row_68	PPP3CC	protein phosphatase 3 (formerly 2B), catalytic subunit, gamma isoform (calcineurin A gamma)	7211	6.468994251918048E-5	-0.21704549	No	
row_69	CASP5	caspase 5, apoptosis-related cysteine peptidase	7370	4.898912386863685E-9	-0.22688973	No	
row_70	DNM1L	dynamin 1-like	7386	1.398166721289229E-10	-0.2278243	No	
row_71	PKP1	plakophilin 1 (ectodermal dysplasia/skin fragility syndrome)	7467	0.0	-0.23280872	No	
row_72	DCC	deleted in colorectal carcinoma	7544	0.0	-0.23754393	No	
row_73	OCLN	occludin	9249	-6.645886885931512E-26	-0.34371215	No	
row_74	TP73	tumor protein p73	9333	-7.447897409917914E-9	-0.3488835	No	
row_75	PSMA8	proteasome (prosome, macropain) subunit, alpha type, 8	9584	-0.00682253809645772	-0.36438048	No	
row_76	PSMB1	proteasome (prosome, macropain) subunit, beta type, 1	9745	-0.013880454003810883	-0.37418795	No	
row_77	YWHAZ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polypeptide	9782	-0.01556085143238306	-0.37625	No	
row_78	PSMD1	proteasome (prosome, macropain) 26S subunit, non-ATPase, 1	10102	-0.030202826485037804	-0.3957742	No	
row_79	DSG2	desmoglein 2	10132	-0.03225978463888168	-0.39720592	No	
row_80	LY96	lymphocyte antigen 96	10196	-0.03728052228689194	-0.40069768	No	
row_81	GAS2	growth arrest-specific 2	10379	-0.049700718373060226	-0.41145933	No	
row_82	PSMD13	proteasome (prosome, macropain) 26S subunit, non-ATPase, 13	10422	-0.053178925067186356	-0.41345778	No	
row_83	CASP6	caspase 6, apoptosis-related cysteine peptidase	10425	-0.05339854210615158	-0.41296148	No	
row_84	PSMB5	proteasome (prosome, macropain) subunit, beta type, 5	10473	-0.05793004855513573	-0.4152162	No	
row_85	PPP3R1	protein phosphatase 3 (formerly 2B), regulatory subunit B, 19kDa, alpha isoform (calcineurin B, type I)	10557	-0.06458891928195953	-0.41963652	No	
row_86	CLSPN	claspin homolog (Xenopus laevis)	10611	-0.06831464171409607	-0.42214435	No	
row_87	CHMP7	CHMP family, member 7	10690	-0.0740177184343338	-0.4261435	No	
row_88	PELI1	pellino homolog 1 (Drosophila)	10727	-0.07750467956066132	-0.4274853	No	
row_89	GZMB	granzyme B (granzyme 2, cytotoxic T-lymphocyte-associated serine esterase 1)	10785	-0.08354876935482025	-0.43006518	No	
row_90	PSME4	proteasome (prosome, macropain) activator subunit 4	10799	-0.08489450812339783	-0.429888	No	
row_91	PSMB4	proteasome (prosome, macropain) subunit, beta type, 4	10839	-0.08825931698083878	-0.43129164	No	
row_92	PDCD6IP	programmed cell death 6 interacting protein	10978	-0.09994018077850342	-0.43872768	No	
row_93	PSMC6	proteasome (prosome, macropain) 26S subunit, ATPase, 6	11010	-0.10210686922073364	-0.43947184	No	
row_94	PAK2	p21 (CDKN1A)-activated kinase 2	11105	-0.11029867082834244	-0.44404602	No	
row_95	YWHAE	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, epsilon polypeptide	11369	-0.13533112406730652	-0.4588587	No	
row_96	CASP9	caspase 9, apoptosis-related cysteine peptidase	11397	-0.13848768174648285	-0.4589306	No	
row_97	PSMC3	proteasome (prosome, macropain) 26S subunit, ATPase, 3	11528	-0.14907696843147278	-0.46529686	No	
row_98	CHMP4A	chromatin modifying protein 4A	11558	-0.15136109292507172	-0.46534368	No	
row_99	PPP1R13B	protein phosphatase 1, regulatory (inhibitor) subunit 13B	11678	-0.16196735203266144	-0.4708747	No	
row_100	TP53	tumor protein p53 (Li-Fraumeni syndrome)	11764	-0.17059336602687836	-0.474187	No	
row_101	MAGED1	melanoma antigen family D, 1	11791	-0.17330610752105713	-0.47379175	No	
row_102	FAS	Fas (TNF receptor superfamily, member 6)	11841	-0.17816279828548431	-0.47477305	No	
row_103	PSMD3	proteasome (prosome, macropain) 26S subunit, non-ATPase, 3	11846	-0.17848387360572815	-0.47294688	No	
row_104	C1QBP	complement component 1, q subcomponent binding protein	11890	-0.18224236369132996	-0.47350693	No	
row_105	PSMD5	proteasome (prosome, macropain) 26S subunit, non-ATPase, 5	11911	-0.18458987772464752	-0.47260663	No	
row_106	CDC37	CDC37 cell division cycle 37 homolog (S. cerevisiae)	11918	-0.18520385026931763	-0.47082692	No	
row_107	PSMD14	proteasome (prosome, macropain) 26S subunit, non-ATPase, 14	11924	-0.18596462905406952	-0.46897608	No	
row_108	TLR4	toll-like receptor 4	11969	-0.1898326277732849	-0.46951017	No	
row_109	UACA	uveal autoantigen with coiled-coil domains and ankyrin repeats	11991	-0.19209252297878265	-0.46858495	No	
row_110	BBC3	BCL2 binding component 3	12134	-0.2065001130104065	-0.47503114	No	
row_111	CARD8	caspase recruitment domain family, member 8	12260	-0.21935057640075684	-0.48026872	No	
row_112	SPTAN1	spectrin, alpha, non-erythrocytic 1 (alpha-fodrin)	12382	-0.23149989545345306	-0.4851158	No	
row_113	YWHAG	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, gamma polypeptide	12483	-0.2422805279493332	-0.48852912	No	
row_114	OGT	O-linked N-acetylglucosamine (GlcNAc) transferase (UDP-N-acetylglucosamine:polypeptide-N-acetylglucosaminyl transferase)	12795	-0.2764045298099518	-0.5046921	No	
row_115	DSG3	desmoglein 3 (pemphigus vulgaris antigen)	12820	-0.27969810366630554	-0.5029351	No	
row_116	PSMA1	proteasome (prosome, macropain) subunit, alpha type, 1	12891	-0.2867208421230316	-0.5039625	No	
