NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CYP51A1	cytochrome P450, family 51, subfamily A, polypeptide 1	109	1.2591644525527954	0.05704863	Yes	
row_1	HMGCR	3-hydroxy-3-methylglutaryl-Coenzyme A reductase	213	1.0462958812713623	0.10368525	Yes	
row_2	TM7SF2	transmembrane 7 superfamily member 2	346	0.9143291115760803	0.14184591	Yes	
row_3	FDPS	farnesyl diphosphate synthase (farnesyl pyrophosphate synthetase, dimethylallyltranstransferase, geranyltranstransferase)	459	0.8524973392486572	0.17810994	Yes	
row_4	LSS	lanosterol synthase (2,3-oxidosqualene-lanosterol cyclase)	693	0.7440686821937561	0.20140745	Yes	
row_5	FDFT1	farnesyl-diphosphate farnesyltransferase 1	824	0.6946921944618225	0.22856617	Yes	
row_6	NFYC	nuclear transcription factor Y, gamma	845	0.6897292137145996	0.26226825	Yes	
row_7	IDI1	isopentenyl-diphosphate delta isomerase 1	867	0.6830364465713501	0.2955695	Yes	
row_8	GPAM	glycerol-3-phosphate acyltransferase, mitochondrial	1040	0.633725643157959	0.3170457	Yes	
row_9	SQLE	squalene epoxidase	1273	0.5780948996543884	0.33199775	Yes	
row_10	MVD	mevalonate (diphospho) decarboxylase	1300	0.5726819634437561	0.3594003	Yes	
row_11	HMGCS1	3-hydroxy-3-methylglutaryl-Coenzyme A synthase 1 (soluble)	1305	0.5709208250045776	0.38807258	Yes	
row_12	INSIG1	insulin induced gene 1	1308	0.5701708793640137	0.41683042	Yes	
row_13	NFYA	nuclear transcription factor Y, alpha	1489	0.5316014885902405	0.43263945	Yes	
row_14	TBL1X	transducin (beta)-like 1X-linked	1603	0.5079867243766785	0.4513909	Yes	
row_15	SAR1B	SAR1 gene homolog B (S. cerevisiae)	1626	0.504737377166748	0.47559887	Yes	
row_16	ACACB	acetyl-Coenzyme A carboxylase beta	2133	0.4639711380004883	0.46784502	No	
row_17	MBTPS1	membrane-bound transcription factor peptidase, site 1	2811	0.3643662929534912	0.4444831	No	
row_18	SEC23A	Sec23 homolog A (S. cerevisiae)	2812	0.3642289340496063	0.4629327	No	
row_19	ELOVL6	ELOVL family member 6, elongation of long chain fatty acids (FEN1/Elo2, SUR4/Elo3-like, yeast)	3936	0.24729464948177338	0.40609106	No	
row_20	FASN	fatty acid synthase	4050	0.23894807696342468	0.41121465	No	
row_21	NFYB	nuclear transcription factor Y, beta	4150	0.23050318658351898	0.4167753	No	
row_22	ACACA	acetyl-Coenzyme A carboxylase alpha	4336	0.2166752964258194	0.4163232	No	
row_23	PPARA	peroxisome proliferative activated receptor, alpha	4525	0.19996310770511627	0.4148393	No	
row_24	PMVK	phosphomevalonate kinase	4776	0.1768389642238617	0.4083543	No	
row_25	SREBF2	sterol regulatory element binding transcription factor 2	5071	0.15207096934318542	0.3978968	No	
row_26	MBTPS2	membrane-bound transcription factor peptidase, site 2	5167	0.1403256207704544	0.39913666	No	
row_27	CHD9	chromodomain helicase DNA binding protein 9	5413	0.11991685628890991	0.3900772	No	
row_28	TBL1XR1	transducin (beta)-like 1X-linked receptor 1	5565	0.10849612206220627	0.3862456	No	
row_29	CARM1	coactivator-associated arginine methyltransferase 1	5894	0.08470311760902405	0.3702755	No	
row_30	RXRA	retinoid X receptor, alpha	6077	0.06989225745201111	0.3625736	No	
row_31	SEC24D	SEC24 related gene family, member D (S. cerevisiae)	6269	0.05539269372820854	0.35358134	No	
row_32	SMARCD3	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 3	6392	0.04601512476801872	0.34837618	No	
row_33	INSIG2	insulin induced gene 2	6557	0.034587111324071884	0.33999783	No	
row_34	SEC24A	SEC24 related gene family, member A (S. cerevisiae)	7170	0.001629622420296073	0.3022769	No	
row_35	SCAP	-	10041	-0.027566784992814064	0.12639241	No	
row_36	DHCR7	7-dehydrocholesterol reductase	10610	-0.06814708560705185	0.09475877	No	
row_37	SEC24C	SEC24 related gene family, member C (S. cerevisiae)	10745	-0.07981718331575394	0.0905246	No	
row_38	RAN	RAN, member RAS oncogene family	10781	-0.08312058448791504	0.09257302	No	
row_39	NCOA1	nuclear receptor coactivator 1	10884	-0.09165199846029282	0.09091498	No	
row_40	SP1	Sp1 transcription factor	11084	-0.10799834132194519	0.08409321	No	
row_41	SCD	stearoyl-CoA desaturase (delta-9-desaturase)	11135	-0.11347819864749908	0.08675281	No	
row_42	GGPS1	geranylgeranyl diphosphate synthase 1	12325	-0.22618551552295685	0.024765056	No	
row_43	SREBF1	sterol regulatory element binding transcription factor 1	12786	-0.27547141909599304	0.010304402	No	
row_44	SEC24B	SEC24 related gene family, member B (S. cerevisiae)	13067	-0.30894291400909424	0.008657871	No	
row_45	NCOA6	nuclear receptor coactivator 6	13791	-0.40925800800323486	-0.0152715705	No	
row_46	CREBBP	CREB binding protein (Rubinstein-Taybi syndrome)	14125	-0.46714115142822266	-0.012178571	No	
row_47	MVK	mevalonate kinase (mevalonic aciduria)	14435	-0.499985933303833	-0.0059393677	No	
row_48	KPNB1	karyopherin (importin) beta 1	15038	-0.634635865688324	-0.010978331	No	
row_49	MTF1	metal-regulatory transcription factor 1	15463	-0.8104208111763	0.0038820223	No	
row_50	NCOA2	nuclear receptor coactivator 2	15592	-0.8684393763542175	0.039965264	No	
