NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PTPN11	protein tyrosine phosphatase, non-receptor type 11 (Noonan syndrome 1)	389	0.8826743364334106	0.04399101	No	
row_1	PTPN1	protein tyrosine phosphatase, non-receptor type 1	3310	0.3082939088344574	-0.11222882	No	
row_2	SUMO1	SMT3 suppressor of mif two 3 homolog 1 (S. cerevisiae)	4461	0.20568455755710602	-0.16726527	No	
row_3	JAK1	Janus kinase 1 (a protein tyrosine kinase)	5037	0.15584903955459595	-0.19070202	No	
row_4	PTPN6	protein tyrosine phosphatase, non-receptor type 6	10935	-0.09642089158296585	-0.5467068	No	
row_5	IFNG	interferon, gamma	11927	-0.18626633286476135	-0.59343934	No	
row_6	IFNGR1	interferon gamma receptor 1	12180	-0.2114797830581665	-0.5926863	No	
row_7	IFNGR2	interferon gamma receptor 2 (interferon gamma transducer 1)	12881	-0.28504931926727295	-0.6138784	No	
row_8	PTPN2	protein tyrosine phosphatase, non-receptor type 2	14662	-0.5331538319587708	-0.6825267	Yes	
row_9	PIAS1	protein inhibitor of activated STAT, 1	14911	-0.5938755869865417	-0.6520831	Yes	
row_10	SOCS3	suppressor of cytokine signaling 3	15669	-0.9392893314361572	-0.62641245	Yes	
row_11	JAK2	Janus kinase 2 (a protein tyrosine kinase)	16053	-1.8425719738006592	-0.5081407	Yes	
row_12	SOCS1	suppressor of cytokine signaling 1	16143	-2.593221426010132	-0.31395072	Yes	
row_13	STAT1	signal transducer and activator of transcription 1, 91kDa	16215	-4.15338134765625	0.0014790543	Yes	
