NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RASA4	RAS p21 protein activator 4	514	0.8241263031959534	-0.0054414137	No	
row_1	PSMD2	proteasome (prosome, macropain) 26S subunit, non-ATPase, 2	711	0.7384899854660034	0.0060405214	No	
row_2	RASA1	RAS p21 protein activator (GTPase activating protein) 1	1086	0.6212278008460999	0.002770556	No	
row_3	SPRED3	sprouty-related, EVH1 domain containing 3	1353	0.5603064894676208	0.004230741	No	
row_4	UBA52	ubiquitin A-52 residue ribosomal protein fusion product 1	1969	0.48806944489479065	-0.018194009	No	
row_5	RASA3	RAS p21 protein activator 3	1977	0.48697012662887573	-0.003065016	No	
row_6	KRAS	v-Ki-ras2 Kirsten rat sarcoma viral oncogene homolog	1980	0.48683157563209534	0.012368669	No	
row_7	RASAL2	RAS protein activator like 2	2486	0.4147012233734131	-0.00560004	No	
row_8	NRAS	neuroblastoma RAS viral (v-ras) oncogene homolog	2790	0.36793023347854614	-0.012574967	No	
row_9	PSMC5	proteasome (prosome, macropain) 26S subunit, ATPase, 5	3127	0.3287934362888336	-0.022840746	No	
row_10	PSMC1	proteasome (prosome, macropain) 26S subunit, ATPase, 1	3697	0.2671772539615631	-0.049480494	No	
row_11	PSMD9	proteasome (prosome, macropain) 26S subunit, non-ATPase, 9	3732	0.26308473944664	-0.04317529	No	
row_12	PSMD6	proteasome (prosome, macropain) 26S subunit, non-ATPase, 6	3986	0.2433943897485733	-0.05103873	No	
row_13	RPS27A	ribosomal protein S27a	4134	0.23172627389431	-0.05272172	No	
row_14	PSME1	proteasome (prosome, macropain) activator subunit 1 (PA28 alpha)	4391	0.21239113807678223	-0.06176138	No	
row_15	PSMC2	proteasome (prosome, macropain) 26S subunit, ATPase, 2	4826	0.17282982170581818	-0.08306991	No	
row_16	PSMA7	proteasome (prosome, macropain) subunit, alpha type, 7	5238	0.1344207525253296	-0.104183905	No	
row_17	PSMD10	proteasome (prosome, macropain) 26S subunit, non-ATPase, 10	5332	0.12717726826667786	-0.105869405	No	
row_18	PSMA5	proteasome (prosome, macropain) subunit, alpha type, 5	5659	0.10155092924833298	-0.12277877	No	
row_19	KBTBD7	kelch repeat and BTB (POZ) domain containing 7	5878	0.08582000434398651	-0.13351387	No	
row_20	PSMD4	proteasome (prosome, macropain) 26S subunit, non-ATPase, 4	6348	0.04930852726101875	-0.16093352	No	
row_21	PSME3	proteasome (prosome, macropain) activator subunit 3 (PA28 gamma; Ki)	6661	0.028744397684931755	-0.17930399	No	
row_22	PSMD8	proteasome (prosome, macropain) 26S subunit, non-ATPase, 8	6710	0.02550405077636242	-0.1814565	No	
row_23	PSMD7	proteasome (prosome, macropain) 26S subunit, non-ATPase, 7 (Mov34 homolog)	6854	0.01780025102198124	-0.18972848	No	
row_24	PSMB6	proteasome (prosome, macropain) subunit, beta type, 6	7048	0.008250405080616474	-0.20139682	No	
row_25	PSMA8	proteasome (prosome, macropain) subunit, alpha type, 8	9584	-0.00682253809645772	-0.35790214	No	
row_26	PSMB1	proteasome (prosome, macropain) subunit, beta type, 1	9745	-0.013880454003810883	-0.3673504	No	
row_27	PSMD1	proteasome (prosome, macropain) 26S subunit, non-ATPase, 1	10102	-0.030202826485037804	-0.3883945	No	
