NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NUBPL	nucleotide binding protein-like	448	0.8548577427864075	0.0100484975	Yes	
row_1	COX7A2L	cytochrome c oxidase subunit VIIa polypeptide 2 like	870	0.6823275685310364	0.014143937	Yes	
row_2	ETFDH	electron-transferring-flavoprotein dehydrogenase	1219	0.5910305976867676	0.018723104	Yes	
row_3	SDHC	succinate dehydrogenase complex, subunit C, integral membrane protein, 15kDa	1487	0.5321829915046692	0.025715083	Yes	
row_4	COX7C	cytochrome c oxidase subunit VIIc	1531	0.5240294337272644	0.046210714	Yes	
row_5	LRPPRC	leucine-rich PPR-motif containing	1968	0.4880762994289398	0.040793743	Yes	
row_6	COX11	COX11 homolog, cytochrome c oxidase assembly protein (yeast)	2022	0.47992807626724243	0.058721595	Yes	
row_7	NDUFB8	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 8, 19kDa	2318	0.43792280554771423	0.05981519	Yes	
row_8	NDUFB5	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 5, 16kDa	2385	0.42801254987716675	0.074644275	Yes	
row_9	NDUFC2	NADH dehydrogenase (ubiquinone) 1, subcomplex unknown, 2, 14.5kDa	2409	0.4241647720336914	0.091964714	Yes	
row_10	SURF1	surfeit 1	2502	0.412040114402771	0.10447876	Yes	
row_11	NDUFA13	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 13	2532	0.40810930728912354	0.120718345	Yes	
row_12	NDUFA4	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 4, 9kDa	2696	0.3833141624927521	0.1275686	Yes	
row_13	NDUFA8	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 8, 19kDa	2763	0.3725873827934265	0.13994844	Yes	
row_14	COX6C	cytochrome c oxidase subunit VIc	2764	0.37258028984069824	0.15641287	Yes	
row_15	NDUFA11	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 11, 14.7kDa	2768	0.37211787700653076	0.17267118	Yes	
row_16	ETFB	electron-transfer-flavoprotein, beta polypeptide	2830	0.3628537654876709	0.18493035	Yes	
row_17	NDUFA3	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 3, 9kDa	2859	0.35806629061698914	0.19902042	Yes	
row_18	CYCS	cytochrome c, somatic	2888	0.3538222908973694	0.21292293	Yes	
row_19	UQCRB	ubiquinol-cytochrome c reductase binding protein	3108	0.33114293217658997	0.21400174	Yes	
row_20	NDUFA6	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 6, 14kDa	3171	0.32337915897369385	0.22445461	Yes	
row_21	ECSIT	ECSIT homolog (Drosophila)	3323	0.3069280683994293	0.22867206	Yes	
row_22	NDUFS8	NADH dehydrogenase (ubiquinone) Fe-S protein 8, 23kDa (NADH-coenzyme Q reductase)	3359	0.3029843270778656	0.23989478	Yes	
row_23	NDUFB1	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 1, 7kDa	3378	0.30098673701286316	0.25208142	Yes	
row_24	COX6A1	cytochrome c oxidase subunit VIa polypeptide 1	3492	0.2898426055908203	0.25789577	Yes	
row_25	COX18	COX18 cytochrome c oxidase assembly homolog (S. cerevisiae)	3500	0.2887415885925293	0.2702221	Yes	
row_26	COQ10A	coenzyme Q10 homolog A (S. cerevisiae)	3560	0.2822326719760895	0.27904236	Yes	
row_27	UQCRQ	ubiquinol-cytochrome c reductase, complex III subunit VII, 9.5kDa	3708	0.2652604579925537	0.2816661	Yes	
row_28	NDUFA7	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 7, 14.5kDa	3757	0.26136502623558044	0.29024503	Yes	
row_29	NDUFA12	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 12	3792	0.2586688995361328	0.29957134	Yes	
row_30	NDUFB7	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 7, 18kDa	3878	0.2522156536579132	0.30545595	Yes	
row_31	NDUFS7	NADH dehydrogenase (ubiquinone) Fe-S protein 7, 20kDa (NADH-coenzyme Q reductase)	4135	0.23162999749183655	0.29984722	Yes	
row_32	COX7B	cytochrome c oxidase subunit VIIb	4186	0.2280329465866089	0.30682942	Yes	
row_33	UQCRH	ubiquinol-cytochrome c reductase hinge protein	4224	0.22516535222530365	0.3144895	Yes	
row_34	NDUFB6	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 6, 17kDa	4293	0.22014516592025757	0.3200091	Yes	
row_35	UQCRC1	ubiquinol-cytochrome c reductase core protein I	4303	0.21931664645671844	0.32914373	Yes	
row_36	NDUFAB1	NADH dehydrogenase (ubiquinone) 1, alpha/beta subcomplex, 1, 8kDa	4423	0.20952409505844116	0.33103743	Yes	
