NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LRP1	low density lipoprotein-related protein 1 (alpha-2-macroglobulin receptor)	5040	0.15546652674674988	-0.2790239	No	
row_1	HPR	haptoglobin-related protein	5350	0.125971719622612	-0.27250028	No	
row_2	HPX	hemopexin	5481	0.11464214324951172	-0.2572456	No	
row_3	APOA1	apolipoprotein A-I	6105	0.06750495731830597	-0.28193656	No	
row_4	HBA2	hemoglobin, alpha 2	6208	0.05943433195352554	-0.27616036	No	
row_5	HBA1	hemoglobin, alpha 1	6209	0.0594339556992054	-0.2640988	No	
row_6	AMBP	alpha-1-microglobulin/bikunin precursor	6733	0.024184957146644592	-0.29141894	No	
row_7	HBB	hemoglobin, beta	7272	3.544774699548725E-6	-0.3245708	No	
row_8	ALB	albumin	9209	0.0	-0.44387078	No	
row_9	HP	haptoglobin	15369	-0.7719874978065491	-0.6667325	Yes	
row_10	CD163	CD163 molecule	15741	-1.027635931968689	-0.4810453	Yes	
row_11	APOL1	apolipoprotein L, 1	16137	-2.5212883949279785	0.0062854714	Yes	
