NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	APH1B	anterior pharynx defective 1 homolog B (C. elegans)	246	0.999388575553894	0.012592673	No	
row_1	PSMD2	proteasome (prosome, macropain) 26S subunit, non-ATPase, 2	711	0.7384899854660034	0.0044381176	No	
row_2	SMAD3	SMAD, mothers against DPP homolog 3 (Drosophila)	1317	0.568698525428772	-0.017164601	No	
row_3	PSENEN	presenilin enhancer 2 homolog (C. elegans)	1707	0.5000136494636536	-0.0273157	No	
row_4	UBA52	ubiquitin A-52 residue ribosomal protein fusion product 1	1969	0.48806944489479065	-0.029880358	No	
row_5	ACTA2	actin, alpha 2, smooth muscle, aorta	2748	0.37508463859558105	-0.06757389	No	
row_6	PSMC5	proteasome (prosome, macropain) 26S subunit, ATPase, 5	3127	0.3287934362888336	-0.081809305	No	
row_7	PSMC1	proteasome (prosome, macropain) 26S subunit, ATPase, 1	3697	0.2671772539615631	-0.10957579	No	
row_8	PSMD9	proteasome (prosome, macropain) 26S subunit, non-ATPase, 9	3732	0.26308473944664	-0.10435793	No	
row_9	PSMD6	proteasome (prosome, macropain) 26S subunit, non-ATPase, 6	3986	0.2433943897485733	-0.11323664	No	
row_10	RPS27A	ribosomal protein S27a	4134	0.23172627389431	-0.11588229	No	
row_11	DLL4	delta-like 4 (Drosophila)	4346	0.21593889594078064	-0.12292669	No	
row_12	PSME1	proteasome (prosome, macropain) activator subunit 1 (PA28 alpha)	4391	0.21239113807678223	-0.11973822	No	
row_13	PSMC2	proteasome (prosome, macropain) 26S subunit, ATPase, 2	4826	0.17282982170581818	-0.14177838	No	
row_14	FLT4	fms-related tyrosine kinase 4	4962	0.16210664808750153	-0.14561906	No	
row_15	PSMA7	proteasome (prosome, macropain) subunit, alpha type, 7	5238	0.1344207525253296	-0.15889142	No	
row_16	PSMD10	proteasome (prosome, macropain) 26S subunit, non-ATPase, 10	5332	0.12717726826667786	-0.16110577	No	
row_17	PSMA5	proteasome (prosome, macropain) subunit, alpha type, 5	5659	0.10155092924833298	-0.17844802	No	
row_18	TACC3	transforming, acidic coiled-coil containing protein 3	5895	0.08469545096158981	-0.19062953	No	
row_19	HEY1	hairy/enhancer-of-split related with YRPW motif 1	6054	0.07139883935451508	-0.19841741	No	
row_20	PSMD4	proteasome (prosome, macropain) 26S subunit, non-ATPase, 4	6348	0.04930852726101875	-0.21517192	No	
row_21	PSME3	proteasome (prosome, macropain) activator subunit 3 (PA28 gamma; Ki)	6661	0.028744397684931755	-0.23367415	No	
row_22	PSMD8	proteasome (prosome, macropain) 26S subunit, non-ATPase, 8	6710	0.02550405077636242	-0.23593396	No	
row_23	PSMD7	proteasome (prosome, macropain) 26S subunit, non-ATPase, 7 (Mov34 homolog)	6854	0.01780025102198124	-0.24428543	No	
row_24	PSMB6	proteasome (prosome, macropain) subunit, beta type, 6	7048	0.008250405080616474	-0.25599593	No	
row_25	PSMB1	proteasome (prosome, macropain) subunit, beta type, 1	9745	-0.013880454003810883	-0.42240006	No	
row_26	YWHAZ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polypeptide	9782	-0.01556085143238306	-0.4241942	No	
row_27	PSMD1	proteasome (prosome, macropain) 26S subunit, non-ATPase, 1	10102	-0.030202826485037804	-0.44308892	No	
row_28	NCSTN	nicastrin	10343	-0.04748718440532684	-0.4566152	No	
row_29	PSMD13	proteasome (prosome, macropain) 26S subunit, non-ATPase, 13	10422	-0.053178925067186356	-0.45996085	No	
row_30	PSMB5	proteasome (prosome, macropain) subunit, beta type, 5	10473	-0.05793004855513573	-0.46144202	No	
row_31	NOTCH1	Notch homolog 1, translocation-associated (Drosophila)	10684	-0.07359664142131805	-0.47238576	No	
row_32	PSMB4	proteasome (prosome, macropain) subunit, beta type, 4	10839	-0.08825931698083878	-0.47945696	No	
