NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RPL9	ribosomal protein L9	39	1.5361515283584595	0.034910116	Yes	
row_1	RPS3A	ribosomal protein S3A	243	1.0022635459899902	0.046680227	Yes	
row_2	RPL4	ribosomal protein L4	245	1.000382661819458	0.0709271	Yes	
row_3	RPL6	ribosomal protein L6	258	0.9935503602027893	0.094326034	Yes	
row_4	RPL3	ribosomal protein L3	271	0.9794660210609436	0.11738273	Yes	
row_5	RPL5	ribosomal protein L5	331	0.9277858734130859	0.13626997	Yes	
row_6	RPS27	ribosomal protein S27 (metallopanstimulin 1)	531	0.8146605491638184	0.14372937	Yes	
row_7	RPS4X	ribosomal protein S4, X-linked	540	0.8105456829071045	0.16292936	Yes	
row_8	RPS6	ribosomal protein S6	556	0.8007972836494446	0.18145849	Yes	
row_9	RPLP0	ribosomal protein, large, P0	638	0.7651219367980957	0.19502924	Yes	
row_10	RPL23	ribosomal protein L23	694	0.7438819408416748	0.20969567	Yes	
row_11	RPS23	ribosomal protein S23	783	0.7075502276420593	0.2214335	Yes	
row_12	RPLP1	ribosomal protein, large, P1	785	0.7074151039123535	0.23856139	Yes	
row_13	RPL22	ribosomal protein L22	823	0.695253312587738	0.25316203	Yes	
row_14	RPL10A	ribosomal protein L10a	1031	0.6357442736625671	0.2557779	Yes	
row_15	RPS8	ribosomal protein S8	1045	0.6313222050666809	0.27031285	Yes	
row_16	RPL36	ribosomal protein L36	1103	0.6178390979766846	0.28179252	Yes	
row_17	RPL7A	ribosomal protein L7a	1114	0.6166254281997681	0.29615632	Yes	
row_18	RPL26	ribosomal protein L26	1288	0.5752943754196167	0.29941103	Yes	
row_19	RPL27A	ribosomal protein L27a	1398	0.5509680509567261	0.30604213	Yes	
row_20	RPL14	ribosomal protein L14	1446	0.5392379760742188	0.31623176	Yes	
row_21	RPS7	ribosomal protein S7	1477	0.5339829921722412	0.32734755	Yes	
row_22	RPL37A	ribosomal protein L37a	1562	0.5173519253730774	0.3347116	Yes	
row_23	RPL24	ribosomal protein L24	1574	0.5137394070625305	0.34651333	Yes	
row_24	RPL30	ribosomal protein L30	1608	0.5074865818023682	0.35679927	Yes	
row_25	RPL35A	ribosomal protein L35a	1658	0.502102792263031	0.36596254	Yes	
row_26	RPL10L	ribosomal protein L10-like	1670	0.5006934404373169	0.37744725	Yes	
row_27	RPL41	ribosomal protein L41	1720	0.5	0.3865594	Yes	
row_28	RPL13A	ribosomal protein L13a	1740	0.4999961256980896	0.39753124	Yes	
row_29	RPL10	ribosomal protein L10	1836	0.4998035132884979	0.403787	Yes	
row_30	RPS25	ribosomal protein S25	1908	0.4953848123550415	0.41142315	Yes	
row_31	RPS13	ribosomal protein S13	1927	0.4936053454875946	0.42230168	Yes	
row_32	UBA52	ubiquitin A-52 residue ribosomal protein fusion product 1	1969	0.48806944489479065	0.43161988	Yes	
row_33	RPL38	ribosomal protein L38	1981	0.4868263304233551	0.44276762	Yes	
row_34	RPS20	ribosomal protein S20	1985	0.4861117899417877	0.45439395	Yes	
row_35	RPL23A	ribosomal protein L23a	2018	0.48025116324424744	0.4640801	Yes	
row_36	RPS3	ribosomal protein S3	2085	0.4701753854751587	0.47141364	Yes	
row_37	RPL7	ribosomal protein L7	2215	0.4538779556751251	0.47444567	Yes	
row_38	RPS21	ribosomal protein S21	2236	0.45031997561454773	0.48414838	Yes	
row_39	RPL36A	ribosomal protein L36a	2245	0.448848694562912	0.4945593	Yes	
row_40	RPL12	ribosomal protein L12	2400	0.42537349462509155	0.49534884	Yes	
row_41	RPS11	ribosomal protein S11	2405	0.424914687871933	0.5054261	Yes	
row_42	RPL18A	ribosomal protein L18a	2439	0.42073288559913635	0.513604	Yes	
row_43	RPLP2	ribosomal protein, large, P2	2474	0.4164752960205078	0.5216164	Yes	
row_44	RPS9	ribosomal protein S9	2713	0.3809557855129242	0.5161193	Yes	
row_45	RPS14	ribosomal protein S14	2782	0.36977317929267883	0.5208891	Yes	
row_46	RPS15A	ribosomal protein S15a	2897	0.3527907431125641	0.52239466	Yes	
row_47	RPL18	ribosomal protein L18	2912	0.3517703413963318	0.5300746	Yes	
row_48	RPS16	ribosomal protein S16	2921	0.3507094383239746	0.5381008	Yes	
row_49	RPL31	ribosomal protein L31	2998	0.34298932552337646	0.54172385	Yes	
row_50	RPS12	ribosomal protein S12	3083	0.333535373210907	0.5446212	Yes	
row_51	RPS18	ribosomal protein S18	3094	0.3324241042137146	0.5520791	Yes	
row_52	RPS26	ribosomal protein S26	3104	0.3315961956977844	0.5595788	Yes	
row_53	SSR2	signal sequence receptor, beta (translocon-associated protein beta)	3187	0.32183972001075745	0.562316	Yes	
row_54	RPL29	ribosomal protein L29	3224	0.31726759672164917	0.5677937	Yes	
row_55	RPL8	ribosomal protein L8	3265	0.3132043480873108	0.57292473	Yes	
row_56	RPL26L1	ribosomal protein L26-like 1	3380	0.3008856773376465	0.573169	Yes	
row_57	RPS2	ribosomal protein S2	3429	0.29581061005592346	0.57738143	Yes	
row_58	RPL27	ribosomal protein L27	3451	0.293727844953537	0.5832171	Yes	
row_59	SSR1	signal sequence receptor, alpha (translocon-associated protein alpha)	3593	0.278592050075531	0.5812458	Yes	
row_60	RPS5	ribosomal protein S5	3819	0.2567075192928314	0.5735354	Yes	
row_61	SRP9	signal recognition particle 9kDa	3840	0.25548669695854187	0.5785037	Yes	
row_62	RPS27L	ribosomal protein S27-like	3849	0.2542915344238281	0.584187	Yes	
row_63	RPL19	ribosomal protein L19	3896	0.2506605088710785	0.58742625	Yes	
row_64	RPS27A	ribosomal protein S27a	4134	0.23172627389431	0.5783649	No	
row_65	SPCS2	signal peptidase complex subunit 2 homolog (S. cerevisiae)	4291	0.22038134932518005	0.57404923	No	
row_66	SRPRB	signal recognition particle receptor, B subunit	4649	0.18770959973335266	0.5564792	No	
row_67	SSR3	signal sequence receptor, gamma (translocon-associated protein gamma)	4839	0.17149411141872406	0.54892987	No	
row_68	RPS19	ribosomal protein S19	4912	0.16532190144062042	0.54848367	No	
row_69	RPS15	ribosomal protein S15	4986	0.15971440076828003	0.5478392	No	
row_70	FAU	Finkel-Biskis-Reilly murine sarcoma virus (FBR-MuSV) ubiquitously expressed (fox derived); ribosomal protein S30	5050	0.15407945215702057	0.54767776	No	
row_71	RPSA	ribosomal protein SA	5235	0.13464482128620148	0.539543	No	
row_72	RPL28	ribosomal protein L28	5254	0.13348470628261566	0.54167074	No	
row_73	SPCS1	signal peptidase complex subunit 1 homolog (S. cerevisiae)	5258	0.1330241858959198	0.5447172	No	
