NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	AKR1C4	aldo-keto reductase family 1, member C4 (chlordecone reductase; 3-alpha hydroxysteroid dehydrogenase, type I; dihydrodiol dehydrogenase 4)	372	0.8921679258346558	0.042294573	Yes	
row_1	CYP7A1	cytochrome P450, family 7, subfamily A, polypeptide 1	406	0.8715651631355286	0.10400053	Yes	
row_2	AKR1D1	aldo-keto reductase family 1, member D1 (delta 4-3-ketosteroid-5-beta-reductase)	639	0.764853298664093	0.14562267	Yes	
row_3	SCP2	sterol carrier protein 2	840	0.69069504737854	0.1837958	Yes	
row_4	BAAT	bile acid Coenzyme A: amino acid N-acyltransferase (glycine N-choloyltransferase)	976	0.6497333645820618	0.22298405	Yes	
row_5	OSBPL1A	oxysterol binding protein-like 1A	1121	0.6159247159957886	0.25914434	Yes	
row_6	ABCB11	ATP-binding cassette, sub-family B (MDR/TAP), member 11	1207	0.592311680316925	0.2972183	Yes	
row_7	AKR1C3	aldo-keto reductase family 1, member C3 (3-alpha hydroxysteroid dehydrogenase, type II)	1331	0.5655260682106018	0.33098847	Yes	
row_8	SLC27A5	solute carrier family 27 (fatty acid transporter), member 5	1925	0.49372196197509766	0.3305056	Yes	
row_9	OSBPL2	oxysterol binding protein-like 2	1933	0.4931328594684601	0.3661391	Yes	
row_10	CYP8B1	cytochrome P450, family 8, subfamily B, polypeptide 1	2467	0.4172992706298828	0.3637694	Yes	
row_11	CYP39A1	cytochrome P450, family 39, subfamily A, polypeptide 1	2529	0.408863365650177	0.38990775	Yes	
row_12	CYP7B1	cytochrome P450, family 7, subfamily B, polypeptide 1	2708	0.38198336958885193	0.40686065	Yes	
row_13	HSD17B4	hydroxysteroid (17-beta) dehydrogenase 4	2710	0.3814935088157654	0.43469962	Yes	
row_14	CYP46A1	cytochrome P450, family 46, subfamily A, polypeptide 1	3681	0.2683316469192505	0.39446977	No	
row_15	ACOT8	acyl-CoA thioesterase 8	4220	0.22543030977249146	0.37775913	No	
row_16	ACOX2	acyl-Coenzyme A oxidase 2, branched chain	4615	0.1901681274175644	0.36735514	No	
row_17	OSBPL7	oxysterol binding protein-like 7	4948	0.16313786804676056	0.35880005	No	
row_18	AKR1C1	aldo-keto reductase family 1, member C1 (dihydrodiol dehydrogenase 1; 20-alpha (3-alpha)-hydroxysteroid dehydrogenase)	4958	0.16227474808692932	0.37011275	No	
row_19	PTGIS	prostaglandin I2 (prostacyclin) synthase	5655	0.10176952928304672	0.3346086	No	
row_20	RXRA	retinoid X receptor, alpha	6077	0.06989225745201111	0.3137422	No	
row_21	AKR1C2	aldo-keto reductase family 1, member C2 (dihydrodiol dehydrogenase 2; bile acid binding protein; 3-alpha hydroxysteroid dehydrogenase, type III)	6417	0.04442852362990379	0.29607332	No	
row_22	CYP27A1	cytochrome P450, family 27, subfamily A, polypeptide 1	6610	0.03179985284805298	0.28655154	No	
row_23	OSBP	oxysterol binding protein	10442	-0.05529670789837837	0.054201756	No	
row_24	NCOA1	nuclear receptor coactivator 1	10884	-0.09165199846029282	0.033692617	No	
row_25	OSBPL3	oxysterol binding protein-like 3	11623	-0.15727810561656952	-3.434813E-4	No	
row_26	CH25H	cholesterol 25-hydroxylase	12156	-0.2088920772075653	-0.01789343	No	
row_27	NR1H4	nuclear receptor subfamily 1, group H, member 4	12981	-0.2981492578983307	-0.04693354	No	
row_28	SLC27A2	solute carrier family 27 (fatty acid transporter), member 2	13497	-0.36397871375083923	-0.052092176	No	
row_29	HSD3B7	hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 7	13781	-0.4074195623397827	-0.039758064	No	
row_30	OSBPL6	oxysterol binding protein-like 6	13887	-0.42263537645339966	-0.015327552	No	
row_31	AMACR	alpha-methylacyl-CoA racemase	14492	-0.5000019073486328	-0.016029878	No	
row_32	OSBPL9	oxysterol binding protein-like 9	15487	-0.8230270743370056	-0.017172799	No	
row_33	NCOA2	nuclear receptor coactivator 2	15592	-0.8684393763542175	0.039923463	No	
