NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PDK3	pyruvate dehydrogenase kinase, isozyme 3	24	1.683024525642395	0.04082708	Yes	
row_1	PPARD	peroxisome proliferative activated receptor, delta	236	1.0137914419174194	0.05321896	Yes	
row_2	NUBPL	nucleotide binding protein-like	448	0.8548577427864075	0.06161471	Yes	
row_3	PDK4	pyruvate dehydrogenase kinase, isozyme 4	631	0.7680419683456421	0.06962785	Yes	
row_4	L2HGDH	L-2-hydroxyglutarate dehydrogenase	798	0.7031156420707703	0.07700176	Yes	
row_5	COX7A2L	cytochrome c oxidase subunit VIIa polypeptide 2 like	870	0.6823275685310364	0.08975031	Yes	
row_6	LDHB	lactate dehydrogenase B	985	0.64765465259552	0.098957755	Yes	
row_7	ADHFE1	alcohol dehydrogenase, iron containing, 1	1198	0.5935632586479187	0.1007216	Yes	
row_8	ETFDH	electron-transferring-flavoprotein dehydrogenase	1219	0.5910305976867676	0.114340566	Yes	
row_9	LDHC	lactate dehydrogenase C	1230	0.5889896750450134	0.12852898	Yes	
row_10	ACO2	aconitase 2, mitochondrial	1256	0.5816937685012817	0.14160281	Yes	
row_11	SDHC	succinate dehydrogenase complex, subunit C, integral membrane protein, 15kDa	1487	0.5321829915046692	0.14070596	Yes	
row_12	GLO1	glyoxalase I	1516	0.5262476801872253	0.15219945	Yes	
row_13	COX7C	cytochrome c oxidase subunit VIIc	1531	0.5240294337272644	0.16450624	Yes	
row_14	LRPPRC	leucine-rich PPR-motif containing	1968	0.4880762994289398	0.14971252	Yes	
row_15	LDHA	lactate dehydrogenase A	2001	0.4838203489780426	0.15989093	Yes	
row_16	COX11	COX11 homolog, cytochrome c oxidase assembly protein (yeast)	2022	0.47992807626724243	0.1707164	Yes	
row_17	PDK2	pyruvate dehydrogenase kinase, isozyme 2	2119	0.46582573652267456	0.17646945	Yes	
row_18	PDHA1	pyruvate dehydrogenase (lipoamide) alpha 1	2153	0.4618176817893982	0.18603255	Yes	
row_19	NDUFB8	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 8, 19kDa	2318	0.43792280554771423	0.18686277	Yes	
row_20	NDUFB5	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 5, 16kDa	2385	0.42801254987716675	0.19352737	Yes	
row_21	NDUFC2	NADH dehydrogenase (ubiquinone) 1, subcomplex unknown, 2, 14.5kDa	2409	0.4241647720336914	0.20276453	Yes	
row_22	HAGH	hydroxyacylglutathione hydrolase	2431	0.4225160479545593	0.2120844	Yes	
row_23	SURF1	surfeit 1	2502	0.412040114402771	0.21809909	Yes	
row_24	NDUFA13	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 13	2532	0.40810930728912354	0.2265601	Yes	
row_25	NDUFA4	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 4, 9kDa	2696	0.3833141624927521	0.22607934	Yes	
row_26	NDUFA8	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 8, 19kDa	2763	0.3725873827934265	0.23135036	Yes	
row_27	COX6C	cytochrome c oxidase subunit VIc	2764	0.37258028984069824	0.24071829	Yes	
