NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GSK3B	glycogen synthase kinase 3 beta	1	2.7414815425872803	0.048333663	No	
row_1	GLI3	GLI-Kruppel family member GLI3 (Greig cephalopolysyndactyly syndrome)	61	1.4626374244689941	0.07049508	No	
row_2	PPARGC1B	peroxisome proliferative activated receptor, gamma, coactivator 1, beta	348	0.9092352986335754	0.068810575	No	
row_3	PSMD2	proteasome (prosome, macropain) 26S subunit, non-ATPase, 2	711	0.7384899854660034	0.059398998	No	
row_4	AR	androgen receptor (dihydrotestosterone receptor; testicular feminization; spinal and bulbar muscular atrophy; Kennedy disease)	813	0.6993756890296936	0.065481976	No	
row_5	SATB2	SATB family member 2	969	0.651218056678772	0.06736619	No	
row_6	LGALS3	lectin, galactoside-binding, soluble, 3 (galectin 3)	970	0.6509317755699158	0.07885716	No	
row_7	HIVEP3	human immunodeficiency virus type I enhancer binding protein 3	1057	0.627693772315979	0.084604904	No	
row_8	MAPK3	mitogen-activated protein kinase 3	1456	0.5379591584205627	0.06942092	No	
row_9	WWTR1	WW domain containing transcription regulator 1	1775	0.499980092048645	0.058527417	No	
row_10	UBA52	ubiquitin A-52 residue ribosomal protein fusion product 1	1969	0.48806944489479065	0.05517511	No	
row_11	IHH	Indian hedgehog homolog (Drosophila)	2126	0.4650155007839203	0.053710263	No	
row_12	AKT3	v-akt murine thymoma viral oncogene homolog 3 (protein kinase B, gamma)	2398	0.42569679021835327	0.044419978	No	
row_13	WWP1	WW domain containing E3 ubiquitin protein ligase 1	2492	0.41360077261924744	0.04595423	No	
row_14	CDK4	cyclin-dependent kinase 4	2745	0.37574195861816406	0.03696031	No	
row_15	PSMC5	proteasome (prosome, macropain) 26S subunit, ATPase, 5	3127	0.3287934362888336	0.019138096	No	
row_16	HDAC3	histone deacetylase 3	3341	0.30491918325424194	0.011312385	No	
row_17	STUB1	STIP1 homology and U-box containing protein 1	3535	0.28511831164360046	0.00437736	No	
row_18	SMURF1	SMAD specific E3 ubiquitin protein ligase 1	3567	0.28123804926872253	0.007419725	No	
row_19	PSMC1	proteasome (prosome, macropain) 26S subunit, ATPase, 1	3697	0.2671772539615631	0.004136731	No	
row_20	PSMD9	proteasome (prosome, macropain) 26S subunit, non-ATPase, 9	3732	0.26308473944664	0.006672598	No	
