NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	USP30	ubiquitin specific peptidase 30	162	1.1357964277267456	0.004814327	No	
row_1	TGFBR1	transforming growth factor, beta receptor I (activin A receptor type II-like kinase, 53kDa)	217	1.0372716188430786	0.015049896	No	
row_2	PSMD2	proteasome (prosome, macropain) 26S subunit, non-ATPase, 2	711	0.7384899854660034	-0.0059135878	No	
row_3	AR	androgen receptor (dihydrotestosterone receptor; testicular feminization; spinal and bulbar muscular atrophy; Kennedy disease)	813	0.6993756890296936	-0.0030266421	No	
row_4	CDC20	CDC20 cell division cycle 20 homolog (S. cerevisiae)	891	0.6769030094146729	0.0010574464	No	
row_5	TAF9B	TAF9B RNA polymerase II, TATA box binding protein (TBP)-associated factor, 31kDa	973	0.6503996253013611	0.0045456514	No	
row_6	DDB2	damage-specific DNA binding protein 2, 48kDa	1079	0.6226865649223328	0.0061791143	No	
row_7	SMAD3	SMAD, mothers against DPP homolog 3 (Drosophila)	1317	0.568698525428772	-0.001098698	No	
row_8	WDR20	WD repeat domain 20	1325	0.567491888999939	0.0059022713	No	
row_9	AXIN2	axin 2 (conductin, axil)	1436	0.5431239604949951	0.006182449	No	
row_10	ARRB1	arrestin, beta 1	1868	0.4988989233970642	-0.014067147	No	
row_11	UBA52	ubiquitin A-52 residue ribosomal protein fusion product 1	1969	0.48806944489479065	-0.0138868615	No	
row_12	TOMM20	translocase of outer mitochondrial membrane 20 homolog (yeast)	2002	0.4834529161453247	-0.009540841	No	
row_13	RNF128	ring finger protein 128	2103	0.46824485063552856	-0.009620324	No	
row_14	TNKS	tankyrase, TRF1-interacting ankyrin-related ADP-ribose polymerase	2461	0.4183204770088196	-0.026326634	No	
row_15	USP4	ubiquitin specific peptidase 4 (proto-oncogene)	2640	0.39220482110977173	-0.032250226	No	
row_16	RHOT1	ras homolog gene family, member T1	2827	0.36316004395484924	-0.0390516	No	
row_17	PSMC5	proteasome (prosome, macropain) 26S subunit, ATPase, 5	3127	0.3287934362888336	-0.053326286	No	
row_18	RUVBL1	RuvB-like 1 (E. coli)	3414	0.2976231276988983	-0.06720145	No	
row_19	MDM4	Mdm4, transformed 3T3 cell double minute 4, p53 binding protein (mouse)	3483	0.290713906288147	-0.06761837	No	
row_20	PSMC1	proteasome (prosome, macropain) 26S subunit, ATPase, 1	3697	0.2671772539615631	-0.0773555	No	
row_21	PSMD9	proteasome (prosome, macropain) 26S subunit, non-ATPase, 9	3732	0.26308473944664	-0.07602133	No	
row_22	USP13	ubiquitin specific peptidase 13 (isopeptidase T-3)	3965	0.24503932893276215	-0.08722939	No	
