NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TGFBR1	transforming growth factor, beta receptor I (activin A receptor type II-like kinase, 53kDa)	217	1.0372716188430786	0.017294204	No	
row_1	PSMD2	proteasome (prosome, macropain) 26S subunit, non-ATPase, 2	711	0.7384899854660034	0.008663625	No	
row_2	ACTR5	ARP5 actin-related protein 5 homolog (yeast)	853	0.6869020462036133	0.020283349	No	
row_3	UBA52	ubiquitin A-52 residue ribosomal protein fusion product 1	1969	0.48806944489479065	-0.034246657	No	
row_4	PSMC5	proteasome (prosome, macropain) 26S subunit, ATPase, 5	3127	0.3287934362888336	-0.09609233	No	
row_5	RUVBL1	RuvB-like 1 (E. coli)	3414	0.2976231276988983	-0.10497263	No	
row_6	MCRS1	microspherule protein 1	3595	0.2784383296966553	-0.10786292	No	
row_7	UCHL5	ubiquitin carboxyl-terminal hydrolase L5	3672	0.269477903842926	-0.104584135	No	
row_8	PSMC1	proteasome (prosome, macropain) 26S subunit, ATPase, 1	3697	0.2671772539615631	-0.098156266	No	
row_9	PSMD9	proteasome (prosome, macropain) 26S subunit, non-ATPase, 9	3732	0.26308473944664	-0.09246829	No	
row_10	PSMD6	proteasome (prosome, macropain) 26S subunit, non-ATPase, 6	3986	0.2433943897485733	-0.100912936	No	
row_11	RPS27A	ribosomal protein S27a	4134	0.23172627389431	-0.10314496	No	
row_12	PSME1	proteasome (prosome, macropain) activator subunit 1 (PA28 alpha)	4391	0.21239113807678223	-0.11269341	No	
row_13	UCHL1	ubiquitin carboxyl-terminal esterase L1 (ubiquitin thiolesterase)	4453	0.20665408670902252	-0.110347174	No	
row_14	YY1	YY1 transcription factor	4584	0.193703755736351	-0.11265349	No	
row_15	PSMC2	proteasome (prosome, macropain) 26S subunit, ATPase, 2	4826	0.17282982170581818	-0.12244554	No	
row_16	PSMA7	proteasome (prosome, macropain) subunit, alpha type, 7	5238	0.1344207525253296	-0.14389297	No	
row_17	PSMD10	proteasome (prosome, macropain) 26S subunit, non-ATPase, 10	5332	0.12717726826667786	-0.14588036	No	
row_18	PSMA5	proteasome (prosome, macropain) subunit, alpha type, 5	5659	0.10155092924833298	-0.16304234	No	
row_19	PSMD4	proteasome (prosome, macropain) 26S subunit, non-ATPase, 4	6348	0.04930852726101875	-0.20414837	No	
row_20	PSME3	proteasome (prosome, macropain) activator subunit 3 (PA28 gamma; Ki)	6661	0.028744397684931755	-0.22260042	No	
row_21	PSMD8	proteasome (prosome, macropain) 26S subunit, non-ATPase, 8	6710	0.02550405077636242	-0.22481483	No	
row_22	NEDD8	neural precursor cell expressed, developmentally down-regulated 8	6713	0.025410788133740425	-0.224186	No	
row_23	PSMD7	proteasome (prosome, macropain) 26S subunit, non-ATPase, 7 (Mov34 homolog)	6854	0.01780025102198124	-0.23232059	No	
row_24	PSMB6	proteasome (prosome, macropain) subunit, beta type, 6	7048	0.008250405080616474	-0.2440171	No	
row_25	PSMA8	proteasome (prosome, macropain) subunit, alpha type, 8	9584	-0.00682253809645772	-0.40065473	No	
row_26	PSMB1	proteasome (prosome, macropain) subunit, beta type, 1	9745	-0.013880454003810883	-0.4101428	No	
row_27	ASXL1	additional sex combs like 1 (Drosophila)	9983	-0.02444578893482685	-0.42408192	No	
row_28	PSMD1	proteasome (prosome, macropain) 26S subunit, non-ATPase, 1	10102	-0.030202826485037804	-0.43048808	No	
row_29	SMAD7	SMAD, mothers against DPP homolog 7 (Drosophila)	10205	-0.03778255358338356	-0.4356798	No	
row_30	PSMD13	proteasome (prosome, macropain) 26S subunit, non-ATPase, 13	10422	-0.053178925067186356	-0.4474687	No	
row_31	PSMB5	proteasome (prosome, macropain) subunit, beta type, 5	10473	-0.05793004855513573	-0.44884652	No	
row_32	TFPT	TCF3 (E2A) fusion partner (in childhood Leukemia)	10512	-0.060634322464466095	-0.44940183	No	
row_33	PSME4	proteasome (prosome, macropain) activator subunit 4	10799	-0.08489450812339783	-0.46458232	No	
row_34	BAP1	BRCA1 associated protein-1 (ubiquitin carboxy-terminal hydrolase)	10823	-0.08679119497537613	-0.4634349	No	
row_35	PSMB4	proteasome (prosome, macropain) subunit, beta type, 4	10839	-0.08825931698083878	-0.46174905	No	
row_36	PSMC6	proteasome (prosome, macropain) 26S subunit, ATPase, 6	11010	-0.10210686922073364	-0.4692429	No	
row_37	SENP8	SUMO/sentrin specific peptidase family member 8	11359	-0.13464997708797455	-0.48678574	No	
row_38	ACTB	actin, beta	11418	-0.1408565193414688	-0.48620257	No	
row_39	BARD1	BRCA1 associated RING domain 1	11461	-0.1445183902978897	-0.48452103	No	
row_40	PSMC3	proteasome (prosome, macropain) 26S subunit, ATPase, 3	11528	-0.14907696843147278	-0.48418936	No	
row_41	PSMD3	proteasome (prosome, macropain) 26S subunit, non-ATPase, 3	11846	-0.17848387360572815	-0.49851605	No	
row_42	PSMD5	proteasome (prosome, macropain) 26S subunit, non-ATPase, 5	11911	-0.18458987772464752	-0.4970089	No	
row_43	PSMD14	proteasome (prosome, macropain) 26S subunit, non-ATPase, 14	11924	-0.18596462905406952	-0.49224377	No	
row_44	FOXK2	forkhead box K2	12200	-0.21359236538410187	-0.5029322	No	
row_45	ACTR8	ARP8 actin-related protein 8 homolog (yeast)	12289	-0.2233138084411621	-0.50176305	No	
