NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CNGA1	cyclic nucleotide gated channel alpha 1	100	1.2795337438583374	0.040396687	Yes	
row_1	PRKCQ	protein kinase C, theta	145	1.1738370656967163	0.08041275	Yes	
row_2	RDH12	retinol dehydrogenase 12 (all-trans/9-cis/11-cis)	307	0.9440045356750488	0.10481484	Yes	
row_3	AKR1C4	aldo-keto reductase family 1, member C4 (chlordecone reductase; 3-alpha hydroxysteroid dehydrogenase, type I; dihydrodiol dehydrogenase 4)	372	0.8921679258346558	0.13333644	Yes	
row_4	RDH5	retinol dehydrogenase 5 (11-cis/9-cis)	390	0.8814048171043396	0.16437672	Yes	
row_5	GUCA1B	guanylate cyclase activator 1B (retina)	522	0.8201029896736145	0.18612522	Yes	
row_6	ABCA4	ATP-binding cassette, sub-family A (ABC1), member 4	552	0.8044008612632751	0.21361856	Yes	
row_7	GUCY2D	guanylate cyclase 2D, membrane (retina-specific)	553	0.8034008145332336	0.24287137	Yes	
row_8	NMT2	N-myristoyltransferase 2	566	0.7955940961837769	0.27109683	Yes	
row_9	RDH10	retinol dehydrogenase 10 (all-trans)	610	0.779132068157196	0.29680312	Yes	
row_10	RDH16	retinol dehydrogenase 16 (all-trans)	660	0.7588115334510803	0.32139793	Yes	
row_11	GPC6	glypican 6	878	0.6797876358032227	0.33271167	Yes	
row_12	SDC2	syndecan 2 (heparan sulfate proteoglycan 1, cell surface-associated, fibroglycan)	1154	0.6064179539680481	0.33776212	Yes	
row_13	AKR1C3	aldo-keto reductase family 1, member C3 (3-alpha hydroxysteroid dehydrogenase, type II)	1331	0.5655260682106018	0.34745443	Yes	
row_14	GPC5	glypican 5	1536	0.5230094790458679	0.3538647	Yes	
row_15	CNGB1	cyclic nucleotide gated channel beta 1	1794	0.4999636113643646	0.35615373	Yes	
row_16	HSD17B6	hydroxysteroid (17-beta) dehydrogenase 6	2089	0.46989956498146057	0.35505673	Yes	
row_17	RGS9	regulator of G-protein signalling 9	2321	0.43750011920928955	0.3566815	Yes	
row_18	LRAT	lecithin retinol acyltransferase (phosphatidylcholine--retinol O-acyltransferase)	2427	0.4228096306324005	0.36557415	Yes	
row_19	FNTA	farnesyltransferase, CAAX box, alpha	2470	0.4167197644710541	0.3781465	Yes	
row_20	PDE6B	phosphodiesterase 6B, cGMP-specific, rod, beta (congenital stationary night blindness 3, autosomal dominant)	2579	0.4000084698200226	0.38602316	Yes	
row_21	RETSAT	retinol saturase (all-trans-retinol 13,14-reductase)	2742	0.37613993883132935	0.38968667	Yes	
row_22	TTR	transthyretin (prealbumin, amyloidosis type I)	2775	0.37106722593307495	0.40121603	Yes	
row_23	APOA4	apolipoprotein A-IV	2908	0.35222330689430237	0.40586653	Yes	
row_24	SLC24A1	solute carrier family 24 (sodium/potassium/calcium exchanger), member 1	2920	0.35074007511138916	0.4179562	Yes	
row_25	RDH11	retinol dehydrogenase 11 (all-trans/9-cis/11-cis)	3144	0.3267757296562195	0.41604477	Yes	
row_26	DHRS9	dehydrogenase/reductase (SDR family) member 9	3352	0.303789347410202	0.41428718	Yes	
row_27	LRP2	low density lipoprotein-related protein 2	3454	0.293290376663208	0.4187116	Yes	
row_28	APOC3	apolipoprotein C-III	3511	0.28789836168289185	0.4257264	Yes	
row_29	LPL	lipoprotein lipase	3810	0.25722426176071167	0.41663796	No	
row_30	FNTB	farnesyltransferase, CAAX box, beta	3960	0.2453717291355133	0.41634512	No	
row_31	PDE6G	phosphodiesterase 6G, cGMP-specific, rod, gamma	4188	0.22800518572330475	0.41058958	No	
row_32	SDC1	syndecan 1	4458	0.2062709480524063	0.40144175	No	
row_33	LRP12	low density lipoprotein-related protein 12	4478	0.20420388877391815	0.40770045	No	
row_34	RDH8	retinol dehydrogenase 8 (all-trans)	4747	0.17955346405506134	0.39764175	No	
row_35	RBP4	retinol binding protein 4, plasma	4822	0.17300106585025787	0.3993583	No	
row_36	MYO7A	myosin VIIA	4878	0.1678757220506668	0.4020649	No	
row_37	AKR1C1	aldo-keto reductase family 1, member C1 (dihydrodiol dehydrogenase 1; 20-alpha (3-alpha)-hydroxysteroid dehydrogenase)	4958	0.16227474808692932	0.40308127	No	
row_38	LRP1	low density lipoprotein-related protein 1 (alpha-2-macroglobulin receptor)	5040	0.15546652674674988	0.4037259	No	
row_39	PDE6A	phosphodiesterase 6A, cGMP-specific, rod, alpha	5303	0.12975148856639862	0.39222538	No	
row_40	RHO	rhodopsin (opsin 2, rod pigment) (retinitis pigmentosa 4, autosomal dominant)	5624	0.10420075058937073	0.37620276	No	
row_41	APOC2	apolipoprotein C-II	5772	0.09247510880231857	0.3704666	No	
row_42	PRKCA	protein kinase C, alpha	6084	0.06933151185512543	0.3537317	No	
row_43	APOA1	apolipoprotein A-I	6105	0.06750495731830597	0.35495108	No	
row_44	METAP2	methionyl aminopeptidase 2	6230	0.058514393866062164	0.3494027	No	
row_45	OPN1SW	opsin 1 (cone pigments), short-wave-sensitive (color blindness, tritan)	6312	0.05185456946492195	0.34627467	No	
row_46	SAG	S-antigen; retina and pineal gland (arrestin)	6659	0.02900194190442562	0.3259039	No	
row_47	STRA6	stimulated by retinoic acid gene 6 homolog (mouse)	6673	0.027681412175297737	0.32610673	No	
row_48	GPC1	glypican 1	6678	0.02742721140384674	0.3268577	No	
