NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
REACTOME_INTERLEUKIN_6_SIGNALING	11	11		
REACTOME_APOPTOSIS	179	163		
REACTOME_HEMOSTASIS	678		Rejected!	
REACTOME_INTRINSIC_PATHWAY_FOR_APOPTOSIS	55	50		
REACTOME_MAPK3_ERK1_ACTIVATION	10	9		
REACTOME_TRANSLESION_SYNTHESIS_BY_Y_FAMILY_DNA_POLYMERASES_BYPASSES_LESIONS_ON_DNA_TEMPLATE	39	34		
REACTOME_RECOGNITION_OF_DNA_DAMAGE_BY_PCNA_CONTAINING_REPLICATION_COMPLEX	30	30		
REACTOME_TRANSLESION_SYNTHESIS_BY_POLH	19	17		
REACTOME_RECOGNITION_AND_ASSOCIATION_OF_DNA_GLYCOSYLASE_WITH_SITE_CONTAINING_AN_AFFECTED_PURINE	56	10		
REACTOME_DISPLACEMENT_OF_DNA_GLYCOSYLASE_BY_APEX1	9	9		
REACTOME_POLB_DEPENDENT_LONG_PATCH_BASE_EXCISION_REPAIR	8	7		
REACTOME_RESOLUTION_OF_AP_SITES_VIA_THE_MULTIPLE_NUCLEOTIDE_PATCH_REPLACEMENT_PATHWAY	25	24		
REACTOME_ACTIVATION_OF_BAD_AND_TRANSLOCATION_TO_MITOCHONDRIA	15	15		
REACTOME_ACTIVATION_OF_NOXA_AND_TRANSLOCATION_TO_MITOCHONDRIA	5	5		
REACTOME_BH3_ONLY_PROTEINS_ASSOCIATE_WITH_AND_INACTIVATE_ANTI_APOPTOTIC_BCL_2_MEMBERS	9	9		
REACTOME_RELEASE_OF_APOPTOTIC_FACTORS_FROM_THE_MITOCHONDRIA	7		Rejected!	
REACTOME_FORMATION_OF_APOPTOSOME	11	10		
REACTOME_ACTIVATION_OF_CASPASES_THROUGH_APOPTOSOME_MEDIATED_CLEAVAGE	6	5		
REACTOME_CYTOCHROME_C_MEDIATED_APOPTOTIC_RESPONSE	13	12		
REACTOME_APOPTOTIC_CLEAVAGE_OF_CELLULAR_PROTEINS	38	36		
REACTOME_SMAC_XIAP_REGULATED_APOPTOTIC_RESPONSE	8	6		
REACTOME_APOPTOTIC_FACTOR_MEDIATED_RESPONSE	20	16		
REACTOME_OPIOID_SIGNALLING	90	89		
REACTOME_PKA_MEDIATED_PHOSPHORYLATION_OF_CREB	20	20		
REACTOME_CAMK_IV_MEDIATED_PHOSPHORYLATION_OF_CREB	10	10		
REACTOME_CA_DEPENDENT_EVENTS	37	36		
REACTOME_G_PROTEIN_MEDIATED_EVENTS	54	53		
REACTOME_ELECTRIC_TRANSMISSION_ACROSS_GAP_JUNCTIONS	5		Rejected!	
REACTOME_PRESYNAPTIC_DEPOLARIZATION_AND_CALCIUM_CHANNEL_OPENING	11	11		
REACTOME_NEUROTRANSMITTER_RELEASE_CYCLE	51	49		
REACTOME_NEUROTRANSMITTER_CLEARANCE	10	9		
REACTOME_NEUROTRANSMITTER_RECEPTORS_AND_POSTSYNAPTIC_SIGNAL_TRANSMISSION	205	193		
REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES	269	254		
REACTOME_NEURONAL_SYSTEM	410	393		
REACTOME_FORMATION_OF_RNA_POL_II_ELONGATION_COMPLEX	58	50		
REACTOME_IRS_MEDIATED_SIGNALLING	48	48		
REACTOME_RAF_INDEPENDENT_MAPK1_3_ACTIVATION	23	22		
REACTOME_MAPK1_ERK2_ACTIVATION	9	9		
REACTOME_SOS_MEDIATED_SIGNALLING	7	7		
REACTOME_FORMATION_OF_THE_EARLY_ELONGATION_COMPLEX	33	29		
REACTOME_INHIBITION_OF_REPLICATION_INITIATION_OF_DAMAGED_DNA_BY_RB1_E2F1	13	12		
REACTOME_E2F_ENABLED_INHIBITION_OF_PRE_REPLICATION_COMPLEX_FORMATION	9		Rejected!	
REACTOME_E2F_MEDIATED_REGULATION_OF_DNA_REPLICATION	22	14		
REACTOME_ACTIVATION_OF_BH3_ONLY_PROTEINS	30	29		
REACTOME_EFFECTS_OF_PIP2_HYDROLYSIS	27	25		
REACTOME_DISINHIBITION_OF_SNARE_FORMATION	5		Rejected!	
REACTOME_GPVI_MEDIATED_ACTIVATION_CASCADE	35	33		
REACTOME_DOWNSTREAM_SIGNALING_EVENTS_OF_B_CELL_RECEPTOR_BCR	81	77		
REACTOME_ACTIVATION_OF_RAS_IN_B_CELLS	5	5		
REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES	82	72		
REACTOME_PROLACTIN_RECEPTOR_SIGNALING	15	14		
REACTOME_SIGNALING_BY_NODAL	20	18		
REACTOME_FERTILIZATION	26	20		
REACTOME_MEIOTIC_SYNAPSIS	79	29		
REACTOME_ROS_AND_RNS_PRODUCTION_IN_PHAGOCYTES	36	35		
REACTOME_SIGNALING_BY_FGFR_IN_DISEASE	63	59		
REACTOME_SIGNALING_BY_ERBB2	50	49		
REACTOME_SIGNALING_BY_ERBB2_IN_CANCER	26	25		
REACTOME_REGULATION_OF_GENE_EXPRESSION_BY_HYPOXIA_INDUCIBLE_FACTOR	11	10		
REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA	75	69		
REACTOME_CONSTITUTIVE_SIGNALING_BY_LIGAND_RESPONSIVE_EGFR_CANCER_VARIANTS	19	19		
REACTOME_SIGNALING_BY_ERBB4	58	56		
REACTOME_CROSS_PRESENTATION_OF_PARTICULATE_EXOGENOUS_ANTIGENS_PHAGOSOMES	8	8		
REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION	106	103		
