NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_SYNTHESIS_OF_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI	REACTOME_SYNTHESIS_OF_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI	Details ...	18	0.7074841	1.6705635	0.0	1.0	0.597	2440	tags=44%, list=15%, signal=52%	
REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	Details ...	105	0.5934121	1.6236439	0.0	1.0	0.87	3451	tags=60%, list=21%, signal=76%	
REACTOME_CELLULAR_RESPONSE_TO_STARVATION	REACTOME_CELLULAR_RESPONSE_TO_STARVATION	Details ...	136	0.5292054	1.6075885	0.0	1.0	0.9	3896	tags=57%, list=24%, signal=74%	
REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY	REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY	Details ...	100	0.6093901	1.6065428	0.0	0.9069005	0.9	3451	tags=63%, list=21%, signal=80%	
REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE	REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE	Details ...	109	0.58742625	1.5884683	0.0	0.89694834	0.953	3896	tags=59%, list=24%, signal=77%	
REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION	REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION	Details ...	93	0.6487345	1.5806714	0.03422053	0.8227569	0.97	3451	tags=66%, list=21%, signal=83%	
REACTOME_SARS_COV_1_GENOME_REPLICATION_AND_TRANSCRIPTION	REACTOME_SARS_COV_1_GENOME_REPLICATION_AND_TRANSCRIPTION	Details ...	6	0.7992086	1.5778327	0.0	0.7371026	0.97	1137	tags=33%, list=7%, signal=36%	
REACTOME_SELENOAMINO_ACID_METABOLISM	REACTOME_SELENOAMINO_ACID_METABOLISM	Details ...	104	0.59332746	1.5615215	0.034416825	0.7730295	0.97	3451	tags=61%, list=21%, signal=76%	
REACTOME_MITOCHONDRIAL_TRANSLATION	REACTOME_MITOCHONDRIAL_TRANSLATION	Details ...	92	0.46747762	1.5441432	0.030360531	0.8507383	1.0	5204	tags=64%, list=32%, signal=94%	
REACTOME_TRANSPORT_OF_VITAMINS_NUCLEOSIDES_AND_RELATED_MOLECULES	REACTOME_TRANSPORT_OF_VITAMINS_NUCLEOSIDES_AND_RELATED_MOLECULES	Details ...	43	0.47880033	1.5348406	0.0	0.84400934	1.0	2858	tags=30%, list=18%, signal=37%	
REACTOME_TRANSLATION	REACTOME_TRANSLATION	Details ...	244	0.4658384	1.532269	0.03409091	0.7848693	1.0	4424	tags=53%, list=27%, signal=72%	
REACTOME_PASSIVE_TRANSPORT_BY_AQUAPORINS	REACTOME_PASSIVE_TRANSPORT_BY_AQUAPORINS	Details ...	13	0.68750286	1.523388	0.04389313	0.7923642	1.0	1440	tags=38%, list=9%, signal=42%	
