NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES	REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES	Details ...	72	-0.7683372	-1.9952747	0.0	0.012000002	0.0	599	tags=24%, list=4%, signal=24%	
REACTOME_INTERFERON_SIGNALING	REACTOME_INTERFERON_SIGNALING	Details ...	188	-0.7858958	-1.9690174	0.0	0.012000002	0.012	974	tags=35%, list=6%, signal=36%	
REACTOME_INTERFERON_ALPHA_BETA_SIGNALING	REACTOME_INTERFERON_ALPHA_BETA_SIGNALING	Details ...	70	-0.8804886	-1.9379474	0.0	0.011999999	0.012	811	tags=54%, list=5%, signal=57%	
REACTOME_REGULATION_OF_MRNA_STABILITY_BY_PROTEINS_THAT_BIND_AU_RICH_ELEMENTS	REACTOME_REGULATION_OF_MRNA_STABILITY_BY_PROTEINS_THAT_BIND_AU_RICH_ELEMENTS	Details ...	83	-0.60645294	-1.9218309	0.0	0.0163634	0.023	1803	tags=30%, list=11%, signal=34%	
REACTOME_NUCLEOBASE_CATABOLISM	REACTOME_NUCLEOBASE_CATABOLISM	Details ...	30	-0.6715586	-1.9129995	0.0	0.015490715	0.023	473	tags=17%, list=3%, signal=17%	
REACTOME_AUF1_HNRNP_D0_BINDS_AND_DESTABILIZES_MRNA	REACTOME_AUF1_HNRNP_D0_BINDS_AND_DESTABILIZES_MRNA	Details ...	52	-0.6359633	-1.9019299	0.0	0.022089874	0.056	2059	tags=33%, list=13%, signal=37%	
REACTOME_STABILIZATION_OF_P53	REACTOME_STABILIZATION_OF_P53	Details ...	54	-0.6217888	-1.8770616	0.0	0.020648465	0.056	2059	tags=31%, list=13%, signal=36%	
REACTOME_REGULATION_OF_RUNX3_EXPRESSION_AND_ACTIVITY	REACTOME_REGULATION_OF_RUNX3_EXPRESSION_AND_ACTIVITY	Details ...	54	-0.62546635	-1.8563306	0.0	0.021193564	0.07	2059	tags=35%, list=13%, signal=40%	
REACTOME_INTERFERON_GAMMA_SIGNALING	REACTOME_INTERFERON_GAMMA_SIGNALING	Details ...	90	-0.7850693	-1.849539	0.0	0.021929337	0.084	811	tags=39%, list=5%, signal=41%	
REACTOME_DEGRADATION_OF_GLI1_BY_THE_PROTEASOME	REACTOME_DEGRADATION_OF_GLI1_BY_THE_PROTEASOME	Details ...	57	-0.5923674	-1.8266137	0.0	0.023250354	0.097	2059	tags=30%, list=13%, signal=34%	
REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA	REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA	Details ...	12	-0.82339996	-1.8132809	0.0	0.024914479	0.11	872	tags=25%, list=5%, signal=26%	
REACTOME_DEFECTIVE_CFTR_CAUSES_CYSTIC_FIBROSIS	REACTOME_DEFECTIVE_CFTR_CAUSES_CYSTIC_FIBROSIS	Details ...	56	-0.5994971	-1.796324	0.0	0.027120087	0.135	2082	tags=32%, list=13%, signal=37%	
REACTOME_MAPK6_MAPK4_SIGNALING	REACTOME_MAPK6_MAPK4_SIGNALING	Details ...	81	-0.6158954	-1.7953389	0.0	0.025957	0.135	1853	tags=33%, list=11%, signal=37%	
REACTOME_METABOLISM_OF_POLYAMINES	REACTOME_METABOLISM_OF_POLYAMINES	Details ...	56	-0.62061405	-1.7877603	0.0	0.02754591	0.168	1803	tags=30%, list=11%, signal=34%	
REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1	REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1	Details ...	70	-0.55068177	-1.7847204	0.0	0.027260605	0.18	2176	tags=29%, list=13%, signal=33%	
REACTOME_THE_ROLE_OF_GTSE1_IN_G2_M_PROGRESSION_AFTER_G2_CHECKPOINT	REACTOME_THE_ROLE_OF_GTSE1_IN_G2_M_PROGRESSION_AFTER_G2_CHECKPOINT	Details ...	65	-0.5806173	-1.7815791	0.0	0.02630682	0.18	2677	tags=35%, list=16%, signal=42%	
REACTOME_UB_SPECIFIC_PROCESSING_PROTEASES	REACTOME_UB_SPECIFIC_PROCESSING_PROTEASES	Details ...	150	-0.5576195	-1.7793665	0.0	0.026381852	0.194	2386	tags=30%, list=15%, signal=35%	
REACTOME_G1_S_DNA_DAMAGE_CHECKPOINTS	REACTOME_G1_S_DNA_DAMAGE_CHECKPOINTS	Details ...	64	-0.5851732	-1.7792873	0.0	0.025582852	0.194	2434	tags=30%, list=15%, signal=35%	
REACTOME_NEGATIVE_REGULATION_OF_NOTCH4_SIGNALING	REACTOME_NEGATIVE_REGULATION_OF_NOTCH4_SIGNALING	Details ...	52	-0.63411355	-1.7634958	0.0	0.030738162	0.266	2059	tags=33%, list=13%, signal=37%	
REACTOME_DEGRADATION_OF_DVL	REACTOME_DEGRADATION_OF_DVL	Details ...	55	-0.55847245	-1.7625622	0.0	0.030559054	0.284	2059	tags=29%, list=13%, signal=33%	
REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION	REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION	Details ...	103	-0.6418498	-1.7610989	0.0	0.029675292	0.284	1569	tags=27%, list=10%, signal=30%	
REACTOME_NEGATIVE_REGULATORS_OF_DDX58_IFIH1_SIGNALING	REACTOME_NEGATIVE_REGULATORS_OF_DDX58_IFIH1_SIGNALING	Details ...	28	-0.7380355	-1.7600384	0.0	0.028871872	0.284	1191	tags=39%, list=7%, signal=42%	
REACTOME_DEGRADATION_OF_AXIN	REACTOME_DEGRADATION_OF_AXIN	Details ...	53	-0.6113741	-1.7563726	0.0	0.029466696	0.295	2059	tags=32%, list=13%, signal=37%	
REACTOME_ABC_TRANSPORTER_DISORDERS	REACTOME_ABC_TRANSPORTER_DISORDERS	Details ...	72	-0.54732144	-1.7556032	0.0	0.028738916	0.295	2198	tags=32%, list=14%, signal=37%	
REACTOME_CROSS_PRESENTATION_OF_SOLUBLE_EXOGENOUS_ANTIGENS_ENDOSOMES	REACTOME_CROSS_PRESENTATION_OF_SOLUBLE_EXOGENOUS_ANTIGENS_ENDOSOMES	Details ...	48	-0.649095	-1.7513648	0.0	0.028894037	0.295	2066	tags=31%, list=13%, signal=36%	
REACTOME_NICOTINATE_METABOLISM	REACTOME_NICOTINATE_METABOLISM	Details ...	23	-0.7803612	-1.7461883	0.0	0.028244264	0.295	964	tags=39%, list=6%, signal=42%	
REACTOME_INTERLEUKIN_20_FAMILY_SIGNALING	REACTOME_INTERLEUKIN_20_FAMILY_SIGNALING	Details ...	22	-0.78945655	-1.7411066	0.0	0.028530328	0.305	931	tags=32%, list=6%, signal=34%	
REACTOME_REGULATION_OF_RUNX2_EXPRESSION_AND_ACTIVITY	REACTOME_REGULATION_OF_RUNX2_EXPRESSION_AND_ACTIVITY	Details ...	69	-0.5579158	-1.7388337	0.0	0.027939958	0.305	1803	tags=29%, list=11%, signal=32%	
REACTOME_DNA_REPLICATION_PRE_INITIATION	REACTOME_DNA_REPLICATION_PRE_INITIATION	Details ...	75	-0.5575547	-1.7381088	0.0	0.027390305	0.305	1803	tags=25%, list=11%, signal=28%	
REACTOME_SCF_SKP2_MEDIATED_DEGRADATION_OF_P27_P21	REACTOME_SCF_SKP2_MEDIATED_DEGRADATION_OF_P27_P21	Details ...	58	-0.6202789	-1.7358816	0.0	0.028038353	0.315	2059	tags=33%, list=13%, signal=37%	
REACTOME_SIGNALING_BY_CSF3_G_CSF	REACTOME_SIGNALING_BY_CSF3_G_CSF	Details ...	28	-0.6165023	-1.7335063	0.0	0.027520984	0.315	931	tags=32%, list=6%, signal=34%	
REACTOME_DDX58_IFIH1_MEDIATED_INDUCTION_OF_INTERFERON_ALPHA_BETA	REACTOME_DDX58_IFIH1_MEDIATED_INDUCTION_OF_INTERFERON_ALPHA_BETA	Details ...	71	-0.6542496	-1.7297605	0.0	0.027187683	0.32	1191	tags=25%, list=7%, signal=27%	
REACTOME_INACTIVATION_OF_CSF3_G_CSF_SIGNALING	REACTOME_INACTIVATION_OF_CSF3_G_CSF_SIGNALING	Details ...	23	-0.66516113	-1.7296944	0.0	0.026727451	0.32	931	tags=35%, list=6%, signal=37%	
REACTOME_ASSEMBLY_OF_THE_PRE_REPLICATIVE_COMPLEX	REACTOME_ASSEMBLY_OF_THE_PRE_REPLICATIVE_COMPLEX	Details ...	60	-0.57005745	-1.7216096	0.0	0.030450076	0.384	2059	tags=28%, list=13%, signal=32%	
