"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"A2M",8656.97148016921,2.01642068620075,0.103165316894547,19.5455289325762,4.50299920568427e-85,6.06096728303465e-84
"A4GALT",1020.33621075067,0.516249585186476,0.0760333567709537,6.78977763327811,1.12306510429586e-11,2.57243076025492e-11
"AACS",659.810090537671,0.698769606510155,0.0753640202409014,9.27192583777424,1.82814756352593e-20,5.61167640379021e-20
"AAK1",3025.42895413814,0.37834685318492,0.04268147554326,8.86442767896917,7.68980440983276e-19,2.24184402237954e-18
"AAMP",3487.52441743843,0.184730184820126,0.0272660718514759,6.77509345043871,1.2432587216877e-11,2.8434217969176e-11
"AAR2",1177.35137576408,0.226960326430425,0.0351248482095184,6.46153187841881,1.03648314387143e-10,2.29331777950664e-10
"AARD",14.896472391509,0.489275311973346,0.160444492199047,3.04949895921857,0.00229223427277931,0.00348502168095046
"AATK",73.4078683728384,2.40029353608872,0.107465838064555,22.335409831791,1.6738641486109e-110,3.77972557150402e-109
"ABAT",460.215379597027,1.79764314420898,0.0998917487770386,17.9959122371696,2.09739845131929e-72,2.18690033914979e-71
"ABC7-42404400C24.1",81.4926367284473,1.94473827659812,0.1978148765791,9.83110224179972,8.27085115891167e-23,2.72594724430496e-22
"ABCA1",2306.87083252399,0.403856525043423,0.0944277695941311,4.27688302688157,1.89528324806247e-05,3.30146114178624e-05
"ABCA10",4.94444199539879,2.31053938112434,0.226104571763196,10.2188972257678,1.63186720885743e-24,5.63618187568435e-24
"ABCA2",692.587962979451,0.522034910392797,0.0728725868518179,7.16366651638598,7.85473484043273e-13,1.87806436119234e-12
"ABCA3",238.23837939789,2.33743590677039,0.113203404750667,20.6481060522751,1.01522482669998e-94,1.68776465311637e-93
"ABCA5",418.635474653351,0.55761481329998,0.124209552972163,4.48930698128305,7.14552605631057e-06,1.27483577156665e-05
"ABCA6",28.2835111069985,2.15159237709065,0.16977688444727,12.6730584325153,8.3398178977612e-37,3.97172636823289e-36
