"Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"DDX3Y",1458.18319593374,-7.27928102875162,0.594751902623149,-12.2391891419706,1.9194056754995e-34,3.87086542577985e-30
"PAEP",806.069519408975,5.07585371927197,0.596134522860657,8.51461125739637,1.67150076563348e-17,1.68545779702652e-13
"RPS4Y1",502.825469146745,-5.38505557435021,0.648903929031389,-8.29869466561625,1.05261514601132e-16,7.07602988320342e-13
"USP9Y",284.605331272778,-5.43684484759071,0.661003561797601,-8.2251369914032,1.94967889291203e-16,9.82979355833923e-13
"KDM5D",285.725739113485,-5.35012787843888,0.67101371843012,-7.97320193535812,1.54615228710902e-15,6.23625063482550e-12
"UTY",161.068068744206,-5.51292609457044,0.848218772599791,-6.49941533087427,8.06327670391852e-11,2.71020168813208e-07
"EIF1AY",120.264397171315,-4.62514692142529,0.71733875777172,-6.44764676565428,1.13600146704896e-10,3.27282022656805e-07
"PSG4",2010.39660655879,-3.0837168402772,0.516621155179614,-5.96900999767437,2.38697487342496e-09,5.64012573580002e-06
"TXLNGY",167.197515034163,-7.12454654079944,1.1953242590579,-5.9603463134051,2.51703930293054e-09,5.64012573580002e-06
"ZFY",123.122394443985,-8.08958469364226,1.46034350492732,-5.53950811322631,3.03322394448479e-08,6.11710272884248e-05
"PRKY",211.915769795557,-6.21729054846223,1.22547929324307,-5.07335422372498,3.90863928782135e-07,0.000707912054631735
"UBD",25.6026154232779,8.41895176444148,1.66411896553099,5.05910451044896,4.21229962591403e-07,0.000707912054631735
"PSG9",699.212731028649,-3.63205791785165,0.720555352009035,-5.04063693056312,4.63984997239334e-07,0.000719783495332742
"MMP9",4101.75079543469,-3.00733814692793,0.602356336888426,-4.99262307501045,5.95647324860573e-07,0.000858029971461655
"MTCO1P40",8046.94464203138,7.38847615126238,1.48774154152306,4.96623636905272,6.8264744775533e-07,0.000917796738592116
"MUC16",235.777185823155,4.60475886212859,0.995177877757459,4.62707116491072,3.70873104926631e-06,0.00439964582767963
"XGY2",123.68731052598,-4.96709039980535,1.07099047578834,-4.63784740583163,3.5205654390398e-06,0.00439964582767963
"APOE",20748.5940815874,-2.41313397073394,0.538255788892547,-4.48324759441774,7.35155468466869e-06,0.00823660018476186
"MRC1",1422.53767076096,-2.18149512671207,0.498951331520774,-4.37216014648763,1.23023229260603e-05,0.0130579445499925
"HBA2",18609.7607098213,-2.59147043356514,0.611679154749356,-4.23664990615388,2.26879467905132e-05,0.0228773911462139
"MTND4LP30",214.889048529485,4.32869346375407,1.05889484161299,4.08793516942651,4.35229735231779e-05,0.0417965622400918
"AS3MT",14.8749569812213,7.58846558680755,1.8730784071965,4.05133365354709,5.09265257200914e-05,0.0466834201907765
