"Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"DDX3Y",1195.12886307567,-8.64647272401151,0.730431829261473,-11.8374807581343,2.49845379334993e-32,4.316078928012e-28
"RPS4Y1",1273.71409099579,-9.42450894136685,0.985388637318623,-9.564255750921,1.13011639074536e-21,9.76138032506309e-18
"USP9Y",437.439812488481,-6.95661394923585,0.881786708550971,-7.88922523074493,3.04068315721305e-15,1.31319503852139e-11
"ZFY",239.928155769113,-8.33704781163294,1.05485823723463,-7.90347699562833,2.71229230903637e-15,1.31319503852139e-11
"EIF1AY",477.829264760886,-7.15581140491131,0.918924913327631,-7.78715573070984,6.8534460581936e-15,2.36786561310589e-11
"XGY2",361.682053888108,-8.95653401276897,1.20009073272248,-7.46321404586681,8.44370103155632e-14,2.43108225533559e-10
"UTY",116.62290116098,-6.06664157077117,0.909415046696939,-6.67092719963855,2.54192300256345e-11,6.27310283846907e-08
"KDM5D",98.6181838200217,-5.97894073153978,0.90206414269528,-6.62806606376714,3.40113259684847e-11,7.34432070131966e-08
"HMGB1P6",97.6531601004001,-9.83309484070874,1.62428783753395,-6.05378838250595,1.41478443331998e-09,2.71560012062252e-06
"FAM224B",46.6342248532764,-9.06003045657535,1.67032957084741,-5.42409750429009,5.82480816836313e-08,0.000100623561108473
"HMGN2P6",67.4197993641746,-24.4829711611851,4.55120991151444,-5.37944231032804,7.47169322148424e-08,0.000117339545819218
"LINC00278",62.123546985171,-7.10499071948307,1.35929141937624,-5.22698121845237,1.72299994721006e-07,0.000248040200733782
"CEACAM6",411.589420047882,4.47098091837716,0.909848297662851,4.91398503449628,8.92435649492132e-07,0.00118590968038281
"CTSG",189.2514165946,4.12314761639066,0.849535687584455,4.85341307804772,1.21354545439204e-06,0.0014974284089016
"MTCO1P12",7905.83327527249,4.12772524099062,0.855499156652511,4.82493198139672,1.40051055168715e-06,0.00161292131869303
"DEFA1",18138.2796814232,4.54291829433803,0.945306359970502,4.80576296395571,1.54162461702556e-06,0.00166447282869478
"MTCO1P40",1366.02679393456,4.92057860350084,1.03043326188088,4.77525210562319,1.7948226160289e-06,0.0018238565112882
"PSG9",9596.22827291867,-3.71691573016687,0.807136753454956,-4.60506316216748,4.12340689686187e-06,0.00395732523018271
"CALCRL-AS1",129.659568611147,-2.85870970769863,0.626420957513562,-4.56356013222425,5.0293395980802e-06,0.00457272850299134
"DEFA4",534.795035017148,5.13256753383555,1.13303008193198,4.52994815908485,5.8998161068787e-06,0.00509596616231647
"DLGAP1",44.0841898076085,4.10697225967991,0.924243898809437,4.4436022406751,8.84650876270899e-06,0.00727730661313323
"ARMS2",924.208817240039,-2.65539433074609,0.603420876229591,-4.40056755632657,1.0796810624437e-05,0.00810934363204999
"THBS1",4192.86010409089,3.05429277115599,0.692660158155332,4.40951126637639,1.03604168735258e-05,0.00810934363204999
"PTX3",255.923317541953,2.89554900358035,0.662118424157728,4.37315878539966,1.22461585577144e-05,0.00881468287852153
"BORCS7-ASMT",18.8276874745627,-7.74893053397899,1.81364335857912,-4.27257679814724,1.93226971411912e-05,0.0133519837245631
"PRTN3",200.283691905062,4.02780031562428,0.950746900574502,4.23645905465527,2.27072305381692e-05,0.015087207982572
"MTND1P23",2452.85883867773,3.81542504301037,0.902975200361503,4.2253929470963,2.38524196782075e-05,0.0152611314792975
"ELANE",420.621014970733,4.1298043032641,0.992333433871106,4.1617103307239,3.15872873489119e-05,0.0194882281768733
"KRT8P36",142.666861792205,-4.67040265215143,1.12656238089389,-4.14571153036871,3.38760097423703e-05,0.0201795885620499
"BPI",818.712164075487,4.29091932595151,1.05801637987452,4.05562655510155,5.00000911401088e-05,0.0284009161915369
"PCDH11Y",88.2324432446071,-2.7378971546905,0.67583127776025,-4.0511548440967,5.09654646563035e-05,0.0284009161915369
"HTRA4",201.509300574734,-2.87079731796747,0.713936479090797,-4.02108226998493,5.79313665564217e-05,0.0312738861644433
"LINC01140",66.7957601854974,-2.88424104903416,0.723234412941099,-3.98797540247722,6.66395710586892e-05,0.0348848057587532
"AS3MT",13.3272409190756,7.33787487945881,1.86163199051803,3.94163557396589,8.09278708118262e-05,0.0411184990668911
