"Enriquecido_En","ID","Description","enrichmentScore","p.adjust","setSize","core_enrichment"
"Femenino","GO:0007043","cell-cell junction assembly",0.590833134379937,6.82142857142857e-08,139,"CLDN11/CLDN3/CNTNAP1/CDH5/CDH2/GJA5/ACE2/ACVRL1/RAMP2/CLDN4/GJA1/CLDN19/IRX3/CDH1/CAV1/TJP1/MARVELD3/CDH12/CDH13/CLDN8/EPHA2/GRHL2/CLDN14/PKP3/LSR/PKP2/ESAM/CDH3/AMOT/MPDZ/CLDN10/PARD3/MARVELD2/GJC1/CLDN1/CLDN9/CNTNAP2/DLG5/CLDN7/CDH24/PATJ/CLDN5/UGT8/MPP7/ILDR1/PARD6B/SRF/NPHP1/AFDN/MYO1C/GJB6/CDHR3/JUP/CDH8/GJB2/FRMPD2/POF1B/PRKCA"
"Femenino","GO:0045216","cell-cell junction organization",0.559047590123827,6.82142857142857e-08,199,"CLDN11/CLDN3/CNTNAP1/CDH5/CDH2/GJA5/ACE2/ACVRL1/RAMP2/CLDN4/GJA1/PRTN3/CLDN19/IRX3/DSP/CDH1/CAV1/PKHD1/TJP3/TJP1/MARVELD3/DSG2/CDH12/CDH13/CLDN8/EPHA2/FERMT2/GRHL2/CLDN14/PKP3/LSR/PKP2/ESAM/CDH3/F2R/BMP6/F2RL1/AMOT/MPDZ/PLEKHA7/PERP/CLDN10/PARD3/TGFB2/MARVELD2/GJC1/EXT1/CLDN1/CLDN9/CNTNAP2/DLG5/CLDN7/CDH24/PATJ/CLDN5/TJP2/NLGN2/UGT8/LIMS2/MPP7/ILDR1/PARD6B/SRF/NPHP1/GRHL1/INAVA/AFDN/MYO1C/MYLK3/GJB6/CDHR3/JUP/CDH8/GJB2/KIRREL1/FRMPD2/POF1B/PRKCA"
"Femenino","GO:0034329","cell junction assembly",0.456131295239964,6.82142857142857e-08,463,"CLDN11/LZTS1/CLDN3/BDNF/CNTNAP1/COL16A1/CDH5/SFRP1/CDH2/GJA5/DKK1/ACE2/ACVRL1/RAMP2/CLDN4/GJA1/KDR/SHANK3/CLDN19/TPBG/IRX3/THSD1/TEK/COL17A1/MAP1B/CDH1/FN1/ADGRL2/CAV1/PLXNA2/CLSTN2/TJP1/ARHGEF15/GABRE/VSIG10/FGFR1/MARVELD3/ITGB4/CDH12/ITGA2/DNER/SRPX2/CDH13/CLDN8/EPHA2/LAMA3/AJUBA/PLXNB1/CTTN/FERMT2/NEGR1/PTPRS/VLDLR/NTN1/GRHL2/CLDN14/EFNA5/PKP3/LSR/PKP2/ESAM/CDH3/VSTM5/LAMC1/AMOT/GPC4/FLRT3/BCR/NRCAM/LARGE1/PCDHB4/FAM107A/MPDZ/CLDN10/PARD3/WNT7A/MARVELD2/ADGRF1/THBS1/GJC1/PCDH17/PHLDB2/NEURL1/CLDN1/CLDN9/PLXNB3/CNTNAP2/LRFN3/DLG5/CLDN7/CDH24/PATJ/CLDN5/CRTAC1/GABRA3/NLGN2/UGT8/DVL1/LINGO2/SPTBN2/NTRK3/MPP7/ILDR1/PCLO/PARD6B/SRF/RHOD/NPHP1/CRB3/ITGA5/AFDN/AGRN/MYO1C/PTPRK/GHRL/SRGAP1/GJB6/GABRA2/CDHR3/PTK2/RAB40C/LRRTM4/SHANK2/DAPK3/JUP/THY1/CDH8/ITGB1BP1/SDK1/PTPN13/GJB2/NECTIN3/FRMPD2/DOCK1/RAB17/APP/SORBS1/POF1B/PRKCA"
"Femenino","GO:0008544","epidermis development",0.463142970494046,6.82142857142857e-08,296,"FST/LGR5/GRHL3/CCN2/SLC44A4/DKK1/ABCA12/SPRR2G/FOXI3/MYCN/CDSN/LAMC2/CLDN4/SOX18/APCDD1/MSX2/TP63/COL17A1/DSP/LAMA5/SFN/KRT14/PLS1/FGFR1/CST6/FA2H/ZNF750/KRT7/EPHA2/LAMA3/BNC1/MYCL/ELAPOR2/BMP4/FOXQ1/MYO6/EGFR/FGF2/GRHL2/ANKRD24/PKP3/LSR/CDH3/OVOL2/EDA2R/FERMT1/IRF6/MET/YAP1/ESRP1/ERRFI1/SCEL/COL7A1/BCR/SOX9/CDKN2A/FLNB/TGFB2/EXT1/KRT80/INHBA/CLDN1/KDF1/FGFR2/PLAAT4/PTHLH/KLK7/TFAP2C/AKR1C3/KRT81/FGF7/SRF/ETV4/KRT5/GRHL1/GATA6/JAG2/KRT16/SPINK5/ANXA1/LGR4/TECTA/TGM1/AQP3/STS/LHX2/KRT15/FOXC1/HPSE/TMC1/WNT10B/TRIOBP/ELMOD3/NGFR/PPL/LAMB3/OVOL1/INTU/GSDME/FZD6/HDAC1/ERCC3/HES1/TRIM16/ZBED2/EXTL3/KRT86/NCOA3/PALLD/NTF4/PIAS4/LIPN/LRP4"
"Femenino","GO:0050678","regulation of epithelial cell proliferation",0.45349807207499,6.82142857142857e-08,323,"MMP12/SEMA5A/APLN/TACSTD2/AGTR1/SFRP1/FGFBP1/CDKN1C/ACVRL1/FLT1/MYCN/LAMB1/IGF2/HSPG2/EGFL7/PTN/KDR/MMRN2/ISL1/TP63/TEK/LAMA5/SFN/CAV1/PKHD1/SULF1/SPARC/ERBB3/NR2F2/ATOH8/FGFR1/MARVELD3/ERBB2/CAV2/NFIB/DLX6/ESRP2/FA2H/CXCL12/CDH13/TIE1/PAX2/BMP4/SULF2/FUT2/COL4A3/CCND1/DLX5/EGFR/FGF2/HMGA2/CDH3/OVOL2/IRF6/YAP1/BMP6/LAMC1/TACR1/ERRFI1/FLT4/SOX9/ST8SIA1/CDKN2A/MAGED1/TGFB2/WNT7A/ARX/GATA3/THBS1/CLDN1/IFT57/KDF1/FGFR2/JCAD/PLXNB3/DAB2IP/OSR2/CXCR3/MDK/LIMS2/PYGO2/VASH2/EDNRB/FGF7/GATA2/EGF/GATA6/THBS4/BMPR1A/PTPRK/GHRL/TGM1/VEGFC/NOG/TCF7L2/ENG/HRAS/WNT10B/NLRC3/HTR2B/PRKCA/PPP1R16B/NGFR/AR/OVOL1/APELA/INTU"
"Femenino","GO:0050673","epithelial cell proliferation",0.439189888585562,6.82142857142857e-08,394,"FST/MMP12/COL8A1/LGR5/SEMA5A/APLN/TACSTD2/AGTR1/SFRP1/FGFBP1/CDKN1C/CD34/IGFBP3/ACVRL1/FLT1/MYCN/LOXL2/LAMB1/IGF2/HSPG2/EGFL7/PTN/KDR/MMRN2/ISL1/TP63/TEK/LAMA5/SFN/CAV1/PKHD1/SULF1/SPARC/ERBB3/NR2F2/ATOH8/FGFR1/MARVELD3/ERBB2/CAV2/NFIB/DLX6/ESRP2/FA2H/CXCL12/CDH13/EPHA2/TIE1/PAX2/BMP4/SULF2/FUT2/FAP/COL4A3/CCND1/DLX5/RASGRF1/EGFR/FGF2/HMGA2/CDH3/OVOL2/FERMT1/IRF6/YAP1/BMP6/LAMC1/TACR1/ERRFI1/HNF1B/FLT4/SOX9/ST8SIA1/CDKN2A/BMPER/MAGED1/TGFB2/WNT7A/ARX/GATA3/THBS1/CLDN1/IFT57/KDF1/FGFR2/JCAD/PLXNB3/DAB2IP/OSR2/CXCR3/PIK3CB/TFAP2C/MDK/LIMS2/PYGO2/VASH2/EDNRB/FGF7/GATA2/EGF/GATA6/THBS4/BMPR1A/SDR16C5/LGR4/PTPRK/GHRL/TGM1/VEGFC/NOG/TCF7L2/ENG/ITGB1BP1/HRAS/WNT10B/NLRC3/HTR2B/VSTM4/PRKCA/PPP1R16B/NGFR/AR/OVOL1/APELA/INTU"
"Femenino","GO:0002009","morphogenesis of an epithelium",0.42644791917868,6.82142857142857e-08,460,"FST/MMP12/LGR5/FAT1/GRHL3/TACSTD2/BMP7/SFRP1/NTN4/IRX2/ACVRL1/NOTCH4/MYCN/PODXL/GJA1/SOX18/MSX2/KDR/MMRN2/IRX3/TP63/COL4A1/LAMA5/HOXB4/KRT14/PKHD1/SULF1/FOLR1/KRT19/NPNT/FIGNL2/LRP5/FGFR1/GLI3/GREB1L/EDN1/PAX8/DLG3/KIF26B/ESRP2/RSPO3/RNF207/COBL/EPHA2/HOXB7/TIE1/PAX2/AJUBA/BMP4/FOXQ1/ALDH1A3/FERMT2/TNC/EGFR/NTN1/FGF2/GRHL2/HMGA2/HHIP/RASIP1/DAG1/OVOL2/FERMT1/MET/YAP1/DDR1/HOXD11/HNF1B/FLRT3/SOX9/TRIM71/LRP2/MAGED1/PBX1/PERP/FREM2/TGFB2/CTHRC1/WNT7A/TGFB1I1/GATA3/NCKAP1/EXT1/PHLDB2/NKD1/TEAD2/IFT57/KDF1/FGFR2/GDF7/GCM1/DLG5/LCN2/CD151/SOX17/TFAP2C/STOX1/MDK/DVL1/CSMD1/RGMA/HOXB2/SALL1/SYNE4/CITED2/RYR2/GDNF/FGF7/SRF/NPHP1/EGF/ADAMTS12/JAG2/ITGA5/WNT7B/KRT16/CECR2/LGR4/LLGL2/VEGFC/AJAP1/NOG/LHX2/KRT15"
"Femenino","GO:0072001","renal system development",0.452112569760418,9.60150169082932e-08,300,"ADAMTS1/LGR5/ANGPT2/CYP26A1/TACSTD2/GFRA1/BMP7/AGTR1/SFRP1/CDKN1C/CD34/IRX2/ASS1/FOXJ1/PODXL/IRX3/TEK/COL4A1/LAMA5/PROM1/PKHD1/SULF1/FBN1/NPNT/FGFR1/GLI3/GREB1L/EDN1/PAX8/KIF26B/EPCAM/ITGA3/HOXB7/PAX2/BMP4/SULF2/WFS1/COL4A3/TP73/FGF2/HYAL2/COL4A4/YAP1/BMP6/HOXD11/HNF1B/SOX9/GCNT3/GPR4/LRP2/WWTR1/BMPER/CD24/MAGED1/PBX1/EGR1/FREM2/TGFB2/SERPINB7/GATA3/DACT2/EXT1/GLIS2/FGFR2/PCSK9/TNS2/DLG5/PYGO1/LAMB2/OSR2/ENPEP/SOX17/MME/PYGO2/SALL1/GCNT4/EDNRB/GDNF/NOTCH3/WNT7B/BICC1/LGR4/ID3/NOG/FADD/FOXF1/FOXC1/DDC/FOXD1/KANK2/SMAD1"
"Femenino","GO:0048568","embryonic organ development",0.417497823313264,1.41150291520191e-07,400,"CCN1/GRHL3/VAX2/BMP7/CDKN1C/SLC44A4/GJA5/EFEMP1/ATP6V1B1/HOXD9/MYCN/IGF2/SOX18/TEAD1/HOXB6/KDR/MFAP5/HOXB4/HOXD4/KRT8/PLS1/FOLR1/SPARC/HOXB8/NR2F2/FBN1/KRT19/HOXD10/FGFR1/ASCL2/GLI3/GREB1L/EDN1/PAX8/DLX6/RSPO3/RNF207/COBL/EPHA2/HOXB7/PAX2/BMP4/ALDH1A3/HOXD3/MYO6/DLX5/EGFR/NTN1/GRHL2/ANKRD24/EFNA1/OVOL2/YAP1/HOXD11/TEAD4/HOXB3/HNF1B/BCR/SOX9/MDFI/PPP1R13L/PBX1/ELF5/TTPA/TGFB2/CTHRC1/GATA3/NCKAP1/MFAP2/TEAD2/IFT57/FGFR2/GCM1/OSR2/SOX17/EPAS1/STOX1/COL11A1/FBN2/PLCD3/TEAD3/DVL1/HOXB2/E2F7/SALL1/FBXW8/HOXB9/VASH2/CITED2/RYR2/GDNF/GATA2/SRF/WNT7B/BMPR1A/PCGF2/TECTA/LLGL2/NES/GJB6/ID3/MYB/NOG/PKDCC/FOXF1/FOXC1/KITLG/ENG/CASP8/PCSK5/NECTIN3/BMI1/TRIOBP/PLK4/TULP3"
"Femenino","GO:0090287","regulation of cellular response to growth factor stimulus",0.45303432472923,1.42427931949035e-07,289,"FST/DKK3/CCN1/APLN/CDH5/LTBP1/SFRP1/FGFBP1/CDKN1C/ADGRG1/DKK1/FSTL1/ACVRL1/PEG10/NEO1/SLC2A10/MSX2/KDR/VASN/MMRN2/CRIM1/CAV1/ONECUT2/GPC1/SULF1/FOLR1/LOX/NR2F2/FBN1/NPNT/CAV2/HTRA3/PCSK6/ITGA3/SPRY4/ELAPOR2/BMP4/HTRA4/SULF2/ZNF423/FSTL3/FGF2/HHIP/RASL11B/CDH3/OVOL2/FERMT1/GDF15/FZD4/LRP2/BMPER/SEMA6A/HTRA1/VEPH1/TGFB1I1/TWSG1/GATA3/CILP/THBS1/JCAD/DAB2IP/SCUBE3/PIK3CB/IL4/FBN2/RGMA/CXCL13/CITED2/MMRN1/ADAMTS12/ITGA5/EPN2/VEGFC/PELO/NOG/RBBP7/TMEM108/ENG/FOXD1/SNX25"
