"Enriquecido_En","ID","Description","enrichmentScore","p.adjust","setSize","core_enrichment"
"Femenino","GO:0046631","alpha-beta T cell activation",0.579840159473377,4.60098039215686e-09,195,"SOCS3/ZBTB16/IL6/ITK/NKG7/CD3E/HLX/MYB/ZAP70/TRBC1/TARM1/CD247/LEF1/NFKBIZ/NLRP3/TRBC2/BCL11B/ICOS/KLRF1/TRAC/TBX21/PRKCQ/ZC3H12A/PRDM1/CD3D/SLAMF6/CD69/IL2RA/CD55/FOSL2/GPR183/CRACR2A/EOMES/RUNX1/IL4R/IL12RB2/PLA2G2D/RUNX3/PRR7/LY9/BATF/LGALS9B/JAK3/CD83/IRF1/IL12RB1/JUNB/CARD11/NCR3/SPN/MYC/PTPRC/IL2RG/FOXP1/BCL3/ITPKB/HLA-E/GPR18/JAK1/IL6R/ADORA2A/KMT2A/IFNG/CDH26/RELB/TYK2/AGER/SEMA4A/TNFRSF14/TNFSF8/CD28/FUT7/DOCK2/CD300A/SYK/STAT3/RASAL3/ICOSLG/TCIRG1/WDFY4/CD86/ABL1/CLEC2B/ELF4/ZFPM1/VSIR/TLR4/NCKAP1L/HLA-DRA/SASH3/PTCRA/CRTAM/HLA-DRB1/CD160/HLA-A/LGALS1/HMGB1/PTGER4/STAT6/TOX/IL6ST/RARA/NFKBID/IL15/GPR65/CD80/KLHL25/IRF4/TNFSF4/TGFBR2/TMEM98"
"Femenino","GO:0001906","cell killing",0.548028953984903,4.60098039215686e-09,226,"CTSG/DEFA1/DEFA4/ELANE/GNLY/KLRB1/IL7R/AZU1/PRF1/GZMH/CAMP/LTF/DEFA3/NKG7/CCL21/GZMB/CD2/CXCL8/FCGR2C/PGLYRP1/TIGIT/KIR2DL4/CEACAM1/GZMA/GZMM/ICAM1/CXCL2/CXCL12/S100A12/PPBP/CLU/CCL18/LAG3/GBP5/SLAMF6/CD55/KLRC1/KIR3DL1/TREM1/KLRD1/KLRC4-KLRK1/KLRC3/IL18RAP/NCR1/FCGR3B/CR1/CFH/ARG1/STAP1/LYZ/CXCL3/CLEC12B/ITGAM/RNF19B/FCGR2A/DNASE1/CXCL9/CFHR2/IL12RB1/CCL22/NECTIN2/FCGR1A/NCR3/KLRK1/FCN1/HCST/PTPRC/KLRC4/SFN/DNASE1L3/CCL20/HLA-F/TOR2A/RAB27A/CD1D/CORO1A/GZMK/ARRB2/HLA-E/HLA-G/HPRT1/ULBP3/HLA-B/CCL13/AGER/MICB/MYD88/HLA-H/VAV1/ULBP2/C1R/SH2D1A/CYRIB/GAPDH/GBP1/TAP2/NCKAP1L/HLA-DRA/FCGR1BP/B2M/TYROBP/CD226/RIPK3/CRTAM/HLA-DRB1/CD160/HLA-A/LYST/APOL1"
"Femenino","GO:0031640","killing of cells of another organism",0.628445734785931,4.60098039215686e-09,92,"CTSG/DEFA1/DEFA4/ELANE/GNLY/AZU1/PRF1/GZMH/CAMP/LTF/DEFA3/NKG7/CCL21/GZMB/CXCL8/PGLYRP1/GZMA/GZMM/CXCL2/CXCL12/S100A12/PPBP/CCL18/GBP5/TREM1/ARG1/LYZ/CXCL3/CXCL9/CFHR2/CCL22/FCN1/SFN/CCL20/TOR2A/GZMK"
"Femenino","GO:0141061","disruption of cell in another organism",0.628445734785931,4.60098039215686e-09,92,"CTSG/DEFA1/DEFA4/ELANE/GNLY/AZU1/PRF1/GZMH/CAMP/LTF/DEFA3/NKG7/CCL21/GZMB/CXCL8/PGLYRP1/GZMA/GZMM/CXCL2/CXCL12/S100A12/PPBP/CCL18/GBP5/TREM1/ARG1/LYZ/CXCL3/CXCL9/CFHR2/CCL22/FCN1/SFN/CCL20/TOR2A/GZMK"
"Femenino","GO:0019730","antimicrobial humoral response",0.602042119933419,4.60098039215686e-09,113,"CTSG/DEFA1/DEFA4/PRTN3/ELANE/BPI/GNLY/AZU1/CAMP/LTF/DEFA3/CCL21/RNASE3/CXCL8/PGLYRP1/SLPI/CCL3L3/CXCL2/CXCL12/S100A12/PPBP/CCL18/SPON2/IGHM/CCL4/IGHD/APP/CCL3/LYZ/CXCL3/CCL24/S100A9/CXCL9/CCL22/RNASE4/CCL20/CCL5/BCL3/RNASE6/MMP7/TOR2A/HLA-E/ANG"
"Femenino","GO:0141060","disruption of anatomical structure in another organism",0.617368649063414,4.60098039215686e-09,96,"CTSG/DEFA1/DEFA4/ELANE/GNLY/AZU1/PRF1/GZMH/CAMP/LTF/DEFA3/NKG7/CCL21/GZMB/CXCL8/PGLYRP1/GZMA/GZMM/CXCL2/CXCL12/S100A12/PPBP/CCL18/GBP5/TREM1/ARG1/LYZ/CXCL3/CXCL9/CFHR2/CCL22/FCN1/SFN/CCL20/TOR2A/GZMK"
"Femenino","GO:0046632","alpha-beta T cell differentiation",0.580326013303243,4.60098039215686e-09,134,"SOCS3/ZBTB16/IL6/ITK/HLX/MYB/ZAP70/LEF1/NFKBIZ/NLRP3/BCL11B/ICOS/TBX21/ZC3H12A/PRDM1/SLAMF6/CD69/FOSL2/GPR183/CRACR2A/EOMES/RUNX1/IL4R/IL12RB2/PLA2G2D/RUNX3/PRR7/LY9/BATF/JAK3/CD83/IRF1/IL12RB1/JUNB/SPN/IL2RG/FOXP1/BCL3/ITPKB/GPR18/JAK1/IL6R/KMT2A/IFNG/RELB/SEMA4A/TNFSF8/FUT7/SYK/STAT3/ICOSLG/CD86/ABL1/ZFPM1/NCKAP1L/HLA-DRA/SASH3/PTCRA/HLA-DRB1/LGALS1/HMGB1/PTGER4/STAT6/TOX/IL6ST/RARA/NFKBID/GPR65/CD80/KLHL25/IRF4/TNFSF4/TGFBR2/TMEM98/LOXL3/ARMC5/IL18R1/ZBTB7B"
"Femenino","GO:0050832","defense response to fungus",0.705978788724667,4.60098039215686e-09,47,"CTSG/DEFA1/DEFA4/ELANE/GNLY/MPO/CAMP/LTF/DEFA3/CLEC4D/S100A12/SPON2/S100A8/CLEC6A/APP/CLEC4E/ARG1/S100A9"
"Masculino","GO:0032543","mitochondrial translation",-0.543869872560795,4.60098039215686e-09,130,"MRPL11/MTG2/MRPL4/MRPS25/MRPL37/MRPS34/MRPL3/MRPL28/MRPL2/MRPS18C/MRPL58/MRPL38/MRPL52/MRPL30/TRMT10C/MALSU1/MRPL17/MRPS33/MRPL44/MRPL19/MRPL48/MTRF1L/RARS2/MRPL35/MRPS26/MRPL10/MRPS23/MRPL15/WARS2/MRPS14/SARS2/MRPL45/MRPS21/MRPL18/MRPL49/MRPL43/MRPL53/UQCC2/MRPL14/MRPL36/MRPL41/AURKAIP1/MRPS7/MRPS35/MTIF3/MPV17L2/MRPS28/TRUB2/MRPL42/MRPS15/MRPS11/TSFM/MRPL50/MRPL39/MRPL21/MRPS18B/MRPL34/MRPS2/MRPS16/ALKBH1/COA3/MRPL40/MRPL20/MRPL27/MRPL22/MRPL12/MRPL51/MRPS10/MRPL47/MRPL46/MRPL54/MRPL1/MRPS18A/MRPL57/NGRN/TACO1/GATC/CHCHD1/GADD45GIP1/MRPL9/MRPL13"
"Femenino","GO:0035710","CD4-positive, alpha-beta T cell activation",0.563062796982612,4.60098039215686e-09,131,"SOCS3/IL6/NKG7/CD3E/HLX/MYB/TARM1/LEF1/NFKBIZ/NLRP3/ICOS/TBX21/PRKCQ/ZC3H12A/SLAMF6/CD69/IL2RA/CD55/GPR183/CRACR2A/RUNX1/IL4R/IL12RB2/PLA2G2D/RUNX3/LY9/BATF/LGALS9B/JAK3/CD83/IL12RB1/JUNB/CARD11/SPN/IL2RG/FOXP1/BCL3/JAK1/IL6R/KMT2A/IFNG/CDH26/RELB/AGER/SEMA4A/CD28/FUT7/STAT3/ICOSLG/TCIRG1/CD86/ZFPM1/VSIR/NCKAP1L/HLA-DRA/SASH3/HLA-DRB1/CD160/LGALS1/HMGB1/PTGER4/STAT6/TOX/IL6ST/RARA/NFKBID/GPR65/CD80/KLHL25/IRF4/TNFSF4/TGFBR2/TMEM98/LOXL3/ARMC5/IL18R1/ZBTB7B"
