"GENENAME","log2FoldChange","padj"
"FAM43B",10.4899328808824,6.94262362109793e-08
"FMC1-LUC7L2",10.4401797604124,9.18954197116082e-08
"ENSG00000260978",10.1922517257156,3.75971835369852e-07
"HERC3",10.0667205130745,7.52405449309207e-07
"MTND1P23",9.75892901216667,4.74785566427166e-71
"CTAGE4",9.66618117864853,7.02841970568575e-06
"KLRG2",9.56148333312378,1.23877900181127e-05
"ENSG00000256148",9.43318475619498,6.02074980174476e-43
"MTCO1P40",9.41395856690359,2.51447333817358e-60
"AADACL3",9.30055294398392,0.0168040621577068
"OR5H5P",9.21214716956453,7.90588039196622e-05
"KBTBD11-OT1",9.08841097802033,0.00014961184452642
"LHX5",9.06671575394314,0.00016765720171522
"AGTR1",9.06671575394313,0.00016765720171522
"TRIM64B",9.02232131320197,0.00020617646159606
"ENSG00000285904",9.02232131320197,0.00020617646159606
"ENSG00000284057",8.97651727999248,0.00025994254887233
"C1QTNF7",8.85521001243171,0.00046707137077469
"MYCNUT",8.82967470408524,0.00052253149120897
"ENSG00000286231",8.66617448436574,0.00109785004239748
"VAX2",8.6370278540792,0.00124811790027075
"ENSG00000286058",8.60728021386092,0.00141972044228451
"ENSG00000196656",8.54587903586254,0.00184650729620644
"UBD",8.44858077187414,0.00274870670062239
"ENSG00000258864",8.34424288817466,0.00414250466773229
"ENSG00000290977",8.18687333307319,0.00010120857574245
"EGLN3-AS1",8.15159530419628,0.00837291093913179
"TBC1D3C",8.15159530419628,0.00837291093913179
"ENSG00000286289",8.10977453968182,0.00971419736032986
"ENSG00000290839",8.10977453968182,0.00971419736032986
"PRG2",8.09133899485433,0.0110732397439951
"CYP26A1",8.066705193866,0.0112979473498338
"HEPHL1",8.066705193866,0.0112979473498338
"ASZ1",8.00791096748614,1.4566487045352e-05
"EXTL1",7.97650601884539,0.0153169773760287
"TNFRSF6B",7.97650601884539,0.0153169773760287
"FAM47E-STBD1",7.97650601884539,0.0153169773760287
"DNAH11",7.96147339338977,1.88307982198498e-19
"FOLH1B",7.92919955448407,0.0177676176393631
"ADAMTS19",7.92919955448407,0.0177676176393631
"SPAG17",7.82342156880118,0.00341374438585865
"CDSN",7.77719387911393,0.0282660957331179
"ABCA12",7.77719387911392,0.0282660957331179
"DNAJB13",7.77719387911392,0.0282660957331179
"FGFBP1",7.72274511089381,0.0328764008783711
"SPRR2G",7.72274511089381,0.0328764008783711
"ZNF300P1",7.72274511089381,0.0328764008783711
"ENSG00000283580",7.72274511089381,0.0328764008783711
"ENSG00000253821",7.68817426013456,0.0026877864750483
"LIPG",7.64017745428229,1.74075820637036e-39
"EGFR-AS1",7.62568731460179,5.13885160438333e-16
"RNF128",7.611865956547,0.00284976418436805
"PRSS22",7.49758161882488,2.9433841295669e-10
"AOC1",7.46364831556251,0.00036492066522354
"SNHG18",7.46037224056107,9.30576821723236e-05
"SLC6A10P",7.45329561150645,0.00385628050508022
"TLL1",7.42967340240085,0.00021065737239433
"GPR158",7.38777520597982,0.0146856292375434
"ELOVL2",7.21128737949195,0.00863592317919006
"CMKLR2",7.20137812991859,5.82069816401718e-07
"ENSG00000285791",7.15726768705181,0.0116225615904708
"UPK1B",7.14954622713942,3.81237051704204e-17
"NOS2",7.14882510833992,4.39293404592313e-05
"ACE2",7.12904968113483,4.56965873543951e-06
"SCARA3",7.08301020219813,3.55065472839502e-26
"JAM2",7.03510176595801,1.40048316134292e-18
"MAG",7.00527359610431,0.00016951537943058
"GPX8",6.89792014866548,2.89066745796284e-21
"FHOD3",6.86529454063881,2.58635611584524e-13
"LGR5",6.80356751764924,1.15380769799813e-05
"GPR17",6.80296693762458,0.00100384747680984
"NOTUM",6.73471858345662,0.0303998200514478
"SOD3",6.69323840050167,2.39365123937827e-18
"RAMP2",6.66796614691625,2.50302766045653e-16
"TIMP3",6.57060918359828,1.55925833617475e-26
"ENSG00000289195",6.56236527897424,0.00316151796388793
"SLCO2A1",6.54868942366379,3.69601977959814e-22
"ENSG00000289078",6.40381010699075,9.46629905101346e-09
"IGFBP1",6.35668369068949,2.58731136699866e-08
"FAT2",6.35346709740522,6.95418364221162e-13
"HAPLN1",6.26666825691801,1.30073666137022e-05
"PTH1R",6.23588123833385,8.01517397236726e-05
"PTPRF",6.23144704953801,7.03593304718945e-16
"ENSG00000277350",6.22802572255218,0.0188964623730747
"LINC02246",6.22563862584691,0.0235449739353326
"ENSG00000233030",6.22542458728501,0.00940087547109137
"ADAMTS1",6.21509702673961,4.17711929314577e-19
"PCDHGB4",6.18549006732416,0.00136460785845839
"PCK1",6.16767386127439,0.0376742311989426
"FBN1",6.13678249635512,8.42531922312094e-28
"MUC16",6.09804046330267,2.13478395212158e-13
"COL17A1",6.08369584791679,1.92603547086603e-27
"NOX4",6.07987854531623,2.70686083860528e-05
"LAMA3",6.07771873282529,1.00964022734177e-14
"BEAN1",6.0479971591961,4.56420859377868e-07
"ADCYAP1",6.00867231600356,3.01670490199537e-11
"SLC1A1",6.00271262265932,9.90689474939845e-05
"ENSG00000291205",5.99119964689917,0.0359454342034595
"KAZALD1",5.96242897765474,0.0167812107794958
"POTEI",5.94539186996278,0.0253680154859049
"SFRP1",5.94239414122624,1.49790756787917e-11
"KRT14",5.93089878797505,0.00366730705479538
"GKN1",5.89936844421565,0.00843789737803451
"PRSS8",5.88525672745231,7.73773939302659e-21
"SEMA5A",5.86144272802988,2.84297298557705e-11
"BMP7",5.85771208804624,5.05401196429678e-20
"SYTL5",5.85402892211477,0.042421493845786
"TEAD1",5.80598278526104,1.07119364042407e-17
"CCDC3",5.80293703351357,0.00018161866001577
"CRISPLD1",5.79541152964523,1.26423172925054e-05
"SHROOM3",5.77810396545109,9.58372780857525e-11
"ENSG00000266993",5.72968291360687,0.0332584195305278
"FAM163A",5.7284266683536,0.00745735559812089
"SLIT3",5.71111030714214,2.60521027540704e-13
"AIF1L",5.68398669041803,1.54359470322328e-10
"RPSAP53",5.67351377798591,0.00193373610543293
"PTN",5.63955855885618,6.63144967429515e-09
"CERCAM",5.63020226239715,2.15668288365798e-20
"LTBP1",5.6293557497409,4.93827623441896e-17
"SLC2A10",5.60507123732495,3.02016541177331e-08
"MEP1A",5.58609293574582,0.00243120825755972
"LINC00330",5.58318731656389,0.00318991742973393
"SERPINE2",5.57410183741357,0.0201036262435088
"GFRA1",5.54987943963041,6.4218261333239e-07
"SLC16A12",5.54674090049266,6.04758558152375e-06
"RNF207",5.54467174990327,0.00011052060272921
"KCNJ16",5.52343821670021,0.0273321451528043
"DAW1",5.52299821015717,0.0342938485801521
"IRX2",5.52252347283256,9.36812423575242e-09
"ADAMTSL1",5.51629974223605,2.36469329123515e-05
"BGN",5.48452413169366,6.19943049144761e-24
"FBXO2",5.47617179922221,3.65111311257102e-09
"ELOVL6",5.46350580846993,1.23821528081826e-14
"CLSTN2",5.46307324043194,0.00438029224146036
"ZNF860",5.45420780518031,0.00268463687630966
"ARHGEF16",5.44433901558445,3.82350286156928e-08
"COL21A1",5.43955766777526,0.0005999699705999
"ZNF704",5.42457939019935,2.70811639007441e-16
"AMOTL2",5.3935485740629,5.65979745236265e-15
"IGFBP3",5.39195127480093,1.40006042079122e-24
"PAPPA",5.38729659566647,2.4241574547354e-16
"PNCK",5.38615178963352,0.0266585813706587
"FSTL1",5.3834357041673,7.20345402586095e-20
"ANGPT2",5.38155840830167,7.04378798103583e-20
"ADGRL2",5.37720135185582,1.62937462819536e-13
"PTPRQ",5.37582923429558,0.0303658995736785
"GJA1",5.37517022363045,4.12752311483543e-10
"CDC42EP5",5.37468186452368,6.62894551453676e-05
"GPR78",5.36652299693024,7.0356138151814e-14
"FN1",5.36196755521611,2.18930716775561e-14
"SAMD14",5.35281498468308,6.62885894166236e-05
"WNK2",5.34082473425484,3.65737314055809e-09
"ISL1",5.33815760227301,0.0031645757581028
"RNF223",5.33224363137491,5.69778182213359e-08
"TPM1",5.3278952220917,1.09948274163927e-19
"FST",5.30391455480702,3.65233549821119e-12
"GPR37",5.30380951431537,0.0264491575173459
"HYAL4",5.30380951431536,0.0264491575173459
"CGNL1",5.26640825230965,6.86867718334476e-12
"TMEM184A",5.26546391965038,1.12400626535434e-06
"IGF2",5.25692490111941,5.44722941998824e-15
"GJA5",5.25573134495956,4.50176249724488e-14
"DZIP1",5.25193414160835,1.57913360093841e-05
"S100A14",5.24164076109627,0.00116977102885234
"ENSG00000276422",5.22865224855068,0.0156305644450018
"MFAP5",5.22668394282514,1.81051547162122e-14
"CDKN1C",5.21484614403627,7.58680701276656e-23
"PAEP",5.18984606371957,3.25744590589741e-15
"TGFB3",5.17873834444575,8.03248843653068e-06
"MAL2",5.17718798164833,8.24954433164033e-11
"FLT1",5.1742412871587,3.23404726666834e-22
"PAPPA2",5.17249731609194,0.0327832042440868
"AFAP1L1",5.16268353617142,1.44545408453299e-10
"RNF43",5.16123130541485,7.6098531232196e-06
"TPBG",5.15896895936247,9.6500606112893e-08
"CLU",5.13765719914751,5.32672729866704e-12
"MCAM",5.12886595065791,1.25736238881531e-15
"SLC16A2",5.12702279772295,3.92419473157352e-07
"CSMD1",5.11759467488217,1.89596763987913e-06
"IGDCC3",5.10564396049827,0.0043232556629694
"ADAMTS9",5.09664308559072,0.00042818180262536
"SYT7",5.09572167286894,3.26212736301258e-10
"ENSG00000290596",5.09197887173363,0.0127361273797633
"CLDN19",5.08343369302351,1.18453374829838e-08
"COL4A2",5.08208222009487,1.57790412267406e-15
"ARHGAP44",5.05891600529857,0.00023913941293286
"ZSCAN31",5.05780013464713,0.00510324791049474
"HOXB7",5.04702507318708,0.0038067829480395
"LAMB1",5.0416610606282,9.22462117358021e-17
"KCNK1",5.0347740439596,0.00037799382351832
"ASAP3",5.02412738633924,1.42406448198981e-11
"MUC4",5.01983423463538,1.02911010795216e-05
"CAMK2N1",5.01464599651961,1.77928039436561e-08
"GCSHP5",5.01278879656542,0.0168096473777396
"ARSJ",4.98858220829885,0.0161838139164531
"EBI3",4.98009900862563,1.76498887524492e-20
"RBFOX2",4.97587739922938,5.83810178430156e-16
"PADI1",4.97549802004808,1.78552336612846e-06
"SLC13A3",4.96568795909132,1.25013837924341e-07
"CAV2",4.96170488177718,2.5386651147259e-12
"BEX5",4.95450461993126,0.0144215803748518
"ADGRL4",4.95377018852992,6.79982941537275e-08
"DSC3",4.93589424580541,2.20908634094136e-06
"ENSG00000235609",4.92746597125822,1.18718291873055e-07
"CCN1",4.92727975943475,6.96541816105669e-19
"PCLO",4.92442020498309,0.0149261220624127
"LOXL1",4.91766298602408,2.36154075739399e-09
"SERTAD4BP",4.91436423540629,0.00427452080452155
"CORO6",4.90750814442043,1.04546912195608e-15
"MASP1",4.90251877783211,0.00337897460674001
"FOLR1",4.88624180716301,2.43904517791283e-05
"IL13RA2",4.87936578539631,3.18238588884227e-08
"XCR1",4.84726008684656,8.51308646655501e-08
"EGLN3",4.8317148133048,2.39012934127206e-15
"TCIM",4.8258360772803,9.90121681146741e-11
"HSPG2",4.81434327104047,1.14745087645881e-18
"SLC13A4",4.80988234477511,6.47353805348306e-12
"TMEM132A",4.79283800055709,8.90130048661034e-08
"ZNF366",4.78726992139662,0.00020617646159606
"KIF21A",4.78454710932304,1.5110818002892e-14
"VASN",4.77891950381038,5.1712585160075e-08
"KDR",4.77836296477021,5.87966806040315e-05
"NAV2",4.77214097330037,3.48310845409345e-10
"SELE",4.7693380322393,0.00152967412572025
"TINAGL1",4.75607602718712,3.86782768299513e-17
"STAB2",4.75587479758358,0.00378937740407953
"GNAI1",4.74980834897235,1.04859158700298e-13
"COL27A1",4.74566964700941,1.69039108676105e-10
"SLC6A2",4.74061600067437,3.47331594941638e-12
"SAA2",4.731080017056,0.0288809219807202
"SERPINE1",4.72938519258026,2.2700772651814e-19
"PROSER2-AS1",4.72435574417017,3.25820718475475e-05
"PRRG1",4.72185610822282,2.1260058629684e-05
"PTPRU",4.71974313926335,3.92897495443781e-06
"SHROOM2",4.7168157146951,9.63450244847392e-06
"DAB2IP",4.71592839628488,1.23559169539247e-12
"TMEM200B",4.71028989267001,0.0206786845709277
"BDNF",4.70661394369495,0.0127814297676281
"KIAA1217",4.70394032709907,5.31287235475945e-08
"SPARC",4.69697622328184,6.96541816105669e-19
"KCNK12",4.67960647263754,5.13545470018563e-06
"ERVMER34-1",4.67028356903118,9.20303097475282e-06
"NTN4",4.66708884884873,1.89487276644264e-13
"KRT19P1",4.66513249176502,0.047335270574269
"DSP",4.63609488954059,9.10953097257428e-14
"LHFPL6",4.63403033920911,1.16033060897101e-07
"CDH1",4.62570825157465,2.37963122309137e-10
"MSX2",4.6248355261055,4.25599683264998e-10
"ENSG00000236304",4.61577392493418,0.0171164421889985
"RHPN2",4.61410761379346,1.27890819724937e-07
"PDLIM3",4.6084272117706,7.65133202390201e-05
"H19",4.60391221508565,4.98226921124981e-11
"NECTIN4",4.59884082424208,3.98604223134544e-08
"PLCD4",4.59124615399898,0.0121043366908135
"LAMA5",4.57759010991399,2.18865414578348e-15
"NDUFB4P11",4.57663069907449,0.0328764008783711
"AHNAK2",4.57248203667534,1.05433960837573e-11
"MXRA8",4.57068682831241,2.61849840477052e-05
"MPP2",4.55311130669128,0.00422177683680579
"MYCT1",4.55229877518652,4.81824788594759e-06
"ADGRF5",4.54892388906322,2.19350724558015e-09
"CLDN4",4.54319624243655,6.28769657920801e-14
"CST6",4.53987270772651,3.51640002186997e-06
"SLC30A2",4.53612197189123,6.90093445719269e-09
"MYCN",4.53580639575652,1.82753623790001e-06
"FKBP10",4.53150686034271,1.75773679212711e-07
"CCN2",4.52425354231115,2.84517676386802e-12
"DLX6",4.51021686615289,0.00088814380495305
"KRT19",4.50276076082441,7.68762049050022e-17
"PPIC",4.50174072853246,2.56567023232676e-07
"MYOM3",4.49986876689208,0.0322069636868987
"MMP12",4.49199620106565,0.00075140700195107
"FER1L4",4.49170031888154,6.02117253961939e-07
"PLS3",4.49156400285094,7.61949375656927e-07
"PAGE4",4.48881705845416,5.50424892580552e-11
"JADE3",4.48701358123883,5.2361124458478e-11
"APCDD1",4.48666824403494,2.72175524808054e-06
"DIPK2B",4.4737828897195,6.94262362109793e-08
"CLDN11",4.47032526195675,2.79299636574553e-06
"ADAMTSL5",4.46927930373992,0.0271902718639511
"CCDC122",4.46781164805166,2.49560317199843e-05
"P4HA2",4.46235187490092,2.49787083115122e-10
"CLDN3",4.45581575984598,0.00123634307109252
"LRATD1",4.44989632118948,3.7787518979147e-05
"TCF7L2",4.44703949928795,3.65111704871328e-15
"KRT8",4.44292213855689,5.04836651278386e-15
"MAGI1",4.42931681159608,1.18738872506445e-05
"PIPOX",4.42840504397667,9.02203904813595e-07
"FILNC1",4.41863969000621,0.0281528394175846
"GLB1L3",4.41782151089232,0.00034983577770629
"ROBO4",4.41642638391651,1.89781379160678e-10
"FOXI3",4.41155177840959,0.00017873858043936
"NRXN3",4.40642754379437,0.00195285061637046
"MDFI",4.40332097930399,2.75856148497274e-05
"DUXAP8",4.3945239513688,0.00219438133499333
"SLC27A6",4.38672842962895,0.00485721314629831
"INHA",4.37459600117703,3.72379795082327e-07
"LIN28B",4.36827268056014,2.76948585114332e-10
"PRSS12",4.36441070920863,0.0007956122450377
"SYT5",4.36219479636217,0.00689593946528844
"SPESP1",4.36089073252271,0.0133667618216855
"CTSV",4.35307538924152,1.19753130758514e-05
"COBL",4.35193848308072,8.26710121980444e-07
"CTNND2",4.35122890515154,0.0221615774035452
"COL4A1",4.34660539232001,1.29279409491309e-15
"CAV1",4.34209033771328,4.2727183360852e-14
"ASCL2",4.33398969056935,3.37314124501516e-10
"ENSG00000260971",4.33298666475541,0.01784384199831
"TEK",4.32798995243388,7.56961937121685e-08
"ITGB4",4.32784812711042,1.45806498292598e-09
"CDH2",4.32502771080226,1.50499937071178e-07
"TJP3",4.32413468751026,0.00134740532404152
"CPXM2",4.32384454743658,1.4532042147034e-06
"HMCN1",4.31880146345288,0.00272543079083429
"P4HA3",4.31637397301316,0.0126379300123383
"COL11A1",4.31591020188422,0.00051769274893538
"EFEMP1",4.31374272639015,2.09099225616007e-14
"CRACDL",4.30756109124842,1.36937404934053e-07
"KANK4",4.28541184912641,1.01146428194555e-07
"HTRA4",4.27793621673304,2.76640515553649e-08
"ENSG00000240801",4.27729278055396,1.46539381081761e-13
"PEG3",4.27546470119712,3.10158457068739e-09
"COL12A1",4.2628124244455,5.7883957011838e-09
"PLOD2",4.25600302913681,2.36189112039055e-06
"ENSG00000274333",4.25523657061455,7.21570592513666e-06
"KDELR3",4.24094106743405,0.00061138958596779
"DUXAP9",4.24047544184577,0.00208429541003447
"ADGRF4",4.23884513796456,0.00513760752478
"DKK1",4.22952966274215,0.00209181812427457
"COL8A1",4.22618185125176,6.81068643799278e-07
"SLC44A5",4.21538876062022,0.0349157992869439
"FSTL3",4.20928115329068,5.18820540063862e-08
"TSPAN9",4.20712915024367,3.09159173647027e-08
"PCAT19",4.20598283181906,0.00333321342955981
"TNFSF10",4.20043230582429,1.81051547162122e-14
"PEG10",4.1900861232674,1.29111519129186e-14
"PDE3A",4.18444045469816,0.00011326463191282
"NRK",4.18175522998172,3.12246452532205e-11
"TP63",4.17926262174676,0.000353796129997
"TFCP2L1",4.17905531667846,1.13572674374413e-09
"SLC12A8",4.17714076446756,6.62311912507358e-07
"IGSF3",4.17642538181817,2.8837881385481e-07
"MMP11",4.1760582568532,1.58204123164608e-12
"SELP",4.16860840308521,7.68288906249184e-08
"RIMKLA",4.16399238930532,0.0199094453426761
"GPC1",4.15968248415105,9.05922331221982e-05
"CLEC14A",4.15469891065742,4.81783191282699e-07
"SLC22A11",4.14065307768052,0.00067411215704073
"MMP15",4.12969683079357,1.2764248109659e-08
"SPARCL1",4.12841527385989,2.37561021479501e-08
"PTPN21",4.12616368835355,1.48637261320632e-05
"COL16A1",4.12359895461776,0.0126379300123383
"PTPRG",4.11615412628936,2.06187712026598e-05
"VWA1",4.11361262871926,5.10252474954061e-08
"SH3BP4",4.1056283169986,1.45061307870107e-10
"LARGE2",4.1035260195254,1.40211093632037e-05
"HOXD8",4.10140307417996,0.0441987587396169
"ANXA8",4.08991448469647,3.32636774491606e-09
"DENND2A",4.08838898527995,4.29723460306337e-07
"PYGO1",4.07508716548693,0.00526401603660059
"DSG2",4.07318745464076,9.35520598666418e-10
"CCDC80",4.07253506884799,0.00357402642450471
"KRT7",4.06474746098623,8.36470584802877e-10
"LHX2",4.06118608148001,0.0089032188320113
"RRAD",4.05961008841117,5.31893999201244e-10
"MEST",4.05351386301061,2.19497474166264e-11
"NEGR1",4.04795385428901,5.63344586376544e-05
"ANTXR1",4.04710221152103,1.92673990383977e-08
"TCEA3",4.0314027183166,0.0001433976421391
"ELF3",4.02513764178537,2.70303801658936e-09
"RHBDF1",4.02512626101919,7.82458838157974e-05
"SLC34A2",4.02440068715939,0.0315708627620724
"PKP2",4.02009013974578,3.70967464587149e-08
"ENSG00000260912",4.01569043960757,0.00039164972562054
"FAM83B",4.01067636642831,0.00043216103318559
"NFIB",4.01004833605463,0.0005544692108557
"ZFYVE9",4.00620552306194,2.70435391242904e-05
"CD34",4.00545851866743,8.64201554213953e-13
"NUAK1",4.00285398161876,4.74146853725576e-08
"PCSK6",3.99791354056388,3.53435033530606e-08
"LAMA4",3.98614362939133,1.0848224884627e-08
"LINC00456",3.98296838217751,9.41754863828829e-05
"CILP",3.97981867586437,0.0133680527987995
"PYCR1",3.97330579387455,4.38308751221041e-06
"ENSG00000279393",3.96369300519359,3.3872371681923e-05
"CHPF",3.9473305880733,6.55726093254789e-11
"TJP1",3.93914731253876,2.56234804820312e-06
"PLAT",3.93276958248267,1.73249952395343e-06
"KRT18",3.93027377134991,3.46121250126517e-12
"TMEM108",3.9282645994254,0.00138440100750838
"PLPP2",3.9270151785498,6.00180980044124e-06
"GLI3",3.925319461321,1.09605602702263e-06
"THRB",3.92256882868815,1.56850935195707e-05
"MFAP2",3.9138670419185,2.25820636455895e-06
"VWF",3.90893154538896,3.46121250126517e-12
"SELENOM",3.90529189151432,3.186519415267e-07
"GPC4",3.90498580911009,3.35825399806016e-07
"XAGE2",3.89691872083105,1.85457098340311e-09
"ESM1",3.89449123056603,7.23245554043112e-07
"GAREM1",3.88799504130751,0.0113005838759639
"LINC03061",3.88739797047988,2.60397754257151e-05
