"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"COL17A1",4584.80261113457,-5.98709949074824,0.467772050439119,-12.7991817491615,1.65687830338174e-37,2.8945663960079e-33
"PAPPA2",23004.7535597907,-5.83946570777544,0.469030614401778,-12.4500736806346,1.39716123272787e-35,1.22042033678779e-31
"LVRN",5590.44057848812,-5.68417753583287,0.464529202459817,-12.2364266998361,1.98584524966061e-34,1.15642388371903e-30
"NOTUM",15784.7532119637,-5.44413043221133,0.46848104058792,-11.6208127128885,3.230484352165e-31,1.41091404080806e-27
"LAMA3",3015.73092682417,-5.84170700040291,0.507049976028778,-11.5209688917752,1.03441239684342e-30,3.61423691457091e-27
"FBN1",9179.26397612041,-5.87757689263933,0.525553848563935,-11.1835864368602,4.90661764098933e-29,1.42864350313473e-25
"AOC1",36194.0614703682,-5.0209291408434,0.455507218637795,-11.0227213431625,2.96943604632447e-28,7.41086396132693e-25
"SERPINE2",29393.7679178879,-4.93344178950392,0.471001898837336,-10.4743564764432,1.13305588284977e-25,2.47431078417318e-22
"ISM2",9791.248388502,-4.78421620221486,0.459838336946272,-10.4041264457988,2.37423652460768e-25,4.6086568983218e-22
"FSTL3",8904.68869125455,-4.85073205403383,0.467284006519739,-10.380693510487,3.03561931936192e-25,5.30322695092528e-22
"DIO2",993.593673266224,-5.23009769040377,0.50851775614095,-10.2849853859461,8.23545674610349e-25,1.30794026685844e-21
"PTPRF",7955.73608617337,-4.77406609271536,0.477557519915309,-9.99683994833126,1.57337771543138e-23,2.29057572404885e-20
"MFAP5",2201.64529760236,-4.73648869090089,0.482740452186276,-9.81166726229359,1.00297495206749e-22,1.34784403173992e-19
"IGFBP3",10223.3459401144,-4.6145109403122,0.473769117456643,-9.73999944336705,2.03555473279988e-22,2.54008151300099e-19
"SFRP1",906.512390372542,-5.07306649911842,0.524335334139858,-9.67523294503982,3.84215654978131e-22,4.4748316616453e-19
"NOG",819.257722858302,-4.95412613119418,0.515627293815195,-9.60795945175426,7.40009242252942e-22,8.07997591384931e-19
"ADAM12",7834.03746242319,-4.58367630065779,0.482463312450935,-9.5005696440886,2.08745235429805e-21,2.14516427232865e-18
"LINC02246",554.516740136794,-5.21859266717459,0.553798690889662,-9.42326652811524,4.37268389254877e-21,4.2439326446015e-18
"MMP2",4015.95120396853,-4.37032466784866,0.467433648572689,-9.34961503347795,8.79673137756404e-21,8.08836300873915e-18
"PAPPA",20483.6451661463,-4.72368336523474,0.506047104411945,-9.33447365680301,1.014942680019e-20,8.86552430996595e-18
"MTND4LP30",772.931359396844,6.12454035798332,0.663482766852371,9.23089590862888,2.68377630460728e-20,2.23264628768996e-17
"HPGD",3409.36697070946,-4.3150412373638,0.471057683318724,-9.16032449988548,5.17414914144852e-20,4.1087447955048e-17
"ITIH5",1369.36577885937,-4.45514238112537,0.491181966621512,-9.07024826617534,1.1874613908482e-19,9.01954369483396e-17
"TIMP3",33244.7953277676,-4.17939241704781,0.462361381037714,-9.03923335393555,1.5777442442328e-19,1.14846633111446e-16
"FN1",506300.718756125,-4.72225393388005,0.528633113639171,-8.93295144031275,4.14791765174125e-19,2.89856485503678e-16
"FAT1",886.836820312876,-4.53201341213061,0.515954634462965,-8.78374397556829,1.58121375866143e-18,1.06245401399289e-15
