"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"5S_rRNA",0,NA,NA,NA,NA,NA
"5_8S_rRNA",0,NA,NA,NA,NA,NA
"7SK",21.189368192666,-0.0857102298417396,1.47514490007981,-0.058102922524494,0.953666646490146,0.988629734184949
"A1BG",58.0910277156155,0.27794620528071,0.939630352785826,0.295803774810649,0.767379940059819,0.941547142687068
"A1BG-AS1",69.9603665657148,-0.530045901082209,0.870468567357422,-0.608920207987899,0.542577328980408,0.859505220208273
"A1CF",0.618916867554797,1.86529173743899,6.02866440264925,0.3094038103397,0.757014372270256,NA
"A2M",11431.0585166217,-1.85528212235584,0.545422726591658,-3.40154898559047,0.00067005118798999,0.0129775989514247
"A2M-AS1",16.530712295097,0.806705104411882,1.7083238791837,0.47222023542594,0.636769597568964,0.898874400866739
"A2ML1",18.0002154912098,-0.902645089926202,1.55189144677142,-0.581641900149703,0.560807913735949,0.869867198168075
"A2ML1-AS1",0,NA,NA,NA,NA,NA
"A2ML1-AS2",0,NA,NA,NA,NA,NA
"A2MP1",0.458356289024714,-3.13419053627886,5.94815605849572,-0.526918007102775,0.598250528492564,NA
"A3GALT2",0.309458433777399,0.841780269943302,6.10863014501881,0.13780180661776,0.89039705650885,NA
"A4GALT",162.199963772169,-2.03529756690927,0.757775454542049,-2.68588478910191,0.00723380273648332,0.0805960037030381
"A4GNT",0.767814722802112,-1.60080445994932,5.93584995420114,-0.269684118079222,0.787403279923966,NA
"AA06",0,NA,NA,NA,NA,NA
"AAAS",326.554983871311,-0.990043746726164,0.568667930392932,-1.74098747935737,0.0816857732493798,0.38068428524137
"AACS",313.635731793991,-0.356035605116478,0.574684144670953,-0.619532674457781,0.53556550364973,0.856502070314403
"AACSP1",0.309458433777399,0.841780269943302,6.10863014501881,0.13780180661776,0.89039705650885,NA
"AADAC",0,NA,NA,NA,NA,NA
"AADACL2",0,NA,NA,NA,NA,NA
"AADACL2-AS1",1.63532167090389,-3.31056477045471,4.99591062026524,-0.662654923614095,0.507551585377898,NA
"AADACL3",185.608438453603,-5.12035371905608,0.69354973415241,-7.3828212555134,1.54970019477033e-13,4.92241134593411e-11
"AADACL4",0,NA,NA,NA,NA,NA
"AADACP1",0.260252803829745,0.715489782720207,6.11544857240513,0.116997105649572,0.906862347087361,NA
"AADAT",13.6393409161511,-3.38197441982783,1.79501531394139,-1.884092237855,0.059552499998396,NA
"AAGAB",468.631604484448,0.0373764956691005,0.552651822636678,0.0676311814023862,0.946079233048604,0.987039677613944
