UniqueCount	AmbigCount
0	36
0	11
0	1870
0	0
0	0
0	0
0	0
0	5
0	4
0	0
0	0
0	0
0	0
0	542
0	33
0	42
0	30
0	17
0	365
2	16
0	86
0	25
0	8
21	60
0	14
0	98
1	19
0	25
4	101
0	0
0	0
2	12
4	2118
0	309
0	681
0	728
0	643
0	242
288	761
13	21
0	228
0	60
0	47
0	88
0	2
0	107
2	5
0	30
0	47
2	37
0	21
0	6
0	73
0	53
0	49
0	32
0	41
0	47
0	18
0	43
0	48
0	9
0	9
0	8
0	12
0	20
0	5
0	23
0	0
0	4
0	29
0	4
0	135
4	150
0	75
0	37
0	9
3	9
2	200
0	13
0	9
0	58
0	30
0	0
0	41
0	34
0	30
0	22
0	53
0	43
1	2784
138	5536
154	13325
2	0
0	3599
0	818
615	8347
0	2831
0	0
0	4
1	527
2	14
0	0
0	0
0	33
0	15
0	19
0	20
0	14
0	17
0	61
0	60
0	18
0	18
0	11
0	17
0	16
0	20
0	14
0	60
0	61
4	16
0	1
1	1
0	4
0	1
1	1
0	5
0	8
0	8
0	7
0	9
0	6
0	9
0	8
0	9
4	12
0	52
18	66
0	66
0	0
8	12
0	4
0	122
0	117
28	173
2	23
0	197
0	206
0	164
0	177
0	6
0	127
0	178
2	127
0	165
0	5
0	115
0	100
0	12
0	115
0	130
0	130
0	121
0	7
1	102
0	95
0	96
0	124
0	162
0	157
0	166
0	119
0	115
0	126
0	118
0	8
0	129
0	167
0	117
0	8
0	15
0	18
0	8
0	95
0	20
0	1
0	1
0	9
0	6
0	3
0	27
0	0
0	0
0	27
0	3
0	0
0	0
0	0
0	1
0	1
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
1	383
0	185
4	513
0	1
0	99
0	19
5	1
0	0
2	1
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	1
1	1
0	1
0	18
0	15
0	18
0	376
0	0
0	13
0	12
0	10
0	11
0	1
0	1
0	0
0	0
0	15
0	2
0	0
0	1
0	1
0	0
0	1
0	58
0	1
0	20
0	1
0	1
0	0
0	0
0	0
118	15
1	42
0	41
0	41
0	41
1	39
0	41
0	42
0	8
0	31
0	12
0	9
0	8
0	4
0	4
0	4
0	0
0	0
0	0
0	0
0	22
0	0
0	0
0	0
0	0
0	0
0	23
0	1
0	1
0	97
0	0
0	1
0	0
0	0
0	0
0	8
0	8
0	2
0	3
0	1
0	1
0	3
0	1
0	0
0	3
0	0
0	1
0	0
0	0
0	0
0	1
0	1
0	2
0	1335
0	1301
0	1280
0	734
3	696
0	573
0	297
69	0
0	4
0	3
1	5
0	0
0	1
8	3
