"","SRR26204549","SRR26204550","SRR26204553","SRR26204554","SRR26204557","SRR26204558"
"ENSG00000000003",58.537,27.755,59.391,17.487,92.241,64.119
"ENSG00000000005",0,0,0,0,0,0
"ENSG00000000419",621.717,352.612,627.993,482.901,727.311,237.941
"ENSG00000000457",415.009,145.818,349.843,150.651,378.222,102.122
"ENSG00000000460",48.303,51.01,111.924,60.847,90.008,54.475
"ENSG00000000938",374,7658.001,7481.001,6140.001,5676,1924.998
"ENSG00000000971",7.761,64.182,8.425,42.76,37.034,97.584
"ENSG00000001036",1038,379.121,788.672,662.833,749.826,872.001
"ENSG00000001084",551.046,305.233,615.234,473.191,841.466,233.435
"ENSG00000001167",614.995,541.874,700.907,694.892,963.731,333.823
"ENSG00000001460",81.578,30.994,43.602,29.348,78.84,53.45
"ENSG00000001461",336.015,330.872,138.002,411.71,299.887,258.936
"ENSG00000001497",288.001,262.059,381.999,463,448.006,218.034
"ENSG00000001561",17,149,104,234,134,45
"ENSG00000001617",543,85,104.999,79,269.999,739
"ENSG00000001626",18,0,4,4,15,0
"ENSG00000001629",749.001,509,791,603,903.999,512
"ENSG00000001630",135.311,559.315,418.026,867.633,239.117,301.236
"ENSG00000001631",471.042,330.706,631.681,428.364,517.744,170.181
"ENSG00000002016",61.994,85.002,101.42,91.335,84.861,52
"ENSG00000002079",0,0,0,0,1,0
"ENSG00000002330",2528.995,142,1349.001,176,1972,283
"ENSG00000002549",122.045,653.534,1766.07,1440.71,1824.391,707.999
"ENSG00000002586",1997.999,1806.07,1680,2381.009,1155,1204
"ENSG00000002587",3.018,29.695,100.081,159.404,96.049,110.55
"ENSG00000002726",656,134.028,537,794,1065,53368.319
"ENSG00000002745",0,3,10,5,11,3
"ENSG00000002746",1,1.322,0,10.304,1.765,7.777
"ENSG00000002822",121.982,401,254,362.917,384.24,178.392
"ENSG00000002834",405.265,3759.002,2603.66,4200.819,2753.755,2472.911
"ENSG00000002919",425.844,143.699,383.997,194.283,474.568,152.416
"ENSG00000002933",1,135,46.999,120.001,847,238
"ENSG00000003056",1929,1604.874,2692.001,2884.001,2402.001,1142.002
"ENSG00000003096",0,8.001,0,3,3,12
"ENSG00000003137",5,3,1,8,0,19
"ENSG00000003147",81,77.999,74.03,67,108,71
"ENSG00000003249",4,9,31,20,8,17
"ENSG00000003393",217.399,213.216,297.005,280.558,360.969,194.811
