"gene","SRR26204549","SRR26204550","SRR26204553","SRR26204554","SRR26204557","SRR26204558"
"5S_rRNA",1,1,0,0,0,0
"5_8S_rRNA",0,0,0,0,0,0
"7SK",4.003,72.634,32.41,32.221,20.755,0
"A1BG",4.194,47.564,37.06,26.986,32.63,19.416
"A1BG-AS1",51,30.072,52.029,56.001,99.001,15.001
"A1CF",0,1,0,0.85,0,0
"A2M",68,2580,1891,9552,1854.001,2951.861
"A2M-AS1",4,10,8,6,6,6
"A2ML1",1,10.264,4.069,11.622,7.496,12.382
"A2ML1-AS1",0,0,0,0,0,0
"A2ML1-AS2",0,0,0,1,0,0
"A2MP1",0,1,0,0,0,0
"A3GALT2",0,3,0,0,1,0
"A4GALT",143,53.589,31.572,79.038,204.127,315.701
"A4GNT",0,0,0,0,0,0
"AA06",0,0,0,0,0,0
"AAAS",347,185,424,280,408.001,209
"AACS",613.426,264.697,394.314,239.097,433.281,179.323
"AACSP1",0,1,0,0,0,2
"AADAC",0,1,0,3,0,3
"AADACL2",0,0,0,0,0,0
"AADACL2-AS1",1,0,1,0,0,1.056
"AADACL3",2,0,1,3,2,623
"AADACL4",0,0,0,0,0,0
"AADACP1",0,0,0,0,1,0
"AADAT",4,1.085,8,2,9.005,14
"AAGAB",992,287,618.001,303,616.999,234
"AAK1",2096.626,1960.551,1636.982,1752.222,1936.893,867.086
"AAMDC",54.358,42.589,63.175,52.445,44.021,44.001
"AAMP",2046,590,1820,645,1972,556
"AANAT",0,0,0,0,1,0
"AAR2",538.999,223.12,523.363,278.669,607.724,248.443
"AARD",2.338,15.888,15.308,16.624,23.35,2.586
"AARS1",943.188,456.215,1032.231,717.519,1156.506,845
"AARS1P1",0,0,0,0,0,0
"AARS2",35.046,160.087,140.462,257.181,162.014,113.788
"AARSD1",111.961,126.613,157.338,179.509,154.883,121.45
"AARSD1P1",3.112,0,6.126,0,2.624,0
"AASDH",109,83,188,103,194,49
"AASDHPPT",487.999,163,509,198,592,219
"AASS",7.02,64.768,30.372,61.036,66.138,52.237
"AATBC",4,15,261.999,36,143.001,17
"AATF",1257.001,504.305,1200.727,558.603,1524.53,401.085
"AATK",13,1348.242,352.368,809.899,189.402,312.918
"ABALON",4,0,4,6,6,1
"ABAT",1058,181.299,352.028,198.689,1090.648,110.849
"ABCA1",89,3623,580.001,7793.999,702,1417
"ABCA10",5.137,19.685,6.995,9.443,11.352,4.321
"ABCA11P",192.44,18.443,84.488,17.336,112.05,12.795
"ABCA12",4,0,2,0,1,27
"ABCA13",3,112.566,38.01,233.983,63.527,55.306
"ABCA15P",0,11.897,5.513,9.227,2.933,1.744
"ABCA17P",1,0,0,0,0,0
"ABCA2",34,1132.435,180.001,1067,225.382,465.007
"ABCA3",2,58,16.845,63,37,106
"ABCA3P1",0,0,0,0,0,0
"ABCA4",4,0,1,0,9,15
"ABCA5",122,463.003,133.999,170.47,189.672,68.095
"ABCA6",0,49.287,4.583,45.035,14.112,16.164
"ABCA7",51,1209.999,1051.999,1501.002,631.001,377.999
"ABCA8",0,7.666,2.86,3.343,1.085,3.163
"ABCA9",11.633,17.748,13.194,24.615,12.422,8.276
"ABCA9-AS1",3,0,1,0,0,0
"ABCB1",378.76,485.833,45.04,386.949,189.173,127.896
"ABCB10",75,240,256,478,255.907,179
"ABCB10P1",0,0,0,0,0,0
"ABCB10P3",0,0,0,0,0,0
"ABCB10P4",0,0,0,0,1.093,0
"ABCB11",6.239,6.518,2.243,7.045,4.586,6.236
"ABCB4",10.24,12.168,47.96,66.05,93.828,4.104
"ABCB5",1.068,8.992,2.318,7.003,3.227,7.918
"ABCB6",9.11,40.223,37.361,117.437,34.999,52.906
"ABCB7",330.381,297.229,327.886,375.363,455.23,187.04
"ABCB8",228.025,195.659,241.372,355.504,222.17,149.37
"ABCB9",44.097,46.258,46.901,66.022,40.749,47.668
"ABCC1",62,1396.675,679.125,1777.574,800,763.624
"ABCC10",36.357,223.691,247.92,311.696,240,233.391
"ABCC11",3,3.02,4.035,6.014,8.017,0
"ABCC12",0,1,0,0,0,2
"ABCC13",9,5.088,18,11,28.023,0
"ABCC2",41.088,48.202,37,117.118,53.481,154.717
"ABCC3",27.783,264.795,670.023,1294.3,303.246,205.001
"ABCC4",6,82,84.584,181.041,66.31,70.485
"ABCC5",36,675,531,1016,338,258.002
"ABCC5-AS1",0,1,0,0,0,0
"ABCC6",0,5.5,15.048,20,37.582,6
"ABCC6P1",0,0,8.952,0,7.419,0
"ABCC6P2",0,1.5,0,0,0,0
"ABCC8",0,10.216,0.889,6.097,4.743,3.983
"ABCC9",0,6.076,4.271,6.087,5.576,4.975
"ABCD1",367,382,688,699,764,435
"ABCD1P2",0,0,0,0,0,0
"ABCD1P3",0,0,0,0,0,0
"ABCD1P4",0,0,0,0,0,0
"ABCD1P5",0,0,0,0,0,0
"ABCD2",2,17,6,22,6,5
"ABCD3",541.004,266.432,590.453,303.349,863.067,173.245
"ABCD4",131.176,344.075,283.088,421.296,283.993,256.919
"ABCE1",528.228,455.969,949.187,729.042,924.71,287.155
"ABCF1",2633.047,1310.396,2015.447,1452.647,2622.477,910.585
"ABCF2",372.645,203.739,410.974,335.488,473.205,215.455
"ABCF2-H2BK1",125.263,46.654,185.199,106.448,189.866,61.749
"ABCF2P1",0,0,0,0,0,0
"ABCF2P2",0,0,0,0,0,0
"ABCF3",1010,378.999,848,509.001,928.999,260.001
"ABCG1",119.394,1109.622,280.619,1510.417,269.904,406.124
"ABCG2",2369,76,683.001,184,1442.999,80
"ABCG4",1,0,1,0,0,6
"ABCG5",0,0,0,0,1,2.774
"ABCG8",5.006,10.062,7.599,9.069,5.188,0
"ABHD1",0,21.13,4.027,19.705,13.567,3.738
"ABHD10",29,81.001,201.999,144,138,91.001
"ABHD11",1294.702,107.115,646.345,77.195,1183.177,218.137
"ABHD12",2485,594.553,1439.039,1129.999,1893.528,558.999
"ABHD12B",0,4.183,8.773,3.11,15.089,16.584
"ABHD13",210,387,445,314,406,131
"ABHD14A",7.129,42.682,31.754,88.403,22.47,31.112
"ABHD14A-ACY1",17.219,3.482,36.662,44.686,44.84,33.162
"ABHD14B",314,335,460.001,405,474.386,220.999
"ABHD15",62.511,344.978,215.378,499.651,271.249,202.308
"ABHD15-AS1",0,0,0,0,0,0
"ABHD16A",235.999,518.999,497,678.329,515,292
"ABHD16B",0,1,2,1,1,1
"ABHD17A",1023.771,2065.791,1130.707,1720.718,1401.012,839.268
"ABHD17AP1",0,1.735,0,0,2.796,2.732
"ABHD17AP3",1.228,0,5.294,0,3.79,0
"ABHD17AP4",0,0,0,0,0,0
"ABHD17AP5",0,1.475,0,8.283,0,0
"ABHD17AP6",0,0,0,0,3.401,0
"ABHD17AP7",0,0,0,0,0,0
"ABHD17AP8",0,0,0,0,0,0
"ABHD17AP9",0,0,0,0,0,1
"ABHD17B",93.964,453.025,180.961,521.431,204.598,169.563
"ABHD17C",2328,91,1184,91,1443,117
"ABHD18",160.042,200.279,233.361,244.633,218.451,106.997
"ABHD2",62.047,2194.755,1094.602,2611.902,1167.166,981.281
"ABHD3",36,347.81,405.803,372.98,383.294,117.202
"ABHD4",840.999,250.999,598.001,273,814.001,247
"ABHD5",3472.107,566.773,2091.767,569.156,4324.294,311.964
"ABHD6",21.913,34.212,81.262,117,81.541,47
"ABHD8",478,97,328,144,720,222
"ABI1",973.999,1315,1442,1580,1564.999,617
"ABI1P1",0,0,0,0,0,0
"ABI2",721.878,331.611,609.542,250.581,791.356,246.391
"ABI3",23,420,888.999,522,597,147
"ABI3BP",0,4,3.236,6.66,3,50.375
"ABITRAM",562,78,456,125,559,105
"ABITRAMP1",0,0,0,0,0,0
"ABL1",331,1034,362.588,1290.156,515.226,594
"ABL2",326.217,1144.705,469.496,3850.441,457.087,724.989
"ABLIM1",184.48,2788.36,249.672,2783.946,473.215,816.008
"ABLIM2",2,7,7,7,7,3
"ABLIM3",3,66.001,19,38,22,135
"ABO",13.236,10.72,19.197,45.137,12.45,14.978
"ABR",84,1643.583,1683.292,3191.501,1457.578,941.018
"ABR-AS1",0,0,0,0,0,0
"ABRA",0,0,0,0,0,0
"ABRACL",154,337,544,425,396,265
"ABRAXAS1",116.535,145.102,186.869,178.863,263.274,62.355
"ABRAXAS1P1",0,0,0,0,0,0
"ABRAXAS1P2",0,15.122,8.025,14.772,2.111,10.347
"ABRAXAS2",335,146,428,199,482,124
"ABT1",809,354,602,358,668,215
"ABT1P1",0,0,0,0,0,0
"ABTB1",345,1058,1188.001,652.999,917,333.998
"ABTB2",326,249,186,252,320,92
