CodeClass,Name,Accession,GSM8068020,GSM8068021,GSM8068022,GSM8068023,GSM8068024,GSM8068025,GSM8068026,GSM8068027,GSM8068028,GSM8068029,GSM8068030,GSM8068031
Endogenous,A2M,NM_000014.4,18,10,7,16,13,12,11,9,14,9,16,8
Endogenous,AADAT,NM_016228.3,2,2,4,7,8,6,5,5,2,5,2,3
Endogenous,AANAT,NM_001088.2,3,0,5,5,4,3,3,1,5,2,1,1
Endogenous,ABL1,NM_005157.3,211,169,221,208,225,195,223,241,147,122,206,175
Endogenous,ACAA2,NM_006111.2,470,359,494,536,531,488,350,459,309,314,472,340
Endogenous,ACACA,NM_198834.1,47,34,44,70,35,35,25,39,30,25,36,28
Endogenous,ACACB,NM_001093.3,34,27,33,26,54,38,43,32,30,22,37,31
Endogenous,ACADL,NM_001608.3,3,2,1,4,3,3,3,5,4,3,5,8
Endogenous,ACAP2,NM_012287.5,1634,1273,1538,1525,1723,1443,1469,1710,1141,862,1680,1250
Endogenous,ACAT1,NM_000019.3,108,107,130,144,135,123,101,119,89,66,90,74
Endogenous,ACAT2,NM_005891.2,155,137,126,231,216,163,180,216,142,91,173,144
Endogenous,ACMSD,NM_138326.2,1,2,2,4,3,5,0,2,1,0,5,1
Endogenous,ACOT12,NM_130767.2,21,12,8,19,1,7,11,13,12,12,12,10
Endogenous,ACOX1,NM_004035.5,849,546,747,761,758,751,700,785,516,323,759,528
Endogenous,ACSF3,NR_045667.2,62,46,50,48,63,55,33,44,29,22,40,38
Endogenous,ACY1,NM_000666.2,8,6,11,7,3,4,3,3,4,4,3,1
Endogenous,ADA,NM_000022.2,194,222,80,222,264,208,207,149,209,146,254,178
Endogenous,ADAL,NM_001012969.2,38,19,35,27,38,31,23,29,23,19,24,17
Endogenous,ADH1A,NM_000667.3,6,3,4,3,6,4,2,2,3,2,3,7
Endogenous,ADH1B,NM_000668.4,5,5,4,3,2,7,3,3,3,5,7,0
Endogenous,ADH1C,NM_000669.3,2,5,0,7,4,3,3,1,3,1,3,1
Endogenous,ADH4,NM_000670.3,2,5,1,4,7,2,0,4,4,1,0,4
Endogenous,ADH6,NM_000672.3,3,3,4,6,9,5,4,5,8,3,11,7
Endogenous,ADH7,NM_000673.3,5,2,4,1,2,3,4,2,0,4,3,4
Endogenous,ADK,NM_001123.2,1136,369,406,444,492,1055,536,518,917,703,463,1611
