TYPE	text	text	text	integer	text	float	float	text	integer	text	text	integer	integer	integer	integer	float	float	float	float	float	float	text	text	text	text	text	text	text	text	text	text	text	integer	integer	integer
FEPARAMS	Protocol_Name	Protocol_date	Scan_ScannerName	Scan_NumChannels	Scan_Date	Scan_MicronsPerPixelX	Scan_MicronsPerPixelY	Scan_OriginalGUID	Scan_NumScanPass	Grid_Name	Grid_Date	Grid_NumSubGridRows	Grid_NumSubGridCols	Grid_NumRows	Grid_NumCols	Grid_RowSpacing	Grid_ColSpacing	Grid_OffsetX	Grid_OffsetY	Grid_NomSpotWidth	Grid_NomSpotHeight	Grid_GenomicBuild	FeatureExtractor_Barcode	FeatureExtractor_Sample	FeatureExtractor_ScanFileName	FeatureExtractor_ArrayName	FeatureExtractor_ScanFileGUID	FeatureExtractor_DesignFileName	FeatureExtractor_ExtractionTime	FeatureExtractor_UserName	FeatureExtractor_ComputerName	FeatureExtractor_Version	FeatureExtractor_IsXDRExtraction	FeatureExtractor_ColorMode	FeatureExtractor_QCReportType
DATA	GE1_107_Sep09 (Read Only)	29-Sep-2009 12:35	Agilent Technologies Scanner G2505C US84903606	1	06-01-2010 09:42:01	5	5	34f62850-7f46-4f71-92b8-8989c80fd816	1	028100_D_F_20100430	30-Apr-2010 00:00	1	1	192	82	73.3235	63.5	0	36.6617	65	65	hg19:GRCh37:Feb2009	252810010002_2_4		Z:\ARRAY-DATEN\LJ\Jan Enerudh Makrophagen Mikroarray\252810010002\\252810010002_201006010934_S01.tif	252810010002_201006010934_S01	0ca62763-28ce-41cb-b6c0-79b2bc9a1b29	028100_D_F_20100430.xml	01-Jun-2010 10:24:31	PHA	AGILENTSCANNER	10.7.3.1	0	0	0
*
TYPE	float	float	float	integer	integer	float	float	float	integer	float	float	float	integer	float	float	integer	integer	integer	integer	integer	float	float	float	integer	float	float	float	float	float	integer	integer	float	float	float	float	float	integer	float	float	float	float	integer	float	float	float	float	float	integer	float	float	float	float	float	float	float	integer	float	integer	float	float	float	float	integer	float	float	float	float	text	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	integer	integer	integer	integer	float	integer	text	integer	boolean	float	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean
STATS	gDarkOffsetAverage	gDarkOffsetMedian	gDarkOffsetStdDev	gDarkOffsetNumPts	gSaturationValue	gAvgSig2BkgeQC	gAvgSig2BkgNegCtrl	gRatioSig2BkgeQC_NegCtrl	gNumSatFeat	gLocalBGInlierNetAve	gLocalBGInlierAve	gLocalBGInlierSDev	gLocalBGInlierNum	gGlobalBGInlierAve	gGlobalBGInlierSDev	gGlobalBGInlierNum	gNumFeatureNonUnifOL	gNumPopnOL	gNumNonUnifBGOL	gNumPopnBGOL	gOffsetUsed	gGlobalFeatInlierAve	gGlobalFeatInlierSDev	gGlobalFeatInlierNum	AnyColorPrcntFeatNonUnifOL	AnyColorPrcntBGNonUnifOL	AnyColorPrcntFeatPopnOL	AnyColorPrcntBGPopnOL	TotalPrcntFeatOL	gNumNegBGSubFeat	gNonCtrlNumNegFeatBGSubSig	gSpatialDetrendRMSFit	gSpatialDetrendRMSFilteredMinusFit	gSpatialDetrendSurfaceArea	gSpatialDetrendVolume	gSpatialDetrendAveFit	gNonCtrlNumSatFeat	gNonCtrl99PrcntNetSig	gNonCtrl50PrcntNetSig	gNonCtrl1PrcntNetSig	gNonCtrlMedPrcntCVBGSubSig	gCtrleQCNumSatFeat	gCtrleQC99PrcntNetSig	gCtrleQC50PrcntNetSig	gCtrleQC1PrcntNetSig	geQCMedPrcntCVBGSubSig	geQCSig2BkgLow2	gNegCtrlNumInliers	gNegCtrlAveNetSig	gNegCtrlSDevNetSig	gNegCtrlAveBGSubSig	gNegCtrlSDevBGSubSig	gAveNumPixOLLo	gAveNumPixOLHi	gPixCVofHighSignalFeat	gNumHighSignalFeat	AddErrorEstimateGreen	TotalNumFeatures	ROIHeight	ROIWidth	CentroidDiffX	CentroidDiffY	NumFoundFeat	MaxNonUnifEdges	MaxSpotNotFoundEdges	gMultDetrendRMSFit	gMultDetrendSurfaceAverage	eQCLowSigName2	eQCOneColorLogLowSignal	eQCOneColorLogLowSignalError	eQCOneColorLogHighSignal	eQCOneColorLinFitLogLowConc	eQCOneColorLinFitLogLowSignal	eQCOneColorLinFitLogHighConc	eQCOneColorLinFitLogHighSignal	eQCOneColorLinFitSlope	eQCOneColorLinFitIntercept	eQCOneColorLinFitRSQ	eQCOneColorSpikeDetectionLimit	gNonCtrl50PrcntBGSubSig	gCtrleQC50PrcntBGSubSig	gMedPrcntCVProcSignal	geQCMedPrcntCVProcSignal	gOutlierFlagger_Auto_FeatB_Term	gOutlierFlagger_Auto_FeatC_Term	gOutlierFlagger_Auto_BgndB_Term	gOutlierFlagger_Auto_BgndC_Term	OutlierFlagger_FeatChiSq	OutlierFlagger_BgndChiSq	GriddingStatus	IsGoodGrid	NumGeneNonUnifOL	TotalNumberOfReplicatedGenes	gPercentileIntensityProcessedSignal	ExtractionStatus	QCMetricResults	gNonCtrlNumWellAboveBG	GridHasBeenOptimized	gNegCtrlSpread	Metric_IsGoodGrid	Metric_IsGoodGrid_IsInRange	Metric_AnyColorPrcntFeatNonUnifOL	Metric_AnyColorPrcntFeatNonUnifOL_IsInRange	Metric_gNegCtrlAveNetSig	Metric_gNegCtrlAveNetSig_IsInRange	Metric_gNegCtrlAveBGSubSig	Metric_gNegCtrlAveBGSubSig_IsInRange	Metric_gNegCtrlSDevBGSubSig	Metric_gNegCtrlSDevBGSubSig_IsInRange	Metric_gSpatialDetrendRMSFilteredMinusFit	Metric_gSpatialDetrendRMSFilteredMinusFit_IsInRange	Metric_gNonCntrlMedCVProcSignal	Metric_gNonCntrlMedCVProcSignal_IsInRange	Metric_gE1aMedCVProcSignal	Metric_gE1aMedCVProcSignal_IsInRange	Metric_absGE1E1aSlope	Metric_absGE1E1aSlope_IsInRange	Metric_DetectionLimit	Metric_DetectionLimit_IsInRange
DATA	8.39493	8.39493	1.87902	0	778131	2288.94	1.58424	1444.82	0	11.8941	20.289	1.45906	15568	20.289	1.45906	15568	1	102	0	176	8.39493	3539.97	18415.2	15642	0.00635163	0	0.647866	1.11789	0	1691	1477	1.28921	2.1218	1.00438	3.86658	29.1467	0	58987.9	141.843	16.7479	10.7469	0	324859	809.933	21.2926	10.1076	1.22699	75	18.3195	2.18446	-2.41373	1.76951	0.228786	0.993966	0.131082	2057	2.1218	15744	4.42981	7.6187	0.852124	0.908765	14381	0.00609756	0.0914634	0.0831663	1.00386	(+)E1A_r60_3	0.40023	0.319014	5.89105	1.62565	0.760589	6.48708	5.71246	1.0186	-0.895307	0.993807	0.977766	121.279	789.001	4.89778	3.95878	499.692	28.6944	57.6	18.8598	1.94605	2.32433	0	1	0	8665	828.385	0	ExtractionInRange	11489	0	7.02439	1	1	0.006352	1	18.3195	1	-2.41373	1	1.76951	1	2.1218	1	4.89778	1	3.95878	1	1.0186	1	0.977766	1
*
TYPE	integer	integer	integer	integer	integer	text	text	float	float	float	float	float	float	float	boolean	boolean	boolean	boolean	boolean	boolean	float	boolean	boolean	float	float
FEATURES	FeatureNum	Row	Col	SubTypeMask	ControlType	ProbeName	SystematicName	PositionX	PositionY	gProcessedSignal	gProcessedSigError	gMedianSignal	gBGMedianSignal	gBGPixSDev	gIsSaturated	gIsFeatNonUnifOL	gIsBGNonUnifOL	gIsFeatPopnOL	gIsBGPopnOL	IsManualFlag	gBGSubSignal	gIsPosAndSignif	gIsWellAboveBG	SpotExtentX	gBGMeanSignal
DATA	1	1	1	260	1	GE_BrightCorner	GE_BrightCorner	9909.96	2747.67	5.728402e+004	5.728403e+003	56114	20	5.244765e+000	0	0	0	0	0	0	56190.7	1	1	55.8519	19.875
DATA	2	1	2	66	1	DarkCorner	DarkCorner	9935.5	2747.65	2.215007e+000	2.179283e+000	29	20	5.160223e+000	0	0	0	0	0	0	0.665369	0	0	57.5363	19.847
DATA	3	1	3	66	1	DarkCorner	DarkCorner	9960.58	2747.57	2.227555e+000	2.190955e+000	29	20	5.071434e+000	0	0	0	0	0	0	0.406614	0	0	57.5363	20.2038
DATA	4	1	4	0	0	A_23_P335388	NM_173625	9986.42	2747.57	2.237981e+000	2.203709e+000	29	20	5.238235e+000	0	0	0	0	0	0	1.09017	0	0	57.5363	20.2633
DATA	5	1	5	0	0	A_23_P887	NM_014002	10011.5	2747.65	4.260268e+001	4.798683e+000	67.5	20	4.819351e+000	0	0	0	0	0	0	40.9302	1	1	57.5363	20.1288
DATA	6	1	6	0	0	A_23_P15692	NM_017986	10037	2747.54	1.348337e+001	2.592397e+000	42	19	4.839445e+000	0	0	0	0	0	0	12.9209	1	1	65	19.5981
DATA	7	1	7	0	0	A_32_P165611	NM_015254	10062.2	2747.45	1.635294e+003	1.635444e+002	1574.5	20	4.708371e+000	0	0	0	0	0	0	1564.52	1	1	50.7771	19.9067
DATA	8	1	8	0	0	A_33_P3390172	NM_001145271	10087.6	2747.4	3.113338e+002	3.121240e+001	318.5	20	4.789379e+000	0	0	0	0	0	0	297.618	1	1	50.7771	19.7797
DATA	9	1	9	0	0	A_23_P329112	NM_000215	10112.9	2747.66	2.416745e+001	3.281406e+000	52	19	4.824294e+000	0	0	0	0	0	0	23.1018	1	1	49.5074	19.4419
DATA	10	1	10	0	0	A_23_P126790	NM_006513	10138.4	2747.76	2.873806e+003	2.873891e+002	2639	19	5.059444e+000	0	0	0	0	0	0	2748.91	1	1	50.1463	19.431
DATA	11	1	11	0	0	A_24_P264207	NM_002823	10163.6	2747.88	4.049598e+004	4.049599e+003	37602	19.5	5.018122e+000	0	0	0	0	0	0	38786	1	1	51.7088	19.7731
DATA	12	1	12	0	0	A_24_P166094	NM_001025595	10189.3	2747.82	1.426223e+003	1.426395e+002	1333	19	4.853948e+000	0	0	0	0	0	0	1368.59	1	1	49.5074	19.5396
DATA	13	1	13	0	0	A_23_P167005	NM_014373	10214.7	2748.22	5.137756e+002	5.142489e+001	519.5	19	4.777377e+000	0	0	0	0	0	0	494.201	1	1	47.5395	19.2356
DATA	14	1	14	0	0	A_24_P182494	NM_007207	10239.9	2747.78	1.685065e+002	1.699362e+001	192	19	4.981983e+000	0	0	0	0	0	0	162.539	1	1	49.5074	19.2956
DATA	15	1	15	0	0	A_24_P271296	NM_175609	10265.5	2747.71	4.576263e+001	5.074409e+000	69	19	5.282333e+000	0	0	0	0	0	0	44.2852	1	1	49.1849	19.7962
DATA	16	1	16	0	0	A_23_P106998	NM_016070	10290.8	2747.69	6.205424e+002	6.209269e+001	586	19	4.843555e+000	0	0	0	0	0	0	602.645	1	1	49.5074	19.3596
DATA	17	1	17	0	0	A_23_P163347	NM_016166	10316.2	2747.69	2.468365e+003	2.468461e+002	2323	19	4.406326e+000	0	0	0	0	0	0	2406.42	1	1	49.5074	19.1404
DATA	18	1	18	0	0	A_24_P257416	NM_002089	10341.4	2747.74	4.225032e+002	4.230589e+001	435	19	4.722711e+000	0	0	0	0	0	0	413.576	1	1	49.5074	19.2324
DATA	19	1	19	0	0	A_24_P374513	ENST00000323496	10367.4	2747.6	2.018942e+005	2.018943e+004	197360	20	5.517779e+000	0	0	0	0	0	0	198487	1	1	57.8122	20.1324
DATA	20	1	20	0	0	A_24_P257416	NM_002089	10392.3	2747.97	4.197866e+002	4.203362e+001	442	19	4.977944e+000	0	0	0	0	0	0	414.511	1	1	46.1809	19.334
DATA	21	1	21	0	0	A_24_P626951	ENST00000479981	10418	2748	8.442860e+000	2.299641e+000	35	19	4.676612e+000	0	0	0	0	0	0	8.37478	1	0	54.9904	19.0117
DATA	22	1	22	0	0	A_33_P3390172	NM_001145271	10443.2	2747.96	2.968040e+002	2.975669e+001	325	18	4.733200e+000	0	0	0	0	0	0	295.738	1	1	46.8651	18.7083
DATA	23	1	23	0	0	A_23_P34744	NM_000396	10468.7	2748.16	3.248283e+003	3.248352e+002	3063	19	4.996618e+000	0	0	0	0	0	0	3251.52	1	1	48.2044	19.3505
DATA	24	1	24	0	0	A_32_P157114	THC2713739	10493.5	2748.19	2.452608e+001	3.235592e+000	51	18	4.949138e+000	0	0	0	0	0	0	24.6586	1	1	48.8603	18.833
DATA	25	1	25	0	0	A_23_P314145	NM_005715	10519.5	2747.75	2.856295e+000	2.120322e+000	29	19	4.876398e+000	0	0	0	0	0	0	2.88458	1	0	46.8651	19.3588
DATA	26	1	26	0	0	A_23_P131789	NM_001725	10544.4	2748.24	5.989477e+000	2.175980e+000	32.5	19	4.781775e+000	0	0	0	0	0	0	6.07501	1	0	46.1809	19.2815
DATA	27	1	27	0	0	A_23_P361027	AK091100	10570	2748.38	5.387047e+000	2.151611e+000	33	18	4.858819e+000	0	0	0	0	0	0	5.48718	1	0	45.4864	18.575
DATA	28	1	28	0	0	A_24_P69095	NM_003633	10595.5	2748.12	7.026175e+001	7.326128e+000	94	19	5.219431e+000	0	0	0	0	0	0	71.8515	1	1	48.8603	18.9251
DATA	29	1	29	0	0	A_23_P18656	NM_144643	10621	2748.14	4.467657e+002	4.472436e+001	476.5	19	4.798367e+000	0	0	0	0	0	0	458.611	1	1	46.8651	19.3731
DATA	30	1	30	0	0	A_24_P396994	NM_001690	10646.3	2748.1	6.879713e+003	6.879743e+002	6762.5	19	4.700825e+000	0	0	0	0	0	0	7087.1	1	1	47.2035	19.4902
DATA	31	1	31	0	0	A_23_P329772	NM_013245	10671.6	2748.1	2.004331e+003	2.004436e+002	2061.5	18	4.429363e+000	0	0	0	0	0	0	2071.52	1	1	49.5074	18.8832
DATA	32	1	32	0	0	A_23_P153616	NM_130760	10697.5	2748	6.393762e+000	2.144308e+000	33.5	18	4.372045e+000	0	0	0	0	0	0	6.62815	1	0	54.1152	18.4335
DATA	33	1	33	0	0	A_23_P111995	NM_002318	10722.5	2748	9.731109e+000	2.261444e+000	37	19	4.823986e+000	0	0	0	0	0	0	10.1145	1	0	54.1152	19.4178
DATA	34	1	34	0	0	A_24_P258277	NM_015853	10747.9	2748	7.295908e+003	7.295936e+002	7641	19	4.789061e+000	0	0	0	0	0	0	7601.22	1	1	49.1849	19.4186
DATA	35	1	35	0	0	A_24_P311926	NM_002127	10773.5	2748.35	1.441532e+005	1.441532e+004	149330	19	5.026754e+000	0	0	0	0	0	0	150503	1	1	57.5363	19.2846
