TYPE	text	text	text	integer	text	float	float	text	integer	text	text	integer	integer	integer	integer	float	float	float	float	float	float	text	text	text	text	text	text	text	text	text	text	text	integer	integer	integer
FEPARAMS	Protocol_Name	Protocol_date	Scan_ScannerName	Scan_NumChannels	Scan_Date	Scan_MicronsPerPixelX	Scan_MicronsPerPixelY	Scan_OriginalGUID	Scan_NumScanPass	Grid_Name	Grid_Date	Grid_NumSubGridRows	Grid_NumSubGridCols	Grid_NumRows	Grid_NumCols	Grid_RowSpacing	Grid_ColSpacing	Grid_OffsetX	Grid_OffsetY	Grid_NomSpotWidth	Grid_NomSpotHeight	Grid_GenomicBuild	FeatureExtractor_Barcode	FeatureExtractor_Sample	FeatureExtractor_ScanFileName	FeatureExtractor_ArrayName	FeatureExtractor_ScanFileGUID	FeatureExtractor_DesignFileName	FeatureExtractor_ExtractionTime	FeatureExtractor_UserName	FeatureExtractor_ComputerName	FeatureExtractor_Version	FeatureExtractor_IsXDRExtraction	FeatureExtractor_ColorMode	FeatureExtractor_QCReportType
DATA	GE1_107_Sep09 (Read Only)	29-Sep-2009 12:35	Agilent Technologies Scanner G2505C US84903606	1	06-01-2010 09:49:58	5	5	8f4fd92f-2e61-4527-861a-1dfcfa037da1	1	028100_D_F_20100430	30-Apr-2010 00:00	1	1	192	82	73.3235	63.5	0	36.6617	65	65	hg19:GRCh37:Feb2009	252810010003_1_4		Z:\ARRAY-DATEN\LJ\Jan Enerudh Makrophagen Mikroarray\252810010003\\252810010003_201006010942_S01.tif	252810010003_201006010942_S01	98e505ce-4b5b-4164-b59f-e88aafd9b9f7	028100_D_F_20100430.xml	01-Jun-2010 10:40:28	PHA	AGILENTSCANNER	10.7.3.1	0	0	0
*
TYPE	float	float	float	integer	integer	float	float	float	integer	float	float	float	integer	float	float	integer	integer	integer	integer	integer	float	float	float	integer	float	float	float	float	float	integer	integer	float	float	float	float	float	integer	float	float	float	float	integer	float	float	float	float	float	integer	float	float	float	float	float	float	float	integer	float	integer	float	float	float	float	integer	float	float	float	float	text	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	integer	integer	integer	integer	float	integer	text	integer	boolean	float	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean
STATS	gDarkOffsetAverage	gDarkOffsetMedian	gDarkOffsetStdDev	gDarkOffsetNumPts	gSaturationValue	gAvgSig2BkgeQC	gAvgSig2BkgNegCtrl	gRatioSig2BkgeQC_NegCtrl	gNumSatFeat	gLocalBGInlierNetAve	gLocalBGInlierAve	gLocalBGInlierSDev	gLocalBGInlierNum	gGlobalBGInlierAve	gGlobalBGInlierSDev	gGlobalBGInlierNum	gNumFeatureNonUnifOL	gNumPopnOL	gNumNonUnifBGOL	gNumPopnBGOL	gOffsetUsed	gGlobalFeatInlierAve	gGlobalFeatInlierSDev	gGlobalFeatInlierNum	AnyColorPrcntFeatNonUnifOL	AnyColorPrcntBGNonUnifOL	AnyColorPrcntFeatPopnOL	AnyColorPrcntBGPopnOL	TotalPrcntFeatOL	gNumNegBGSubFeat	gNonCtrlNumNegFeatBGSubSig	gSpatialDetrendRMSFit	gSpatialDetrendRMSFilteredMinusFit	gSpatialDetrendSurfaceArea	gSpatialDetrendVolume	gSpatialDetrendAveFit	gNonCtrlNumSatFeat	gNonCtrl99PrcntNetSig	gNonCtrl50PrcntNetSig	gNonCtrl1PrcntNetSig	gNonCtrlMedPrcntCVBGSubSig	gCtrleQCNumSatFeat	gCtrleQC99PrcntNetSig	gCtrleQC50PrcntNetSig	gCtrleQC1PrcntNetSig	geQCMedPrcntCVBGSubSig	geQCSig2BkgLow2	gNegCtrlNumInliers	gNegCtrlAveNetSig	gNegCtrlSDevNetSig	gNegCtrlAveBGSubSig	gNegCtrlSDevBGSubSig	gAveNumPixOLLo	gAveNumPixOLHi	gPixCVofHighSignalFeat	gNumHighSignalFeat	AddErrorEstimateGreen	TotalNumFeatures	ROIHeight	ROIWidth	CentroidDiffX	CentroidDiffY	NumFoundFeat	MaxNonUnifEdges	MaxSpotNotFoundEdges	gMultDetrendRMSFit	gMultDetrendSurfaceAverage	eQCLowSigName2	eQCOneColorLogLowSignal	eQCOneColorLogLowSignalError	eQCOneColorLogHighSignal	eQCOneColorLinFitLogLowConc	eQCOneColorLinFitLogLowSignal	eQCOneColorLinFitLogHighConc	eQCOneColorLinFitLogHighSignal	eQCOneColorLinFitSlope	eQCOneColorLinFitIntercept	eQCOneColorLinFitRSQ	eQCOneColorSpikeDetectionLimit	gNonCtrl50PrcntBGSubSig	gCtrleQC50PrcntBGSubSig	gMedPrcntCVProcSignal	geQCMedPrcntCVProcSignal	gOutlierFlagger_Auto_FeatB_Term	gOutlierFlagger_Auto_FeatC_Term	gOutlierFlagger_Auto_BgndB_Term	gOutlierFlagger_Auto_BgndC_Term	OutlierFlagger_FeatChiSq	OutlierFlagger_BgndChiSq	GriddingStatus	IsGoodGrid	NumGeneNonUnifOL	TotalNumberOfReplicatedGenes	gPercentileIntensityProcessedSignal	ExtractionStatus	QCMetricResults	gNonCtrlNumWellAboveBG	GridHasBeenOptimized	gNegCtrlSpread	Metric_IsGoodGrid	Metric_IsGoodGrid_IsInRange	Metric_AnyColorPrcntFeatNonUnifOL	Metric_AnyColorPrcntFeatNonUnifOL_IsInRange	Metric_gNegCtrlAveNetSig	Metric_gNegCtrlAveNetSig_IsInRange	Metric_gNegCtrlAveBGSubSig	Metric_gNegCtrlAveBGSubSig_IsInRange	Metric_gNegCtrlSDevBGSubSig	Metric_gNegCtrlSDevBGSubSig_IsInRange	Metric_gSpatialDetrendRMSFilteredMinusFit	Metric_gSpatialDetrendRMSFilteredMinusFit_IsInRange	Metric_gNonCntrlMedCVProcSignal	Metric_gNonCntrlMedCVProcSignal_IsInRange	Metric_gE1aMedCVProcSignal	Metric_gE1aMedCVProcSignal_IsInRange	Metric_absGE1E1aSlope	Metric_absGE1E1aSlope_IsInRange	Metric_DetectionLimit	Metric_DetectionLimit_IsInRange
DATA	8.4127	8.4127	2.00317	0	778149	2387.63	1.7507	1363.82	0	9.93608	18.3488	1.37061	15528	18.3488	1.37061	15528	3	133	20	215	8.4127	4019.78	20278.8	15608	0.0190549	0.127033	0.844766	1.3656	0.0197265	1557	1343	1.13784	1.80149	1.00059	3.30961	27.4987	0	86877.4	118.218	15.5574	12.7697	0	317380	716.635	19.9683	12.9557	1.70256	75	16.6883	2.00962	-2.42777	1.58343	0.212398	1.05386	0.128873	2046	1.80149	15744	4.40522	7.6185	0.891244	0.837497	14548	0.00609756	0.097561	0.0979445	1.00499	(+)E1A_r60_3	0.772958	0.205086	5.89106	2.09827	1.14527	6.50452	5.69702	1.03302	-1.02229	0.993747	1.19028	99.3779	696.79	5.56104	5.06729	473.871	33.5661	51.0938	19.9315	1.94683	2.32254	0	1	3	8665	782.218	0	ExtractionInRange	11483	0	5.98896	1	1	0.019055	1	16.6883	1	-2.42777	1	1.58343	1	1.80149	1	5.56104	1	5.06729	1	1.03302	1	1.19028	1
*
TYPE	integer	integer	integer	integer	integer	text	text	float	float	float	float	float	float	float	boolean	boolean	boolean	boolean	boolean	boolean	float	boolean	boolean	float	float
FEATURES	FeatureNum	Row	Col	SubTypeMask	ControlType	ProbeName	SystematicName	PositionX	PositionY	gProcessedSignal	gProcessedSigError	gMedianSignal	gBGMedianSignal	gBGPixSDev	gIsSaturated	gIsFeatNonUnifOL	gIsBGNonUnifOL	gIsFeatPopnOL	gIsBGPopnOL	IsManualFlag	gBGSubSignal	gIsPosAndSignif	gIsWellAboveBG	SpotExtentX	gBGMeanSignal
DATA	1	1	1	260	1	GE_BrightCorner	GE_BrightCorner	9910.09	286.55	7.298763e+004	7.298763e+003	69001	17	5.127282e+000	0	0	0	0	0	0	68934	1	1	56.7004	17.3411
DATA	2	1	2	66	1	DarkCorner	DarkCorner	9935.5	286.5	9.451837e+000	2.143559e+000	35	18	4.825952e+000	0	0	0	1	0	0	8.85036	1	0	65	17.8162
DATA	3	1	3	66	1	DarkCorner	DarkCorner	9960.67	286.5	7.987830e+000	2.096007e+000	32	17	4.681908e+000	0	0	0	1	0	0	7.42583	1	0	57.5363	17.1384
DATA	4	1	4	0	0	A_23_P335388	NM_173625	9986.33	286.5	1.367406e+001	2.381365e+000	36	17	4.978488e+000	0	0	0	0	0	0	12.635	1	1	57.5363	17.5392
DATA	5	1	5	0	0	A_23_P887	NM_014002	10011.5	286.5	3.271928e+001	3.813558e+000	53	17	4.871379e+000	0	0	0	0	0	0	30.0884	1	1	57.5363	17.4122
DATA	6	1	6	0	0	A_23_P15692	NM_017986	10036.9	286.5	2.224658e+001	2.969122e+000	44	17	4.601670e+000	0	0	0	0	0	0	20.3813	1	1	56.9804	16.9466
DATA	7	1	7	0	0	A_32_P165611	NM_015254	10062.4	286.165	1.141955e+003	1.142125e+002	1032.5	17	4.539065e+000	0	0	0	0	0	0	1043.31	1	1	50.1463	17.1478
DATA	8	1	8	0	0	A_33_P3390172	NM_001145271	10087.9	286.204	2.008740e+000	1.981927e+000	28	17	4.567521e+000	0	0	0	0	0	0	1.46879	0	0	40.6843	16.9317
DATA	9	1	9	0	0	A_23_P329112	NM_000215	10113	286.418	4.107064e+001	4.558186e+000	64	16	4.595921e+000	0	0	0	0	0	0	37.4219	1	1	50.1463	16.572
DATA	10	1	10	0	0	A_23_P126790	NM_006513	10138.6	286.659	2.058839e+003	2.058934e+002	1833	16	4.498705e+000	0	0	0	0	0	0	1875.74	1	1	52.9257	16.8129
DATA	11	1	11	0	0	A_24_P264207	NM_002823	10163.9	286.5	2.078919e+004	2.078920e+003	17905	17	4.864289e+000	0	0	0	0	0	0	18950.9	1	1	56.9804	17.5661
DATA	12	1	12	0	0	A_24_P166094	NM_001025595	10189.4	286.6	1.046106e+003	1.046292e+002	932.5	17	5.054869e+000	0	0	0	0	0	0	954.808	1	1	50.7771	17.3209
DATA	13	1	13	0	0	A_23_P167005	NM_014373	10214.8	286.481	1.227198e+002	1.242912e+001	140	17	4.692504e+000	0	0	0	0	0	0	112.212	1	1	51.0895	16.8535
DATA	14	1	14	0	0	A_24_P182494	NM_007207	10240.1	286.5	3.195594e+001	3.751711e+000	57	17	4.720202e+000	0	0	0	0	0	0	29.2882	1	1	56.9804	16.851
DATA	15	1	15	0	0	A_24_P271296	NM_175609	10265.4	286.533	3.367554e+001	3.896453e+000	60	17	4.894522e+000	0	0	0	0	0	0	30.9508	1	1	49.5074	17.1565
DATA	16	1	16	0	0	A_23_P106998	NM_016070	10291	286.405	4.784449e+002	4.788437e+001	455	17	4.482178e+000	0	0	0	0	0	0	441.144	1	1	49.8279	17.09
DATA	17	1	17	0	0	A_23_P163347	NM_016166	10316.3	286.272	2.030149e+003	2.030243e+002	1788.5	17	4.992433e+000	0	0	0	0	0	0	1878.45	1	1	51.0895	17.2747
DATA	18	1	18	0	0	A_24_P257416	NM_002089	10341.6	286.325	4.040658e+002	4.045310e+001	393	17	4.582695e+000	0	0	0	0	0	0	375.307	1	1	49.8279	16.8171
DATA	19	1	19	0	0	A_24_P374513	ENST00000323496	10367.1	286.5	1.461424e+005	1.461424e+004	129050	18	4.963979e+000	0	0	0	0	0	0	136304	1	1	56.9804	17.7421
DATA	20	1	20	0	0	A_24_P257416	NM_002089	10392.4	286.36	3.763451e+002	3.768363e+001	376	17	5.130142e+000	0	0	0	0	0	0	352.486	1	1	48.8603	17.1799
DATA	21	1	21	0	0	A_24_P626951	ENST00000479981	10417.5	286.294	9.172688e+000	2.123457e+000	36	17	4.873997e+000	0	0	0	0	0	0	8.62844	1	0	46.8651	17.0416
DATA	22	1	22	0	0	A_33_P3390172	NM_001145271	10442.8	286.423	4.473598e+000	1.958316e+000	30	17	4.890727e+000	0	0	0	0	0	0	4.22712	1	0	47.5395	17.3516
DATA	23	1	23	0	0	A_23_P34744	NM_000396	10468.6	286.591	7.236135e+002	7.238623e+001	690	17	4.981679e+000	0	0	0	0	0	0	686.916	1	1	52.9257	17.5506
DATA	24	1	24	0	0	A_32_P157114	THC2713739	10494.1	286.5	1.514821e+001	2.421516e+000	42	17	4.912666e+000	0	0	0	0	0	0	14.445	1	1	56.9804	17.4231
DATA	25	1	25	0	0	A_23_P314145	NM_005715	10519.5	286.5	1.912539e+000	1.882539e+000	29	17	4.394420e+000	0	0	0	0	0	0	0.781573	0	0	57.5363	17.1429
DATA	26	1	26	0	0	A_23_P131789	NM_001725	10544.5	286.926	1.914320e+000	1.882169e+000	31	17	4.765782e+000	0	0	0	0	0	0	1.84181	1	0	42.2201	16.6758
DATA	27	1	27	0	0	A_23_P361027	AK091100	10570.9	287.5	1.895251e+000	1.871344e+000	29	17	4.619265e+000	0	0	0	0	0	0	1.62585	0	0	39.8942	16.9202
DATA	28	1	28	0	0	A_24_P69095	NM_003633	10595.9	286.395	8.148788e+001	8.357680e+000	104	17	4.622496e+000	0	0	0	0	0	0	79.0564	1	1	49.1849	16.8709
DATA	29	1	29	0	0	A_23_P18656	NM_144643	10621	286.563	2.515775e+002	2.522565e+001	275	17	4.907768e+000	0	0	0	0	0	0	245.034	1	1	51.0895	16.7115
DATA	30	1	30	0	0	A_24_P396994	NM_001690	10646.2	286.522	6.848850e+003	6.848875e+002	6244	17	5.058531e+000	0	0	0	0	0	0	6695.24	1	1	53.5237	17.056
DATA	31	1	31	0	0	A_23_P329772	NM_013245	10671.7	286.333	1.696664e+003	1.696763e+002	1587.5	17	4.942715e+000	0	0	0	0	0	0	1664.28	1	1	53.5237	17.3175
DATA	32	1	32	0	0	A_23_P153616	NM_130760	10697.3	286.5	6.233492e+000	1.933747e+000	33	17	4.987552e+000	0	0	0	0	0	0	6.13463	1	0	57.5363	16.7245
DATA	33	1	33	0	0	A_23_P111995	NM_002318	10722.5	286.5	6.761370e+000	1.946478e+000	34	17	4.608102e+000	0	0	0	0	0	0	6.67328	1	0	57.5363	17.0038
DATA	34	1	34	0	0	A_24_P258277	NM_015853	10747.9	286.378	6.068046e+003	6.068074e+002	5750	17	4.852646e+000	0	0	0	0	0	0	6004.24	1	1	53.5237	17.0057
DATA	35	1	35	0	0	A_24_P311926	NM_002127	10773.5	286.5	1.011530e+005	1.011530e+004	95478	17	5.144625e+000	0	0	0	0	0	0	100320	1	1	57.5363	17.3352
