TYPE	text	text	text	integer	text	float	float	text	integer	text	text	integer	integer	integer	integer	float	float	float	float	float	float	text	text	text	text	text	text	text	text	text	text	text	integer	integer	integer
FEPARAMS	Protocol_Name	Protocol_date	Scan_ScannerName	Scan_NumChannels	Scan_Date	Scan_MicronsPerPixelX	Scan_MicronsPerPixelY	Scan_OriginalGUID	Scan_NumScanPass	Grid_Name	Grid_Date	Grid_NumSubGridRows	Grid_NumSubGridCols	Grid_NumRows	Grid_NumCols	Grid_RowSpacing	Grid_ColSpacing	Grid_OffsetX	Grid_OffsetY	Grid_NomSpotWidth	Grid_NomSpotHeight	Grid_GenomicBuild	FeatureExtractor_Barcode	FeatureExtractor_Sample	FeatureExtractor_ScanFileName	FeatureExtractor_ArrayName	FeatureExtractor_ScanFileGUID	FeatureExtractor_DesignFileName	FeatureExtractor_ExtractionTime	FeatureExtractor_UserName	FeatureExtractor_ComputerName	FeatureExtractor_Version	FeatureExtractor_IsXDRExtraction	FeatureExtractor_ColorMode	FeatureExtractor_QCReportType
DATA	GE1_107_Sep09 (Read Only)	29-Sep-2009 12:35	Agilent Technologies Scanner G2505C US84903606	1	05-20-2010 09:02:51	5	5	d22ea3b8-af22-46c0-8f7e-7e3a1a45af02	1	028100_D_F_20100430	30-Apr-2010 00:00	1	1	192	82	73.3235	63.5	0	36.6617	65	65	hg19:GRCh37:Feb2009	252810010014_2_1		T:\ARRAY-DATEN\LJ\Jan Enerudh Makrophagen Mikroarray\LJ0135-0142_Agilent\\252810010014_201005200855_S01.tif	252810010014_201005200855_S01	12b27401-a151-40f9-ba49-b81432880084	028100_D_F_20100430.xml	20-May-2010 09:20:13	rog	AGILENTSCANNER	10.7.3.1	0	0	0
*
TYPE	float	float	float	integer	integer	float	float	float	integer	float	float	float	integer	float	float	integer	integer	integer	integer	integer	float	float	float	integer	float	float	float	float	float	integer	integer	float	float	float	float	float	integer	float	float	float	float	integer	float	float	float	float	float	integer	float	float	float	float	float	float	float	integer	float	integer	float	float	float	float	integer	float	float	float	float	text	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	integer	integer	integer	integer	float	integer	text	integer	boolean	float	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean
STATS	gDarkOffsetAverage	gDarkOffsetMedian	gDarkOffsetStdDev	gDarkOffsetNumPts	gSaturationValue	gAvgSig2BkgeQC	gAvgSig2BkgNegCtrl	gRatioSig2BkgeQC_NegCtrl	gNumSatFeat	gLocalBGInlierNetAve	gLocalBGInlierAve	gLocalBGInlierSDev	gLocalBGInlierNum	gGlobalBGInlierAve	gGlobalBGInlierSDev	gGlobalBGInlierNum	gNumFeatureNonUnifOL	gNumPopnOL	gNumNonUnifBGOL	gNumPopnBGOL	gOffsetUsed	gGlobalFeatInlierAve	gGlobalFeatInlierSDev	gGlobalFeatInlierNum	AnyColorPrcntFeatNonUnifOL	AnyColorPrcntBGNonUnifOL	AnyColorPrcntFeatPopnOL	AnyColorPrcntBGPopnOL	TotalPrcntFeatOL	gNumNegBGSubFeat	gNonCtrlNumNegFeatBGSubSig	gSpatialDetrendRMSFit	gSpatialDetrendRMSFilteredMinusFit	gSpatialDetrendSurfaceArea	gSpatialDetrendVolume	gSpatialDetrendAveFit	gNonCtrlNumSatFeat	gNonCtrl99PrcntNetSig	gNonCtrl50PrcntNetSig	gNonCtrl1PrcntNetSig	gNonCtrlMedPrcntCVBGSubSig	gCtrleQCNumSatFeat	gCtrleQC99PrcntNetSig	gCtrleQC50PrcntNetSig	gCtrleQC1PrcntNetSig	geQCMedPrcntCVBGSubSig	geQCSig2BkgLow2	gNegCtrlNumInliers	gNegCtrlAveNetSig	gNegCtrlSDevNetSig	gNegCtrlAveBGSubSig	gNegCtrlSDevBGSubSig	gAveNumPixOLLo	gAveNumPixOLHi	gPixCVofHighSignalFeat	gNumHighSignalFeat	AddErrorEstimateGreen	TotalNumFeatures	ROIHeight	ROIWidth	CentroidDiffX	CentroidDiffY	NumFoundFeat	MaxNonUnifEdges	MaxSpotNotFoundEdges	gMultDetrendRMSFit	gMultDetrendSurfaceAverage	eQCLowSigName2	eQCOneColorLogLowSignal	eQCOneColorLogLowSignalError	eQCOneColorLogHighSignal	eQCOneColorLinFitLogLowConc	eQCOneColorLinFitLogLowSignal	eQCOneColorLinFitLogHighConc	eQCOneColorLinFitLogHighSignal	eQCOneColorLinFitSlope	eQCOneColorLinFitIntercept	eQCOneColorLinFitRSQ	eQCOneColorSpikeDetectionLimit	gNonCtrl50PrcntBGSubSig	gCtrleQC50PrcntBGSubSig	gMedPrcntCVProcSignal	geQCMedPrcntCVProcSignal	gOutlierFlagger_Auto_FeatB_Term	gOutlierFlagger_Auto_FeatC_Term	gOutlierFlagger_Auto_BgndB_Term	gOutlierFlagger_Auto_BgndC_Term	OutlierFlagger_FeatChiSq	OutlierFlagger_BgndChiSq	GriddingStatus	IsGoodGrid	NumGeneNonUnifOL	TotalNumberOfReplicatedGenes	gPercentileIntensityProcessedSignal	ExtractionStatus	QCMetricResults	gNonCtrlNumWellAboveBG	GridHasBeenOptimized	gNegCtrlSpread	Metric_IsGoodGrid	Metric_IsGoodGrid_IsInRange	Metric_AnyColorPrcntFeatNonUnifOL	Metric_AnyColorPrcntFeatNonUnifOL_IsInRange	Metric_gNegCtrlAveNetSig	Metric_gNegCtrlAveNetSig_IsInRange	Metric_gNegCtrlAveBGSubSig	Metric_gNegCtrlAveBGSubSig_IsInRange	Metric_gNegCtrlSDevBGSubSig	Metric_gNegCtrlSDevBGSubSig_IsInRange	Metric_gSpatialDetrendRMSFilteredMinusFit	Metric_gSpatialDetrendRMSFilteredMinusFit_IsInRange	Metric_gNonCntrlMedCVProcSignal	Metric_gNonCntrlMedCVProcSignal_IsInRange	Metric_gE1aMedCVProcSignal	Metric_gE1aMedCVProcSignal_IsInRange	Metric_absGE1E1aSlope	Metric_absGE1E1aSlope_IsInRange	Metric_DetectionLimit	Metric_DetectionLimit_IsInRange
DATA	8.42059	8.42059	2.05385	0	778010	2074.01	1.18412	1751.52	0	14.117	22.5376	1.46887	15464	22.5376	1.46887	15464	1	168	0	280	8.42059	3503.47	15577.1	15575	0.00635163	0	1.06707	1.77846	0.00657549	1696	1487	1.42268	1.74476	1.00406	2.39106	26.8892	0	53807	172.626	14.8909	11.2239	0	238051	791.826	16.0955	10.807	1.01605	75	16.3632	2.24445	-2.08106	1.79363	0.308626	0.859121	0.110552	2494	1.74476	15744	4.42809	7.61904	0.733687	1.06213	13718	0	0.0731707	0.0881045	1.00461	(+)E1A_r60_3	-0.123245	0.189549	5.89099	1.1031	0.168783	6.59511	5.75774	1.01765	-0.953782	0.996605	0.349368	153.96	774.593	5.31685	5.32248	463.333	33.8669	64.5	26.0513	1.94599	2.31866	0	1	1	8665	1045.38	0	ExtractionInRange	11575	0	5.59013	1	1	0.006352	1	16.3632	1	-2.08107	1	1.79363	1	1.74476	1	5.31685	1	5.32248	1	1.01765	1	0.349368	1
*
TYPE	integer	integer	integer	integer	integer	text	text	float	float	float	float	float	float	float	boolean	boolean	boolean	boolean	boolean	boolean	float	boolean	boolean	float	float
FEATURES	FeatureNum	Row	Col	SubTypeMask	ControlType	ProbeName	SystematicName	PositionX	PositionY	gProcessedSignal	gProcessedSigError	gMedianSignal	gBGMedianSignal	gBGPixSDev	gIsSaturated	gIsFeatNonUnifOL	gIsBGNonUnifOL	gIsFeatPopnOL	gIsBGPopnOL	IsManualFlag	gBGSubSignal	gIsPosAndSignif	gIsWellAboveBG	SpotExtentX	gBGMeanSignal
DATA	1	1	1	260	1	GE_BrightCorner	GE_BrightCorner	314.577	2750.9	3.420232e+004	3.420233e+003	30222	20	5.550913e+000	0	0	0	0	0	0	30055.4	1	1	53.2255	20.5513
DATA	2	1	2	66	1	DarkCorner	DarkCorner	340	2751	2.019948e+000	1.989336e+000	31	21	5.088889e+000	0	0	0	0	0	0	0.949942	0	0	54.9904	21.2395
DATA	3	1	3	66	1	DarkCorner	DarkCorner	365.919	2751.16	4.840986e+000	2.043500e+000	34	21	5.150686e+000	0	0	0	0	0	0	4.25438	1	0	45.1352	21.2139
DATA	4	1	4	0	0	A_23_P335388	NM_173625	390.722	2750.94	1.192958e+001	2.313859e+000	39	20	5.574237e+000	0	0	0	0	0	0	10.4983	1	1	47.5395	21.2467
DATA	5	1	5	0	0	A_23_P887	NM_014002	416.566	2751.17	5.805204e+001	6.132979e+000	79	21	5.425981e+000	0	0	0	0	0	0	51.203	1	1	49.1849	20.9883
DATA	6	1	6	0	0	A_23_P15692	NM_017986	441.5	2751.35	8.030191e+000	2.129593e+000	36.5	21	5.362475e+000	0	0	0	0	0	0	7.10343	1	0	57.5363	21.1417
DATA	7	1	7	0	0	A_32_P165611	NM_015254	467.368	2750.74	1.176426e+003	1.176590e+002	1030	20	5.697229e+000	0	0	0	0	0	0	1044.45	1	1	46.5243	20.7786
DATA	8	1	8	0	0	A_33_P3390172	NM_001145271	492.5	2751.35	3.807462e+000	1.993621e+000	31	20	5.963785e+000	0	0	0	0	0	0	3.39466	1	0	65	20.8792
DATA	9	1	9	0	0	A_23_P329112	NM_000215	517.582	2751.43	3.356777e+001	3.880937e+000	60	21	5.728420e+000	0	0	0	0	0	0	30.0694	1	1	65	21.5458
DATA	10	1	10	0	0	A_23_P126790	NM_006513	543.358	2750.87	2.714502e+003	2.714571e+002	2411	21	5.252633e+000	0	0	0	0	0	0	2444.37	1	1	45.835	21.4381
DATA	11	1	11	0	0	A_24_P264207	NM_002823	568.565	2750.77	2.093115e+004	2.093116e+003	18970	21	5.740793e+000	0	0	0	0	0	0	18953.5	1	1	46.8651	21.1364
DATA	12	1	12	0	0	A_24_P166094	NM_001025595	594.435	2750.77	1.969529e+003	1.969622e+002	1821	21	5.804913e+000	0	0	0	0	0	0	1794.33	1	1	46.8651	21.2381
DATA	13	1	13	0	0	A_23_P167005	NM_014373	619.565	2750.71	1.603529e+002	1.614785e+001	169	22	5.747194e+000	0	0	0	0	0	0	146.996	1	1	46.8651	21.543
DATA	14	1	14	0	0	A_24_P182494	NM_007207	645.2	2750.55	8.946844e+001	9.144483e+000	112	21	5.828937e+000	0	0	0	0	0	0	82.5532	1	1	45.4864	21.2849
DATA	15	1	15	0	0	A_24_P271296	NM_175609	670.107	2751.5	2.703832e+001	3.292206e+000	52	21	5.808210e+000	0	0	0	0	0	0	25.1163	1	1	56.9804	21.4145
DATA	16	1	16	0	0	A_23_P106998	NM_016070	695.697	2751.36	8.025923e+002	8.028091e+001	754	22	5.699251e+000	0	0	0	0	0	0	750.654	1	1	49.5074	21.4846
DATA	17	1	17	0	0	A_23_P163347	NM_016166	720.933	2751.36	2.091918e+003	2.092000e+002	1964	22	5.919558e+000	0	0	0	0	0	0	1969.98	1	1	53.5237	21.621
DATA	18	1	18	0	0	A_24_P257416	NM_002089	746.418	2751.43	1.141048e+002	1.155787e+001	137	22	5.935426e+000	0	0	0	0	0	0	108.204	1	1	57.5363	21.6455
DATA	19	1	19	0	0	A_24_P374513	ENST00000323496	771.582	2751.43	2.397278e+005	2.397278e+004	228824	21	6.372108e+000	0	0	0	0	0	0	228890	1	1	57.5363	21.9025
DATA	20	1	20	0	0	A_24_P257416	NM_002089	797.191	2751.57	1.139122e+002	1.153487e+001	139	21	5.563005e+000	0	0	0	0	0	0	109.519	1	1	46.8651	21.0117
DATA	21	1	21	0	0	A_24_P626951	ENST00000479981	822.5	2751.5	1.224248e+001	2.179032e+000	39	21	5.645207e+000	0	0	0	0	0	0	11.8496	1	1	57.5363	21.1081
DATA	22	1	22	0	0	A_33_P3390172	NM_001145271	847.893	2751.5	1.057243e+001	2.079542e+000	37	21	5.574607e+000	0	0	0	0	0	0	10.301	1	1	65	21.6673
DATA	23	1	23	0	0	A_23_P34744	NM_000396	873.418	2751.43	1.285416e+003	1.285539e+002	1274	21	5.752565e+000	0	0	0	0	0	0	1260.52	1	1	57.5363	21.6596
DATA	24	1	24	0	0	A_32_P157114	THC2713739	898.5	2751.5	6.333029e+001	6.575264e+000	90	21	5.765603e+000	0	0	0	0	0	0	62.4876	1	1	57.5363	21.7366
DATA	25	1	25	0	0	A_23_P314145	NM_005715	923.894	2750.86	8.499995e+001	8.679898e+000	109	21	5.245549e+000	0	0	0	0	0	0	84.3578	1	1	46.1809	21.4527
DATA	26	1	26	0	0	A_23_P131789	NM_001725	949.426	2751.09	3.640833e+001	4.038657e+000	63	21	5.568100e+000	0	0	0	0	0	0	36.3433	1	1	46.5243	21.352
DATA	27	1	27	0	0	A_23_P361027	AK091100	974.667	2751.5	3.101426e+000	1.765765e+000	29	22	5.657002e+000	0	0	0	0	0	0	3.11292	1	0	57.5363	22.2233
DATA	28	1	28	0	0	A_24_P69095	NM_003633	1000.25	2751.6	8.674379e+002	8.676103e+001	869	21	5.827090e+000	0	0	0	0	0	0	875.145	1	1	51.4001	21.694
DATA	29	1	29	0	0	A_23_P18656	NM_144643	1025.5	2751.71	3.398118e+002	3.402475e+001	362.5	21	5.205090e+000	0	0	0	0	0	0	344.456	1	1	49.1849	21.2718
DATA	30	1	30	0	0	A_24_P396994	NM_001690	1051.22	2751.7	1.361155e+004	1.361156e+003	13606	21.5	5.831244e+000	0	0	0	0	0	0	13858.4	1	1	49.5074	21.9212
DATA	31	1	31	0	0	A_23_P329772	NM_013245	1076.48	2751.61	1.851308e+003	1.851387e+002	1883	21	6.100781e+000	0	0	0	0	0	0	1892.26	1	1	52.9257	21.8837
DATA	32	1	32	0	0	A_23_P153616	NM_130760	1101.96	2751.8	1.089218e+001	2.019729e+000	38	22	5.972685e+000	0	0	0	0	0	0	11.1733	1	1	47.8731	21.5878
DATA	33	1	33	0	0	A_23_P111995	NM_002318	1127.42	2751.57	2.880958e+001	3.342947e+000	55.5	22	5.986910e+000	0	0	0	1	0	0	29.6432	1	1	57.5363	21.7943
DATA	34	1	34	0	0	A_24_P258277	NM_015853	1152.57	2751.72	3.945260e+003	3.945297e+002	4075	22	5.855271e+000	0	0	0	0	0	0	4070.32	1	1	46.5243	22.0653
DATA	35	1	35	0	0	A_24_P311926	NM_002127	1178	2751.54	1.131887e+005	1.131887e+004	116382	22	6.147580e+000	0	0	0	0	0	0	117028	1	1	55.8519	22.3542
