TYPE	text	text	text	integer	text	float	float	text	integer	text	text	integer	integer	integer	integer	float	float	float	float	float	float	text	text	text	text	text	text	text	text	text	text	text	integer	integer	integer
FEPARAMS	Protocol_Name	Protocol_date	Scan_ScannerName	Scan_NumChannels	Scan_Date	Scan_MicronsPerPixelX	Scan_MicronsPerPixelY	Scan_OriginalGUID	Scan_NumScanPass	Grid_Name	Grid_Date	Grid_NumSubGridRows	Grid_NumSubGridCols	Grid_NumRows	Grid_NumCols	Grid_RowSpacing	Grid_ColSpacing	Grid_OffsetX	Grid_OffsetY	Grid_NomSpotWidth	Grid_NomSpotHeight	Grid_GenomicBuild	FeatureExtractor_Barcode	FeatureExtractor_Sample	FeatureExtractor_ScanFileName	FeatureExtractor_ArrayName	FeatureExtractor_ScanFileGUID	FeatureExtractor_DesignFileName	FeatureExtractor_ExtractionTime	FeatureExtractor_UserName	FeatureExtractor_ComputerName	FeatureExtractor_Version	FeatureExtractor_IsXDRExtraction	FeatureExtractor_ColorMode	FeatureExtractor_QCReportType
DATA	GE1_107_Sep09 (Read Only)	29-Sep-2009 12:35	Agilent Technologies Scanner G2505C US84903606	1	05-28-2010 08:41:47	5	5	efacea4a-a63d-4a88-b4b8-7d71b2398ec5	1	028100_D_F_20100430	30-Apr-2010 00:00	1	1	192	82	73.3235	63.5	0	36.6617	65	65	hg19:GRCh37:Feb2009	252810010017_1_3		Z:\ARRAY-DATEN\LJ\Jan Enerudh Makrophagen Mikroarray\252810010017\\252810010017_201005280834_S01.tif	252810010017_201005280834_S01	8d8a9507-2885-4108-a4b8-46eb65be1d3d	028100_D_F_20100430.xml	28-May-2010 08:43:00	vsk06	AGILENTSCANNER	10.7.3.1	0	0	0
*
TYPE	float	float	float	integer	integer	float	float	float	integer	float	float	float	integer	float	float	integer	integer	integer	integer	integer	float	float	float	integer	float	float	float	float	float	integer	integer	float	float	float	float	float	integer	float	float	float	float	integer	float	float	float	float	float	integer	float	float	float	float	float	float	float	integer	float	integer	float	float	float	float	integer	float	float	float	float	text	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	integer	integer	integer	integer	float	integer	text	integer	boolean	float	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean
STATS	gDarkOffsetAverage	gDarkOffsetMedian	gDarkOffsetStdDev	gDarkOffsetNumPts	gSaturationValue	gAvgSig2BkgeQC	gAvgSig2BkgNegCtrl	gRatioSig2BkgeQC_NegCtrl	gNumSatFeat	gLocalBGInlierNetAve	gLocalBGInlierAve	gLocalBGInlierSDev	gLocalBGInlierNum	gGlobalBGInlierAve	gGlobalBGInlierSDev	gGlobalBGInlierNum	gNumFeatureNonUnifOL	gNumPopnOL	gNumNonUnifBGOL	gNumPopnBGOL	gOffsetUsed	gGlobalFeatInlierAve	gGlobalFeatInlierSDev	gGlobalFeatInlierNum	AnyColorPrcntFeatNonUnifOL	AnyColorPrcntBGNonUnifOL	AnyColorPrcntFeatPopnOL	AnyColorPrcntBGPopnOL	TotalPrcntFeatOL	gNumNegBGSubFeat	gNonCtrlNumNegFeatBGSubSig	gSpatialDetrendRMSFit	gSpatialDetrendRMSFilteredMinusFit	gSpatialDetrendSurfaceArea	gSpatialDetrendVolume	gSpatialDetrendAveFit	gNonCtrlNumSatFeat	gNonCtrl99PrcntNetSig	gNonCtrl50PrcntNetSig	gNonCtrl1PrcntNetSig	gNonCtrlMedPrcntCVBGSubSig	gCtrleQCNumSatFeat	gCtrleQC99PrcntNetSig	gCtrleQC50PrcntNetSig	gCtrleQC1PrcntNetSig	geQCMedPrcntCVBGSubSig	geQCSig2BkgLow2	gNegCtrlNumInliers	gNegCtrlAveNetSig	gNegCtrlSDevNetSig	gNegCtrlAveBGSubSig	gNegCtrlSDevBGSubSig	gAveNumPixOLLo	gAveNumPixOLHi	gPixCVofHighSignalFeat	gNumHighSignalFeat	AddErrorEstimateGreen	TotalNumFeatures	ROIHeight	ROIWidth	CentroidDiffX	CentroidDiffY	NumFoundFeat	MaxNonUnifEdges	MaxSpotNotFoundEdges	gMultDetrendRMSFit	gMultDetrendSurfaceAverage	eQCLowSigName2	eQCOneColorLogLowSignal	eQCOneColorLogLowSignalError	eQCOneColorLogHighSignal	eQCOneColorLinFitLogLowConc	eQCOneColorLinFitLogLowSignal	eQCOneColorLinFitLogHighConc	eQCOneColorLinFitLogHighSignal	eQCOneColorLinFitSlope	eQCOneColorLinFitIntercept	eQCOneColorLinFitRSQ	eQCOneColorSpikeDetectionLimit	gNonCtrl50PrcntBGSubSig	gCtrleQC50PrcntBGSubSig	gMedPrcntCVProcSignal	geQCMedPrcntCVProcSignal	gOutlierFlagger_Auto_FeatB_Term	gOutlierFlagger_Auto_FeatC_Term	gOutlierFlagger_Auto_BgndB_Term	gOutlierFlagger_Auto_BgndC_Term	OutlierFlagger_FeatChiSq	OutlierFlagger_BgndChiSq	GriddingStatus	IsGoodGrid	NumGeneNonUnifOL	TotalNumberOfReplicatedGenes	gPercentileIntensityProcessedSignal	ExtractionStatus	QCMetricResults	gNonCtrlNumWellAboveBG	GridHasBeenOptimized	gNegCtrlSpread	Metric_IsGoodGrid	Metric_IsGoodGrid_IsInRange	Metric_AnyColorPrcntFeatNonUnifOL	Metric_AnyColorPrcntFeatNonUnifOL_IsInRange	Metric_gNegCtrlAveNetSig	Metric_gNegCtrlAveNetSig_IsInRange	Metric_gNegCtrlAveBGSubSig	Metric_gNegCtrlAveBGSubSig_IsInRange	Metric_gNegCtrlSDevBGSubSig	Metric_gNegCtrlSDevBGSubSig_IsInRange	Metric_gSpatialDetrendRMSFilteredMinusFit	Metric_gSpatialDetrendRMSFilteredMinusFit_IsInRange	Metric_gNonCntrlMedCVProcSignal	Metric_gNonCntrlMedCVProcSignal_IsInRange	Metric_gE1aMedCVProcSignal	Metric_gE1aMedCVProcSignal_IsInRange	Metric_absGE1E1aSlope	Metric_absGE1E1aSlope_IsInRange	Metric_DetectionLimit	Metric_DetectionLimit_IsInRange
DATA	8.32748	8.32748	2.08816	0	778046	3397.52	1.19719	2837.92	0	14.0989	22.4263	1.50379	15445	22.4263	1.50379	15445	5	110	3	299	8.32748	6790.91	28954	15629	0.0317581	0.0190549	0.698679	1.89914	0.0328774	895	697	1.141	1.42571	1.01075	2.91642	27.1241	0	117604	339.939	16.5932	12.1629	0	416259	1356.53	19.2937	12.5298	1.1511	76	16.7355	1.57834	-2.14677	1.2194	0.218877	1.035	0.157769	3566	1.42571	15744	4.41847	7.61937	0.732862	0.907563	14223	0	0.0853659	0.0949301	1.00468	(+)E1A_r60_3	0.359349	0.257098	5.89101	1.38986	0.675377	6.33789	5.71348	1.01821	-0.739789	0.995605	0.995662	320.992	1337.76	4.77388	5.48272	478.413	33.5613	64.5	25.0806	1.94692	2.33409	0	1	3	8665	2173.5	0	ExtractionInRange	12599	0	4.30214	1	1	0.031758	1	16.7355	1	-2.14677	1	1.2194	1	1.42571	1	4.77388	1	5.48272	1	1.01821	1	0.995662	1
*
TYPE	integer	integer	integer	integer	integer	text	text	float	float	float	float	float	float	float	boolean	boolean	boolean	boolean	boolean	boolean	float	boolean	boolean	float	float
FEATURES	FeatureNum	Row	Col	SubTypeMask	ControlType	ProbeName	SystematicName	PositionX	PositionY	gProcessedSignal	gProcessedSigError	gMedianSignal	gBGMedianSignal	gBGPixSDev	gIsSaturated	gIsFeatNonUnifOL	gIsBGNonUnifOL	gIsFeatPopnOL	gIsBGPopnOL	IsManualFlag	gBGSubSignal	gIsPosAndSignif	gIsWellAboveBG	SpotExtentX	gBGMeanSignal
DATA	1	1	1	260	1	GE_BrightCorner	GE_BrightCorner	6711.45	297.441	5.100648e+004	5.100648e+003	43009	22	5.504902e+000	0	0	0	0	0	0	43535.4	1	1	55.5662	22.0603
DATA	2	1	2	66	1	DarkCorner	DarkCorner	6737	297.455	4.125648e+000	1.724707e+000	34	22	6.062773e+000	0	0	0	0	0	0	3.51239	1	0	55.8519	22.3411
DATA	3	1	3	66	1	DarkCorner	DarkCorner	6762.42	297.427	1.705217e+000	1.677466e+000	30	23	5.880891e+000	0	0	0	0	0	0	-0.504012	0	0	65	22.9241
DATA	4	1	4	0	0	A_23_P335388	NM_173625	6787.58	297.427	2.162780e+000	1.692818e+000	31	22	5.778671e+000	0	0	0	0	0	0	1.83657	1	0	65	22.826
DATA	5	1	5	0	0	A_23_P887	NM_014002	6813.42	297.427	1.864662e+002	1.872208e+001	196	22	5.576714e+000	0	0	0	0	0	0	158.316	1	1	57.5363	22.2422
DATA	6	1	6	0	0	A_23_P15692	NM_017986	6838.58	297.427	2.382150e+001	2.914025e+000	51.5	22	5.235041e+000	0	0	0	0	0	0	20.2355	1	1	65	22.4851
DATA	7	1	7	0	0	A_32_P165611	NM_015254	6864.27	297.284	3.304288e+003	3.304330e+002	2701.5	22	5.105346e+000	0	0	0	0	0	0	2809.89	1	1	48.8603	22.1795
DATA	8	1	8	0	0	A_33_P3390172	NM_001145271	6889.56	297.451	1.182873e+003	1.182991e+002	1030	22	5.538299e+000	0	0	0	0	0	0	1007.64	1	1	47.8731	22.2794
DATA	9	1	9	0	0	A_23_P329112	NM_000215	6914.67	297.5	2.715544e+001	3.187979e+000	55	22	5.237333e+000	0	0	0	0	0	0	23.1826	1	1	57.5363	22.302
DATA	10	1	10	0	0	A_23_P126790	NM_006513	6940.32	297.605	4.478194e+003	4.478225e+002	3693	22	4.800919e+000	0	0	0	0	0	0	3833.29	1	1	49.5074	22.4591
DATA	11	1	11	0	0	A_24_P264207	NM_002823	6965.5	297.5	3.477782e+004	3.477782e+003	30319	22	5.115884e+000	0	0	0	0	0	0	29856.6	1	1	57.5363	22.6408
DATA	12	1	12	0	0	A_24_P166094	NM_001025595	6991.31	297.468	3.852540e+003	3.852576e+002	3081	23	5.624360e+000	0	0	0	0	0	0	3318.56	1	1	49.8279	22.5614
DATA	13	1	13	0	0	A_23_P167005	NM_014373	7016.63	297.444	1.646671e+003	1.646754e+002	1427.5	23	5.981432e+000	0	0	0	1	0	0	1423.55	1	1	48.2044	23.2066
DATA	14	1	14	0	0	A_24_P182494	NM_007207	7041.81	297.392	1.998843e+002	2.005584e+001	198	22	5.264366e+000	0	0	0	0	0	0	173.459	1	1	49.1849	22.1933
DATA	15	1	15	0	0	A_24_P271296	NM_175609	7067.52	297.175	5.944019e+001	6.165146e+000	79	22	5.157834e+000	0	0	0	0	0	0	51.7886	1	1	43.7019	22.2285
DATA	16	1	16	0	0	A_23_P106998	NM_016070	7092.71	296.833	2.810520e+003	2.810567e+002	2403	22	5.572064e+000	0	0	0	0	0	0	2458.52	1	1	45.835	22.0781
DATA	17	1	17	0	0	A_23_P163347	NM_016166	7118.14	297.123	4.916343e+003	4.916370e+002	4177	21	5.094663e+000	0	0	0	0	0	0	4319.94	1	1	46.1809	21.5314
DATA	18	1	18	0	0	A_24_P257416	NM_002089	7143.5	297.5	8.582842e+002	8.584362e+001	767	22	5.303006e+000	0	0	0	0	0	0	757.647	1	1	65	21.4691
DATA	19	1	19	0	0	A_24_P374513	ENST00000323496	7168.67	297.5	1.687711e+005	1.687711e+004	151196	22	5.615294e+000	0	0	0	0	0	0	149638	1	1	57.5363	22.1076
DATA	20	1	20	0	0	A_24_P257416	NM_002089	7194.21	297.671	8.056768e+002	8.058358e+001	723	22	5.264219e+000	0	0	0	0	0	0	717.602	1	1	47.2035	22.063
DATA	21	1	21	0	0	A_24_P626951	ENST00000479981	7219.5	297.5	1.152420e+001	1.966851e+000	39	21	5.515833e+000	0	0	0	0	0	0	10.3083	1	1	57.5363	21.9423
DATA	22	1	22	0	0	A_33_P3390172	NM_001145271	7245.08	297.761	1.126375e+003	1.126487e+002	1042	22	5.604277e+000	0	0	0	0	0	0	1012.09	1	1	46.8651	22.1141
DATA	23	1	23	0	0	A_23_P34744	NM_000396	7270.49	297.589	6.976986e+003	6.977004e+002	6183.5	22	5.722311e+000	0	0	0	0	0	0	6294.96	1	1	48.5334	22.1783
DATA	24	1	24	0	0	A_32_P157114	THC2713739	7295.58	297.573	4.133514e+001	4.422993e+000	63	22	5.957075e+000	0	0	0	0	0	0	37.4451	1	1	65	21.8253
DATA	25	1	25	0	0	A_23_P314145	NM_005715	7322.69	297.289	3.825180e+001	4.133903e+000	66	22	5.512400e+000	0	0	0	0	0	0	34.791	1	1	38.6789	22.1207
DATA	26	1	26	0	0	A_23_P131789	NM_001725	7346.76	297.5	1.996733e+001	2.534973e+000	49.5	21	5.608538e+000	0	0	0	0	0	0	18.2277	1	1	42.9674	21.7126
DATA	27	1	27	0	0	A_23_P361027	AK091100	7372	297.545	1.582001e+000	1.563780e+000	32	21	5.733631e+000	0	0	0	0	0	0	1.40373	0	0	55.8519	21.5266
DATA	28	1	28	0	0	A_24_P69095	NM_003633	7397.53	297.667	8.306680e+002	8.308128e+001	766	22	5.546944e+000	0	0	0	0	0	0	763.58	1	1	49.1849	22.0076
DATA	29	1	29	0	0	A_23_P18656	NM_144643	7422.8	297.614	1.135781e+003	1.135887e+002	1049	22	5.693830e+000	0	0	0	0	0	0	1047.19	1	1	47.2035	22.0587
DATA	30	1	30	0	0	A_24_P396994	NM_001690	7448.42	297.573	2.149358e+004	2.149359e+003	18642	21	5.784168e+000	0	0	0	0	0	0	19872.1	1	1	57.5363	21.8902
DATA	31	1	31	0	0	A_23_P329772	NM_013245	7473.54	297.441	3.869376e+003	3.869406e+002	3593	22	5.599696e+000	0	0	0	0	0	0	3585.97	1	1	46.5243	22.121
DATA	32	1	32	0	0	A_23_P153616	NM_130760	7499	297.545	1.080307e+002	1.091157e+001	129.5	21	5.166314e+000	0	0	0	1	0	0	100.345	1	1	55.8519	21.6544
DATA	33	1	33	0	0	A_23_P111995	NM_002318	7524.3	297.761	1.350843e+001	2.042371e+000	42	21.5	5.217839e+000	0	0	0	0	0	0	12.5726	1	1	47.2035	21.5579
DATA	34	1	34	0	0	A_24_P258277	NM_015853	7549.59	297.716	9.796348e+003	9.796360e+002	9118.5	21	5.814700e+000	0	0	0	0	0	0	9131.42	1	1	48.5334	21.7067
DATA	35	1	35	0	0	A_24_P311926	NM_002127	7575.42	297.573	1.379166e+005	1.379166e+004	128377	22	5.708261e+000	0	0	0	0	0	0	128700	1	1	57.5363	21.7731
