"gene_symbol","logFC","AveExpr","t","P.Value","adj.P.Val","B","sex_overexpressed","module","evidence_key","classification_note"
"ARG1",-1.0712077,-0.28096887,-3.04041447718619,0.011845646812545,0.038249598237167,-3.78546879901288,"Female","arginine alternative activation","Rath2014_FrontImmunol;M2_marker_literature","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"BNIP3L",-1.133442292,-1.18369864333333,-5.82057534613419,0.000140485041807452,0.00098645263850216,0.81507888110943,"Female","mitophagy","mitophagy_resolution_literature","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"CAT",-1.056807908,-1.09248214222222,-5.51584332918748,0.000217099882231485,0.00139976113620789,0.356863961371748,"Female","antioxidant redox","NRF2_redox_literature","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"CD163",-8.4475371,-8.49404751111111,-17.7103712176572,3.82627378091751e-09,2.86668191053186e-07,11.6899406484015,"Female","M2/scavenger receptor","M2_scavenger_receptor_marker","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"CD36",-6.90915448,-7.03653958888889,-14.190050212736,3.57432430884201e-08,1.41503771564156e-06,9.45839398586481,"Female","efferocytosis/lipid uptake","Fadok1998_JImmunol;Silverstein2009_SciSignal","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"CD68",-1.61297532,-1.80722659555556,-4.95884339860899,0.000497660851524234,0.00280227353829483,-0.514314965449908,"Female","macrophage marker","macrophage_marker_context","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"CD93",-7.97154268,-7.4615595,-22.8478205052149,2.82904797181019e-10,4.11274054081396e-08,14.169994189364,"Female","efferocytosis","efferocytosis_receptor_literature","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"CLEC7A",-1.95318526,-1.65937211111111,-3.7753105473508,0.00334731820254211,0.0134917204003774,-2.49709990604563,"Female","phagocytic receptor","dectin1_contextual_resolution","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"CX3CR1",-4.16264082,-4.13168586666667,-13.4747410382278,5.9864357006039e-08,2.07690696645145e-06,8.93335111085643,"Female","patrolling/resolution receptor","fractalkine_patrolling_resolution","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"EPAS1",-1.47920762,-1.60337215555556,-8.96488425536096,3.09946219285403e-06,4.59789184608898e-05,4.83527056080436,"Female","HIF2 alternative activation","HIF2_M2_context","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"FCGR2B",-4.48783704,-5.04958113333333,-7.47425407532809,1.64031759811071e-05,0.000166692432450526,3.08051938820018,"Female","inhibitory Fc receptor","FCGR2B_inhibitory_receptor","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"HPGD",-2.0854093,-1.40401292222222,-5.44750117935171,0.000239790377687371,0.00152449981006562,0.252305490593007,"Female","prostaglandin catabolism","eicosanoid_resolution_context","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"HPGDS",-5.67063642,-5.08171337777778,-17.2148646917829,5.10363559336747e-09,3.41204191411056e-07,11.4068198122724,"Female","PGD2 synthesis/resolution","Virtue2015_IJO;Rajakariar2007_PNAS","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
