"gene_symbol","logFC","AveExpr","t","P.Value","adj.P.Val","B","sex_overexpressed","category","subcategory","role","priority","source_type","evidence_key"
"SLC40A1",-6.05063524,-5.9981941,-28.0028680222129,3.46920458964942e-11,8.95471088680309e-09,16.0350234611539,"Female","Iron and heme metabolism","Iron retention/export/heme degradation","Transporter/storage/enzyme","expanded_core","bibliography_expanded","Recalcati2010_Haematologica;Zhou2021_FrontImmunol"
"HPGDS",-5.67063642,-5.08171337777778,-17.2148646917829,5.10363559336747e-09,3.41204191411056e-07,11.4068198122724,"Female","Eicosanoids","Arachidonic acid/prostaglandin/leukotriene metabolism","Enzyme/receptor","expanded_core","bibliography_expanded","Rouzer2011_JLipidRes;Sorgi2017_SciRep;Trebino2005_JBC"
"CD36",-6.90915448,-7.03653958888889,-14.190050212736,3.57432430884201e-08,1.41503771564156e-06,9.45839398586481,"Female","Lipid metabolism","Lipid uptake foam cell","Receptor/Transporter","core","user_table","preexisting_user_curation"
"SLC25A5",-2.46286372,-2.46576976666667,-13.3789442831169,6.42650272251381e-08,2.18419907060298e-06,8.86088980641521,"Female","TCA and mitochondrial shunts","Mitochondrial energy carriers","Transporter","core","user_table","preexisting_user_curation"
"QPRT",-2.5558028,-2.39326274444444,-11.5357656268184,2.77024098248873e-07,6.95578407003882e-06,7.35687497403375,"Female","Amino acid and nitrogen metabolism","Tryptophan kynurenine","Enzyme/TF/Sensor","core","user_table","preexisting_user_curation"
"PYGL",-2.1499298,-2.36819552222222,-11.2305304067623,3.59807157931149e-07,8.53616025782979e-06,7.08570146278767,"Female","Glucose metabolism","Glycogen","Enzyme/Regulator","core","user_table","preexisting_user_curation"
"PTGS1",-2.35439176,-2.7052563,-10.5552382412553,6.56140331461958e-07,1.37917705502411e-05,6.46064378925483,"Female","Lipid metabolism","Eicosanoids lipid mediators","Enzyme/Regulator","core","user_table","preexisting_user_curation"
"LIPA",-2.45629924,-2.62941096666667,-9.27034701743968,2.26267997090802e-06,3.67374642741164e-05,5.16566608833436,"Female","Lipid metabolism","Cholesterol metabolism","TF/Enzyme/Transporter","core","user_table","preexisting_user_curation"
"PDK3",-3.3781585,-2.725250366,-9.05715033120161,2.81592842833661e-06,4.28565711039061e-05,4.93604243130863,"Female","Glucose metabolism","TLR/HIF glycolytic switch","Transporter/enzyme/regulator","expanded_core","bibliography_expanded","Everts2014_NatImmunol;Tannahill2013_Nature"
"EPAS1",-1.47920762,-1.60337215555556,-8.96488425536096,3.09946219285403e-06,4.59789184608898e-05,4.83527056080436,"Female","Glucose metabolism","Glycolytic regulation","TF/Sensor/Enzyme","core","user_table","preexisting_user_curation"
"MSR1",-2.91762646,-2.87299902222222,-8.43319346247243,5.47207404380255e-06,7.06225876093157e-05,4.23749773057506,"Female","Lipid metabolism","Lipid uptake foam cell","Receptor/Transporter","core","user_table","preexisting_user_curation"
"SHMT1",-2.16102218,-2.41223212222222,-7.78108198800995,1.14209855656257e-05,0.000125982256162364,3.4623193767778,"Female","Polyamine and SAM epigenetic metabolism","One carbon metabolism","Enzyme","core","user_table","preexisting_user_curation"
"LTA4H",-1.47589072,-1.44510733666667,-7.74218672917047,1.19504100240509e-05,0.000130263506562839,3.41454220362662,"Female","Lipid metabolism","Eicosanoids lipid mediators","Enzyme/Regulator","core","user_table","preexisting_user_curation"
"LAMP2",-1.5842946,-1.54472053333333,-6.43501526083971,6.07163672227134e-05,0.000494700401121426,1.6995431920481,"Female","Nutrient sensing and autophagy","AMPK/mTOR/autophagy/mitophagy","Regulator","expanded_context","bibliography_expanded","Cui2023_JTranslMed;general_autophagy_immunometabolism"
"RRAGD",-1.25144635,-1.61906089444444,-6.38993627638995,6.44600526339227e-05,0.000520601651622907,1.63642153322315,"Female","ETC ROS and energy sensors","AMPK mTOR sensors","Sensor/Regulator","core","user_table","preexisting_user_curation"
"GPI",-1.20922738,-1.22003364444444,-6.30529029422289,7.2176559528449e-05,0.000572884795371564,1.51714786734885,"Female","Glucose metabolism","Core glycolysis","Enzyme/Regulator","core","user_table","preexisting_user_curation"
"ALOX5",-1.98563384,-2.07079823333333,-6.28658722585549,7.40119348521499e-05,0.000584576518483382,1.49066135783244,"Female","Lipid metabolism","Eicosanoids lipid mediators","Enzyme/Regulator","core","user_table","preexisting_user_curation"
"AHCY",-1.64029148,-2.24509938888889,-6.23228360560271,7.96305947497576e-05,0.000620090357041775,1.41348661195046,"Female","Polyamine and SAM epigenetic metabolism","SAM methionine cycle","Enzyme/Regulator","core","user_table","preexisting_user_curation"
"HK3",-1.801723948,-2.31172523777778,-5.94723293703036,0.000117682683187048,0.00085039905331021,1.00168987240729,"Female","Glucose metabolism","TLR/HIF glycolytic switch","Transporter/enzyme/regulator","expanded_core","bibliography_expanded","Everts2014_NatImmunol;Tannahill2013_Nature"
"SLC25A6",-1.287011532,-1.44142967333333,-5.88765319377832,0.000127871872754336,0.000914808420048481,0.914188061321562,"Female","TCA and mitochondrial shunts","Mitochondrial energy carriers","Transporter","core","user_table","preexisting_user_curation"
"BNIP3L",-1.133442292,-1.18369864333333,-5.82057534613419,0.000140485041807452,0.00098645263850216,0.81507888110943,"Female","ETC ROS and energy sensors","Mitophagy autophagy","Sensor/Regulator","core","user_table","preexisting_user_curation"
"CAT",-1.056807908,-1.09248214222222,-5.51584332918748,0.000217099882231485,0.00139976113620789,0.356863961371748,"Female","ETC ROS and energy sensors","Antioxidant redox","Enzyme/Sensor/TF","core","user_table","preexisting_user_curation"
"HPGD",-2.0854093,-1.40401292222222,-5.44750117935171,0.000239790377687371,0.00152449981006562,0.252305490593007,"Female","Eicosanoids","Arachidonic acid/prostaglandin/leukotriene metabolism","Enzyme/receptor","expanded_core","bibliography_expanded","Rouzer2011_JLipidRes;Sorgi2017_SciRep;Trebino2005_JBC"
"RXRA",-1.1359848,-1.32811207777778,-5.11076569735826,0.000395149550427638,0.00230482785309323,-0.27243057694459,"Female","Lipid metabolism","De novo fatty acid synthesis and cholesterol/mevalonate","Enzyme/transcriptional regulator/transporter","expanded_core","bibliography_expanded","Oishi2017_CellMetab;Bekkering2018_Cell;Carroll2018_JBC;Covarrubias2020_NatImmunol"
"PGK1",-0.84553566,-0.852556962222222,-5.04177167650527,0.000438607559689642,0.00252483013619737,-0.381888164659769,"Female","Glucose metabolism","Core glycolysis","Enzyme/Regulator","core","user_table","preexisting_user_curation"
"SLC2A3",-1.036845208,-1.23561461555556,-4.9204222422321,0.00052782957456381,0.0029236774632277,-0.575985982186748,"Female","Glucose metabolism","Glucose transport","Transporter","core","user_table","preexisting_user_curation"
"UQCRC2",-0.780816068,-0.723498545555556,-4.82050562715087,0.000615732715800913,0.0032946295315616,-0.737295186799915,"Female","ETC ROS and energy sensors","Complex III","ETC","core","user_table","preexisting_user_curation"
"SLC25A13",-1.01568239,-1.19522263888889,-4.598429858883,0.000871524910736539,0.004390281224811,-1.10053250644996,"Female","TCA and mitochondrial shunts","Aspartate malate shuttle","Enzyme/Transporter","core","user_table","preexisting_user_curation"
"TXN2",-0.86048183,-0.915424661111111,-4.22869042036539,0.00157789181734692,0.00719077393879919,-1.71889253480376,"Female","Pentose phosphate and redox","PPP/NADPH/GSH/ROS","Enzyme/redox effector","expanded_core","bibliography_expanded","Yu2019_MolCell;BiochemistryProInflammatoryMacrophageActivation"
"TYMS",-2.016319268,-2.10320716888889,-4.19820674033099,0.00165839292670027,0.00752574511673477,-1.77057860496678,"Female","Polyamine and SAM epigenetic metabolism","One carbon metabolism","Enzyme","core","user_table","preexisting_user_curation"
"TSC1",-0.622659876,-0.600254058888889,-4.10377751157724,0.00193624923860534,0.0085520987931008,-1.93131515438478,"Female","ETC ROS and energy sensors","AMPK mTOR sensors","Sensor/Regulator","core","user_table","preexisting_user_curation"
"SLC22A5",-1.196649934,-1.29244629666667,-3.84112034100525,0.00299655504473095,0.0122851141700437,-2.38299283065174,"Female","Lipid metabolism","Fatty acid transport","Transporter/Regulator","core","user_table","preexisting_user_curation"
"PDK4",-1.463520156,-1.03770267555556,-3.81929274498565,0.00310845049262949,0.0126634034273599,-2.42080185920344,"Female","Glucose metabolism","TLR/HIF glycolytic switch","Transporter/enzyme/regulator","expanded_core","bibliography_expanded","Everts2014_NatImmunol;Tannahill2013_Nature"
"SUCLG2",-0.99607191,-0.899032541111111,-3.60229854468518,0.00448806887106256,0.0170864356489479,-2.79855557652328,"Female","TCA and mitochondrial shunts","Central TCA","Enzyme","core","user_table","preexisting_user_curation"
"HMGCR",-0.58969441,-0.616448622222222,-3.56024897129851,0.00482186964163289,0.0181114812557957,-2.87209926671916,"Female","Lipid metabolism","Cholesterol metabolism","TF/Enzyme/Transporter","core","user_table","preexisting_user_curation"
"UCP2",-1.23342704,-1.30423619666667,-3.37915579287729,0.00657966610966415,0.0237066361840663,-3.18973960745334,"Female","ETC ROS and energy sensors","Mitochondrial biogenesis uncoupling","Regulator","core","user_table","preexisting_user_curation"
"ARG1",-1.0712077,-0.28096887,-3.04041447718619,0.011845646812545,0.038249598237167,-3.78546879901288,"Female","Amino acid and nitrogen metabolism","Arginine NOS ARG axis","Transporter/Enzyme","core","user_table","preexisting_user_curation"
"CYBB",-0.77293263,-0.790046274444444,-2.99046497306042,0.0129252296886792,0.0410869493502693,-3.87317490643673,"Female","ETC ROS and energy sensors","Oxidative burst","Enzyme/Regulator","core","user_table","preexisting_user_curation"
"IDH3G",-0.7034113,-0.74848441,-2.90746350951414,0.0149438403349695,0.0460738660685897,-4.01866901560455,"Female","TCA and mitochondrial shunts","Central TCA","Enzyme","core","user_table","preexisting_user_curation"
"IDO1",11.5554322,11.5893912222222,68.916695706746,2.93679862272256e-15,1.89511615124287e-11,22.0607263200308,"Male","Amino acid and nitrogen metabolism","Tryptophan kynurenine","Enzyme/TF/Sensor","core","user_table","preexisting_user_curation"
"SLC7A5",4.80437708,4.65159823333333,20.5045547243034,8.58637460500907e-10,8.52428851171132e-08,13.1320249518207,"Male","Amino acid and nitrogen metabolism","Amino acid mTOR transport","Transporter","core","user_table","preexisting_user_curation"
"SLC7A11",4.6312748,4.50849205555556,18.6620473566608,2.24635505083265e-09,1.78959619049668e-07,12.2092471813111,"Male","Amino acid and nitrogen metabolism","xCT redox cystine","Transporter","core","user_table","preexisting_user_curation"
"SOD2",3.81023288,3.96020102222222,17.6029476535069,4.07020510452986e-09,2.98466290221945e-07,11.6293269809522,"Male","ETC ROS and energy sensors","Antioxidant redox","Enzyme/Sensor/TF","core","user_table","preexisting_user_curation"
"NAMPT",2.48303284,2.55313058888889,16.1596764194452,9.68109229027033e-09,5.43235552600995e-07,10.7723809692975,"Male","Amino acid metabolism","Arginine/polyamine and tryptophan-kynurenine/NAD","Enzyme/transporter/regulator","expanded_core","bibliography_expanded","Rath2014_FrontImmunol;Minhas2019_NatImmunol;Sukka2024_NatMetab"
"ALAS1",3.10119688,2.87115034444444,13.2170025731092,7.25279688737676e-08,2.40011786226883e-06,8.73719906731612,"Male","Iron and heme metabolism","Iron retention/export/heme degradation","Transporter/storage/enzyme","expanded_core","bibliography_expanded","Recalcati2010_Haematologica;Zhou2021_FrontImmunol"
"KYNU",2.73197134,2.54913023333333,11.4883820030183,2.88385559635095e-07,7.1575077550972e-06,7.3152240890908,"Male","Amino acid and nitrogen metabolism","Tryptophan kynurenine","Enzyme/TF/Sensor","core","user_table","preexisting_user_curation"
"PCK2",2.00998938,2.02192508888889,10.9468744935375,4.61315772904493e-07,1.04819390230729e-05,6.82746959495703,"Male","Glucose metabolism","Gluconeogenesis signaling","Enzyme","core","user_table","preexisting_user_curation"
"PPM1K",2.4942936,2.75606273333333,9.93553890715439,1.17255218560083e-06,2.22543507461239e-05,5.85438114859901,"Male","Amino acid and nitrogen metabolism","BCAA metabolism","Enzyme/Regulator","core","user_table","preexisting_user_curation"
"OLR1",5.00657438,4.90018048888889,9.91897338971207,1.19137774314818e-06,2.24794168904538e-05,5.83772041144779,"Male","Lipid metabolism","Lipid uptake foam cell","Receptor/Transporter","core","user_table","preexisting_user_curation"
"SLC7A1",2.82187882,2.75673603333333,9.9020719492497,1.21092396868827e-06,2.27153847963528e-05,5.8206967195466,"Male","Amino acid and nitrogen metabolism","Arginine NOS ARG axis","Transporter/Enzyme","core","user_table","preexisting_user_curation"
"SLC2A6",2.10151116,2.25433166666667,9.42969170429266,1.92644533826166e-06,3.26580473947373e-05,5.33440727629848,"Male","Glucose metabolism","Glucose transport","Transporter","core","user_table","preexisting_user_curation"
"SAT1",1.47545948,1.61959712222222,8.46347875600026,5.29384740031278e-06,6.90125197458957e-05,4.27234906157405,"Male","Polyamine and SAM epigenetic metabolism","Polyamines","Enzyme/Regulator","core","user_table","preexisting_user_curation"
"PTGER4",1.95187206,1.96580558888889,8.02939963037337,8.58503591842204e-06,0.000100657737199228,3.76318106596966,"Male","Eicosanoids","Arachidonic acid/prostaglandin/leukotriene metabolism","Enzyme/receptor","expanded_core","bibliography_expanded","Rouzer2011_JLipidRes;Sorgi2017_SciRep;Trebino2005_JBC"
"H6PD",1.56795156,1.67348818888889,7.86421374825513,1.03724886873746e-05,0.000117840967428923,3.56383882357997,"Male","Pentose phosphate and redox","PPP/NADPH/GSH/ROS","Enzyme/redox effector","expanded_core","bibliography_expanded","Yu2019_MolCell;BiochemistryProInflammatoryMacrophageActivation"
"TFRC",1.69717426,1.46637927333333,7.69992819212268,1.25558337256669e-05,0.000135489623798877,3.36243093022156,"Male","Iron and heme metabolism","Iron retention/export/heme degradation","Transporter/storage/enzyme","expanded_core","bibliography_expanded","Recalcati2010_Haematologica;Zhou2021_FrontImmunol"
"SQSTM1",1.6569006,1.43619654,7.36519225985376,1.87036845045559e-05,0.00018683417354164,2.94206036397756,"Male","ETC ROS and energy sensors","Mitophagy autophagy","Sensor/Regulator","core","user_table","preexisting_user_curation"
"CTH",3.75937338,3.78099892222222,7.31711706008251,1.98263319523479e-05,0.000195029451354422,2.88056049261483,"Male","Polyamine and SAM epigenetic metabolism","SAM methionine cycle","Enzyme/Regulator","core","user_table","preexisting_user_curation"
"GPX4",1.48789062,1.55465486,7.16041311943424,2.4020143913347e-05,0.000230314990598556,2.67809390665951,"Male","ETC ROS and energy sensors","Antioxidant redox","Enzyme/Sensor/TF","core","user_table","preexisting_user_curation"
"ABCG1",1.305552648,1.35890058222222,6.76368219589647,3.95634107166932e-05,0.000345470486271747,2.15148661409913,"Male","Lipid metabolism","Cholesterol metabolism","TF/Enzyme/Transporter","core","user_table","preexisting_user_curation"
"IKBKE",1.441140632,1.19073951777778,6.22217831120293,8.07257971222869e-05,0.000626860284686633,1.39908048492703,"Male","Glucose metabolism","TLR/HIF glycolytic switch","Transporter/enzyme/regulator","expanded_core","bibliography_expanded","Everts2014_NatImmunol;Tannahill2013_Nature"
"ULK1",1.27321586,1.25511847111111,6.20968512933579,8.21021885780502e-05,0.000632981389359806,1.38125072755997,"Male","Nutrient sensing and autophagy","AMPK/mTOR/autophagy/mitophagy","Regulator","expanded_context","bibliography_expanded","Cui2023_JTranslMed;general_autophagy_immunometabolism"
"ATG5",1.023400312,1.06547811111111,6.04998225331033,0.000102097721766402,0.000762542359442816,1.15142746319242,"Male","ETC ROS and energy sensors","Mitophagy autophagy","Sensor/Regulator","core","user_table","preexisting_user_curation"
"PGD",1.566506588,1.25544559,5.82773042148272,0.000139078270342512,0.000979773011484965,0.825680762064085,"Male","Glucose metabolism","Pentose phosphate pathway","Enzyme","core","user_table","preexisting_user_curation"
"SHMT2",1.111743534,1.22907977444444,5.47854290050382,0.000229185383203168,0.00146719571211314,0.299878497261408,"Male","Polyamine and SAM epigenetic metabolism","One carbon metabolism","Enzyme","core","user_table","preexisting_user_curation"
"TBK1",1.006074154,1.04340364111111,5.46499130586955,0.000233752243729258,0.00149051702449101,0.279126661805743,"Male","Glucose metabolism","TLR/HIF glycolytic switch","Transporter/enzyme/regulator","expanded_core","bibliography_expanded","Everts2014_NatImmunol;Tannahill2013_Nature"
"PFKP",0.883664882,0.801402296666667,4.9337062842116,0.000517185064074559,0.00288452482149795,-0.554640755179403,"Male","Glucose metabolism","Core glycolysis","Enzyme/Regulator","core","user_table","preexisting_user_curation"
"CP",2.412313754,2.55905395222222,4.67531499502878,0.000772146149864632,0.00396077830292247,-0.974052548467644,"Male","Iron and heme metabolism","Iron retention/export/heme degradation","Transporter/storage/enzyme","expanded_core","bibliography_expanded","Recalcati2010_Haematologica;Zhou2021_FrontImmunol"
"HMGCS1",1.42124997,1.50007794111111,4.55111512202919,0.000939324641607678,0.00468428277611619,-1.178740123846,"Male","Lipid metabolism","Cholesterol metabolism","TF/Enzyme/Transporter","core","user_table","preexisting_user_curation"
"RICTOR",0.887735736,1.00945069777778,4.31240663587682,0.00137722067847912,0.00639827576546133,-1.57747815176772,"Male","ETC ROS and energy sensors","AMPK mTOR sensors","Sensor/Regulator","core","user_table","preexisting_user_curation"
"PTGS2",1.950149348,2.24324333777778,4.29850007757056,0.00140860294787517,0.00651592460404193,-1.60091463442178,"Male","Lipid metabolism","Eicosanoids lipid mediators","Enzyme/Regulator","core","user_table","preexisting_user_curation"
"CALCOCO2",0.925465206,0.880797181111111,4.23734977931904,0.00155577990004479,0.00711512947908506,-1.70422883256,"Male","ETC ROS and energy sensors","Mitophagy autophagy","Sensor/Regulator","core","user_table","preexisting_user_curation"
"KDM6B",1.26408482,1.08500078888889,4.23040997607223,0.00157347478339092,0.00718078697116098,-1.71597999451594,"Male","Polyamine and SAM epigenetic metabolism","Epigenetic regulators","Epigenetic regulator","core","user_table","preexisting_user_curation"
"SLC25A20",0.761835276,0.477709975555556,4.19100367337541,0.00167803674167508,0.00758820679329313,-1.78280635011755,"Male","Lipid metabolism","Fatty acid oxidation FAO","Enzyme/Transporter","core","user_table","preexisting_user_curation"
"SLC2A1",1.306250754,1.36530206888889,4.14546990209054,0.00180799450865193,0.00807404052894871,-1.86023145429069,"Male","Glucose metabolism","Glucose transport","Transporter","core","user_table","preexisting_user_curation"
"MAT2B",0.635665318,0.708707283333333,4.05525851194413,0.00209758475712262,0.00913341055176266,-2.01426062153209,"Male","Polyamine and SAM epigenetic metabolism","SAM methionine cycle","Enzyme/Regulator","core","user_table","preexisting_user_curation"
"SLC25A4",1.280686752,1.32305463444444,3.94317148938232,0.00252640071708822,0.0106974172095606,-2.20675147441144,"Male","TCA and mitochondrial shunts","Mitochondrial energy carriers","Transporter","core","user_table","preexisting_user_curation"
"SLC38A1",1.081999102,1.17557847844444,3.6461052053201,0.00416565094131968,0.0160675107736616,-2.72204468038638,"Male","Amino acid and nitrogen metabolism","Glutaminolysis","Transporter/Enzyme","core","user_table","preexisting_user_curation"
"G6PD",0.812803848,0.693923052222222,3.42797655463309,0.00604908725943173,0.0220990196772081,-3.10398615831741,"Male","Glucose metabolism","Pentose phosphate pathway","Enzyme","core","user_table","preexisting_user_curation"
"INSIG2",0.704173648,0.584204454444444,3.15967489796728,0.00962304342642777,0.0323761726959011,-3.57578044768117,"Male","Lipid metabolism","De novo fatty acid synthesis and cholesterol/mevalonate","Enzyme/transcriptional regulator/transporter","expanded_core","bibliography_expanded","Oishi2017_CellMetab;Bekkering2018_Cell;Carroll2018_JBC;Covarrubias2020_NatImmunol"
"SLC27A3",0.886991702,0.764091816666667,3.03073360596649,0.0120475026565972,0.0387164017146522,-3.80247446537477,"Male","Lipid metabolism","Fatty acid transport","Transporter/Regulator","core","user_table","preexisting_user_curation"
