"gene_symbol","logFC","AveExpr","t","P.Value","adj.P.Val","B","sex_overexpressed","module","classification_note","evidence_key"
"ALOX5",-1.98563384,-2.07079823333333,-6.28658722585549,7.40119348521499e-05,0.000584576518483382,1.49066135783244,"Female","leukotriene/eicosanoid inflammation","Broad pro-inflammatory/activation gene set; includes cytokines, chemokines, TLR/IFN/NF-kB machinery, antigen presentation, inflammasome, oxidative burst, adhesion and M1 metabolic activation genes.","canonical_inflammatory_macrophage_M1_literature"
"BTK",-0.674526514,-0.848898963333333,-4.07596059291898,0.00202709038555479,0.00887436516823953,-1.97884061353515,"Female","TLR/BCR inflammatory kinase","Broad pro-inflammatory/activation gene set; includes cytokines, chemokines, TLR/IFN/NF-kB machinery, antigen presentation, inflammasome, oxidative burst, adhesion and M1 metabolic activation genes.","canonical_inflammatory_macrophage_M1_literature"
"C1QA",-1.71514588,-1.74213747333333,-4.73903399532838,0.000698870401217585,0.00366489494427934,-0.869808403422664,"Female","complement","Broad pro-inflammatory/activation gene set; includes cytokines, chemokines, TLR/IFN/NF-kB machinery, antigen presentation, inflammasome, oxidative burst, adhesion and M1 metabolic activation genes.","canonical_inflammatory_macrophage_M1_literature"
"C1QC",-0.993070034,-1.30325032266667,-2.94674694126222,0.0139515735981671,0.0437248685910501,-3.94985299320249,"Female","complement","Broad pro-inflammatory/activation gene set; includes cytokines, chemokines, TLR/IFN/NF-kB machinery, antigen presentation, inflammasome, oxidative burst, adhesion and M1 metabolic activation genes.","canonical_inflammatory_macrophage_M1_literature"
"CCR2",-3.53861268,-2.73777963333333,-9.92480355182636,1.18471498786233e-06,2.24192545943566e-05,5.84358686034949,"Female","chemokine receptor","Broad pro-inflammatory/activation gene set; includes cytokines, chemokines, TLR/IFN/NF-kB machinery, antigen presentation, inflammasome, oxidative burst, adhesion and M1 metabolic activation genes.","canonical_inflammatory_macrophage_M1_literature"
"CTSS",-0.81147176,-1.12917306666667,-3.62638760190881,0.00430769894461333,0.0165461793390416,-2.75646864035766,"Female","lysosomal antigen processing","Broad pro-inflammatory/activation gene set; includes cytokines, chemokines, TLR/IFN/NF-kB machinery, antigen presentation, inflammasome, oxidative burst, adhesion and M1 metabolic activation genes.","canonical_inflammatory_macrophage_M1_literature"
"CYBB",-0.77293263,-0.790046274444444,-2.99046497306042,0.0129252296886792,0.0410869493502693,-3.87317490643673,"Female","oxidative burst","Broad pro-inflammatory/activation gene set; includes cytokines, chemokines, TLR/IFN/NF-kB machinery, antigen presentation, inflammasome, oxidative burst, adhesion and M1 metabolic activation genes.","canonical_inflammatory_macrophage_M1_literature"
"FCGR1A",-1.486195392,-1.33768124622222,-3.10364781137491,0.0106089146999367,0.0350175583420418,-3.6743254405022,"Female","high affinity Fc receptor","Broad pro-inflammatory/activation gene set; includes cytokines, chemokines, TLR/IFN/NF-kB machinery, antigen presentation, inflammasome, oxidative burst, adhesion and M1 metabolic activation genes.","canonical_inflammatory_macrophage_M1_literature"
"FCGR3A",-6.39620056,-6.06651791111111,-15.3657565722927,1.60873916439763e-08,7.98553371373683e-07,10.2644040532708,"Female","Fc receptor","Broad pro-inflammatory/activation gene set; includes cytokines, chemokines, TLR/IFN/NF-kB machinery, antigen presentation, inflammasome, oxidative burst, adhesion and M1 metabolic activation genes.","canonical_inflammatory_macrophage_M1_literature"
"HLA-DRA",-0.663134378,-0.683797826666667,-3.99105751516803,0.00233296534891931,0.0100364169310509,-2.12437038345865,"Female","MHC II","Broad pro-inflammatory/activation gene set; includes cytokines, chemokines, TLR/IFN/NF-kB machinery, antigen presentation, inflammasome, oxidative burst, adhesion and M1 metabolic activation genes.","canonical_inflammatory_macrophage_M1_literature"
"IL1R1",-1.00078014,-0.752626438888889,-2.97493781091841,0.0132807131890432,0.0419894376329718,-3.90041858549902,"Female","IL1 receptor","Broad pro-inflammatory/activation gene set; includes cytokines, chemokines, TLR/IFN/NF-kB machinery, antigen presentation, inflammasome, oxidative burst, adhesion and M1 metabolic activation genes.","canonical_inflammatory_macrophage_M1_literature"
"ITGAM",-1.70445157,-2.04027451666667,-4.08060973251958,0.0020116027511649,0.00883052554644021,-1.97089208922161,"Female","CD11b myeloid activation","Broad pro-inflammatory/activation gene set; includes cytokines, chemokines, TLR/IFN/NF-kB machinery, antigen presentation, inflammasome, oxidative burst, adhesion and M1 metabolic activation genes.","canonical_inflammatory_macrophage_M1_literature"
"ITGB2",-1.44668866,-1.62466525555556,-4.2588376949804,0.00150230322350069,0.00690481673878201,-1.66787711091712,"Female","integrin inflammatory adhesion","Broad pro-inflammatory/activation gene set; includes cytokines, chemokines, TLR/IFN/NF-kB machinery, antigen presentation, inflammasome, oxidative burst, adhesion and M1 metabolic activation genes.","canonical_inflammatory_macrophage_M1_literature"
"PDK3",-3.3781585,-2.725250366,-9.05715033120161,2.81592842833661e-06,4.28565711039061e-05,4.93604243130863,"Female","HIF/glycolytic inflammatory metabolism","Broad pro-inflammatory/activation gene set; includes cytokines, chemokines, TLR/IFN/NF-kB machinery, antigen presentation, inflammasome, oxidative burst, adhesion and M1 metabolic activation genes.","canonical_inflammatory_macrophage_M1_literature"
"PDK4",-1.463520156,-1.03770267555556,-3.81929274498565,0.00310845049262949,0.0126634034273599,-2.42080185920344,"Female","HIF/glycolytic inflammatory metabolism","Broad pro-inflammatory/activation gene set; includes cytokines, chemokines, TLR/IFN/NF-kB machinery, antigen presentation, inflammasome, oxidative burst, adhesion and M1 metabolic activation genes.","canonical_inflammatory_macrophage_M1_literature"
