"gene_symbol","in_M1_matrix"
"SLC3A2",FALSE
"SLC6A14",FALSE
"SLC7A5",TRUE
"ATF4",FALSE
"EIF2AK4",FALSE
"ARG1",TRUE
"ARG2",FALSE
"ASL",TRUE
"ASS1",FALSE
"CPS1",TRUE
"NOS2",FALSE
"OTC",TRUE
"SLC7A1",TRUE
"SLC7A2",FALSE
"BCAT1",FALSE
"BCAT2",FALSE
"BCKDHA",FALSE
"BCKDHB",FALSE
"BCKDK",FALSE
"DBT",FALSE
"PPM1K",TRUE
"GLS",FALSE
"GLS2",FALSE
"GLUD1",FALSE
"GLUL",FALSE
"GPT2",FALSE
"SLC1A5",FALSE
"SLC38A1",TRUE
"SLC38A2",FALSE
"SLC38A5",FALSE
"AHR",TRUE
"HAAO",FALSE
"IDO1",TRUE
"IDO2",FALSE
"KMO",TRUE
"KYNU",TRUE
"QPRT",TRUE
"TDO2",FALSE
"SLC7A11",TRUE
"AADAT",FALSE
"AFMID",FALSE
"NADSYN1",FALSE
"NAMPT",TRUE
"NAPRT",FALSE
"NMNAT1",FALSE
"NMNAT2",FALSE
"NMNAT3",FALSE
"ALOX12",FALSE
"HPGD",TRUE
"HPGDS",TRUE
"PLA2G7",TRUE
"PTGDS",FALSE
"PTGER2",FALSE
"PTGER4",TRUE
"PTGES2",FALSE
"PTGES3",FALSE
"PTGR1",FALSE
"TBXAS1",TRUE
"LAMTOR1",FALSE
"LAMTOR2",FALSE
"LAMTOR3",FALSE
"LAMTOR4",FALSE
"LAMTOR5",FALSE
"MTOR",TRUE
"PRKAA1",FALSE
"PRKAA2",FALSE
"PRKAB1",FALSE
"PRKAB2",FALSE
"PRKAG1",FALSE
"RHEB",FALSE
"RICTOR",TRUE
"RPTOR",FALSE
"RRAGA",FALSE
"RRAGB",FALSE
"RRAGC",FALSE
"RRAGD",TRUE
"STK11",TRUE
"TSC1",TRUE
"TSC2",FALSE
"CAT",TRUE
"GPX1",FALSE
"GPX4",TRUE
"KEAP1",FALSE
"NFE2L2",FALSE
"PRDX1",FALSE
"PRDX3",FALSE
"PRDX5",FALSE
"SOD1",FALSE
"SOD2",TRUE
"NDUFA10",TRUE
"NDUFA13",FALSE
"NDUFA9",TRUE
"NDUFS1",FALSE
"NDUFS2",FALSE
"NDUFS3",TRUE
"NDUFV1",FALSE
"NDUFV2",FALSE
"CYC1",FALSE
"UQCRC1",FALSE
"UQCRC2",TRUE
"UQCRFS1",TRUE
"COX4I1",TRUE
"COX4I2",FALSE
"COX5A",FALSE
"COX5B",FALSE
"CYCS",TRUE
"ATP5F1A",FALSE
"ATP5F1B",FALSE
"ATP5F1C",FALSE
"ATP5MC1",FALSE
"ATP5MC2",FALSE
"ATP5MC3",FALSE
"EGLN1",TRUE
"EGLN2",TRUE
"EGLN3",FALSE
"VHL",FALSE
"PPARGC1A",TRUE
"PPARGC1B",TRUE
"TFAM",FALSE
"UCP2",TRUE
"ATG5",TRUE
"ATG7",TRUE
"BECN1",FALSE
"BNIP3",FALSE
"BNIP3L",TRUE
"CALCOCO2",TRUE
"FUNDC1",FALSE
"GABARAPL1",FALSE
"MAP1LC3B",FALSE
"OPTN",FALSE
"PINK1",FALSE
"PRKN",FALSE
"SQSTM1",TRUE
"CYBA",TRUE
"CYBB",TRUE
"MPO",FALSE
"NCF1",FALSE
"NCF2",FALSE
"NCF4",TRUE
"RAC1",FALSE
"RAC2",FALSE
"ACADL",TRUE
"ACADS",FALSE
"CPT1B",FALSE
"ECHS1",TRUE
"ETFA",TRUE
"ETFB",FALSE
"ETFDH",FALSE
"HADH",FALSE
"ALDOA",TRUE
"ENO1",TRUE
"GAPDH",FALSE
"GPI",TRUE
"LDHA",FALSE
"LDHB",FALSE
"PFKFB3",TRUE
"PFKL",FALSE
"PFKP",TRUE
"PGAM1",FALSE
"PGK1",TRUE
"PKM",FALSE
"TPI1",FALSE
"FBP1",TRUE
"FBP2",FALSE
"PCK2",TRUE
"SLC2A1",TRUE
"SLC2A3",TRUE
"SLC2A6",TRUE
"GYS1",FALSE
"PPP1R3B",TRUE
"PPP1R3C",FALSE
"PYGB",FALSE
"PYGL",TRUE
"UGP2",FALSE
"EPAS1",TRUE
"HIF1A",FALSE
"MYC",TRUE
"PDHA1",FALSE
"PDK1",FALSE
"HK1",FALSE
"HK2",TRUE
"SLC16A1",TRUE
"SLC16A3",FALSE
"G6PD",TRUE
"PGD",TRUE
"RPE",FALSE
"RPIA",FALSE
"TALDO1",TRUE
"TKT",TRUE
"AKT1",FALSE
"ALDOC",FALSE
"ENO2",FALSE
"HK3",TRUE
"IKBKE",TRUE
"PDHB",FALSE
"PDK3",TRUE
"PDK4",TRUE
"PFKFB4",FALSE
"PFKM",FALSE
"PGAM2",TRUE
"TBK1",TRUE
"ALAS1",TRUE
"ALAS2",TRUE
"CP",TRUE
"FECH",FALSE
"FTH1",FALSE
"FTL",FALSE
"HAMP",FALSE
"HFE",TRUE
"HMOX1",FALSE
"HMOX2",FALSE
"IREB2",FALSE
"LCN2",TRUE
"NCOA4",FALSE
"SLC11A1",FALSE
"SLC11A2",FALSE
"SLC40A1",TRUE
"STEAP3",FALSE
"TFRC",TRUE
"ABCA1",TRUE
"ABCG1",TRUE
"HMGCR",TRUE
"HMGCS1",TRUE
"LDLR",FALSE
"LIPA",TRUE
"NR1H2",FALSE
"NR1H3",FALSE
"SOAT1",FALSE
"SQLE",FALSE
"SREBF2",FALSE
"ACACB",FALSE
"APOE",TRUE
"CYP51A1",TRUE
"DHCR24",FALSE
"DHCR7",FALSE
"FDFT1",FALSE
"FDPS",FALSE
"INSIG1",FALSE
"INSIG2",TRUE
"LPL",FALSE
"LSS",FALSE
"MVD",FALSE
"MVK",TRUE
"PMVK",FALSE
"RXRA",TRUE
"SCAP",FALSE
"SCD5",FALSE
"ACACA",FALSE
"ACLY",FALSE
"ELOVL5",TRUE
"ELOVL6",TRUE
"FASN",FALSE
"SCD",FALSE
"SREBF1",FALSE
"ALOX15",TRUE
"ALOX5",TRUE
"ALOX5AP",FALSE
"CYP27A1",FALSE
"LTA4H",TRUE
