"gene_symbol","in_M1_matrix"
"SLC2A1",TRUE
"SLC2A3",TRUE
"SLC2A6",TRUE
"HK1",FALSE
"HK2",TRUE
"GPI",TRUE
"PFKL",FALSE
"PFKP",TRUE
"PFKFB3",TRUE
"ALDOA",TRUE
"TPI1",FALSE
"GAPDH",FALSE
"PGK1",TRUE
"PGAM1",FALSE
"ENO1",TRUE
"PKM",FALSE
"LDHA",FALSE
"LDHB",FALSE
"SLC16A1",TRUE
"SLC16A3",FALSE
"PDK1",FALSE
"PDHA1",FALSE
"HIF1A",FALSE
"EPAS1",TRUE
"MYC",TRUE
"G6PD",TRUE
"PGD",TRUE
"TKT",TRUE
"TALDO1",TRUE
"RPIA",FALSE
"RPE",FALSE
"UGP2",FALSE
"GYS1",FALSE
"PYGL",TRUE
"PYGB",FALSE
"PPP1R3B",TRUE
"PPP1R3C",FALSE
"FBP1",TRUE
"FBP2",FALSE
"PCK2",TRUE
"CD36",TRUE
"MSR1",TRUE
"OLR1",TRUE
"SLC27A1",FALSE
"SLC27A3",TRUE
"SLC27A4",FALSE
"FABP4",FALSE
"FABP5",TRUE
"SLC22A5",TRUE
"CPT1A",TRUE
"CPT2",FALSE
"SLC25A20",TRUE
"ACSL1",FALSE
"ACSL3",FALSE
"ACSL4",FALSE
"ACADVL",FALSE
"ACADM",FALSE
"HADHA",FALSE
"HADHB",FALSE
"ACAA2",FALSE
"PPARA",TRUE
"PPARD",TRUE
"PPARG",FALSE
"SREBF1",FALSE
"ACLY",FALSE
"ACACA",FALSE
"FASN",FALSE
"SCD",FALSE
"ELOVL5",TRUE
"ELOVL6",TRUE
"SREBF2",FALSE
"HMGCR",TRUE
"HMGCS1",TRUE
"SQLE",FALSE
"LDLR",FALSE
"ABCA1",TRUE
"ABCG1",TRUE
"SOAT1",FALSE
"LIPA",TRUE
"NR1H3",FALSE
"NR1H2",FALSE
"PLA2G4A",TRUE
"PTGS1",TRUE
"PTGS2",TRUE
"PTGES",FALSE
"ALOX5",TRUE
"ALOX5AP",FALSE
"ALOX15",TRUE
"LTA4H",TRUE
"LTC4S",FALSE
"CYP27A1",FALSE
"CS",FALSE
"ACO2",TRUE
"ACO1",FALSE
"IDH2",FALSE
"IDH3A",FALSE
"IDH3B",FALSE
"IDH3G",TRUE
"OGDH",TRUE
"DLST",FALSE
"DLD",TRUE
"SUCLG1",FALSE
"SUCLA2",FALSE
"SUCLG2",TRUE
"SDHA",FALSE
"SDHB",FALSE
"SDHC",FALSE
"SDHD",FALSE
"FH",TRUE
"MDH1",TRUE
"MDH2",FALSE
"ACOD1",FALSE
"SLC25A1",FALSE
"SLC25A10",FALSE
"SLC25A11",FALSE
"SLC13A3",FALSE
"SLC13A5",FALSE
"GOT1",TRUE
"GOT2",TRUE
"SLC25A12",FALSE
"SLC25A13",TRUE
"SLC25A22",FALSE
"SLC25A21",FALSE
"MPC1",FALSE
"MPC2",TRUE
"PC",TRUE
"ME1",FALSE
"ME2",FALSE
"ME3",FALSE
"SLC25A3",TRUE
"SLC25A4",TRUE
"SLC25A5",TRUE
"SLC25A6",TRUE
"SLC25A42",TRUE
"SLC7A1",TRUE
"SLC7A2",FALSE
"NOS2",FALSE
"ARG1",TRUE
"ARG2",FALSE
"ASS1",FALSE
"ASL",TRUE
"OTC",TRUE
"CPS1",TRUE
"SLC1A5",FALSE
"SLC38A1",TRUE
"SLC38A2",FALSE
"SLC38A5",FALSE
"GLS",FALSE
"GLS2",FALSE
"GLUD1",FALSE
"GLUL",FALSE
"GPT2",FALSE
"SLC7A5",TRUE
"SLC3A2",FALSE
"SLC6A14",FALSE
"SLC7A11",TRUE
"IDO1",TRUE
"IDO2",FALSE
"TDO2",FALSE
"KYNU",TRUE
"KMO",TRUE
"HAAO",FALSE
"QPRT",TRUE
"AHR",TRUE
"BCAT1",FALSE
"BCAT2",FALSE
"BCKDHA",FALSE
"BCKDHB",FALSE
"DBT",FALSE
"BCKDK",FALSE
"PPM1K",TRUE
"EIF2AK4",FALSE
"ATF4",FALSE
"ODC1",FALSE
"AMD1",TRUE
"SRM",FALSE
"SMS",FALSE
"SAT1",TRUE
"PAOX",FALSE
"SMOX",FALSE
"AZIN1",FALSE
"OAZ1",TRUE
"OAZ2",FALSE
"MAT2A",FALSE
"MAT2B",TRUE
"AHCY",TRUE
"MTR",FALSE
"MTRR",FALSE
"BHMT",FALSE
"BHMT2",FALSE
"CBS",FALSE
"CTH",TRUE
"SHMT1",TRUE
"SHMT2",TRUE
"MTHFD1",FALSE
"MTHFD2",FALSE
"MTHFR",FALSE
"TYMS",TRUE
"DNMT1",FALSE
"DNMT3A",FALSE
"DNMT3B",FALSE
"TET2",FALSE
"EZH2",FALSE
"KMT2A",TRUE
"KMT2D",FALSE
"SETD2",FALSE
"PRMT1",FALSE
"PRMT5",FALSE
"KDM6A",FALSE
"KDM6B",TRUE
"KDM5A",FALSE
"KDM5B",FALSE
"KDM5C",FALSE
"SLC25A26",TRUE
"NDUFS1",FALSE
"NDUFS2",FALSE
"NDUFS3",TRUE
"NDUFV1",FALSE
"NDUFV2",FALSE
"NDUFA9",TRUE
"NDUFA10",TRUE
"NDUFA13",FALSE
"UQCRC1",FALSE
"UQCRC2",TRUE
"CYC1",FALSE
"UQCRFS1",TRUE
"COX4I1",TRUE
"COX4I2",FALSE
"COX5A",FALSE
"COX5B",FALSE
"CYCS",TRUE
"ATP5F1A",FALSE
"ATP5F1B",FALSE
"ATP5F1C",FALSE
"ATP5MC1",FALSE
"ATP5MC2",FALSE
"ATP5MC3",FALSE
"CYBB",TRUE
"CYBA",TRUE
"NCF1",FALSE
"NCF2",FALSE
"NCF4",TRUE
"RAC1",FALSE
"RAC2",FALSE
"MPO",FALSE
"SOD1",FALSE
"SOD2",TRUE
"CAT",TRUE
"GPX1",FALSE
"GPX4",TRUE
"PRDX1",FALSE
"PRDX3",FALSE
"PRDX5",FALSE
"NFE2L2",FALSE
"KEAP1",FALSE
"PINK1",FALSE
"PRKN",FALSE
"BNIP3",FALSE
"BNIP3L",TRUE
"FUNDC1",FALSE
"OPTN",FALSE
"CALCOCO2",TRUE
"SQSTM1",TRUE
"MAP1LC3B",FALSE
"GABARAPL1",FALSE
"BECN1",FALSE
"ATG5",TRUE
"ATG7",TRUE
"PRKAA1",FALSE
"PRKAA2",FALSE
"PRKAB1",FALSE
"PRKAB2",FALSE
"PRKAG1",FALSE
"STK11",TRUE
"MTOR",TRUE
"RPTOR",FALSE
"RICTOR",TRUE
"LAMTOR1",FALSE
"LAMTOR2",FALSE
"LAMTOR3",FALSE
"LAMTOR4",FALSE
"LAMTOR5",FALSE
"RRAGA",FALSE
"RRAGB",FALSE
"RRAGC",FALSE
"RRAGD",TRUE
"TSC1",TRUE
"TSC2",FALSE
"RHEB",FALSE
"EGLN1",TRUE
"EGLN2",TRUE
"EGLN3",FALSE
"VHL",FALSE
"TFAM",FALSE
"PPARGC1A",TRUE
"PPARGC1B",TRUE
"UCP2",TRUE
