"gene_symbol","module","classification_note","evidence_key"
"AIM2","inflammasome","Broad pro-inflammatory/activation gene set; includes cytokines, chemokines, TLR/IFN/NF-kB machinery, antigen presentation, inflammasome, oxidative burst, adhesion and M1 metabolic activation genes.","canonical_inflammatory_macrophage_M1_literature"
"ALOX5","leukotriene/eicosanoid inflammation","Broad pro-inflammatory/activation gene set; includes cytokines, chemokines, TLR/IFN/NF-kB machinery, antigen presentation, inflammasome, oxidative burst, adhesion and M1 metabolic activation genes.","canonical_inflammatory_macrophage_M1_literature"
"B2M","antigen presentation MHC I","Broad pro-inflammatory/activation gene set; includes cytokines, chemokines, TLR/IFN/NF-kB machinery, antigen presentation, inflammasome, oxidative burst, adhesion and M1 metabolic activation genes.","canonical_inflammatory_macrophage_M1_literature"
"BCL2A1","NF-kB survival inflammatory","Broad pro-inflammatory/activation gene set; includes cytokines, chemokines, TLR/IFN/NF-kB machinery, antigen presentation, inflammasome, oxidative burst, adhesion and M1 metabolic activation genes.","canonical_inflammatory_macrophage_M1_literature"
"BTK","TLR/BCR inflammatory kinase","Broad pro-inflammatory/activation gene set; includes cytokines, chemokines, TLR/IFN/NF-kB machinery, antigen presentation, inflammasome, oxidative burst, adhesion and M1 metabolic activation genes.","canonical_inflammatory_macrophage_M1_literature"
"C1QA","complement","Broad pro-inflammatory/activation gene set; includes cytokines, chemokines, TLR/IFN/NF-kB machinery, antigen presentation, inflammasome, oxidative burst, adhesion and M1 metabolic activation genes.","canonical_inflammatory_macrophage_M1_literature"
"C1QB","complement","Broad pro-inflammatory/activation gene set; includes cytokines, chemokines, TLR/IFN/NF-kB machinery, antigen presentation, inflammasome, oxidative burst, adhesion and M1 metabolic activation genes.","canonical_inflammatory_macrophage_M1_literature"
"C1QC","complement","Broad pro-inflammatory/activation gene set; includes cytokines, chemokines, TLR/IFN/NF-kB machinery, antigen presentation, inflammasome, oxidative burst, adhesion and M1 metabolic activation genes.","canonical_inflammatory_macrophage_M1_literature"
"C2","complement","Broad pro-inflammatory/activation gene set; includes cytokines, chemokines, TLR/IFN/NF-kB machinery, antigen presentation, inflammasome, oxidative burst, adhesion and M1 metabolic activation genes.","canonical_inflammatory_macrophage_M1_literature"
"C3","complement","Broad pro-inflammatory/activation gene set; includes cytokines, chemokines, TLR/IFN/NF-kB machinery, antigen presentation, inflammasome, oxidative burst, adhesion and M1 metabolic activation genes.","canonical_inflammatory_macrophage_M1_literature"
