dataset	sample	y_marker_log	xist_log	sex_inferido
GSE160862	D367T01	9.504	0	M_inferido
GSE160862	D367T07	0	13.181	F_inferido
GSE160862	D367T13	0	13.057	F_inferido
GSE160862	D367T19	0.167	13.151	F_inferido
GSE160862	D367T25	0	13.109	F_inferido
GSE160863	D440T01	10.26	0	M_inferido
GSE160863	D440T05	10.222	0	M_inferido
GSE160863	D440T09	0	13.544	F_inferido
GSE160863	D440T13	10.277	0	M_inferido
GSE160863	D440T17	0	13.482	F_inferido
GSE102492	014.81-M1	5.262	1.205	M_inferido
GSE102492	016.82-M1	4.524	1.764	M_inferido
GSE102492	006.83-M1	5.575	1.143	M_inferido
GSE102492	005.84-M1	5.035	1	M_inferido
GSE102492	85-M1s	4.96	1.143	M_inferido
GSE102492	86-M1s	4.981	1	M_inferido
GSE102492	87-M1s	4.563	1	M_inferido
GSE102492	88-M1s	5.347	1	M_inferido
GSE304218	M1_control	9.277	0	M_inferido
GSE304218	M2_control	8.765	0	M_inferido
GSE304218	M3_control	8.698	0	M_inferido
GSE304218	M4_control	8.856	0	M_inferido
GSE304218	M5_control	9.04	0	M_inferido
