dataset	sample	y_marker_log	xist_log	sex_inferido
GSE224845	GM-UNT-4h-D1	2.857	NA	M_inferido
GSE224845	GM-UNT-4h-D2	2.756	NA	M_inferido
GSE224845	GM-UNT-4h-D3	0	NA	F_inferido
GSE224845	GM-UNT-4h-D4	3.01	NA	M_inferido
GSE224845	GM-UNT-12h-D1	2.576	NA	M_inferido
GSE224845	GM-UNT-12h-D2	2.946	NA	M_inferido
GSE224845	GM-UNT-12h-D3	0.019	NA	F_inferido
GSE224845	GM-UNT-12h-D4	2.933	NA	M_inferido
GSE224845	GM-UNT-36h-D1	2.506	NA	M_inferido
GSE224845	GM-UNT-36h-D2	2.989	NA	M_inferido
GSE224845	GM-UNT-36h-D3	0.077	NA	F_inferido
GSE224845	GM-UNT-36h-D4	2.978	NA	M_inferido
GSE232044	M1_A	0.005	NA	F_inferido
GSE232044	M1_B	0.005	NA	F_inferido
GSE232044	M1_C	3.411	NA	M_inferido
GSE232044	M1_D	3.48	NA	M_inferido
GSE256208	M1_A	3.077	NA	M_inferido
GSE256208	M1_B	2.948	NA	M_inferido
GSE256208	M1_C	2.94	NA	M_inferido
GSE266236	M1_siCNT_A	3.648	NA	M_inferido
GSE266236	M1_siCNT_B	3.572	NA	M_inferido
GSE266236	M1_siCNT_C	0	NA	F_inferido
GSE156696	AGA13	4.283	NA	M_inferido
GSE156696	AGA14	1.228	NA	M_inferido
GSE156696	AGA15	4.389	NA	M_inferido
