"gene_symbol","mean_logCPM_male","mean_logCPM_female","logFC_male_vs_female","mean_CPM","keep_for_test","pvalue","padj"
"CD68",9.97780110566256,9.67196605820257,0.305835047459988,939.733136401117,TRUE,0.0169101587158974,0.99988130124214
"ALOX15B",-0.18291987710688,1.4466523442987,-1.62957222140558,1.49976904993295,TRUE,0.0216748827301217,0.99988130124214
"RCAN1",2.93201669663919,3.14565380477234,-0.213637108133146,7.7058991025877,TRUE,0.0826602265171618,0.99988130124214
"HPGDS",5.10870573408137,4.30074661393748,0.807959120143893,30.9704963812303,TRUE,0.118647464679978,0.99988130124214
"IL10RB",3.80415713635434,4.24012189754828,-0.435964761193945,16.3455235467009,TRUE,0.126120428493529,0.99988130124214
"CD274",4.10400860186675,4.5820068353265,-0.477998233459745,20.8723100147344,TRUE,0.158344989829033,0.99988130124214
"CD93",1.91595605566328,2.7986457151028,-0.88268965943952,6.2096414411234,TRUE,0.183502369581644,0.99988130124214
"TGFBR1",4.91494188829367,5.395689272674,-0.480747384380334,37.3642844247638,TRUE,0.183914122951764,0.99988130124214
"IL4R",4.68227920598404,4.95431822295031,-0.272039016966277,28.119278274451,TRUE,0.19715157150213,0.99988130124214
"SIGLEC10",1.73402624252276,2.5573931074677,-0.823366864944944,5.49053360464173,TRUE,0.201543121677024,0.99988130124214
"IL1RN",5.33892723549671,5.05804982936963,0.28087740612708,38.2053377056533,TRUE,0.20691614824002,0.99988130124214
"BCL3",2.73835128619784,3.16851284265258,-0.430161556454735,7.64001320163453,TRUE,0.209005993592685,0.99988130124214
"HPGD",6.46837580119805,5.83057754474967,0.637798256448376,80.8306913964447,TRUE,0.220346259709268,0.99988130124214
"SOCS1",3.59841829019464,4.2483272375024,-0.649908947307759,16.7189493325656,TRUE,0.224834568712853,0.99988130124214
"MERTK",-0.0603068098061111,0.826653888060289,-0.886960697866401,1.47724470368993,TRUE,0.226185737557068,0.99988130124214
"KLF2",5.6079205738761,5.13948412117873,0.468436452697364,48.0935930841483,TRUE,0.239744210548901,0.99988130124214
"MARCO",10.8950738076672,10.5928270114058,0.302246796261311,1810.79073628584,TRUE,0.240425446364239,0.99988130124214
"BNIP3L",6.84974866313883,6.72381226232986,0.125936400808965,112.15455373679,TRUE,0.264439383505286,0.99988130124214
"IRAK3",6.00040644404749,6.30394212282396,-0.303535678776467,74.289493269349,TRUE,0.290813779253173,0.99988130124214
"MAF",5.14749210415166,5.41051379295867,-0.263021688807016,39.4562363428616,TRUE,0.30964268516787,0.99988130124214
"TNFAIP3",5.03804220651091,5.33075931026236,-0.292717103751454,37.572581505815,TRUE,0.318022255024691,0.99988130124214
"STAB1",0.496445836907201,1.5143736456886,-1.0179278087814,4.88039710932638,TRUE,0.327204809197855,0.99988130124214
"TSC1",3.51758939538361,3.83261053570153,-0.31502114031792,13.0309975867558,TRUE,0.329963212114355,0.99988130124214
"FGL2",4.62881810315184,5.26823846005314,-0.639420356901299,39.3189484567968,TRUE,0.340378877152083,0.99988130124214
"CD14",7.01615255016343,7.34081119899096,-0.324658648827529,152.894798022672,TRUE,0.345721778011052,0.99988130124214
"TNIP1",4.08689144916881,4.32775487811447,-0.240863428945658,18.4368664024383,TRUE,0.346435535145482,0.99988130124214
"AXL",7.15171534196614,6.90172241067113,0.249992931295005,136.195726881723,TRUE,0.349706746722518,0.99988130124214
"CD200R1",0.00896227520637421,0.479691425379447,-0.470729150173073,0.889620592699556,TRUE,0.374177335320863,0.99988130124214
"ATF3",2.89694629437051,2.69020368368055,0.206742610689956,6.8376861753224,TRUE,0.386571629094615,0.99988130124214
"ULK1",2.60647456791465,2.91185127173978,-0.305376703825132,6.78710824297062,TRUE,0.402659350836711,0.99988130124214
"TREM2",6.70435041664111,6.53999194828358,0.164358468357528,102.898874437861,TRUE,0.418641839990295,0.99988130124214
"SQSTM1",7.57578954176717,7.51055261343422,0.0652369283329524,188.052640504931,TRUE,0.426658532707977,0.99988130124214
"GAS6",0.851778275683383,1.45394714617783,-0.60216887049445,3.03193333281903,TRUE,0.428593004680415,0.99988130124214
"CLEC7A",7.32871466031087,7.52407491794455,-0.195360257633681,176.765949510261,TRUE,0.448841451796854,0.99988130124214
"IL13RA1",6.60724500883119,6.81681500027619,-0.209569991445004,110.248377773182,TRUE,0.453552022551403,0.99988130124214
"CD36",5.35052735873858,5.62195281934988,-0.271425460611303,48.5412578643131,TRUE,0.4894353207162,0.99988130124214
"CCL18",9.17776000220022,9.60962272823779,-0.431862726037568,876.662942834294,TRUE,0.514706053228423,0.99988130124214
"SLC40A1",1.41851979907406,1.85591687084804,-0.43739707177398,3.75964526443089,TRUE,0.524222315929323,0.99988130124214
"HAVCR2",5.92728657042534,6.00805248509827,-0.0807659146729245,62.4631001133754,TRUE,0.537037360243111,0.99988130124214
"PTGER4",6.19619099057695,6.03177662157708,0.164414368999865,74.2997242947269,TRUE,0.568777360780468,0.99988130124214
"VSIG4",8.92373544355682,8.80775613776066,0.115979305796158,482.198829500209,TRUE,0.592902377314805,0.99988130124214
"DUSP1",8.14136200606753,7.95254492325578,0.188817082811748,292.999316636819,TRUE,0.600010972839155,0.99988130124214
"PPARG",8.1205991225493,7.9460067510686,0.174592371480697,278.150147793284,TRUE,0.600025111303232,0.99988130124214
"EPAS1",6.04738395147594,5.8998447927744,0.147539158701537,66.9008920933877,TRUE,0.601331212888054,0.99988130124214
"ALOX15",0.490289731223393,0.151458236209448,0.338831495013945,1.53424549412629,TRUE,0.609470372597785,0.99988130124214
"NFKBIA",6.58235171533575,6.67235053923445,-0.0899988238987008,99.7131065772954,TRUE,0.624551354382602,0.99988130124214
"ATG5",4.75149440973303,4.68723194907491,0.0642624606581155,26.3039249542755,TRUE,0.637620214961816,0.99988130124214
"UCP2",6.96064721784947,7.02523284271738,-0.0645856248679104,128.701377648426,TRUE,0.638976935456413,0.99988130124214
"FCGR2B",2.85198553989161,3.15504595596154,-0.303060416069934,10.4289668075523,TRUE,0.649935436815313,0.99988130124214
"NR1H3",5.56875305854642,5.49840086088486,0.0703521976615615,46.860925280766,TRUE,0.661230203234045,0.99988130124214
"NFE2L2",6.96960061523378,6.89214598168389,0.0774546335498902,124.500389290395,TRUE,0.676422540678638,0.99988130124214
"LILRB2",4.63376120555851,4.73759019006717,-0.103828984508659,26.0791907093629,TRUE,0.696136275443488,0.99988130124214
"STAT6",5.80424128250228,5.91520039568286,-0.110959113180586,61.0953277127005,TRUE,0.69681621588676,0.99988130124214
"LILRB1",5.57165012395265,5.64414076818391,-0.0724906442312649,49.4788746342638,TRUE,0.698977228401531,0.99988130124214
"TXN2",5.87864013862705,5.82585961997472,0.0527805186523302,58.2448685358161,TRUE,0.706876456703681,0.99988130124214
"RXRA",6.1541804335635,6.22077006594511,-0.0665896323816115,73.7801634727208,TRUE,0.710534050345332,0.99988130124214
"TXN",9.08403300621377,8.99118442796935,0.0928485782444124,556.951754112734,TRUE,0.719856841210437,0.99988130124214
"MSR1",9.16933103325806,9.05961770332303,0.109713329935028,597.269539475691,TRUE,0.756950233420117,0.99988130124214
"CCL22",0.845307129204639,0.696234040986806,0.149073088217833,1.54871478869222,TRUE,0.757213464702367,0.99988130124214
"DUSP10",4.23957171604184,4.18445173819272,0.0551199778491247,18.6062131475363,TRUE,0.758954107021406,0.99988130124214
"IL10RA",5.4351661603808,5.5124934795729,-0.0773273191920989,45.6133379351133,TRUE,0.763852533994217,0.99988130124214
"HMOX1",7.20354688429371,7.16538031343597,0.0381665708577392,147.272200681815,TRUE,0.806396919103587,0.99988130124214
"KLF4",5.89670769528828,5.96514478100366,-0.0684370857153844,63.5411676966356,TRUE,0.807614777118311,0.99988130124214
"LILRB4",5.23160912582519,5.13152440386937,0.10008472195582,41.2477440847195,TRUE,0.82010806729307,0.99988130124214
"CHID1",5.46572122747555,5.43399478522411,0.0317264422514372,44.0217886774436,TRUE,0.829111523331236,0.99988130124214
"CD163",7.84088249637335,7.89149994092698,-0.0506174445536267,258.353520835945,TRUE,0.888575058815255,0.99988130124214
"SOCS3",3.85739648992623,3.94377749720056,-0.0863810072743219,18.7288377784464,TRUE,0.889026342499282,0.99988130124214
"MRC1",10.2515312591809,10.2033926282079,0.0481386309729945,1332.28550376618,TRUE,0.895625253069025,0.99988130124214
"SOD2",6.5228972871231,6.4832670241221,0.0396302630010048,96.9151655662995,TRUE,0.898159727786148,0.99988130124214
"GPX4",9.45919129558017,9.47411787596742,-0.0149265803872485,721.425790532154,TRUE,0.931002943030145,0.99988130124214
"TGFBR2",6.46349851478786,6.44753885157887,0.0159596632089851,92.5542155412123,TRUE,0.950733140339806,0.99988130124214
"LAMP2",7.868260288932,7.87778801340226,-0.00952772447026007,238.324566317895,TRUE,0.953565870513232,0.99988130124214
"TGFB1",6.60927933604667,6.61431558658829,-0.00503625054161994,99.6178431711064,TRUE,0.977305021650283,0.99988130124214
"ABCG1",8.10526581674323,8.09597489431895,0.00929092242428098,296.600341718983,TRUE,0.977391371501035,0.99988130124214
"STAT3",6.64037913701864,6.63640124289062,0.00397789412802663,105.588923125072,TRUE,0.988699417009111,0.99988130124214
"LIPA",7.6266060155137,7.62341299755982,0.00319301795387528,212.442332464198,TRUE,0.991821409531727,0.99988130124214
"MAFB",6.34932363359189,6.35095100782798,-0.00162737423609194,88.911654021355,TRUE,0.995583421704535,0.99988130124214
"CAT",7.78694908076113,7.78716443146448,-0.000215350703351547,226.809326106595,TRUE,0.999139105089554,0.99988130124214
"SPHK1",0.00146810360383982,0.48940806902901,-0.487939965425171,1.24714454668452,FALSE,NA,NA
"CX3CR1",-0.277360992144797,0.2029088799627,-0.480269872107497,0.836871311655194,FALSE,NA,NA
"SLC7A11",-0.341666786859761,0.0147824885402146,-0.356449275399976,0.451579567401302,FALSE,NA,NA
"IL10",0.00519912114917309,0.294390156332338,-0.289191035183165,0.747830936953712,FALSE,NA,NA
"TGFB3",-0.411278663869488,-0.23651940637899,-0.174759257490499,0.298828843404527,FALSE,NA,NA
"IL1R2",-0.656487881196775,-0.52453805761238,-0.131949823584394,0.170085178849653,FALSE,NA,NA
"ADORA2A",-0.976288992231483,-0.921833825434861,-0.0544551667966225,0.0172081628177009,FALSE,NA,NA
"ACKR2",-0.758482210253009,-0.709711190109076,-0.048771020143933,0.10124590597987,FALSE,NA,NA
"TGFB2",-0.595349449410412,-0.638628257322597,0.043278807912185,0.164035035797304,FALSE,NA,NA
"ARG2",-0.448811796780379,-0.419456988131873,-0.0293548086485064,0.245636581711188,FALSE,NA,NA
"ARG1",-0.95043284282359,-0.93714363287408,-0.0132892099495109,0.0203578715580646,FALSE,NA,NA
"STAB2",-1,-1,0,0,FALSE,NA,NA
