"gene_symbol","mean_logCPM_male","mean_logCPM_female","logFC_male_vs_female","mean_CPM","keep_for_test","pvalue","padj"
"KDM5C",3.61042897987223,4.33978688104415,-0.729357901171921,15.4830914143534,TRUE,0.00477817403906446,0.99988130124214
"HAMP",0.818722308757574,2.90198504784766,-2.08326273909008,5.53725727338645,TRUE,0.016213648745221,0.99988130124214
"PLA2G7",1.57166112214974,3.36786250292218,-1.79620138077244,8.09150566583725,TRUE,0.0235922076682097,0.99988130124214
"SUCLG2",5.84517585476859,5.50938120172974,0.335794653038857,53.0876922462575,TRUE,0.0266388223968707,0.99988130124214
"PRKAB2",2.51514359847389,2.90688504699753,-0.391741448523637,6.06541962670208,TRUE,0.0371941373106122,0.99988130124214
"KDM6A",3.46510041883305,4.23736429401418,-0.772263875181129,15.0234068260305,TRUE,0.04484339186877,0.99988130124214
"PRDX2",4.70932697302371,5.53264516204709,-0.823318189023379,37.7196642833717,TRUE,0.0481078522570924,0.99988130124214
"PAOX",2.25475187986977,2.56556685200208,-0.310814972132313,4.83870370188804,TRUE,0.0721611039870397,0.99988130124214
"SLC11A2",4.92016502380355,5.32152044441984,-0.401355420616285,34.8458045159424,TRUE,0.0739887087427022,0.99988130124214
"PFKM",1.01921237800253,1.33135142052557,-0.312139042523032,1.77668295118758,TRUE,0.0764316830381016,0.99988130124214
"SLC27A1",3.48143038978514,3.97148932845588,-0.490058938670741,13.0292451507647,TRUE,0.0773397904169361,0.99988130124214
"ACAA2",6.32771321573382,6.13968053385872,0.188032681875107,76.4592614489031,TRUE,0.0829989836365653,0.99988130124214
"SLC25A13",4.20476662590117,4.35950910268642,-0.154742476785248,18.9015174016402,TRUE,0.0924502297393824,0.99988130124214
"ACSL1",5.93549127651498,6.25289296721959,-0.31740169070461,68.5029739079328,TRUE,0.104229693786297,0.99988130124214
"LDHA",8.02310169199783,7.77425592574914,0.248845766248698,247.797940569704,TRUE,0.113208939310671,0.99988130124214
"RRAGC",5.3063738466198,5.47813312582892,-0.171759279209127,41.4348096678092,TRUE,0.114595032516912,0.99988130124214
"PPM1K",5.23195155143979,5.54078222925339,-0.308830677813591,41.8104292135315,TRUE,0.116193440466913,0.99988130124214
"HPGDS",5.10870573408137,4.30074661393748,0.807959120143893,30.9704963812303,TRUE,0.118647464679978,0.99988130124214
"ME3",2.91353223818089,2.63329780083521,0.280234437345686,6.6411251039283,TRUE,0.128588553810389,0.99988130124214
"GCLM",3.52072424948509,3.85550500286621,-0.334780753381119,12.625703369555,TRUE,0.137296808056323,0.99988130124214
"SLC7A5",0.512212275381435,1.27890539207923,-0.766693116697795,1.62923582720645,TRUE,0.13792005422618,0.99988130124214
"HFE",3.23494889286631,3.48195745551633,-0.247008562650017,9.84542599320435,TRUE,0.142508185200839,0.99988130124214
"MTHFR",3.87437281239673,4.19516257779111,-0.32078976539438,15.9832344287455,TRUE,0.14260673248955,0.99988130124214
"IKBKE",2.7469605439449,3.05170249910631,-0.304741955161403,7.04340714767199,TRUE,0.147594125931946,0.99988130124214
"IDO1",0.45535649033451,1.28165186278523,-0.826295372450721,1.72517974473334,TRUE,0.152109733532591,0.99988130124214
"MAT2A",5.94236858832099,6.24775393971685,-0.30538535139586,68.7613485036306,TRUE,0.152167208434166,0.99988130124214
"CYCS",7.62042679636075,7.40006776387425,0.220359032486497,187.73551491293,TRUE,0.167204981473194,0.99988130124214
"QPRT",3.84753644434231,3.63485627348108,0.212680170861235,13.2560419155503,TRUE,0.174441609445023,0.99988130124214
"LSS",2.28022965305167,2.64835558111317,-0.368125928061508,5.1409354132952,TRUE,0.179022482866136,0.99988130124214
"NMNAT3",0.970258724235349,1.14242162565165,-0.1721629014163,1.58616098037528,TRUE,0.181265536310809,0.99988130124214
