"","Subject 1","Subject 2","Subject 3","Subject 4","Subject 5","Subject 6","Subject 7","Subject 8","Subject 9","Subject 10","Subject 11","Subject 12","Subject 13","Subject 14","Subject 15"
"MIR1302-2HG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FAM138A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OR4F5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AL627309.1",27,54,34,26,36,45,34,32,1,10,31,24,19,23,39
"AL627309.3",4,3,2,3,4,1,2,5,0,1,4,1,0,3,1
"AL627309.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AL627309.4",4,0,3,0,0,1,0,0,0,0,4,6,4,3,0
"AL732372.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OR4F29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC114498.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OR4F16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AL669831.2",3,3,1,0,7,1,4,0,0,0,5,0,0,2,1
"AL669831.5",537,240,275,353,426,321,375,411,32,171,205,186,308,307,260
"FAM87B",11,19,16,12,14,8,10,9,2,3,28,18,7,21,13
"LINC00115",296,131,127,121,131,111,164,134,31,67,123,118,137,127,178
"FAM41C",102,58,141,167,104,111,154,92,27,58,61,37,41,33,121
"AL645608.7",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"AL645608.3",6,0,0,1,1,2,3,2,2,1,1,1,3,2,2
"AL645608.5",0,0,0,0,0,0,0,1,0,0,1,1,0,0,1
"AL645608.1",0,0,1,0,0,0,4,0,0,0,0,0,0,0,0
"SAMD11",4,3,5,5,5,3,8,2,2,1,9,11,18,13,3
"NOC2L",2900,2844,2847,2007,3149,2949,2581,2926,595,2288,2205,2109,1634,2214,3119
"KLHL17",165,168,168,131,180,162,159,186,8,138,111,83,240,130,151
"PLEKHN1",61,59,47,20,35,40,37,37,6,28,38,11,41,54,24
"PERM1",2,0,0,0,0,2,0,0,0,0,3,2,1,0,0
"AL645608.8",1,6,5,0,1,3,2,3,0,2,4,3,3,0,2
"HES4",105,128,184,67,385,137,129,193,0,266,120,26,16,147,229
"ISG15",44655,19277,46002,38935,57327,46099,44445,84066,7178,17328,14091,15585,10410,17660,54204
"AL645608.2",0,0,1,0,0,0,0,1,0,0,0,1,0,0,2
"AGRN",1679,841,1514,1124,1356,1821,1836,2026,216,608,1068,941,605,814,2290
"AL645608.9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNF223",2,0,0,0,1,0,0,0,0,0,6,0,0,2,1
"C1orf159",240,287,265,211,262,261,288,261,72,159,205,212,366,165,306
"LINC01342",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"AL390719.2",16,21,6,4,11,4,0,1,2,7,58,6,2,5,10
"TTLL10-AS1",1,4,0,1,3,1,1,2,0,0,6,1,1,1,6
"TTLL10",182,170,98,86,171,82,58,114,13,37,209,138,18,121,237
"TNFRSF18",440,218,170,188,82,345,140,236,47,130,140,6,528,182,221
"TNFRSF4",331,153,107,163,83,269,108,136,54,134,108,31,753,150,250
"SDF4",8107,9610,9037,6262,8676,8627,9499,9776,331,5266,6961,7537,3859,7147,11723
"B3GALT6",1930,1968,2144,1430,2175,2209,2002,2261,157,1527,1045,1199,826,1165,2220
"C1QTNF12",22,22,17,9,24,12,20,25,3,12,15,10,49,14,19
"AL162741.1",4,11,4,1,8,10,12,10,0,5,5,5,11,12,6
"UBE2J2",3484,3904,3730,2643,3688,3192,3244,3749,647,2392,1642,1841,1658,1910,3918
