"","Subject 1","Subject 2","Subject 3","Subject 4","Subject 5","Subject 6","Subject 7","Subject 8","Subject 9","Subject 10","Subject 11","Subject 12","Subject 13","Subject 14","Subject 15"
"MIR1302-2HG",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"FAM138A",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"OR4F5",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"AL627309.1",-0.47342495933584,-0.193370792146787,-0.185359052620329,-1,-0.449139796469117,-0.260383179599968,-0.0918922792135946,-0.496069128224585,-0.198937256878106,-0.784688827661239,-0.0705596399384713,-0.0734853973593882,-0.268795780899177,-0.0922053649099518,-0.266876395122797
"AL627309.3",-0.849276121583663,-0.752339812477763,-1,-0.858862932954838,-0.945156278303407,-1,-1,-1,-1,-1,-0.835722240985268,-1,-1,-1,-0.922502428733577
"AL627309.2",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"AL627309.4",-0.849276121583663,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.915524121505859,-0.504919528439931,-0.812292482631236,-0.743344819786082,-1
"AL732372.1",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"OR4F29",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"AC114498.1",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"OR4F16",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"AL669831.2",-1,-1,-1,-1,-0.744519956251161,-0.818647476051295,-0.829785113698997,-1,-1,-1,-0.835722240985268,-1,-1,-1,-1
"AL669831.5",2.32630149967969,1.59849848425025,1.76933366389429,2.40026131730024,1.88619602733032,2.08763285744002,2.25026019708222,2.49092512563517,0.690261744521335,1.76433649291926,1.88597683366512,1.58368088608012,2.53111768977649,2.24331789996372,1.46604406828437
"FAM87B",-0.849276121583663,-0.642819657052588,-1,-0.730311073142503,-0.653779425317033,-0.657567092626806,-0.677550154297818,-1,-1,-0.784688827661239,-0.319203339723839,-0.504919528439931,-0.685980133762603,-0.336321224825509,-0.712238473312217
"LINC00115",1.74987100077518,0.699267229065467,0.919335498560735,0.659126532282495,0.43554824409416,0.712415214420827,1.39442810849953,0.973245587119805,0.988970611850136,0.291950413773155,1.06902531573355,1.12335988489363,1.50833868716956,1.10768639409542,1.12643003724383
"FAM41C",0.522130007344747,0.208492206236682,0.712191230369669,0.79351069120421,0.212496868855222,1.07543509162539,0.39393175430365,-0.123320658521594,-0.198937256878106,-0.0249379436664162,0.426784930647484,0.0457493397015892,0.277545989657477,-0.0922053649099518,0.49628023638615
"AL645608.7",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"AL645608.3",-0.712820072634071,-1,-1,-1,-0.945156278303407,-0.818647476051295,-1,-0.496069128224585,-1,-0.784688827661239,-0.915524121505859,-1,-0.856979761200062,-1,-0.922502428733577
"AL645608.5",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.886459681591492,-1,-1,-1
"AL645608.1",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"SAMD11",-0.849276121583663,-0.870862096694557,-1,-0.730311073142503,-0.945156278303407,-1,-0.677550154297818,-1,-0.198937256878106,-1,-0.619810995417488,-0.683113261552561,-0.299306367740941,-0.865972556623476,-0.922502428733577
"NOC2L",4.39496426015375,4.34042255084522,4.89317403696187,4.41357518430014,4.54838893542903,4.66374698656657,4.59126738397325,4.31761897102307,4.62219741020417,4.90082615644161,4.92217746835074,4.76298118838145,4.83722494163528,4.83725129530287,4.53661942519465
