"gene_symbol","mean_logCPM_male","mean_logCPM_female","logFC_male_vs_female","mean_CPM","keep_for_test","pvalue","padj"
"ZFY-AS1",1.44915100589256,-0.804951374677267,2.25410238056983,1.49320493088732,TRUE,2.57855554550268e-06,0.0352359615292942
"SMKR1",1.05999669888935,0.606078965707531,0.453917733181817,1.36932614773843,TRUE,2.56056353054153e-05,0.17495050322425
"PUDP",2.55678156107073,3.25934992796263,-0.702568366891902,6.92300761264756,TRUE,0.000139735305786832,0.63649431785902
"MFSD5",3.86597218570431,4.07369708419779,-0.207724898493482,15.0055749903366,TRUE,0.000191272434699371,0.653434455041726
"DLG2",0.654185475401975,-0.174055013550091,0.828240488952067,0.85178626455065,TRUE,0.00128684060298511,0.999789698888697
"USP9Y",3.47243956269468,-0.33115190928081,3.80359147197549,7.7081366469439,TRUE,0.0013814059340839,0.999789698888697
"TTTY15",3.75822421234574,-0.296074369770093,4.05429858211583,8.9915974648714,TRUE,0.00160808757877118,0.999789698888697
"AL096711.2",0.304490449328027,-0.455147046429591,0.759637495757618,0.573584293674014,TRUE,0.00170528095123736,0.999789698888697
"LINC00278",0.862708873212854,-0.731900712392418,1.59460958560527,1.04249941870708,TRUE,0.00171128533933786,0.999789698888697
"NLGN4Y",0.130807498604481,-0.916217580971812,1.04702507957629,0.439784575192818,TRUE,0.00180486842985251,0.999789698888697
"ZNF358",2.99600338484519,3.61115684660694,-0.615153461761746,9.38938902363856,TRUE,0.00194336026635928,0.999789698888697
"TTTY14",2.326263558204,-0.468264613426339,2.79452817163034,3.05319401469065,TRUE,0.00283485155688955,0.999789698888697
"ZFY",3.67119506150113,-0.214568565251304,3.88576362675244,8.47833546532796,TRUE,0.00297643203347,0.999789698888697
"TMSB4Y",1.82279058985226,-0.541501689348659,2.36429227920091,2.05423752835392,TRUE,0.0030558606803171,0.999789698888697
"C15orf40",4.75681233257694,4.91262712029663,-0.155814787719682,27.8057965816025,TRUE,0.00317750186935112,0.999789698888697
"HLA-DRB5",5.78758877163229,10.770079215496,-4.98249044386371,992.913911466063,TRUE,0.00325299456156889,0.999789698888697
"DDX3Y",5.47400206287746,0.0657532235881619,5.4082488392893,31.2820993086325,TRUE,0.00336680440528037,0.999789698888697
"AIFM2",1.75402645480288,2.38332769744698,-0.629301242644102,3.7034698103511,TRUE,0.00348624460567316,0.999789698888697
"UTY",4.28040159220536,-0.0940825527953102,4.37448414500067,14.2383460339899,TRUE,0.003869902620043,0.999789698888697
"EIF1AY",5.38822070698763,0.061243329275798,5.32697737771183,27.7092055069553,TRUE,0.00399698664439659,0.999789698888697
"GGCX",4.2611026814878,4.49150218746725,-0.230399505979458,20.0816938735489,TRUE,0.00419287676650763,0.999789698888697
"PNPLA4",3.47735047087939,3.94583465264507,-0.468484181765681,12.4488416856897,TRUE,0.00433546347463025,0.999789698888697
"XIST",-0.882535145899892,7.17018190470122,-8.05271705060111,152.230567504196,TRUE,0.00440320980140966,0.999789698888697
"RPS4Y1",8.12052674738869,0.545966229113883,7.57456051827481,190.903328869851,TRUE,0.00440726485502337,0.999789698888697
"AGRP",5.97280670075581,6.58950396518836,-0.616697264432553,77.7171875631468,TRUE,0.00443914568183033,0.999789698888697
"MIR4435-2HG",3.3137141934164,4.06393546749117,-0.750221274074768,12.5445330927042,TRUE,0.00467034583235904,0.999789698888697
"MUC20-OT1",5.89385012753012,6.66039530710416,-0.766545179574041,78.5704261410934,TRUE,0.00479932343791389,0.999789698888697
"CRH",0.896102381074868,2.66458712171106,-1.76848474063619,3.95807708070347,TRUE,0.00589854187065812,0.999789698888697
