"gene_symbol","mean_logCPM_male","mean_logCPM_female","logFC_male_vs_female","mean_CPM","keep_for_test","pvalue","padj"
"CD68",9.98071559086404,9.67352096904197,0.30719462182207,941.451222622766,TRUE,0.0170725141351856,0.999730742094805
"ALOX15B",-0.182315039876551,1.44740885666938,-1.62972389654593,1.50092020004884,TRUE,0.0216697620864849,0.999730742094805
"RCAN1",2.93306037519497,3.14612994565031,-0.213069570455338,7.70944051702379,TRUE,0.0817093192071169,0.999730742094805
"HPGDS",5.11148094719946,4.30223977488918,0.809241172310284,31.0296677570769,TRUE,0.11841146337835,0.999730742094805
"IL10RB",3.80560997247022,4.24045494761122,-0.434844975141001,16.3553654975229,TRUE,0.126868761656158,0.999730742094805
"CD274",4.10633303870565,4.58288909861964,-0.476556059913986,20.891928441781,TRUE,0.159058442560091,0.999730742094805
"CD93",1.91795233526468,2.79971811436049,-0.881765779095806,6.21458012372766,TRUE,0.183795361107797,0.999730742094805
"TGFBR1",4.91484638170821,5.39542695034184,-0.480580568633632,37.3612955049571,TRUE,0.184094059976158,0.999730742094805
"IL4R",4.68036571723049,4.95409021128536,-0.273724494054877,28.1020938313002,TRUE,0.19565051096209,0.999730742094805
"SIGLEC10",1.73645399342122,2.55807529256161,-0.82162129914039,5.49428337912729,TRUE,0.202249592654233,0.999730742094805
"IL1RN",5.34183861334121,5.05953596715691,0.282302646184304,38.2668595623077,TRUE,0.204947251323303,0.999730742094805
"BCL3",2.73323807398859,3.16734801252759,-0.434109938538995,7.62397031746392,TRUE,0.205796647639521,0.999730742094805
"SOCS1",3.55552009084381,4.22655332085347,-0.671033230009658,16.4420315132008,TRUE,0.219889784869876,0.999730742094805
"HPGD",6.47065483045502,5.83178178261391,0.638873047841106,80.9502482750695,TRUE,0.219942354653149,0.999730742094805
"MERTK",-0.058813429679662,0.827575673449868,-0.88638910312953,1.47830141796809,TRUE,0.226382021456689,0.999730742094805
"MARCO",10.8979920487175,10.5944074596023,0.303584589115253,1813.78524483294,TRUE,0.23869556437924,0.999730742094805
"KLF2",5.59826055628632,5.13339326006574,0.464867296220579,47.824401786383,TRUE,0.244478954036836,0.999730742094805
"BNIP3L",6.85156238876841,6.72479718830622,0.12676520046219,112.261552007588,TRUE,0.259770963725044,0.999730742094805
"IRAK3",6.00328059042046,6.30550084423124,-0.302220253810781,74.3861425159777,TRUE,0.291856429219606,0.999730742094805
"MAF",5.14034415564614,5.40730205291695,-0.266957897270808,39.3307484585925,TRUE,0.305497200812799,0.999730742094805
"TNFAIP3",5.02906472180398,5.32747564531662,-0.298410923512641,37.4448353788562,TRUE,0.312610690200008,0.999730742094805
"STAB1",0.497873036658923,1.51548746700976,-1.01761443035083,4.88259299314365,TRUE,0.327310719578849,0.999730742094805
"TSC1",3.51740551119472,3.83267755819887,-0.31527204700415,13.030377497279,TRUE,0.329651100757957,0.999730742094805
"FGL2",4.62987186722489,5.26853061614754,-0.638658748922651,39.3333785139004,TRUE,0.340914420969573,0.999730742094805
"TNIP1",4.07967213622129,4.32423831142304,-0.244566175201745,18.3743171785428,TRUE,0.34176695786941,0.999730742094805
"CD14",7.01900788602242,7.3423144821381,-0.323306596115685,153.144641430782,TRUE,0.347685266733305,0.999730742094805
"AXL",7.15457493507428,6.90324715268166,0.251327782392622,136.432915721218,TRUE,0.347949156588122,0.999730742094805
"CD200R1",-0.0301398443702739,0.450818778644241,-0.480958623014515,0.867049892391959,TRUE,0.372171424123025,0.999730742094805
"ATF3",2.89932575573074,2.69070420524586,0.208621550484883,6.84530889462227,TRUE,0.382045924359391,0.999730742094805
"ULK1",2.60591468046928,2.91150654814415,-0.305591867674864,6.78382999817272,TRUE,0.401921782536451,0.999730742094805
"TREM2",6.70724087576594,6.54152587109814,0.1657150046678,103.070950298746,TRUE,0.414904462098375,0.999730742094805
"SQSTM1",7.57680474765585,7.51114018224271,0.0656645654131403,188.166205398126,TRUE,0.424286437576257,0.999730742094805
"GAS6",0.853553707617825,1.45510853273549,-0.601554825117666,3.03471603044839,TRUE,0.428997675287432,0.999730742094805
"CLEC7A",7.33153507366658,7.52551235592992,-0.193977282263341,176.999791501669,TRUE,0.451184355564443,0.999730742094805
"IL13RA1",6.61000065599225,6.8183607233658,-0.208360067373556,110.388720354792,TRUE,0.455193111233652,0.999730742094805
"CD36",5.35325088480078,5.62341583343636,-0.27016494863558,48.6082587595792,TRUE,0.491105354097745,0.999730742094805
"CCL18",9.18056811227314,9.61110671369235,-0.430538601419212,878.376122786803,TRUE,0.516224723429397,0.999730742094805
"SLC40A1",1.41971483697223,1.85585372696771,-0.436138889995477,3.7651317827225,TRUE,0.525962436141423,0.999730742094805
"HAVCR2",5.92927656609615,6.00916437154706,-0.0798878054509053,62.5309428740099,TRUE,0.541019787564775,0.999730742094805
"PTGER4",6.19680771597031,6.03169859746122,0.165109118509089,74.3130146745313,TRUE,0.567035351703906,0.999730742094805
"VSIG4",8.92657983048864,8.8092755105398,0.117304319948838,483.066276935408,TRUE,0.58978257777641,0.999730742094805
"DUSP1",8.1435372903626,7.9536405743598,0.189896716002801,293.319224849794,TRUE,0.597651306710021,0.999730742094805
"PPARG",8.12337780425035,7.94755874421261,0.175819060037744,278.587071339269,TRUE,0.597736774790486,0.999730742094805
"EPAS1",6.05017237959487,5.90127758826672,0.14889479132815,66.9940623544397,TRUE,0.597896605958922,0.999730742094805
"ALOX15",0.491489258008961,0.152245643082243,0.339243614926718,1.53518955108482,TRUE,0.609032060883079,0.999730742094805
"NFKBIA",6.58122902615516,6.67192786403597,-0.090698837880808,99.6607764000676,TRUE,0.622197090692921,0.999730742094805
"ATG5",4.75019114651026,4.68553949909045,0.0646516474198142,26.2774019083311,TRUE,0.635876386636312,0.999730742094805
"UCP2",6.96063380805389,7.02558916327912,-0.0649553552252247,128.711861542219,TRUE,0.637033625360235,0.999730742094805
"FCGR2B",2.85383389135031,3.15553815396069,-0.301704262610375,10.4395161661569,TRUE,0.651441475095813,0.999730742094805
"NR1H3",5.57148498993231,5.49997236066648,0.0715126292658317,46.9373139477192,TRUE,0.655625729446724,0.999730742094805
