"gene_symbol","mean_logCPM_male","mean_logCPM_female","logFC_male_vs_female","mean_CPM","keep_for_test","pvalue","padj"
"AIM2",1.76354384848349,2.39081300160073,-0.627269153117246,3.78960220724765,TRUE,0.0118989289106806,0.999730742094805
"CCL8",-0.29608869962843,0.791242956430873,-1.0873316560593,0.811101329673057,TRUE,0.0269037597731878,0.999730742094805
"CD83",6.57424422473529,6.20075436969895,0.373489855036337,87.2245867777297,TRUE,0.0302446164833376,0.999730742094805
"CCR1",5.38902687174768,5.73789692770097,-0.348870055953292,47.1636885871431,TRUE,0.0467944989118968,0.999730742094805
"HLA-DQB1",10.8425898085084,10.4311501347811,0.411439673727317,1696.70459897846,TRUE,0.0473405360301508,0.999730742094805
"IFI30",6.21424936230897,5.77741767636902,0.436831685939951,69.0368455854717,TRUE,0.0559915514946682,0.999730742094805
"S100A9",10.0200279952069,10.4257882553964,-0.405760260189522,1204.29517007783,TRUE,0.0660015395016102,0.999730742094805
"CD48",4.1332576302816,5.25356300751472,-1.12030537723313,31.547254092834,TRUE,0.0678224403970736,0.999730742094805
"IL15RA",1.7391355116662,2.1688063919246,-0.429670880258405,3.43675793806921,TRUE,0.0709732130696731,0.999730742094805
"IFNAR2",3.85292065984743,4.25480814318137,-0.401887483333937,16.2644288515322,TRUE,0.0799608698083696,0.999730742094805
"CD74",12.7552316374456,12.469918460457,0.285313176988595,6570.83985882939,TRUE,0.112372351893054,0.999730742094805
"STAT2",5.8215375004802,6.22733089125008,-0.405793390769881,66.5232332221458,TRUE,0.116132160417751,0.999730742094805
"TNFSF10",5.70324863281751,6.15569913857365,-0.452450505756145,63.1841116658682,TRUE,0.136493936741127,0.999730742094805
"HLA-DRB1",12.3592142948663,11.6825257255853,0.676688569280996,4842.08144521229,TRUE,0.140838286203427,0.999730742094805
"IKBKE",2.74461165831982,3.05213691954866,-0.307525261228835,7.03839678258414,TRUE,0.144607909356587,0.999730742094805
"IDO1",0.457079823765367,1.28174123747016,-0.824661413704791,1.72610874617166,TRUE,0.15265533608776,0.999730742094805
"FCGR3A",9.33627659662733,9.01692376149844,0.319352835128893,614.576563105614,TRUE,0.155281928414382,0.999730742094805
"PGD",7.21713930655882,7.37939107969583,-0.162251773137005,157.44316897436,TRUE,0.185314238597782,0.999730742094805
"IRF7",5.16280022097067,5.43866090758828,-0.275860686617611,39.4613456269281,TRUE,0.212479445308767,0.999730742094805
"CCL2",2.23513760097346,3.26749835787744,-1.03236075690398,9.26054224545384,TRUE,0.213018672054962,0.999730742094805
"STAT1",6.90081467687959,7.25300844936316,-0.352193772483569,141.059129878644,TRUE,0.216989761250912,0.999730742094805
"STAT4",0.449601768106414,1.25084334503527,-0.801241576928855,1.80148990683077,TRUE,0.217695822417775,0.999730742094805
"IL18",6.38807860987988,6.63417394303623,-0.24609533315635,91.6790417243182,TRUE,0.220680241131913,0.999730742094805
"RELA",4.53327775206784,4.69366435913522,-0.160386607067387,24.0433796666109,TRUE,0.22332854697193,0.999730742094805
"CXCL10",4.62781364299903,5.1358990111345,-0.508085368135461,31.5337085108554,TRUE,0.224863290612961,0.999730742094805
"CYBB",8.56697188034324,8.99585581492171,-0.428883934578469,471.117718861863,TRUE,0.229784873731311,0.999730742094805
"CXCL9",3.65738745592297,4.4837847832938,-0.826397327370828,22.4774476220951,TRUE,0.237942589485339,0.999730742094805
"ICAM1",3.71645202563139,4.15829906957402,-0.441847043942633,15.9344758257915,TRUE,0.239084887600433,0.999730742094805
"IRAK1",4.84497580546088,5.24225877326195,-0.39728296780107,34.1174876053893,TRUE,0.246139626856999,0.999730742094805
"CCL5",4.09653557272712,5.02265847331153,-0.926122900584411,33.9008221198851,TRUE,0.248405442101118,0.999730742094805
"HCK",7.06712815815978,6.74118788424654,0.325940273913234,126.957870090643,TRUE,0.249789739406244,0.999730742094805
"ISG15",7.94036260393851,8.28468196608786,-0.344319362149352,288.630182224179,TRUE,0.267687259048898,0.999730742094805
"IFNGR2",6.18726958177554,6.34517305929351,-0.157903477517968,76.8958794760808,TRUE,0.270543042598918,0.999730742094805
"ITGB2",8.43292905948869,8.74688668106708,-0.313957621578387,403.530778824918,TRUE,0.272168473793893,0.999730742094805
"CCL4",5.17712670981047,4.82707225996221,0.35005444984826,35.847046601356,TRUE,0.272580569870428,0.999730742094805
"HLA-DMB",8.10478567432638,8.32186019122134,-0.217074516894959,299.617019677288,TRUE,0.272596030033182,0.999730742094805
"CASP4",6.46941274251264,6.5733003052682,-0.103887562755562,91.331674864731,TRUE,0.2762760712979,0.999730742094805
"CXCL1",0.198266051513743,0.704932604414604,-0.506666552900861,1.00890052924216,TRUE,0.276863678592184,0.999730742094805
"IL18R1",-0.130386768091201,0.514161544921577,-0.644548313012778,0.884528668037132,TRUE,0.278738017357589,0.999730742094805
"C1QC",10.4168434762267,9.95981193714582,0.457031539080921,1313.50879193159,TRUE,0.281383247966413,0.999730742094805
"C2",6.81672324576587,6.39030245028399,0.426420795481879,107.893978688295,TRUE,0.282972745962097,0.999730742094805
"NLRP3",0.936108041105854,1.52352941392357,-0.587421372817716,2.36266489133757,TRUE,0.288765181291105,0.999730742094805
"CCR5",1.11658129258375,1.84085559275198,-0.724274300168225,3.14421763781859,TRUE,0.294899560721406,0.999730742094805
"GCH1",1.97384848455971,2.39804168597456,-0.424193201414856,4.42421479683169,TRUE,0.295248079601298,0.999730742094805
"HLA-A",10.5006256055981,10.7484437230476,-0.247818117449565,1617.71652515815,TRUE,0.324515816215013,0.999730742094805
"TNF",3.64507191768726,3.48110571917541,0.163966198511855,11.7552259014008,TRUE,0.325474422932801,0.999730742094805
"IFNG",0.376896446816167,0.87268285538522,-0.495786408569054,1.29076612898913,TRUE,0.326232331714859,0.999730742094805
"GBP1",6.7436039298999,7.01403739214125,-0.27043346224135,121.267114796774,TRUE,0.327067378053407,0.999730742094805
"TNFRSF1A",6.26073475675229,6.19389842052226,0.0668363362300335,74.962906684553,TRUE,0.339408332260893,0.999730742094805
"MMP9",-0.324712349383357,0.453518927826604,-0.778231277209962,1.15368864850575,TRUE,0.34099609313358,0.999730742094805
"GBP5",4.41036013563673,4.84281704337443,-0.432456907737699,27.4830461422374,TRUE,0.346990094301573,0.999730742094805
"CCR2",0.791590012650653,1.6283984838898,-0.836808471239143,3.83356564520365,TRUE,0.352912713109951,0.999730742094805
"IRF5",4.78070151765982,4.97740639679777,-0.196704879137944,29.4087088849982,TRUE,0.357541485241459,0.999730742094805
"LST1",9.21755679636374,9.04315731607132,0.174399480292415,584.029290668301,TRUE,0.361547400805644,0.999730742094805
"BTK",6.48573455313401,6.33520930617241,0.150525246961602,87.4731124621955,TRUE,0.362566531736025,0.999730742094805
"B2M",13.3247106264165,13.1330038097751,0.191706816641382,9976.20923663511,TRUE,0.368306145582057,0.999730742094805
"KYNU",5.99114636558723,5.84796911967031,0.14317724591692,61.5343548865818,TRUE,0.371370215746129,0.999730742094805
"TLR7",4.60526032780873,4.82311372301417,-0.217853395205445,27.0026856859902,TRUE,0.404806254187256,0.999730742094805
"C1QB",11.8809084430137,11.5990269778125,0.281881465201248,3689.32752992871,TRUE,0.442577457306571,0.999730742094805
"NFKB2",1.94213352930785,2.32166022810709,-0.379526698799237,4.6030263804908,TRUE,0.443919477402577,0.999730742094805
"BCL2A1",7.18107370229743,7.33062801994396,-0.149554317646536,154.122134344867,TRUE,0.444859028562472,0.999730742094805
"C1QA",11.8696334346139,11.6054725623765,0.264160872237479,3659.88391664391,TRUE,0.448089990751733,0.999730742094805
"S100A8",8.63888124760293,9.01208726347309,-0.373206015870156,510.825087925707,TRUE,0.453562975349972,0.999730742094805
"C3",2.35944243903367,2.93422405563558,-0.574781616601908,8.38708238696385,TRUE,0.459815765981619,0.999730742094805
"HLA-DPA1",11.4565059860524,11.3523413922703,0.104164593782084,2762.8511114132,TRUE,0.462015318413605,0.999730742094805
"DUSP2",1.42673603437379,1.78087587491444,-0.354139840540648,3.03314325281036,TRUE,0.462513052405638,0.999730742094805
"TLR2",3.23069647212717,3.67547014163147,-0.444773669504293,13.2654829295064,TRUE,0.470131234026729,0.999730742094805
"IFI16",7.24838407868044,7.38359234880526,-0.135208270124822,162.430941128033,TRUE,0.47341152562076,0.999730742094805
"HLA-DQA1",10.1802958784453,10.4385879214667,-0.258292043021314,1362.48743588128,TRUE,0.477291256598217,0.999730742094805
"CXCL8",2.99554431627197,2.62351426216704,0.372030054104927,8.31135718496971,TRUE,0.486076968187896,0.999730742094805
"IFNAR1",5.86772299595119,6.03119209200631,-0.163469096055122,63.6169328219358,TRUE,0.48880188857157,0.999730742094805
"OAS2",6.110433955758,6.34231549748738,-0.23188154172938,80.2258119957426,TRUE,0.507871512793623,0.999730742094805
"OLR1",8.99636559286924,8.8543933585164,0.141972234352842,509.622589092952,TRUE,0.520306934692764,0.999730742094805
