"gene_symbol","mean_logCPM_male","mean_logCPM_female","logFC_male_vs_female","mean_CPM","keep_for_test","pvalue","padj"
"ZFY-AS1",1.81329084470753,-0.799323507437379,2.61261435214491,1.95706397877191,TRUE,8.7885016506426e-07,0.0112765264679395
"LGALS12",0.578682065967074,1.26927310991786,-0.690591043950783,1.39359113081824,TRUE,0.000590569689504241,0.999730742094805
"LINC00278",0.913962181286444,-0.728494697511937,1.64245687879838,1.02170985837411,TRUE,0.000729704805912116,0.999730742094805
"PUDP",2.42965469513077,3.13886807268787,-0.709213377557099,6.35346676938369,TRUE,0.00103942476967986,0.999730742094805
"AL080317.1",0.548161971720702,1.05126202238391,-0.503100050663206,1.22104926771673,TRUE,0.00126585326616868,0.999730742094805
"DLG2",0.547484124753199,-0.218465969357966,0.765950094111165,0.763695616440423,TRUE,0.00131419815810471,0.999730742094805
"SMIM25",8.37236028461482,7.96283689026476,0.409523394350058,301.132459732706,TRUE,0.00132547462510814,0.999730742094805
"USF2",6.59151753726514,6.88321589713378,-0.291698359868639,105.085405152621,TRUE,0.0016787271905437,0.999730742094805
"USP9Y",3.32310698747083,-0.326802091416528,3.64990907888736,6.9431897227628,TRUE,0.00192922588169356,0.999730742094805
"ASB2",-0.123976513275575,0.618164563342632,-0.742141076618207,0.701053277655772,TRUE,0.00202483836773806,0.999730742094805
"TTTY15",3.5861247082196,-0.296656186479155,3.88278089469875,7.87561384149582,TRUE,0.00219691179062042,0.999730742094805
"TMSB4Y",1.86742104316031,-0.541559758205669,2.40898080136598,2.1061908846313,TRUE,0.00298800990254925,0.999730742094805
"HLA-DRB5",6.03525848598578,10.9980811034322,-4.96282261744642,1170.41464019287,TRUE,0.00331512846345394,0.999730742094805
"MUC20-OT1",5.77288637369943,6.62088886219696,-0.848002488497525,74.71020626245,TRUE,0.00352618628515044,0.999730742094805
"ZFY",3.52757205225043,-0.221213827328407,3.74878587957883,7.75606680272972,TRUE,0.00356157294354315,0.999730742094805
"DDX3Y",5.36743558506177,0.0668595269847313,5.30057605807704,29.3500974810528,TRUE,0.0037131622894293,0.999730742094805
"TTTY14",2.16452015892444,-0.470903215954743,2.63542337487918,2.69310323728925,TRUE,0.00384583393791434,0.999730742094805
"EIF1AY",5.4343363788093,0.0611299104043755,5.37320646840492,28.3908400041988,TRUE,0.00388102626706996,0.999730742094805
"XIST",-0.956709513566538,6.97384082512796,-7.9305503386945,131.002829393928,TRUE,0.00427958948615796,0.999730742094805
"AL669831.5",1.34492999735972,1.99037107026741,-0.64544107290769,2.7016944531322,TRUE,0.00474818871591644,0.999730742094805
"FNIP2",4.44097382587692,5.01513661758943,-0.574162791712513,25.9886991449177,TRUE,0.00475044270393445,0.999730742094805
"UTY",4.05805562253939,-0.0914331773787545,4.14948879991815,12.6575046577179,TRUE,0.00476457140977728,0.999730742094805
"KDM5C",3.60903710901811,4.33929140390869,-0.73025429489058,15.4742407049351,TRUE,0.0047780779733202,0.999730742094805
"RPS4Y1",7.96487747910229,0.548322622117128,7.41655485698516,172.643225397438,TRUE,0.0048229858256565,0.999730742094805
"C19orf38",3.3656072054003,4.11530075466191,-0.749693549261604,13.1103964728063,TRUE,0.00545866752065622,0.999730742094805
"ZNF358",2.92428575016861,3.58201948421944,-0.657733734050826,9.12907985608516,TRUE,0.00551472495604699,0.999730742094805
"AL355816.2",2.2903346760572,2.94177494365502,-0.65144026759782,5.71762217566369,TRUE,0.00599543164315802,0.999730742094805
"SMKR1",0.787581774529767,0.327062152119615,0.460519622410152,1.06459763826988,TRUE,0.00606811625581668,0.999730742094805
