"donor_id","geo_accession","sample_title","source_name","id_raw","treatment_raw","cell_type_raw","batch_raw","line_raw","treatment","cell_type","is_macrophage_culture","xist_score","y_marker_score","sex_inferred","sex_inferred_donor"
"1","GSM464207","Macrophage culture, ID 1, LPSandIFNg","Macrophages culture","ID: 1","treatment group: LPS and IFNg","cell type: cultured macrophages","batch: 14","line: G","LPS and IFNg","cultured macrophages",TRUE,7.272855588,5.545177306,"female","female"
"1","GSM464203","Macrophage culture, ID 1, IFNg","Macrophages culture","ID: 1","treatment group: IFNg","cell type: cultured macrophages","batch: 14","line: C","IFNg","cultured macrophages",TRUE,7.138560622,5.455784588,"female","female"
"1","GSM464204","Macrophage culture, ID 1, IL4","Macrophages culture","ID: 1","treatment group: IL4","cell type: cultured macrophages","batch: 14","line: D","IL4","cultured macrophages",TRUE,7.365340074,5.651940985,"female","female"
"1","GSM464201","Macrophage culture, ID 1, Control","Macrophages culture","ID: 1","treatment group: control","cell type: cultured macrophages","batch: 14","line: A","control","cultured macrophages",TRUE,7.350083653,5.422146638,"female","female"
"1","GSM464202","Macrophage culture, ID 1, IL17","Macrophages culture","ID: 1","treatment group: IL17","cell type: cultured macrophages","batch: 14","line: B","IL17","cultured macrophages",TRUE,7.127698021,5.5323878795,"female","female"
"1","GSM464205","Macrophage culture, ID 1, TNFa","Macrophages culture","ID: 1","treatment group: TNFa","cell type: cultured macrophages","batch: 14","line: E","TNFa","cultured macrophages",TRUE,7.301916911,5.459448083,"female","female"
"1","GSM464206","Macrophage culture, ID 1, LPS","Macrophages culture","ID: 1","treatment group: LPS","cell type: cultured macrophages","batch: 14","line: F","LPS","cultured macrophages",TRUE,7.383152668,5.594644271,"female","female"
"2","GSM464208","Macrophage culture, ID 2, Control","Macrophages culture","ID: 2","treatment group: control","cell type: cultured macrophages","batch: 14","line: H","control","cultured macrophages",TRUE,7.364941569,5.743002629,"female","female"
"2","GSM464209","Macrophage culture, ID 2, IL17","Macrophages culture","ID: 2","treatment group: IL17","cell type: cultured macrophages","batch: 14","line: I","IL17","cultured macrophages",TRUE,7.542229615,5.619915134,"female","female"
"2","GSM464211","Macrophage culture, ID 2, IL4","Macrophages culture","ID: 2","treatment group: IL4","cell type: cultured macrophages","batch: 14","line: K","IL4","cultured macrophages",TRUE,7.706248409,5.430931904,"female","female"
"2","GSM464212","Macrophage culture, ID 2, TNFa","Macrophages culture","ID: 2","treatment group: TNFa","cell type: cultured macrophages","batch: 14","line: L","TNFa","cultured macrophages",TRUE,8.057606298,5.538426955,"female","female"
"2","GSM464213","Macrophage culture, ID 2, LPS","Macrophages culture","ID: 2","treatment group: LPS","cell type: cultured macrophages","batch: 16","line: A","LPS","cultured macrophages",TRUE,7.550838163,5.531930952,"female","female"
"2","GSM464210","Macrophage culture, ID 2, IFNg","Macrophages culture","ID: 2","treatment group: IFNg","cell type: cultured macrophages","batch: 14","line: J","IFNg","cultured macrophages",TRUE,7.312166743,5.625350317,"female","female"
"2","GSM464214","Macrophage culture, ID 2, LPSandIFNg","Macrophages culture","ID: 2","treatment group: LPS and IFNg","cell type: cultured macrophages","batch: 16","line: B","LPS and IFNg","cultured macrophages",TRUE,7.479195214,5.490539642,"female","female"
"3","GSM464220","Macrophage culture, ID 3, LPS","Macrophages culture","ID: 3","treatment group: LPS","cell type: cultured macrophages","batch: 16","line: H","LPS","cultured macrophages",TRUE,7.450370305,5.46430554,"female","female"
"3","GSM464221","Macrophage culture, ID 3, LPSandIFNg","Macrophages culture","ID: 3","treatment group: LPS and IFNg","cell type: cultured macrophages","batch: 16","line: I","LPS and IFNg","cultured macrophages",TRUE,7.550110871,5.554898685,"female","female"
"3","GSM464217","Macrophage culture, ID 3, IFNg","Macrophages culture","ID: 3","treatment group: IFNg","cell type: cultured macrophages","batch: 16","line: E","IFNg","cultured macrophages",TRUE,7.094759745,5.630802842,"female","female"
"3","GSM464215","Macrophage culture, ID 3, Control","Macrophages culture","ID: 3","treatment group: control","cell type: cultured macrophages","batch: 16","line: C","control","cultured macrophages",TRUE,7.362895403,5.561702012,"female","female"
"3","GSM464216","Macrophage culture, ID 3, IL17","Macrophages culture","ID: 3","treatment group: IL17","cell type: cultured macrophages","batch: 16","line: D","IL17","cultured macrophages",TRUE,7.478747395,5.592069622,"female","female"
"3","GSM464218","Macrophage culture, ID 3, IL4","Macrophages culture","ID: 3","treatment group: IL4","cell type: cultured macrophages","batch: 16","line: F","IL4","cultured macrophages",TRUE,7.52016838,5.502990099,"female","female"
"3","GSM464219","Macrophage culture, ID 3, TNFa","Macrophages culture","ID: 3","treatment group: TNFa","cell type: cultured macrophages","batch: 16","line: G","TNFa","cultured macrophages",TRUE,7.643835764,5.426898702,"female","female"
"4","GSM464222","Macrophage culture, ID 4, Control","Macrophages culture","ID: 4","treatment group: control","cell type: cultured macrophages","batch: 16","line: J","control","cultured macrophages",TRUE,5.806270006,7.712471657,"male","female"
"4","GSM464233","Macrophage culture, ID 4, TNFa (rep)","Macrophages culture","ID: 4","treatment group: TNFa","cell type: cultured macrophages","batch: 69","line: I","TNFa","cultured macrophages",TRUE,7.053220228,5.300023496,"female","female"
"4","GSM464234","Macrophage culture, ID 4, LPS (rep)","Macrophages culture","ID: 4","treatment group: LPS","cell type: cultured macrophages","batch: 69","line: J","LPS","cultured macrophages",TRUE,7.561088487,5.636201182,"female","female"
"4","GSM464235","Macrophage culture, ID 4, LPSandIFNg (rep)","Macrophages culture","ID: 4","treatment group: LPS and IFNg","cell type: cultured macrophages","batch: 69","line: K","LPS and IFNg","cultured macrophages",TRUE,7.387108391,5.602480864,"female","female"
"4","GSM464223","Macrophage culture, ID 4, IL17","Macrophages culture","ID: 4","treatment group: IL17","cell type: cultured macrophages","batch: 16","line: K","IL17","cultured macrophages",TRUE,5.556081856,7.615786508,"male","female"
"4","GSM464224","Macrophage culture, ID 4, IFNg","Macrophages culture","ID: 4","treatment group: IFNg","cell type: cultured macrophages","batch: 16","line: L","IFNg","cultured macrophages",TRUE,5.646037842,7.566167127,"male","female"
"4","GSM464225","Macrophage culture, ID 4, IL4","Macrophages culture","ID: 4","treatment group: IL4","cell type: cultured macrophages","batch: 69","line: A","IL4","cultured macrophages",TRUE,5.868764853,7.456678519,"male","female"
"4","GSM464226","Macrophage culture, ID 4, TNFa","Macrophages culture","ID: 4","treatment group: TNFa","cell type: cultured macrophages","batch: 69","line: B","TNFa","cultured macrophages",TRUE,5.907306991,7.513950172,"male","female"
"4","GSM464227","Macrophage culture, ID 4, LPS","Macrophages culture","ID: 4","treatment group: LPS","cell type: cultured macrophages","batch: 69","line: C","LPS","cultured macrophages",TRUE,5.888764286,7.405776844,"male","female"
"4","GSM464228","Macrophage culture, ID 4, LPSandIFNg","Macrophages culture","ID: 4","treatment group: LPS and IFNg","cell type: cultured macrophages","batch: 69","line: D","LPS and IFNg","cultured macrophages",TRUE,5.639870081,7.56745238,"male","female"
"4","GSM464229","Macrophage culture, ID 4, Control (rep)","Macrophages culture","ID: 4","treatment group: control","cell type: cultured macrophages","batch: 69","line: E","control","cultured macrophages",TRUE,7.287624758,5.481108615,"female","female"
"4","GSM464230","Macrophage culture, ID 4, IL17 (rep)","Macrophages culture","ID: 4","treatment group: IL17","cell type: cultured macrophages","batch: 69","line: F","IL17","cultured macrophages",TRUE,7.51460947,5.495782553,"female","female"
"4","GSM464231","Macrophage culture, ID 4, IFNg (rep)","Macrophages culture","ID: 4","treatment group: IFNg","cell type: cultured macrophages","batch: 69","line: G","IFNg","cultured macrophages",TRUE,7.239916759,5.5238420065,"female","female"
"4","GSM464232","Macrophage culture, ID 4, IL4 (rep)","Macrophages culture","ID: 4","treatment group: IL4","cell type: cultured macrophages","batch: 69","line: H","IL4","cultured macrophages",TRUE,7.746836802,5.483385691,"female","female"
"5","GSM464237","Macrophage culture, ID 5, IL17","Macrophages culture","ID: 5","treatment group: IL17","cell type: cultured macrophages","batch: 71","line: B","IL17","cultured macrophages",TRUE,5.815674036,8.043840329,"male","male"
"5","GSM464238","Macrophage culture, ID 5, IFNg","Macrophages culture","ID: 5","treatment group: IFNg","cell type: cultured macrophages","batch: 71","line: C","IFNg","cultured macrophages",TRUE,5.964014391,8.14669686,"male","male"
"5","GSM464239","Macrophage culture, ID 5, IL4","Macrophages culture","ID: 5","treatment group: IL4","cell type: cultured macrophages","batch: 71","line: D","IL4","cultured macrophages",TRUE,5.808065688,8.00501212,"male","male"
"5","GSM464236","Macrophage culture, ID 5, Control","Macrophages culture","ID: 5","treatment group: control","cell type: cultured macrophages","batch: 71","line: A","control","cultured macrophages",TRUE,5.863599477,7.901945793,"male","male"
