"probe_id","gene_symbol","entrez_id","chromosome","GSM464201","GSM464202","GSM464203","GSM464204","GSM464205","GSM464206","GSM464207","GSM464208","GSM464209","GSM464210","GSM464211","GSM464212","GSM464213","GSM464214","GSM464215","GSM464216","GSM464217","GSM464218","GSM464219","GSM464220","GSM464221","GSM464222","GSM464223","GSM464224","GSM464225","GSM464226","GSM464227","GSM464228","GSM464229","GSM464230","GSM464231","GSM464232","GSM464233","GSM464234","GSM464235","GSM464236","GSM464237","GSM464238","GSM464239","GSM464240","GSM464241","GSM464242","GSM464243","GSM464244","GSM464245","GSM464246","GSM464247","GSM464248"
"ILMN_1746659","LOC653050",653050,"Y",5.297191009,5.302676659,5.185783098,5.594644271,5.273517165,5.418942346,5.29814652,5.149763159,5.148361367,5.247168957,5.184516846,5.319895685,5.432421756,5.346606271,5.126384573,5.402561226,5.440074166,5.322453602,5.411183904,5.233193112,5.192828041,5.291033091,5.414412524,5.333352658,5.4528046,5.380261389,5.354263994,5.326959547,5.394055225,5.427614324,5.519889821,5.322347415,5.65332779,5.558995714,5.47571362,5.337725186,5.305721628,5.231658465,5.235885526,5.185461212,5.468905177,4.959812678,5.222624078,5.358134535,5.398067848,5.329547573,5.554435879,5.340276496
"ILMN_1672935","HSFY2",159119,"Y",5.359479139,5.512021167,5.461190078,5.425151235,5.177703649,5.519432158,5.525463243,5.411789962,5.510223051,5.290717559,5.445404453,5.496932641,5.559863458,5.355072385,5.290717559,5.469730699,5.480944023,5.438534861,5.645897874,6.164409138,5.305744477,5.451372053,5.439485252,5.648612346,5.493016531,5.453227065,5.408176306,5.350526893,5.19139171,5.397854881,5.309757363,5.409755215,5.392054808,5.558695161,5.528983408,5.46989207,5.498503109,5.134188204,5.2656632,5.475215618,5.471787922,5.48256984,5.517246659,5.673194196,5.499627764,5.282788847,5.517112343,5.470944004
"ILMN_1688833","HSFY2",159119,"Y",5.516760546,5.600847667,5.539316766,5.318621871,5.501789563,5.367079972,5.647310653,5.173710401,5.390047507,5.427163882,5.657593821,5.466938428,5.30457951,5.633053453,5.493957162,5.498425324,5.70332867,5.467386366,5.522819388,5.513315384,5.59288616,5.456645097,5.612325704,5.607851171,5.451888754,5.496619437,5.45698806,5.600633238,5.569031274,5.391592416,5.277409376,5.494255064,5.539302741,5.295072737,5.280396813,5.532084541,5.313532943,5.569918785,5.480496192,5.416675429,5.426812198,5.592527311,5.652387631,5.440388348,5.542978126,5.397633206,5.498411657,5.471828507
"ILMN_2291534","HSFY2",159119,"Y",5.305373874,5.122728262,5.377099127,5.57663671,5.143417898,5.326979523,5.34942192,5.276237535,5.185905678,5.334010563,5.251752457,5.244071006,5.374001583,5.148556519,5.427587959,5.15426946,5.452792554,5.414493395,5.299649413,5.316584288,5.561517497,5.443705754,5.491233878,4.987094665,5.365728035,5.334650572,5.398911643,5.364314205,5.336176889,5.293435107,5.462651254,5.291454152,5.578170159,5.389197939,5.207367133,5.347702333,5.149306194,5.495468236,5.317767413,5.262702629,5.216975753,5.278583985,5.351390524,5.698825687,5.578462211,5.51735262,5.235619579,5.338534228
"ILMN_2291538","HSFY2",159119,"Y",5.277968838,5.972116561,5.464156235,5.731936021,5.317596251,5.636919913,5.468521856,5.380406879,5.172630311,5.380944514,5.701204967,5.452401013,5.491301771,5.314089185,5.504477528,5.236459707,5.588965629,5.650904167,5.542691235,5.457331246,5.565031256,5.10258903,5.331334763,5.323733133,5.380750756,5.396413582,5.406523856,5.282891,5.545449547,5.578474414,5.401428016,5.362409953,5.448221347,5.269257078,5.531250223,5.179093114,5.302489229,5.265628356,5.320480106,5.789569061,5.350699135,5.509543809,5.20505736,5.333234666,5.374897011,5.251389251,5.399793263,5.187805816
"ILMN_2401946","HSFY2",159119,"Y",5.554003493,5.691212734,5.557541196,5.597780577,5.51441376,5.299171119,5.494000624,5.484741157,5.441289223,5.305297096,5.539559421,5.513368766,5.3495292,5.448554384,5.383620001,5.396429456,5.691925708,5.567267127,5.429891514,5.515733826,5.393221047,5.174586233,5.385043409,5.46900636,5.442327899,5.423193067,5.650074756,5.4466079,5.404196996,5.506213589,5.35762067,5.375240981,5.557399534,5.543874838,5.468026977,5.633759288,5.771543427,5.518763985,5.429401032,5.211012235,5.381042522,5.379051575,5.440074166,5.544016147,5.555103828,5.518101741,5.441592372,5.277702761
"ILMN_1748182","SRY",6736,"Y",5.728808993,5.387695503,5.313220007,5.370068258,5.602204779,5.500302767,5.439785316,5.779855119,5.541891861,5.265008049,5.499221292,5.584903299,5.823542176,5.336706253,5.586712622,5.605132155,5.65756524,5.553067614,5.563779632,5.359631019,5.428227318,5.574852361,5.310212497,5.349886688,5.613269843,5.561816011,5.43662426,5.523256164,5.291454152,5.498804799,5.33635902,5.340704803,5.41658116,5.51317028,5.625885651,5.464284416,5.515260884,5.587225389,5.394114708,5.493181499,5.491133441,5.477580733,5.556361487,5.548597774,5.510707697,5.543302471,5.446002463,5.493250912
"ILMN_1796326","TTTY9A",NA,"Y",5.377413523,5.566141816,5.049872297,5.407401419,5.276518637,5.23360007,5.175986868,5.346778965,5.273636298,5.433246393,5.394355142,5.32529938,5.573088474,5.462741384,5.251469496,5.390288954,5.579696816,5.406829381,5.288466894,5.304819366,5.465350231,5.32358041,5.352318531,5.411508364,5.456434205,5.214479531,5.434449774,5.361427712,5.28066447,5.115988271,5.295046097,5.348923121,5.288772527,5.344633608,5.171455077,5.555640201,5.245781092,5.487944631,5.20605835,5.146244835,5.350335278,5.463530925,5.228153717,5.315847865,5.342634099,5.149192548,5.292384365,5.160512768
"ILMN_2197608","TTTY9B",NA,"Y",5.567920382,5.267059689,5.798528711,5.760841971,5.606185703,5.410250757,5.540521266,5.172472678,5.522310277,5.666656314,5.460837653,5.39933563,5.416277215,5.360820044,5.360770683,5.342215748,5.371002914,5.438239995,5.487148603,5.363525863,5.348705126,5.280745969,5.329707953,5.375771255,5.587834835,5.477991223,5.44800857,5.544683983,5.30037567,5.353072365,5.30657694,5.436350217,5.61653998,5.653546834,5.500626322,5.411574951,5.546071865,5.407931496,5.33345122,5.367150654,5.590074682,5.33740845,5.649120756,5.492081993,5.481912417,5.332395986,5.185591415,5.354725085
"ILMN_2055396","TTTY17A",NA,"Y",5.562864006,5.695775701,5.624553805,5.494241963,5.363736762,5.720808581,5.43595554,5.400738513,5.680899922,5.675440155,5.450388693,5.38958466,5.550198242,5.514812794,5.647810463,5.502070913,5.389981385,5.700658552,5.709716208,5.517032956,5.457139824,5.621521977,5.530326532,5.59344804,5.50885669,5.442779606,5.576831531,5.606185703,5.279685375,5.640757044,5.567343664,5.589220264,5.433038223,5.655460411,5.446659881,5.81030345,5.429484993,5.6040844,5.351529888,5.701175379,5.44775744,5.465504212,5.609730304,5.606203365,5.45487624,5.716777796,5.45259632,5.393977958
"ILMN_2055391","TTTY17A",NA,"Y",5.51949225,5.370244227,5.441170905,5.236153812,5.215145134,5.690333409,5.439424958,5.38745498,5.415473344,5.344861563,5.758196063,5.640066637,5.44987523,5.178693684,5.450712362,5.554713666,5.467052213,5.515168178,5.295652038,5.401634645,5.138876672,5.340296373,5.524928248,5.442583104,5.440403557,5.236153812,5.199613062,5.428809236,5.44197883,5.158216881,5.315480383,5.486156093,5.309848937,5.534194923,5.508507784,5.454050818,5.347760164,5.291259647,5.277733768,5.317517077,5.338472477,5.358217843,5.29164227,5.414745368,5.497151138,5.53576995,5.550198242,5.534841192
"ILMN_1663406","TTTY17A",NA,"Y",5.268361692,5.358182187,5.387311264,5.344734148,5.401400356,5.348371466,5.405025078,5.57571097,5.934111143,5.483266788,5.416004325,5.500836468,5.637666973,5.41895413,5.500797501,5.387270867,5.381853733,5.30897647,5.268768194,5.717721447,5.572458415,5.401333445,5.827257978,5.592047453,5.231511281,5.480208732,5.420681392,5.349231179,5.521827487,5.517808639,5.379570551,5.520007693,5.442847747,5.427758931,5.363421181,5.422529831,5.356019039,5.490021511,5.267180483,5.441289223,5.338650394,5.134188204,5.552764805,5.433608396,5.397341072,5.352003502,5.334370842,5.349093876
"ILMN_2163540","TTTY11",NA,"Y",5.710590311,5.773458654,5.84340392,5.503358089,5.410791071,6.138240982,5.65162394,5.641429607,5.264699358,6.00056855,5.533933335,5.602498221,5.225696811,5.717062836,5.598202587,5.521284859,5.42079293,5.40570249,5.516931589,5.785850145,5.76900752,5.777838707,5.829562119,5.831748064,5.44409993,5.772976657,5.457500213,5.491476022,5.769441924,5.528308482,5.594027921,5.589909441,5.720609947,6.046934023,5.719319147,5.790955909,5.764146966,5.436311137,5.633373465,5.593702122,5.61590088,5.578680597,5.505629524,5.508033385,5.952891453,5.551067066,5.559416472,5.794206689
"ILMN_2163538","TTTY11",NA,"Y",5.552308956,5.482254333,5.537217205,5.21557479,5.526320087,5.562612341,5.344828731,5.294656227,5.337645065,5.315007179,5.471630036,5.165725309,5.561117477,5.637606991,5.430133692,5.448825801,5.568097893,5.420998007,5.399138985,6.080198481,5.440403557,5.385110207,5.76214609,5.46737371,5.462836566,5.391481228,5.3444712,5.159765921,5.519707402,5.540708084,5.396727447,5.434863431,5.659715286,5.414388713,5.285171005,5.442098931,5.211179529,5.112775786,5.451588876,5.346908405,5.524333161,5.536552923,5.324641921,5.411520159,5.194614263,5.457277433,5.608234866,5.48004516
"ILMN_2175124","DAZ1",1617,"Y",5.588999912,5.515426124,5.577599047,5.511413523,5.230620626,5.407034753,5.389772943,5.466134326,5.480679547,5.373848478,5.306693881,5.383447928,5.516116566,5.456752709,5.533906788,5.540200494,5.358914426,5.453629418,5.485004811,5.427637548,5.504283023,5.381489529,5.147671553,5.325506698,5.217227637,5.367452037,5.327508685,5.36693167,5.220071083,4.966558944,5.444324845,5.415913425,5.268721264,5.356278702,5.261353111,5.427510621,5.497845431,5.357105913,5.581133077,5.330970844,5.454259729,5.149847777,5.298425045,5.400899693,5.310389568,5.454605627,5.517595846,5.240429481
"ILMN_1732039","DDX3Y",8653,"Y",5.40482593,5.409947644,5.216016112,5.368252925,5.326106159,5.351372083,5.231263163,5.379688806,5.502557443,5.257080688,5.31778676,5.526850413,5.323659656,5.314234841,5.609372125,5.324900998,5.341369832,5.350451562,5.191026452,5.617332142,5.325033781,5.470599357,5.548533815,5.6780223,5.364297739,5.298661844,5.772638647,5.599353678,5.564812244,5.449206418,5.483198037,5.426008782,5.429387338,5.349764896,5.455088281,5.523778744,5.285757185,5.406340228,5.608074187,5.474499475,5.824034244,5.524756161,5.551443757,5.439661637,5.534273751,5.614033647,5.870739915,5.613010205
"ILMN_1808923","LOC728403",728403,"Y",5.410869145,5.549873795,5.230929465,5.395674455,5.57339384,5.400431502,5.436153484,5.36258229,5.535967485,5.461149339,5.717787964,5.788065534,5.534440018,5.484100885,5.318686912,5.331616199,5.241370481,5.66870565,5.525782375,5.208450867,5.650841604,5.320845059,5.467016648,5.39018204,5.399544597,5.313290738,5.459185831,5.588005248,5.453397532,5.298167543,5.439028935,5.571840043,5.47218079,5.524370577,5.24663917,5.32235628,5.340920796,5.36475883,5.500716574,5.562452501,5.467027736,5.465801912,5.490726812,5.484682482,5.353710395,5.550085795,5.347163646,5.55053332
"ILMN_2143383","TTTY14",NA,"Y",5.602947609,5.496905212,5.546567549,5.442265581,5.40136072,5.36245918,5.239064697,5.89471674,5.633701833,5.526926775,5.344981341,5.522354284,5.569205211,5.453422146,5.472470144,5.476822802,5.409581066,5.232498404,5.611104911,5.340840067,5.547544981,5.412465892,5.441819315,5.63695969,5.591441918,5.864879945,5.534454173,5.158123856,5.55149961,5.718313534,5.517313135,5.658601916,5.67920285,5.542497419,5.562806116,6.000379777,5.514056841,5.8837678,5.514083864,5.786872793,5.545144969,5.782192584,5.669558575,5.489387312,5.787061871,5.39678034,5.586484594,5.638905597
"ILMN_1656021","DAZ4",57135,"Y",5.469321755,5.55438177,5.396686211,5.32213756,5.497186194,5.460498053,5.52036786,5.43582465,5.750959425,5.177619299,5.463136037,5.444735882,5.620069122,5.673846407,5.450891637,5.71698084,5.584153446,5.512118162,5.420808016,5.525891737,5.503199881,5.49987617,5.158673454,5.472762235,5.33559348,5.491490529,5.342194241,5.469459708,5.446521612,5.520844038,5.4814005,5.228056508,5.492963622,5.438795111,5.304923843,5.527631422,5.464454331,5.466092334,5.458556038,5.152919553,5.429661252,5.392054808,5.374545732,5.361541983,5.463310783,5.435510791,5.633314945,5.430214431
"ILMN_1754528","DAZ4",57135,"Y",5.503714571,5.580750708,5.628032113,5.741899589,5.731688736,5.499170469,5.582490796,5.726015991,5.646741103,5.523882681,5.751149804,5.852145646,5.714915073,5.313126111,5.632533064,5.547050956,5.603631642,5.636643822,5.636517598,5.620521106,5.624021928,5.676843487,5.507361877,5.971707287,5.55224303,5.749399838,5.874045062,5.861413262,5.687200357,5.869934197,5.634367688,5.625807611,5.625457261,5.59288616,5.562776749,5.802296455,5.508083699,5.76876555,5.77635987,5.760220839,5.74954451,5.552938639,5.604680412,5.785065803,5.62419874,5.644689483,5.543167061,5.493314029
"ILMN_2404951","DAZ4",57135,"Y",5.355667926,5.373355475,5.464080553,5.32064996,5.442971161,5.310191472,5.285066922,5.502544663,5.434954337,5.393697999,5.309460305,5.358981812,5.520696346,5.357242424,5.436415988,5.268768194,5.571170213,5.656193114,5.530740223,5.138622137,5.51708616,5.461149339,5.388060203,5.456927613,5.361623609,5.321975068,5.593796945,5.311510806,5.389522888,5.38971794,5.430931904,5.576130057,5.40341698,5.30023099,5.579215929,5.384264334,5.470050319,5.333234666,5.420808016,5.448256659,5.402859753,5.251500765,5.346468602,5.331716753,5.3718875,5.429037055,5.245603829,5.31930956
"ILMN_1772163","PRKY",5616,"Y",5.678530784,5.650348439,5.725706601,5.815208417,5.561196071,5.726983741,5.613780183,5.160408255,5.575893416,5.730912891,5.700681518,5.724305692,5.456908024,5.591878063,5.182990979,5.624553805,5.600106897,5.768595783,5.558665284,5.769125343,5.829927505,5.990120759,5.50549777,5.892258962,5.963123551,5.5913924,5.62744777,5.503439808,5.513883123,4.978585423,5.393556077,5.868226063,5.578261405,5.560656805,5.429037055,5.700613516,5.408377758,5.637409226,5.623790051,5.637333472,5.484309268,5.485017795,5.47967557,5.821175959,5.721216788,5.876544624,5.989408927,6.010361681
"ILMN_1813297","LOC646162",646162,"Y",5.332265596,5.439208781,5.244975782,5.195189101,5.143190866,5.42179507,5.194514544,5.324814763,5.590640994,5.205120907,5.129289602,5.370051388,5.446349353,5.3586843,5.464295474,5.199613062,5.187805816,5.091582076,5.26291632,5.524650096,5.200271819,5.647721083,5.225608035,5.543938897,5.329985002,5.193239696,5.333880388,5.440113043,5.450310051,5.261043909,5.2299169,5.117481611,5.245635681,5.232631023,5.215038181,5.265139835,5.185523339,5.120841547,5.137976685,5.363421181,5.400682464,5.220758514,5.171948161,5.225885977,5.697662167,5.027266488,5.254911943,5.370711874
"ILMN_2211956","TTTY6",NA,"Y",5.643538292,5.869725716,5.760220839,5.446575784,5.506134447,5.620284487,5.556050379,5.473866978,5.275930154,5.427961333,5.461996492,5.423675265,5.413015765,5.445220822,5.512422942,5.508310495,5.418502156,5.434885405,5.574722899,5.899081097,5.591831537,5.361860574,5.496118969,5.615311555,5.684804436,5.605304988,5.173710401,5.507055604,5.639290454,5.485749292,5.547403684,5.467299548,5.647447701,5.701978927,5.43738485,5.359758928,5.489661347,5.428314602,5.562655348,5.264766585,5.69153103,5.466514393,5.489752828,5.300025339,5.48334286,5.27033018,5.842907319,5.612596038
