"donor_id","geo_accession","sample_title","cell_type_raw","cell_type","xist_score","y_marker_score","sex_inferred","sex_inferred_donor"
"1","GSM868465","M0_1","cell type: M0 macrophages","M0 macrophages",90.8175519,689.4407714,"female","male"
"1","GSM868466","M2_1","cell type: M2 macrophages","M2 macrophages",94.09507238,761.1642,"female","male"
"1","GSM868467","M1_1","cell type: M1 macrophages","M1 macrophages",101.185661,666.6610143,"female","male"
"2","GSM868468","M1_2","cell type: M1 macrophages","M1 macrophages",72.72949524,814.1684619,"female","male"
"2","GSM868469","M2_2","cell type: M2 macrophages","M2 macrophages",75.99367,788.645319,"female","male"
"2","GSM868483","M0_2","cell type: M0 macrophages","M0 macrophages",88.68570952,1122.704529,"male","male"
"3","GSM868470","M0_3","cell type: M0 macrophages","M0 macrophages",101.674341,1262.922638,"male","male"
"3","GSM868472","M1_3","cell type: M1 macrophages","M1 macrophages",90.0815881,1274.6273,"male","male"
"3","GSM868471","M2_3","cell type: M2 macrophages","M2 macrophages",96.42108333,1502.60329635,"male","male"
"4","GSM868473","M0_4","cell type: M0 macrophages","M0 macrophages",1473.909071,85.64351476,"female","female"
"4","GSM868474","M2_4","cell type: M2 macrophages","M2 macrophages",1839.125462,92.25241238,"female","female"
"4","GSM868475","M1_4","cell type: M1 macrophages","M1 macrophages",1004.3328,82.75749667,"female","female"
"5","GSM868476","M0_5","cell type: M0 macrophages","M0 macrophages",105.3534529,1175.000633,"male","male"
"5","GSM868477","M2_5","cell type: M2 macrophages","M2 macrophages",89.20727095,1065.544829,"male","male"
"5","GSM868478","M1_5","cell type: M1 macrophages","M1 macrophages",95.71585333,1254.92221,"male","male"
"6","GSM868480","M0_6","cell type: M0 macrophages","M0 macrophages",91.35427571,699.4862524,"female","male"
"6","GSM868479","M1_6","cell type: M1 macrophages","M1 macrophages",95.54887381,657.8132333,"female","male"
"6","GSM868484","M2_6","cell type: M2 macrophages","M2 macrophages",86.4009819,1635.789386,"male","male"
"7","GSM868481","M2_7","cell type: M2 macrophages","M2 macrophages",133.1047605,1454.00871605,"male","male"
"7","GSM868482","M0_7","cell type: M0 macrophages","M0 macrophages",106.4218024,1039.20775745,"male","male"
"7","GSM868485","M1_7","cell type: M1 macrophages","M1 macrophages",102.1482452,1050.899486,"male","male"
