"diseasestatus","celltype","sex_metadata","n_samples"
"Healthy Control","B-cells","female",4
"MS posttreatment","B-cells","female",3
"MS pretreatment","B-cells","female",3
"Sepsis","B-cells","female",2
"Type 1 Diabetes","B-cells","female",3
"Healthy Control","CD4","female",4
"MS posttreatment","CD4","female",3
"MS pretreatment","CD4","female",3
"Sepsis","CD4","female",2
"Type 1 Diabetes","CD4","female",3
"Healthy Control","CD8","female",4
"MS posttreatment","CD8","female",3
"MS pretreatment","CD8","female",3
"Sepsis","CD8","female",2
"Type 1 Diabetes","CD8","female",3
"Healthy Control","Monocytes","female",4
"MS posttreatment","Monocytes","female",3
"MS pretreatment","Monocytes","female",3
"Sepsis","Monocytes","female",2
"Type 1 Diabetes","Monocytes","female",3
"Healthy Control","Neutrophils","female",4
"MS posttreatment","Neutrophils","female",3
"MS pretreatment","Neutrophils","female",3
"Sepsis","Neutrophils","female",2
"Type 1 Diabetes","Neutrophils","female",3
"Healthy Control","NK","female",4
"MS posttreatment","NK","female",2
"MS pretreatment","NK","female",1
"Sepsis","NK","female",1
"Type 1 Diabetes","NK","female",2
"Healthy Control","Whole Blood","female",4
"MS posttreatment","Whole Blood","female",3
"MS pretreatment","Whole Blood","female",3
"Sepsis","Whole Blood","female",2
"Type 1 Diabetes","Whole Blood","female",3
"Sepsis","B-cells","male",1
"Type 1 Diabetes","B-cells","male",1
"Sepsis","CD4","male",1
"Type 1 Diabetes","CD4","male",1
"Sepsis","CD8","male",1
"Type 1 Diabetes","CD8","male",1
"Sepsis","Monocytes","male",1
"Type 1 Diabetes","Monocytes","male",1
"Sepsis","Neutrophils","male",1
"Type 1 Diabetes","Neutrophils","male",1
"Sepsis","NK","male",1
"Sepsis","Whole Blood","male",1
"Type 1 Diabetes","Whole Blood","male",1
