"sample_col","geo_accession","sample_title","time_point","treatment","infection","dataset","xist_score","y_marker_score","sex_inferred"
"1","GSM5322553","SS1_5h_NT_NI","5 h","non-treated (NT)","Non-infected (NI)","GSE174689",-0.32,4.66,"male"
"10","GSM5322558","SS10_5h_NT_WT","5 h","non-treated (NT)","WT L. monocytogenes infected (WT)","GSE174689",0.47,3.86,"female"
"11","GSM5322559","SS11_5h_S_NI","5 h","IFNg/LPS stimulated (S)","Non-infected (NI)","GSE174689",-0.24,3.94,"female"
"14","GSM5322560","SS14_24h_NT_WT","24 h","non-treated (NT)","WT L. monocytogenes infected (WT)","GSE174689",0.68,4.09,"female"
"17","GSM5322561","SS17_5h_NT_NI","5 h","non-treated (NT)","Non-infected (NI)","GSE174689",1.65,4.64,"male"
"18","GSM5322562","SS18_5h_NT_WT","5 h","non-treated (NT)","WT L. monocytogenes infected (WT)","GSE174689",1.33,4.1,"female"
"19","GSM5322563","SS19_5h_S_NI","5 h","IFNg/LPS stimulated (S)","Non-infected (NI)","GSE174689",0.44,3.74,"female"
"2","GSM5322554","SS2_5h_NT_WT","5 h","non-treated (NT)","WT L. monocytogenes infected (WT)","GSE174689",-0.35,4.19,"male"
"22","GSM5322564","SS22_24h_NT_WT","24 h","non-treated (NT)","WT L. monocytogenes infected (WT)","GSE174689",1.02,3.85,"female"
"3","GSM5322555","SS3_5h_S_NI","5 h","IFNg/LPS stimulated (S)","Non-infected (NI)","GSE174689",-0.76,4,"female"
"6","GSM5322556","SS6_24h_NT_WT","24 h","non-treated (NT)","WT L. monocytogenes infected (WT)","GSE174689",-0.33,3.44,"female"
"9","GSM5322557","SS9_5h_NT_NI","5 h","non-treated (NT)","Non-infected (NI)","GSE174689",0.79,4.82,"male"
