"sample_col","geo_accession","sample_title","donor_from_title","donor_id_geo_field","treatment","dataset","xist_score","y_marker_score","sex_inferred"
"215_13_ACAGTG_L004_R1_001","GSM7113714","3_M_CSF_unstim","3","4","M-CSF","GSE228087",0,23.01,"male"
"215_14_GCCAAT_L004_R1_001","GSM7113705","3_M_CSF_IL_4_ IL_13","3","2","M-CSF+IL4_+IL13","GSE228087",0,24.35,"male"
"215_15_CAGATC_L004_R1_001","GSM7113709","3_M_CSF_LPS_IFN_gamma","3","3","M-CSF+LPS+IFN-gamma","GSE228087",0.09,30.87,"male"
"215_16_ACTTGA_L004_R1_001","GSM7113717","3_Monozyten_unstim","3","5","Untreated control","GSE228087",0,34.16,"male"
"215_19_TTAGGC_L005_R1_001","GSM7113715","4_M_CSF_unstim","4","5","M-CSF","GSE228087",20.95,0,"female"
"215_20_TGACCA_L005_R1_001","GSM7113706","4_M_CSF_IL_4_ IL_13","4","2","M-CSF+IL4_+IL13","GSE228087",24.57,0,"female"
"215_21_ACAGTG_L005_R1_001","GSM7113710","4_M_CSF_LPS_IFN_gamma","4","3","M-CSF+LPS+IFN-gamma","GSE228087",31.06,0,"female"
"215_24_ACTTGA_L008_R1_001","GSM7113716","5_M_CSF_unstim","5","5","M-CSF","GSE228087",10.79,0,"female"
"215_25_ATCACG_L002_R1_001","GSM7113707","5_M_CSF_IL_4_ IL_13","5","2","M-CSF+IL4_+IL13","GSE228087",11.74,0,"female"
"215_26_CGATGT_L008_R1_001","GSM7113711","5_M_CSF_LPS_IFN_gamma","5","3","M-CSF+LPS+IFN-gamma","GSE228087",8.27,0,"female"
"215_27_TTAGGC_L002_R1_001","GSM7113718","5_Monozyten_unstim","5","5","Untreated control","GSE228087",32.36,15.78,"female"
"215_3_TTAGGC_L003_R1_001","GSM7113712","1_M_CSF_unstim","1","4","M-CSF","GSE228087",29.26,0,"female"
"215_4_TGACCA_L003_R1_001","GSM7113703","1_M_CSF_IL_4_ IL_13","1","1","M-CSF+IL4_+IL13","GSE228087",5.97,0,"female"
"215_7_CAGATC_L003_R1_001","GSM7113713","2_M_CSF_unstim","2","4","M-CSF","GSE228087",26.97,0,"female"
"215_8_ACTTGA_L003_R1_001","GSM7113704","2_M_CSF_IL_4_ IL_13","2","1","M-CSF+IL4_+IL13","GSE228087",12.78,0,"female"
"215_9_ATCACG_L004_R1_001","GSM7113708","2_M_CSF_LPS_IFN_gamma","2","3","M-CSF+LPS+IFN-gamma","GSE228087",4.2,0.2,"female"
