"ensembl_id","gene_symbol","215_4_TGACCA_L003_R1_001","215_8_ACTTGA_L003_R1_001","215_14_GCCAAT_L004_R1_001","215_20_TGACCA_L005_R1_001","215_25_ATCACG_L002_R1_001","215_9_ATCACG_L004_R1_001","215_15_CAGATC_L004_R1_001","215_21_ACAGTG_L005_R1_001","215_26_CGATGT_L008_R1_001","215_3_TTAGGC_L003_R1_001","215_7_CAGATC_L003_R1_001","215_13_ACAGTG_L004_R1_001","215_19_TTAGGC_L005_R1_001","215_24_ACTTGA_L008_R1_001","215_16_ACTTGA_L004_R1_001","215_27_TTAGGC_L002_R1_001"
"ENSG00000012817","KDM5D",0,0,6.71,0,0,0.02,4.7,0,0.01,0,0,8.95,0,0,32.3,15.78
"ENSG00000067048","DDX3Y",0,0.04,24.35,0,0,0.2,30.87,0,0,0,0.12,23.01,0,0.11,55.74,21.18
"ENSG00000067646","ZFY",0,0.08,5.4,0,0,0.22,6.44,0,0,0,0,5.15,0,0,5.47,3.64
"ENSG00000099725","PRKY",0,0.01,2.33,0.01,0,0.01,1.4,0.01,0.01,0,0,2.13,0,0,8.12,2.55
"ENSG00000114374","USP9Y",0,0,7.35,0,0,0.01,6.72,0,0,0,0.02,10.3,0.01,0.01,6.5,0.35
"ENSG00000129824","RPS4Y1",0,0,211.22,0,0,1.24,127.73,0,0,0,0,208.62,0,0,341.62,230.05
"ENSG00000131002","TXLNGY",0,0,6.35,0,0,0,4.71,0,0,0,0,6.96,0,0,26.28,7.99
"ENSG00000154620","TMSB4Y",0.68,0.59,1.2,0.45,0.15,0.46,0.67,0.3,0.29,0.43,0.73,1.15,0.61,0.52,2.25,0.5
"ENSG00000165246","NLGN4Y",0,0,0.17,0,0,0,1.22,0,0,0,0.01,0.1,0,0,0,1.73
"ENSG00000183878","UTY",0,0,3.3,0,0,0.01,3.14,0,0,0,0.09,4.08,0,0,7.29,3.83
"ENSG00000198692","EIF1AY",0,0.02,28.95,0,0,0.25,46.79,0,0,0.02,0.02,24.55,0,0,34.16,12.21
"ENSG00000229807","XIST",5.97,12.78,0,24.57,11.74,4.2,0.09,31.06,8.27,29.26,26.97,0,20.95,10.79,0,32.36
