Gene_Symbol,WT_1.gProcessedSignal,WT_2.gProcessedSignal,RNA5_TLR4_1.gProcessedSignal,RNA5_TLR4_2.gProcessedSignal
,1385.951,2462.188,984.1074,777.8111
LINC02615,3.412794,3.40992,6.798984,7.250548
LOC145474,20.10931,65.76398,101.1708,77.03159
LINP1,125.4243,241.4329,66.68553,40.63262
KIAA0040,2.245853,3.463457,7.22667,3.053636
LINC02541,2.487944,3.073503,4.966506,3.202615
,2.455807,3.058956,3.372188,3.160093
PRKCQ-AS1,15.98293,23.09369,31.38299,21.95666
LINC00458,2.524435,2.984406,3.262175,3.477665
LINC01512,59.92093,61.78593,49.41507,33.77615
LINC02381,50.95683,45.7087,89.75658,73.66877
LINC01122,5329.157,6272.731,5657.481,5515.308
LOC100130691,47.17921,63.61562,104.71,97.84997
LINC01942,27.00389,23.26796,36.3389,15.50801
XLOC_l2_015760,259.3407,441.4347,975.9597,748.5293
,5.366098,3.502748,3.830651,3.642497
LOC101930053,19.92517,24.03669,17.9295,23.96983
LOC101927668,2.432824,3.016336,3.313479,4.162486
LINC00632,7.464787,4.635248,2.922918,2.748881
MIR100HG,2.308153,2.954837,3.200454,3.042624
MIR100HG,27.14954,33.34789,38.4213,29.42882
HIPK2,262.0565,306.9131,226.5653,216.0424
lnc-MACC1-1,13.91863,32.48163,22.46306,4.184141
LOC101927354,120.0215,95.61069,100.7222,78.8941
SNORA71A,140.9663,142.7656,165.6837,157.5332
LINC02532,2.802494,7.210631,3.33399,6.717803
DUBR,189.6927,252.1819,335.51,278.7164
,296.6485,330.0909,324.6452,289.4574
DUBR,4.746894,9.874824,3.566066,12.49598
LOC101929709,58.65308,97.38158,126.6551,128.8542
VLDLR-AS1,126.5365,171.4948,104.5146,82.551
,120.3717,124.1723,113.3205,59.98856
PCAT19,54.852,57.22789,78.3874,73.96093
,31.78406,41.90248,23.27542,24.69552
SCARNA16,545.9335,596.4201,1303.065,1195.436
LINC00607,6.447965,12.9332,48.19713,59.94785
,2.560543,2.95126,3.271641,3.244734
DET1,70.05563,67.38154,121.9222,95.37965
LINC01950,3.903875,3.00798,4.211126,8.345965
WDFY4,10.99208,9.230837,3.815188,11.44854
LINC00877,77.67476,131.67,103.6662,88.97162
MIR570HG,64.04889,34.73276,56.25541,47.7039
lnc-NR2F1-1,2.918417,4.455509,3.458797,3.252824
,117.7508,138.7219,108.8232,47.41375
LINC-PINT,14.75899,22.8327,38.86856,38.41995
,2.472614,3.215994,3.535098,3.373901
,4.252997,4.305617,3.741243,3.367781
LOC101927151,3.697547,3.164809,3.469261,3.261423
,26.30133,44.54,74.2971,54.10047
L3MBTL1,47.88295,70.89382,67.50113,79.13979
LINC00313,28.61213,48.69558,41.96704,36.27392
,2.952405,3.105874,3.388003,3.163856
LOC101928673,16.92392,32.15748,48.13002,38.05207
LOC101928858,3.196231,2.874176,3.092659,3.023894
LINC02541,229.0632,255.8807,231.1473,191.6353
LINC00888,21.37322,30.50251,17.77334,16.8808
MIR3150BHG,254.5797,288.9117,184.8127,151.3408
LINC02482,20.51012,13.9692,15.42325,16.60239
FAM107A,30.30803,36.61905,26.21073,23.60567
LOC101928858,7.767773,9.045473,6.642035,4.525541
LOC101927668,2.690727,2.896283,3.157442,2.949669
LINC01132,2.319281,3.346804,2.870035,3.372056
MAP3K13,1133.01,1401.008,1116.134,850.9799
LINC00513,103.674,66.73212,258.9457,241.7252
lnc-C9orf69-2,172.5983,229.9053,291.7295,172.0052
LOC101928502,2.992734,3.155872,3.388403,3.374786
,2.909092,3.17958,3.48495,3.287685
LOC100506178,136.5731,171.8244,235.0808,148.0974
ERI1,49.1767,68.46706,18.59803,15.98449
MEG3,2.316002,2.695945,5.057284,2.755791
lnc-ERP44-3,15.61916,17.6053,22.89123,22.5816
,1154.405,1392.084,1245.548,1037.627
CDKN2B-AS1,59.53655,46.66428,82.16875,73.41203
LOC101927189,5.661694,3.458924,3.056908,2.858611
,354.0821,465.0441,806.4669,673.7013
,34.22372,37.22976,32.96281,23.70513
LINC02370,19.07924,18.43299,19.92709,12.05203
,56.73498,62.68758,45.69162,34.19291
BLCAP,23.75543,36.26297,36.35469,20.57831
LINC01628,2.868342,3.034492,4.403446,6.200298
LINC01950,2.37021,2.938808,3.226113,3.024487
,31.79101,45.96693,63.34383,68.86219
lnc-SNCA-2,2.626682,3.262837,3.636099,4.117161
LOC653712,44.04737,35.96135,42.65766,29.75262
LOC441204,4.019492,4.097489,3.381629,3.20403
LINC00908,2.555924,3.265094,4.49844,3.526341
RASGEF1B,3.600043,2.710175,2.945128,3.309554
MAGI2-AS3,445.8193,530.4296,543.3746,529.6023
lnc-FAM84B-8,3.34658,3.406057,3.653607,3.464369
LINC02099,17.80118,22.37843,31.17999,4.635673
MEG3,5.826208,2.737269,2.978444,2.802409
,26.112,38.29947,32.31292,21.16983
LINC01108,3.223516,3.290436,3.553307,3.551327
SNHG5,55124.07,57483.81,65454.4,63386.51
lnc-MMRN1-2,2.568321,4.310437,3.415331,3.335469
LINC00607,3.189577,3.451848,3.778503,3.58851
,698.6255,1215.814,1190.966,1006.884
PVT1,226.5629,314.1995,495.4059,502.6479
MAP3K13,2131.956,2583.43,1862.4,1569.387
lnc-SLC35F5-4,19.82633,19.18781,24.87059,22.7187
ARMCX5-GPRASP2,49.71822,41.51256,31.89776,35.22359
lnc-WRNIP1-2,26.71463,26.5354,32.57125,28.85393
LINC01291,54.67098,62.23217,24.51967,30.72152
HHLA1,3.192622,3.799167,3.804767,7.012732
lnc-AKR1C2-4,2.581239,2.912116,3.243852,3.218735
MIR570HG,216.067,154.739,189.0646,177.7942
LINC00705,3.475337,3.521349,3.776398,3.610172
,11.82538,9.076226,2.914751,6.728798
LINC01606,11.84177,6.372254,16.03094,9.631719
LINC00472,159.1772,224.5738,403.4016,326.1828
lnc-GARS-2,2.970772,3.177176,3.479134,3.265506
lnc-MYC-2,172.2426,537.9884,1435.829,1177.594
,2.770938,4.649279,3.346682,3.151211
lnc-GGCT-1,13.27909,16.21987,22.3011,22.3616
,2.444616,2.789381,3.038906,2.992015
lnc-HDAC2-2,2.823991,6.405976,3.984823,3.78997
SATB1-AS1,6.024473,18.82886,3.423847,4.231818
DANT2,20.439,21.28298,26.37023,24.99401
LOC101928004,11.80101,6.689559,14.85139,5.765864
LOC100506639,15.855,8.726016,19.55607,21.35596
XLOC_l2_002160,3.991857,3.012004,3.23781,3.096092
CASC8,2.728305,3.396808,3.807626,3.607073
SNHG5,7866.079,9347.529,9877.279,8613.271
PVT1,258.6754,360.2733,585.8088,471.0138
lnc-AC114947.1.1-2,225.247,354.9483,409.6526,421.1229
LINC01127,10.22512,11.29844,8.934899,9.515393
LNCPRESS2,3.999118,2.742478,2.984477,2.801657
IGSF23,20.84449,10.33028,16.84876,10.553
LINC00504,2.86843,8.98918,3.300678,3.082824
LINC02580,16.43592,13.99807,11.25082,7.393874
ATP2C1,16.72832,27.94306,17.28976,6.825817
LINC01137,255.3209,414.6682,215.5747,202.492
LOC389602,40.58148,64.04847,114.0262,91.14404
ZNF678,84.19035,231.0586,225.1074,193.7816
XIST,37.80215,31.03151,27.50216,18.68434
,44.97622,58.75255,31.21495,37.91355
MAGI2-AS3,129.2248,140.4548,96.56933,92.5262
EPCAM-DT,6.887072,3.992358,4.158251,3.429074
lnc-ARF5-2,6.144916,4.475118,3.669939,3.491473
,3.13939,3.269664,3.56859,3.342655
,64.32241,51.85877,74.20871,49.57499
LINC00211,22.93067,12.83783,17.63157,11.46937
,10.06169,16.84332,9.650957,6.86801
SEM1,17.1147,16.68941,11.92027,6.120849
PCBP1-AS1,4.168993,3.512747,3.99337,3.822832
LINC01278,59.72318,65.75281,93.55827,70.04669
,618.2043,629.4234,523.4502,537.3581
MIR3150BHG,2.555293,7.322617,3.453711,3.319769
LOC101928858,2.975577,3.111018,3.372664,3.162405
LOC101929563,32.08894,39.19143,29.56492,34.43987
