Gene_Symbol,comparacion,fc,pval,direction
X1,Clon/WT,-1.01106531976588,1.0,down
X1,RNA7_FN1/WT,-1.10510882395694,0.978391578377382,down
X1,RNA5_TLR4/WT,-1.82003663499066,3.49256006355237e-08,down
LOC145474,Clon/WT,1.45199844530585,1.0,up
LOC145474,RNA7_FN1/WT,5.00855030193461,1.02038500810293e-07,up
LOC145474,RNA5_TLR4/WT,2.39301724084074,2.2521837907781e-05,up
LINP1,Clon/WT,-1.65040931170553,1.0,down
LINP1,RNA7_FN1/WT,-5.19298955128425,2.43500299828896e-09,down
LINP1,RNA5_TLR4/WT,-3.33076363665832,9.442746118709199e-12,down
LINC01512,Clon/WT,-1.16808395669371,1.0,down
LINC01512,RNA7_FN1/WT,-1.08721116298746,0.993809511887536,down
LINC01512,RNA5_TLR4/WT,-1.49488683062865,0.105181622747377,down
LINC02381,Clon/WT,1.52030793997442,1.0,up
LINC02381,RNA7_FN1/WT,1.69851495259448,0.303136666946116,up
LINC02381,RNA5_TLR4/WT,1.67322835886357,0.0192769971918869,up
LINC01122,Clon/WT,-1.0386895225034,1.0,down
LINC01122,RNA7_FN1/WT,-1.00419807003444,0.999928367935626,down
LINC01122,RNA5_TLR4/WT,1.15246790208099,0.21302671895735,up
LOC100130691,Clon/WT,1.31189586447992,1.0,up
LOC100130691,RNA7_FN1/WT,-2.87009165764552,0.0014272262403539,down
LOC100130691,RNA5_TLR4/WT,1.85832382221945,0.0022375563831245,up
XLOC_l2_015760,Clon/WT,1.00197396483197,1.0,up
XLOC_l2_015760,RNA7_FN1/WT,2.49253844640089,0.002561680980837,up
XLOC_l2_015760,RNA5_TLR4/WT,2.8289266317432,0.0,up
MIR100HG,Clon/WT,1.00663228585144,1.0,up
MIR100HG,RNA7_FN1/WT,1.20362598014749,0.956262083156542,up
MIR100HG,RNA5_TLR4/WT,1.11530714004278,0.764938322798971,up
HIPK2,Clon/WT,-1.0766882701466,1.0,down
HIPK2,RNA7_FN1/WT,-1.14980247801791,0.978391578377382,down
HIPK2,RNA5_TLR4/WT,-1.22779653444445,0.288643080569597,down
LOC101927354,Clon/WT,-1.05064905658379,1.0,down
LOC101927354,RNA7_FN1/WT,-1.30080620601502,0.837250410279101,down
LOC101927354,RNA5_TLR4/WT,-1.21423715210999,0.427339054546357,down
SNORA71A,Clon/WT,-1.00829041069854,1.0,down
SNORA71A,RNA7_FN1/WT,1.2236157023917,0.923324699412263,up
SNORA71A,RNA5_TLR4/WT,1.15681204681867,0.541515208772967,up
DUBR,Clon/WT,-1.04596407965413,1.0,down
DUBR,RNA7_FN1/WT,1.3220757163149,0.795142347440286,up
DUBR,RNA5_TLR4/WT,1.47344609652346,0.024078533858505,up
X2,Clon/WT,-1.4451726211322,1.0,down
X2,RNA7_FN1/WT,-1.04575503691738,0.998207836043923,down
X2,RNA5_TLR4/WT,1.03160750297971,0.901784563921839,up
LOC101929709,Clon/WT,1.28038902736057,1.0,up
LOC101929709,RNA7_FN1/WT,1.47362874801666,0.582090617693799,up
LOC101929709,RNA5_TLR4/WT,1.71156453096656,0.0060795315919181,up
VLDLR-AS1,Clon/WT,1.12969763489217,1.0,up
VLDLR-AS1,RNA7_FN1/WT,1.26663193543122,0.87802803873326,up
VLDLR-AS1,RNA5_TLR4/WT,-1.58210616270868,0.0185810877936492,down
X3,Clon/WT,-1.14629350030406,1.0,down
X3,RNA7_FN1/WT,-2.1326313752638,0.0384782741468319,down
X3,RNA5_TLR4/WT,-1.49863112742311,0.0518046168920942,down
PCAT19,Clon/WT,1.67992733877758,1.0,up
PCAT19,RNA7_FN1/WT,1.06274727223387,0.99780568073798,up
PCAT19,RNA5_TLR4/WT,1.35068725748359,0.219567228172952,up
X4,Clon/WT,1.05924545881983,1.0,up
X4,RNA7_FN1/WT,-1.67410620879339,0.349970934028421,down
X4,RNA5_TLR4/WT,-1.53071606179774,0.135583211396082,down
SCARNA16,Clon/WT,1.17777351322948,1.0,up
SCARNA16,RNA7_FN1/WT,1.86416075597779,0.0578730667159675,up
SCARNA16,RNA5_TLR4/WT,2.50436251479318,0.0,up
DET1,Clon/WT,1.10707939854593,1.0,up
DET1,RNA7_FN1/WT,2.2779259288287,0.0233865817385132,up
DET1,RNA5_TLR4/WT,1.57803956264195,0.0288419146284164,up
LINC00877,Clon/WT,-1.00695097202307,1.0,down
LINC00877,RNA7_FN1/WT,-1.34907793165568,0.769328208823387,down
LINC00877,RNA5_TLR4/WT,-1.05101112294889,0.868848153311888,down
MIR570HG,Clon/WT,-1.22603166436017,1.0,down
MIR570HG,RNA7_FN1/WT,-1.88568617077567,0.149941032011333,down
MIR570HG,RNA5_TLR4/WT,1.09445054974359,0.786236063112172,up
X5,Clon/WT,-1.08181289205507,1.0,down
X5,RNA7_FN1/WT,-1.67781601962173,0.286832876332079,down
X5,RNA5_TLR4/WT,-1.78247216669495,0.0029345619518728,down
X6,Clon/WT,-1.03582451915224,1.0,down
X6,RNA7_FN1/WT,1.88638083336169,0.165228944202363,up
X6,RNA5_TLR4/WT,1.84673549808955,0.0078055489241409,up
L3MBTL1,Clon/WT,1.27942679539287,1.0,up
L3MBTL1,RNA7_FN1/WT,-1.02086316962898,0.999928367935626,down
L3MBTL1,RNA5_TLR4/WT,1.24758843100784,0.396339961096452,up
LINC00313,Clon/WT,1.67161806747908,1.0,up
LINC00313,RNA7_FN1/WT,1.30061426098014,0.863184929598955,up
LINC00313,RNA5_TLR4/WT,1.04001249025715,0.919104743566362,up
LOC101928673,Clon/WT,1.03847027773807,1.0,up
LOC101928673,RNA7_FN1/WT,1.79277810823081,0.254854307575227,up
LOC101928673,RNA5_TLR4/WT,1.78429898128569,0.0248993038356837,up
LINC02541,Clon/WT,-1.1145887868909,1.0,down
LINC02541,RNA7_FN1/WT,-1.14888508334005,0.979455753859843,down
LINC02541,RNA5_TLR4/WT,-1.11205013934652,0.640355139187373,down
MIR3150BHG,Clon/WT,-1.33566069211261,1.0,down
MIR3150BHG,RNA7_FN1/WT,1.0029729935087,0.999928367935626,up
MIR3150BHG,RNA5_TLR4/WT,-1.58618274474387,0.0056672866708388,down
LINC02482,Clon/WT,1.49200453845859,1.0,up
LINC02482,RNA7_FN1/WT,1.18141141320558,0.973224796115678,up
LINC02482,RNA5_TLR4/WT,-1.16282442083375,0.705829944675562,down
FAM107A,Clon/WT,-1.35400591782042,1.0,down
FAM107A,RNA7_FN1/WT,1.10907763207797,0.991067478645566,up
FAM107A,RNA5_TLR4/WT,-1.3452306070926,0.338809039624167,down
MAP3K13,Clon/WT,-1.25326830896817,1.0,down
MAP3K13,RNA7_FN1/WT,-1.12460946908056,0.97981662382098,down
MAP3K13,RNA5_TLR4/WT,-1.11617190155788,0.491016295316424,down
LINC00513,Clon/WT,1.1655974620272,1.0,up
LINC00513,RNA7_FN1/WT,-1.12134975303934,0.984859954038798,down
LINC00513,RNA5_TLR4/WT,3.10139140434925,5.52493307514313e-12,up
lnc-C9orf69-2,Clon/WT,1.24914697036148,1.0,up
lnc-C9orf69-2,RNA7_FN1/WT,-2.16739085490191,0.0276118580746266,down
lnc-C9orf69-2,RNA5_TLR4/WT,1.16200098215566,0.493911361196485,up
LOC100506178,Clon/WT,1.84342879614208,0.242793807774399,up
LOC100506178,RNA7_FN1/WT,1.13202870229602,0.98235855162373,up
LOC100506178,RNA5_TLR4/WT,1.24418996388503,0.309644388528881,up
X7,Clon/WT,1.42461167427367,0.850895272607849,up
X7,RNA7_FN1/WT,-1.02344390921442,0.999928367935626,down
X7,RNA5_TLR4/WT,1.04345287028994,0.819623159252727,up
CDKN2B-AS1,Clon/WT,1.37294816360115,1.0,up
CDKN2B-AS1,RNA7_FN1/WT,1.20288340938231,0.950370356002668,up
