Clinical_Group,Structural_Category_Consensus,Structure,Column,N,Mean,Median,Q1,Q3,Min,Max,Pct_DDG_gt_1,Pct_DDG_gt_2,Pct_DDG_gt_3
Benign_or_likely,core,7UUY_apo,DDG_7UUY,2,-0.075713,-0.075713,-0.1135695,-0.0378565,-0.151426,0.0,0.0,0.0,0.0
Benign_or_likely,core,7UUZ_ReO4_Na,DDG_7UUZ,2,7.91012,7.91012,5.1768135,10.6434265,2.443507,13.376733,100.0,100.0,50.0
Benign_or_likely,core,7UV0_I_Na,DDG_7UV0,2,1.3962665,1.3962665,0.73160625,2.06092675,0.066946,2.725587,50.0,50.0,0.0
Benign_or_likely,core,AF_humano,DDG_AF,3,0.336586,0.195805,-0.12215100000000001,0.7249325,-0.440107,1.25406,33.33333333333333,0.0,0.0
Benign_or_likely,sitio activo,7UUY_apo,DDG_7UUY,1,2.30814,2.30814,2.30814,2.30814,2.30814,2.30814,100.0,100.0,0.0
Benign_or_likely,sitio activo,7UUZ_ReO4_Na,DDG_7UUZ,1,-0.010867,-0.010867,-0.010867,-0.010867,-0.010867,-0.010867,0.0,0.0,0.0
Benign_or_likely,sitio activo,7UV0_I_Na,DDG_7UV0,1,3.141197,3.141197,3.141197,3.141197,3.141197,3.141197,100.0,100.0,100.0
Benign_or_likely,sitio activo,AF_humano,DDG_AF,1,-0.137691,-0.137691,-0.137691,-0.137691,-0.137691,-0.137691,0.0,0.0,0.0
Benign_or_likely,superficie,7UUY_apo,DDG_7UUY,1,-1.086505,-1.086505,-1.086505,-1.086505,-1.086505,-1.086505,0.0,0.0,0.0
Benign_or_likely,superficie,7UUZ_ReO4_Na,DDG_7UUZ,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Benign_or_likely,superficie,7UV0_I_Na,DDG_7UV0,1,0.169595,0.169595,0.169595,0.169595,0.169595,0.169595,0.0,0.0,0.0
Benign_or_likely,superficie,AF_humano,DDG_AF,5,0.5520778,0.732603,0.366187,0.783626,0.058193,0.81978,0.0,0.0,0.0
Conflicting,core,7UUY_apo,DDG_7UUY,3,0.01477933333333333,0.134467,-0.1281755,0.217578,-0.390818,0.300689,0.0,0.0,0.0
Conflicting,core,7UUZ_ReO4_Na,DDG_7UUZ,3,1.7719833333333332,1.08859,0.8784615,2.3238085,0.668333,3.559027,66.66666666666666,33.33333333333333,33.33333333333333
Conflicting,core,7UV0_I_Na,DDG_7UV0,3,0.7451703333333334,0.317309,0.2891855,0.9872245000000001,0.261062,1.65714,33.33333333333333,0.0,0.0
Conflicting,core,AF_humano,DDG_AF,4,0.8325305000000001,0.5604009999999999,-0.12212775000000001,1.51505925,-0.130737,2.340057,50.0,25.0,0.0
Pathogenic_or_likely,core,7UUY_apo,DDG_7UUY,20,2.2448673,1.548603,0.250455,3.79754175,-0.67221,5.92533,60.0,40.0,35.0
Pathogenic_or_likely,core,7UUZ_ReO4_Na,DDG_7UUZ,19,2.542795105263158,1.134143,0.342827,5.69247,-0.609633,7.45501,57.89473684210527,36.84210526315789,36.84210526315789
