Clinical_Group,Structure,Column,N,Mean,Median,Q1,Q3,Min,Max,Pct_DDG_gt_1,Pct_DDG_gt_2,Pct_DDG_gt_3
Benign_or_likely,7UUY_apo,DDG_7UUY,4,0.26755224999999994,-0.075713,-0.38519575,0.577035,-1.086505,2.30814,25.0,25.0,0.0
Benign_or_likely,7UUZ_ReO4_Na,DDG_7UUZ,4,3.95234325,1.2217535,-0.00271675,5.1768135,-0.010867,13.376733,50.0,50.0,25.0
Benign_or_likely,7UV0_I_Na,DDG_7UV0,4,1.52583125,1.447591,0.14393275,2.8294895,0.066946,3.141197,50.0,50.0,25.0
Benign_or_likely,AF_humano,DDG_AF,9,0.40360622222222214,0.366187,0.058193,0.783626,-0.440107,1.25406,11.11111111111111,0.0,0.0
Conflicting,7UUY_apo,DDG_7UUY,3,0.01477933333333333,0.134467,-0.1281755,0.217578,-0.390818,0.300689,0.0,0.0,0.0
Conflicting,7UUZ_ReO4_Na,DDG_7UUZ,3,1.7719833333333332,1.08859,0.8784615,2.3238085,0.668333,3.559027,66.66666666666666,33.33333333333333,33.33333333333333
Conflicting,7UV0_I_Na,DDG_7UV0,3,0.7451703333333334,0.317309,0.2891855,0.9872245000000001,0.261062,1.65714,33.33333333333333,0.0,0.0
Conflicting,AF_humano,DDG_AF,4,0.8325305000000001,0.5604009999999999,-0.12212775000000001,1.51505925,-0.130737,2.340057,50.0,25.0,0.0
Pathogenic_or_likely,7UUY_apo,DDG_7UUY,21,2.244661380952381,1.884503,0.305726,3.39465,-0.67221,5.92533,61.904761904761905,42.857142857142854,33.33333333333333
Pathogenic_or_likely,7UUZ_ReO4_Na,DDG_7UUZ,20,2.4063793500000004,1.098919,0.10770199999999999,5.540925,-0.609633,7.45501,55.00000000000001,35.0,35.0
Pathogenic_or_likely,7UV0_I_Na,DDG_7UV0,21,1.6320978095238092,1.09695,0.465017,2.229473,-1.55792,8.663883,52.38095238095239,28.57142857142857,19.047619047619047
Pathogenic_or_likely,AF_humano,DDG_AF,26,6.412300653846153,3.9115285,2.0297775,8.2263945,-0.769917,32.336633,84.61538461538461,76.92307692307693,61.53846153846154
Uncertain_significance,7UUY_apo,DDG_7UUY,55,1.9553754727272723,1.133323,0.0714915,2.5192930000000002,-1.512153,17.648833,54.54545454545454,27.27272727272727,21.818181818181817
Uncertain_significance,7UUZ_ReO4_Na,DDG_7UUZ,57,1.9625355964912279,0.793344,-0.139601,2.1625,-1.954833,28.563767,43.859649122807014,28.07017543859649,15.789473684210526
Uncertain_significance,7UV0_I_Na,DDG_7UV0,54,1.1260074444444446,0.4011105,-0.26564550000000003,1.75114875,-1.93488,14.054367,40.74074074074074,24.074074074074073,12.962962962962962
Uncertain_significance,AF_humano,DDG_AF,78,1.8807492564102564,1.085178,0.15459275,2.9785809999999997,-1.61866,20.28669,51.28205128205128,38.46153846153847,25.64102564102564
VUS_or_unclassified,7UUY_apo,DDG_7UUY,549,2.0668910928961752,1.04477,0.018573,2.53217,-2.948477,34.970733,51.54826958105647,32.78688524590164,20.9471766848816
VUS_or_unclassified,7UUZ_ReO4_Na,DDG_7UUZ,547,2.345814047531993,1.327573,0.010909499999999999,3.2257499999999997,-2.96809,31.185533,57.038391224862885,38.75685557586837,27.605118829981716
VUS_or_unclassified,7UV0_I_Na,DDG_7UV0,545,1.9460880917431196,0.990313,-0.005017,2.76903,-3.497,27.927233,49.72477064220184,33.76146788990826,22.385321100917434
VUS_or_unclassified,AF_humano,DDG_AF,771,1.97901124383917,1.05369,0.109341,2.5886515,-3.14311,62.181133,50.713359273670555,33.59273670557717,21.141374837872892
